Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;sar-eu;price;gprstext;edge;batstandby1;battalktime1;cam2features;bodyother;models;featuresother;optionalother
https://www.gsmarena.com/allview_soul_x7_pro-10302.php;https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg;Allview Soul X7 Pro;Released 2020, May 26;193g, 8.3mm thickness;Android 9.0;64GB storage, microSDXC;13;0.2%;127,849 hits;"6.53""";1080x2340 pixels;4 GB RAM;Snapdragon 630;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 8, 20, 38, 40, 41;HSPA 42.2/11.5 Mbps, LTE Cat7 300/100 Mbps;2020, May 26;Available. Released 2020, May 26;161.9 x 76.8 x 8.3 mm (6.37 x 3.02 x 0.33 in);193 g (6.81 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;6.53 inches, 104.7 cm(~84.2% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density);Corning Gorilla Glass;Android 9.0 (Pie);Qualcomm SDM630 Snapdragon 630 (14 nm);Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Adreno 508;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, PDAF8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";LED flash, HDR, panorama;4K@30fps, 1080p@30fps;"16 MP, (wide), 1/3.06"" 1.0µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 3.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Black Desire;1.12 W/kg (head);About 230 EUR;;;;;;;;;
https://www.gsmarena.com/allview_soul_x7_style-10301.php;https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg;Allview Soul X7 Style;Released 2020, May 26;184.7g, 8.3mm thickness;Android 9.0;64GB storage, microSDXC;5;0.1%;46,598 hits;"6.21""";720x1520 pixels;4 GB RAM;Helio P23;3400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 7, 8, 20, 38, 40;HSPA, LTE;2020, May 26;Available. Released 2020, May 26;157.6 x 75.2 x 8.3 mm (6.20 x 2.96 x 0.33 in);184.7 g (6.53 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.21 inches, 96.3 cm(~81.2% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~271 ppi density);;Android 9.0 (Pie);Mediatek MT6763 Helio P23 (16 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);Mali-G71 MP2;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;13 MP, f/2.2, AF0.3 MP, (depth);LED flash, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS, GLONASS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 3400 mAh battery;Turcoise;0.87 W/kg (head);About 130 EUR;;;;;;;;;
https://www.gsmarena.com/allview_viva_803g-10303.php;https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg;Allview Viva 803G;Released 2020, April;330g, 9.5mm thickness;Android 9.0 Pie;16GB storage, microSDHC;2;N/A;35,063 hits;"8.0""";800x1280 pixels;1 GB RAM;MT8321;3600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2020, April;Available. Released 2020, April;208 x 124 x 9.5 mm (8.19 x 4.88 x 0.37 in);330 g (11.64 oz);Micro-SIM;IPS LCD;8.0 inches, 185.6 cm(~72.0% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);;Android 9.0 Pie (Go edition);Mediatek MT8321 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDHC;16GB 1GB RAM;eMMC 5.1;VGA;LED flash;720p;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 3600 mAh, non-removable;Black;1.59 W/kg (body);About 90 EUR;;;;;;;;;
https://www.gsmarena.com/allview_v4_viper_pro-10039.php;https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg;Allview V4 Viper Pro;Released 2020, January;191.6g, 8.8mm thickness;Android 9.0;32GB storage, microSDXC;6;N/A;76,067 hits;"6.8""";640x1352 pixels;2 GB RAM;MT6739;3500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2020, January;Available. Released 2020, January;171 x 82 x 8.8 mm (6.73 x 3.23 x 0.35 in);191.6 g (6.77 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.8 inches, 115.4 cm(~82.3% screen-to-body ratio);640 x 1352 pixels, 19:9 ratio (~220 ppi density);;Android 9.0 (Pie);Mediatek MT6739 (28 nm);Quad-core 1.3 GHz Cortex-A53;PowerVR GE8100;microSDXC (uses shared SIM slot);32GB 2GB RAM;eMMC 5.1;13 MP, AF0.3 MP, (depth);LED flash;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS, GLONASS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3500 mAh, non-removable;Dark Grey;1.20 W/kg (head);About 170 EUR;;;;;;;;;
https://www.gsmarena.com/allview_viva_c703-9939.php;https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg;Allview Viva C703;Released 2019, October;242g, 9.7mm thickness;Android 8.1 Oreo;8GB storage, microSDHC;2;N/A;35,220 hits;"7.0""";600x1024 pixels;1 GB RAM;;2000 mAh Li-Po;N/A;N/A;N/A;No;2019, October;Available. Released 2019, October;188.5 x 108.3 x 9.7 mm (7.42 x 4.26 x 0.38 in);242 g (8.54 oz);No;IPS LCD;7.0 inches, 137.9 cm(~67.5% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);;Android 8.1 Oreo (Go edition);;Quad-core 1.5 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 1GB RAM;;No;;;0.3 MP;480p;Wi-Fi 802.11 b/g/n;4.0, A2DP;No;No;No;microUSB 2.0;Accelerometer;Li-Po 2000 mAh, non-removable;Black;;About 50 EUR;No;No;;;;;;;
https://www.gsmarena.com/allview_viva_home-9911.php;https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg;Allview Viva Home;Released 2019, July;2018.3g, 19.5mm thickness;Android 9.0;32GB storage, microSDXC;5;N/A;43,316 hits;"17.3""";1080x1920 pixels;2 GB RAM;MT8163;5000 mAh Li-Po;N/A;N/A;N/A;;2019, July;Available. Released 2019, July;418.5 x 266.3 x 19.5 mm (16.48 x 10.48 x 0.77 in);2018.3 g (4.45 lb);No;IPS LCD;17.3 inches, 825.1 cm(~74.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~127 ppi density);;Android 9.0 (Pie);Mediatek MT8163;Quad-core 1.5 GHz Cortex-A53;;microSDXC (dedicated slot);32GB 2GB RAM;;No;;;2 MP;1080p;Wi-Fi 802.11 a/b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, USB;Accelerometer;Li-Po 5000 mAh, non-removable;Black;;About 250 EUR;No;No;;;;;;;
https://www.gsmarena.com/allview_viva_1003g-9910.php;https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg;Allview Viva 1003G;Released 2019, August;479.4g, 10.7mm thickness;Android 9.0;16GB storage, microSDXC;2;N/A;29,768 hits;"10.1""";800x1280 pixels;2 GB RAM;MT8321A;4000 mAh Li-Po;GSM 900 / 1800 / 1900;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2019, August;Available. Released 2019, August;246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in);479.4 g (1.06 lb);Mini-SIM;IPS LCD;10.1 inches, 295.8 cm(~70.0% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~149 ppi density);;Android 9.0 (Pie);Mediatek MT8321A (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC (dedicated slot);16GB 2GB RAM;;2 MP;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 4000 mAh, non-removable;Black;1.05 W/kg (body);;;;Up to 400 h;Up to 11 h;;;;;
https://www.gsmarena.com/allview_viva_1003g_lite-9909.php;https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg;Allview Viva 1003G Lite;Released 2019, September;505.2g, 10.7mm thickness;Android 8.1 Oreo;16GB storage, microSDXC;1;N/A;28,401 hits;"10.1""";800x1280 pixels;1 GB RAM;MT8321A;4000 mAh Li-Po;GSM 900 / 1800 / 1900;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2019, September;Available. Released 2019, September;246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in);505.2 g (1.11 lb);Mini-SIM;IPS LCD;10.1 inches, 295.8 cm(~70.0% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~149 ppi density);;Android 8.1 Oreo (Go edition);Mediatek MT8321A (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC (dedicated slot);16GB 1GB RAM;;0.3 MP;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 4000 mAh, non-removable;Black;1.05 W/kg (body);About 100 EUR;;;Up to 400 h;Up to 8 h 20 min;;;;;
https://www.gsmarena.com/allview_v4_viper-9908.php;https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg;Allview V4 Viper;Released 2019, September;138g, 8.5mm thickness;Android 9.0;16GB storage, microSDXC;3;N/A;43,387 hits;"5.7""";720x1520 pixels;2 GB RAM;Helio A22;2700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 38;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2019, September;Available. Released 2019, September;145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in);138 g (4.87 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.7 inches, 81.1 cm(~78.4% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~295 ppi density);;Android 9.0 (Pie);Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);16GB 2GB RAM;eMMC 5.1;8 MP, AF0.3 MP, (depth);LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 2700 mAh, non-removable;Blue, Red;1.13 W/kg (head);About 100 EUR;;;;;;;;;
https://www.gsmarena.com/allview_soul_x6_mini-9709.php;https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg;Allview Soul X6 Mini;Released 2019, May;175.7g, 8.3mm thickness;Android 9.0;16GB storage, microSDXC;4;N/A;48,391 hits;"6.2""";720x1520 pixels;2 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 38;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2019, May;Available. Released 2019, May;158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in);175.7 g (6.21 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.2 inches, 95.9 cm(~79.3% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~271 ppi density);;Android 9.0 (Pie);Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);16GB 2GB RAM;eMMC 5.1;13 MP, AF2 MP, (depth);Dual-LED dual-tone flash, panorama, HDR;1080p@30fps;13 MP;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Indigo Blue;0.98 W/kg (head);;;;;;;;;;
