Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;battalktime1;colors;models;price;displayprotection;Battery;net3g;net4g;speed;cam1features;displayother;batstandby1;batmusicplayback1
https://www.gsmarena.com/amazon_fire_hd_8_plus_(2022)-12035.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-plus-2022.jpg;Amazon Fire HD 8 Plus (2022);Released 2022, September 21;342g, 9.6mm thickness;Android 11, Fire OS 8;32GB/64GB storage, microSDXC;4;1.2%;36,319 hits;"8.0""";800x1280 pixels;3 GB RAM;MT8169A;N/A;N/A;N/A;2022, September 21;Available. Released 2022, September 21;201.9 x 137.4 x 9.6 mm (7.95 x 5.41 x 0.38 in);342 g (12.06 oz);No;IPS LCD;8.0 inches, 185.6 cm(~66.9% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Android 11, Fire OS 8;Mediatek MT8169A;Hexa-core (6x2.0 GHz Cortex-A55);Mali-G52 2EE MC2;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 3GB RAM;eMMC 5.1;5 MP;1080p;2 MP;720p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.2, A2DP, LE;No;No;No;USB Type-C 2.0;Accelerometer;Alexa natural language commandsText-to-Speech English-language content reader;;Up to 13 h;Gray;KFRAPWI;About 120 EUR;;;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_8_(2022)-12036.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2022.jpg;Amazon Fire HD 8 (2022);Released 2022, September 21;337g, 9.6mm thickness;Android 11, Fire OS 8;32GB/64GB storage, microSDXC;3;0.6%;17,131 hits;"8.0""";800x1280 pixels;3 GB RAM;MT8169A;N/A;N/A;N/A;2022, September 21;Available. Released 2022, September 21;201.9 x 137.4 x 9.6 mm (7.95 x 5.41 x 0.38 in);337 g (11.89 oz);No;IPS LCD;8.0 inches, 185.6 cm(~66.9% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Android 11, Fire OS 8;Mediatek MT8169A;Hexa-core (6x2.0 GHz Cortex-A55);Mali-G52 2EE MC2;microSDXC (dedicated slot);32GB 2GB RAM, 64GB 2GB RAM;eMMC 5.1;5 MP;1080p;2 MP;720p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.2, A2DP, LE;No;No;No;USB Type-C 2.0;Accelerometer;Alexa natural language commandsText-to-Speech English-language content reader;;Up to 13 h;Black, Denim, Rose;KFRAWI;About 110 EUR;;;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_10_plus_(2021)-10882.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-plus-2021.jpg;Amazon Fire HD 10 Plus (2021);Released 2021, May 26;468g, 9.2mm thickness;Android 9.0, Fire OS 7;32GB/64GB storage, microSDXC;22;0.7%;203,504 hits;"10.1""";1920x1200 pixels;4 GB RAM;Helio P60T;N/A;No;No;2021, April 27;Available. Released 2021, May 26;247 x 166 x 9.2 mm (9.72 x 6.54 x 0.36 in);468 g (1.03 lb);No;IPS LCD;10.1 inches, 295.8 cm(~72.1% screen-to-body ratio);1920 x 1200 pixels, 16:10 ratio (~224 ppi density);Android 9.0 (Pie), Fire OS 7;Mediatek MT8183 Helio P60T (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (dedicated slot);32GB 4GB RAM, 64GB 4GB RAM;eMMC 5.1;5 MP;720p;2 MP;720p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;No;No;No;USB Type-C 2.0, OTG;Accelerometer;Text-to-Speech English-language content reader;Li-Ion, non-removable;;Slate;T76N2P;About 150 EUR;Aluminosilicate glass;;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_10_(2021)-10881.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2021.jpg;Amazon Fire HD 10 (2021);Released 2021, May 26;465g, 9.2mm thickness;Android 9.0, Fire OS 7;32GB/64GB storage, microSDXC;16;1.0%;237,314 hits;"10.1""";1920x1200 pixels;3 GB RAM;Helio P60T;N/A;No;No;2021, April 27;Available. Released 2021, May 26;247 x 166 x 9.2 mm (9.72 x 6.54 x 0.36 in);465 g (1.03 lb);No;IPS LCD;10.1 inches, 295.8 cm(~72.1% screen-to-body ratio);1920 x 1200 pixels, 16:10 ratio (~224 ppi density);Android 9.0 (Pie), Fire OS 7;Mediatek MT8183 Helio P60T (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 3GB RAM;eMMC 5.1;5 MP;720p;2 MP;720p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;No;No;No;USB Type-C 2.0, OTG;Accelerometer;Text-to-Speech English-language content reader;Li-Ion, non-removable;;Black, Denim, Olive, Lavender;T76N2B, KFTRWI, KFTRPWI;About 130 EUR;Aluminosilicate glass;;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_8_plus_(2020)-10246.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg;Amazon Fire HD 8 Plus (2020);Released 2020, June 03;355g, 9.7mm thickness;Android 9.0, Fire OS 7;32GB/64GB storage, microSDXC;15;0.5%;168,140 hits;"8.0""";800x1280 pixels;3 GB RAM;MT8168;N/A;No;No;2020, March 13;Available. Released 2020, June 03;202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in);355 g (12.52 oz);No;IPS LCD;8.0 inches, 185.6 cm(~67.1% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Android 9.0 (Pie), Fire OS 7;Mediatek MT8168 (12 nm);Quad-core 2.0 GHz Cortex-A53;Mali-G52 MC1;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 3GB RAM;eMMC 5.1;2 MP;Yes;2 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;No;No;No;USB Type-C;Accelerometer;Alexa natural language commandsText-to-Speech English-language content reader;;Up to 12 h;White, Black, Twilight Blue, Plum;;About 100 EUR;;;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_8_(2020)-10245.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg;Amazon Fire HD 8 (2020);Released 2020, June 03;355g, 9.7mm thickness;Android 9.0, Fire OS 7;32GB/64GB storage, microSDXC;11;0.8%;227,106 hits;"8.0""";800x1280 pixels;2 GB RAM;MT8168;N/A;No;No;2020, March 13;Available. Released 2020, June 03;202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in);355 g (12.52 oz);No;IPS LCD;8.0 inches, 185.6 cm(~67.1% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Android 9.0 (Pie), Fire OS 7;Mediatek MT8168 (12 nm);Quad-core 2.0 GHz Cortex-A53;Mali-G52 MC1;microSDXC (dedicated slot);32GB 2GB RAM, 64GB 2GB RAM;eMMC 5.1;2 MP;Yes;2 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;No;No;No;USB Type-C;Accelerometer;Alexa natural language commandsText-to-Speech English-language content reader;;Up to 12 h;White, Black, Twilight Blue, Plum;KFONWI;About 80 EUR;;;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_10_(2019)-10620.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2019.jpg;Amazon Fire HD 10 (2019);Released 2019, October;504g, 9.8mm thickness;Android 9.0, Fire OS 7;32GB/64GB storage, microSDXC;11;0.6%;125,909 hits;"10.1""";1920x1200 pixels;2 GB RAM;Helio P60T;N/A;No;No;2019, September;Available. Released 2019, October;262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in);504 g (1.11 lb);No;IPS LCD;10.1 inches, 295.8 cm(~71.0% screen-to-body ratio);1920 x 1200 pixels, 16:10 ratio (~224 ppi density);Android 9.0 (Pie), Fire OS 7;Mediatek MT8183 Helio P60T (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (dedicated slot);32GB 2GB RAM, 64GB 2GB RAM;eMMC 5.1;2 MP;720p;2 MP;720p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.2, A2DP, LE;No;No;No;USB Type-C 2.0, OTG;Accelerometer;Text-to-Speech English-language content reader;Li-Ion, non-removable;;Black, Plum, Twilight Blue, White;KFMAWI;About 160 EUR;;;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_10_(2017)-8872.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg;Amazon Fire HD 10 (2017);Released 2017, October;500g, 9.8mm thickness;Customized Android 5.1, Fire 5.3;32GB/64GB storage, microSDXC;20;0.6%;452,068 hits;"10.1""";1920x1200 pixels;2 GB RAM;MT8173;N/A;No;No;2017, September. Released 2017, October;Discontinued;262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in);500 g (1.10 lb);No;IPS LCD;10.1 inches, 295.8 cm(~71.0% screen-to-body ratio);1920 x 1200 pixels, 16:10 ratio (~224 ppi density);Customized Android 5.1 (Lollipop), Fire 5.3;Mediatek MT8173;Quad-core (2x1.8 GHz Cortex-A72 & 2x1.4 GHz Cortex-A53);PowerVR G6250;microSDXC (dedicated slot);32GB 2GB RAM, 64GB 2GB RAM;;2 MP;720p;VGA;;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.1, A2DP, LE;No;No;No;microUSB 2.0;Accelerometer;Text-to-Speech English-language content reader;Li-Po 3830 mAh, non-removable (14.2 Wh);Up to 10 h;Black, Marine Blue, Punch Red;;About 170 EUR;;3830 mAh Li-Po;;;;;;;
https://www.gsmarena.com/amazon_fire_hd_8_(2017)-8806.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg;Amazon Fire HD 8 (2017);Released 2017, June;369g, 9.7mm thickness;Customized Android 5.1, Fire 5.4;16GB/32GB storage, microSDXC;20;0.6%;411,513 hits;"8.0""";800x1280 pixels;1.5 GB RAM;MT8163;N/A;No;No;2017, May. Released 2017, June;Discontinued;214 x 128 x 9.7 mm (8.43 x 5.04 x 0.38 in);369 g (13.02 oz);No;IPS LCD;8.0 inches, 185.6 cm(~67.7% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Customized Android 5.1 (Lollipop), Fire 5.4;Mediatek MT8163 (28 nm);Quad-core 1.3 GHz Cortex-A53;Mali-T730MP3;microSDXC (dedicated slot);16GB 1.5GB RAM, 32GB 1.5GB RAM;;2 MP;720p;VGA;;Wi-Fi 802.11 a/b/g/n, dual-band;4.0, A2DP, LE;No;No;No;microUSB 2.0;Accelerometer;Alexa natural language commandsText-to-Speech English-language content reader;Li-Po 3210 mAh, non-removable (11.87 Wh);Up to 12 h;Black, Canary Yellow, Marine Blue, Punch Red;;About 110 EUR;;3210 mAh Li-Po;;;;;;;
https://www.gsmarena.com/amazon_fire_7_(2017)-8805.php;https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7-2017.jpg;Amazon Fire 7 (2017);Released 2017, June;295g, 9.6mm thickness;Customized Android 5.1, Fire 5.4;8GB/16GB storage, microSDXC;9;0.6%;215,267 hits;"7.0""";600x1024 pixels;1 GB RAM;MT8127;N/A;No;No;2017, May. Released 2017, June;Discontinued;192 x 115 x 9.6 mm (7.56 x 4.53 x 0.38 in);295 g (10.41 oz);No;IPS LCD;7.0 inches, 137.9 cm(~62.5% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Customized Android 5.1 (Lollipop), Fire 5.4;Mediatek MT8127 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-450MP4;microSDXC (dedicated slot);8GB 1GB RAM, 16GB 1GB RAM;;2 MP;720p;VGA;;Wi-Fi 802.11 a/b/g/n, dual-band;4.0, A2DP, LE;No;No;No;microUSB 2.0, OTG;Accelerometer;Alexa natural language commandsText-to-Speech English-language content reader;Li-Ion 2980 mAh, non-removable;Up to 8 h;Black, Canary Yellow, Marine Blue, Punch Red;;About 70 EUR;;2980 mAh Li-Ion;;;;;;;
