Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;bodyother;displayprotection;sar-eu;build;optionalother;tbench;batlife;batstandby1;battalktime1;sar-us
https://www.gsmarena.com/archos_diamond-9593.php;https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-2019.jpg;Archos Diamond;Cancelled;166g, 8.6mm thickness;Android 9.0;128GB storage, microSDXC;24;0.2%;178,701 hits;"6.39""";1080x2340 pixels;4 GB RAM;Helio P70;3400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 20, 28;HSPA, LTE-A;2019, February;Cancelled;158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in);166 g (5.86 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);AMOLED;6.39 inches, 100.2 cm(~85.2% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density);Android 9.0 (Pie);Mediatek MT6771 Helio P70 (12nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (uses shared SIM slot);128GB 4GB RAM;eMMC 5.1;"16 MP, f/1.8, 1/2.8"", 1.12µm, PDAF5 MP, f/2.2, (depth)";Dual-LED flash, HDR, panorama;1080p@30fps;"Motorized pop-up 8 MP, f/2.0, 1/4"", 1.12µm";HDR;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, BDS;Yes;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 3400 mAh, non-removable;Dark Blue;About 300 EUR;;;;;;;;;;
https://www.gsmarena.com/archos_oxygen_68xl-9594.php;https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-68xl.jpg;Archos Oxygen 68XL;Released 2019, May;214g, 9mm thickness;Android 9.0;32GB storage, microSDXC;4;0.1%;115,625 hits;"6.85""";640x1352 pixels;3 GB RAM;Helio P22;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20;HSPA, LTE-A;2019, February;Available. Released 2019, May;173.5 x 81.6 x 9 mm (6.83 x 3.21 x 0.35 in);214 g (7.55 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.85 inches, 117.1 cm(~82.7% screen-to-body ratio);640 x 1352 pixels, 19:9 ratio (~218 ppi density);Android 9.0 (Pie);Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.1;8 MP, AF0.3 MP;LED flash;1080p@30fps;5 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, BDS;No;No;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 5000 mAh, non-removable;Dark Blue;About 150 EUR;;;;;;;;;;
https://www.gsmarena.com/archos_oxygen_63-9595.php;https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-63.jpg;Archos Oxygen 63;Released 2019, May;162g, 9.3mm thickness;Android 9.0;64GB storage, microSD;3;N/A;69,084 hits;"6.26""";720x1520 pixels;4 GB RAM;Unisoc SC9863;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20;HSPA, LTE;2019, February;Available. Released 2019, May;159.2 x 75.8 x 9.3 mm (6.27 x 2.98 x 0.37 in);162 g (5.71 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.26 inches, 97.8 cm(~81.1% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~269 ppi density);Android 9.0 (Pie);Unisoc SC9863 (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSD;64GB 4GB RAM;;8 MP, AF0.3 MP;LED flash;1080p@30fps;5 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, BDS;No;No;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3000 mAh, removable;Dark Blue;About 130 EUR;;;;;;;;;;
https://www.gsmarena.com/archos_oxygen_57-9596.php;https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-57.jpg;Archos Oxygen 57;Released 2019, May;150g, 9.3mm thickness;Android 9.0;32GB storage, microSD;0;N/A;56,304 hits;"5.71""";720x1520 pixels;3 GB RAM;Unisoc SC9863;2800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20;HSPA, LTE;2019, February;Available. Released 2019, May;147.8 x 70.7 x 9.3 mm (5.82 x 2.78 x 0.37 in);150 g (5.29 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.71 inches, 81.4 cm(~77.9% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~295 ppi density);Android 9.0 (Pie);Unisoc SC9863 (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSD;32GB 3GB RAM;;8 MP, AF0.3 MP;LED flash;1080p@30fps;5 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, BDS;No;No;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 2800 mAh, removable;Dark Violet;About 100 EUR;;;;;;;;;;
https://www.gsmarena.com/archos_saphir_50x-9151.php;https://fdn2.gsmarena.com/vv/bigpic/archos-saphir-50x.jpg;Archos Saphir 50X;Released 2018, April;210g, 13mm thickness;Android 7.0;16GB storage, microSDXC;5;N/A;92,048 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6737VWT;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 20;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2018, April;Available. Released 2018, April;146.6 x 76 x 13 mm (5.77 x 2.99 x 0.51 in);210 g (7.41 oz);Dual SIM (Nano-SIM, dual stand-by);S-IPS LCD;5.0 inches, 68.9 cm(~61.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 7.0 (Nougat);Mediatek MT6737VWT;Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSDXC;16GB 2GB RAM;eMMC 5.0;8 MP, AF;LED flash;1080p@30fps;2 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity, compass;Li-Ion 4000 mAh, non-removable;Black;About 150 EUR;IP68 dust/water resistant (up to 1m for 30 min);Corning Gorilla Glass 4;0.55 W/kg (head)     0.80 W/kg (body);;;;;;;
https://www.gsmarena.com/archos_diamond_omega-8903.php;https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-omega.jpg;Archos Diamond Omega;Released 2017, November;170g, 8.5mm thickness;Android 7.1, nubia UI 5;128GB storage, no card slot;55;N/A;299,718 hits;"5.73""";1080x2040 pixels;8 GB RAM;Snapdragon 835;3100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps;2017, October. Released 2017, November;Discontinued;147.5 x 72.7 x 8.5 mm (5.81 x 2.86 x 0.33 in);170 g (6.00 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.73 inches, 87.6 cm(~81.7% screen-to-body ratio);1080 x 2040 pixels, 17:9 ratio (~403 ppi density);Android 7.1 (Nougat), nubia UI 5;Qualcomm MSM8998 Snapdragon 835 (10 nm);Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo);Adreno 540;No;128GB 8GB RAM;;"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF23 MP, f/2.0, PDAF, 2x lossless zoom";Dual-LED dual-tone flash, HDR, panorama;4K@30fps, 1080p@30fps;5 MP, f/2.25 MP;;1080p@30fps;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;4.1, A2DP, LE;GPS, GLONASS, BDS;Yes;No;USB Type-C, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3100 mAh, non-removable;Dark Blue;About 300 EUR;;Corning Gorilla Glass (unspecified version);;Glass front (Gorilla Glass), glass back, aluminum frame;32-bit/384kHz audio;GeekBench: 6689 (v4.4)GFXBench: 23fps (ES 3.1 onscreen);;;;
https://www.gsmarena.com/archos_diamond_alpha_+-8836.php;https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha-plus.jpg;Archos Diamond Alpha +;Released 2017, October;155g, 7.5mm thickness;Android 6.0;128GB storage, microSDXC;11;N/A;89,673 hits;"5.2""";1080x1920 pixels;6 GB RAM;Snapdragon 653;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;LTE (unspecified);HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2017, August. Released 2017, October;Discontinued;146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in);155 g (5.47 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~70.1% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~424 ppi density);Android 6.0 (Marshmallow);Qualcomm MSM8976 Pro Snapdragon 653 (28 nm);Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53);Adreno 510;microSDXC (uses shared SIM slot);128GB 6GB RAM;eMMC 5.1;"13 MP, 1/2.9"", 1.25µm, AF13 MP B/W";LED flash, HDR, panorama;4K@30fps, 1080p@30fps;"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm";;4K@30fps, 1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;No;USB Type-C, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3000 mAh, non-removable;Black, Gold;About 400 EUR;;Corning Gorilla Glass (unspecified version);;;;;;;;
https://www.gsmarena.com/archos_diamond_tab-8837.php;https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-tab-.jpg;Archos Diamond Tab;Released 2017, October;510g, 8mm thickness;Android 7.0;64GB storage, microSDXC;4;N/A;66,810 hits;"10.1""";1600x2560 pixels;4 GB RAM;Rockchip RK3399;6600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;LTE (unspecified);HSPA, LTE;2017, August. Released 2017, October;Discontinued;255 x 163 x 8 mm (10.04 x 6.42 x 0.31 in);510 g (1.12 lb);Micro-SIM;IPS LCD;10.1 inches, 295.8 cm(~71.2% screen-to-body ratio);1600 x 2560 pixels, 16:10 ratio (~299 ppi density);Android 7.0 (Nougat);Rockchip RK3399;Dual-core Cortex-A72 & quad-core Cortex-A53;Mali-T860MP4;microSDXC (dedicated slot);64GB 4GB RAM;;13 MP, AF;LED flash;1080p@30fps;5 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, EDR;GPS;No;No;microUSB 2.0;Accelerometer;Li-Po 6600 mAh, non-removable;Black;About 300 EUR;;;;;;;;;;
https://www.gsmarena.com/archos_diamond_alpha-8737.php;https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha.jpg;Archos Diamond Alpha;Released 2017, July;155g, 7.5mm thickness;Android 6.0;64GB storage, microSDXC;10;N/A;101,345 hits;"5.2""";1080x1920 pixels;4 GB RAM;Snapdragon 652;2950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2017, June. Released 2017, July;Discontinued;146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in);155 g (5.47 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~70.1% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~424 ppi density);Android 6.0 (Marshmallow);Qualcomm MSM8976 Snapdragon 652 (28 nm);Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53);Adreno 510;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;"13 MP, 1/2.9"", 1.25µm, AF13 MP B/W";LED flash, HDR, panorama;4K@30fps, 1080p@30fps;"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm";;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;No;USB Type-C, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 2950 mAh, non-removable;Black;About 350 EUR;;;1.02 W/kg (head)     0.76 W/kg (body);;;;;Up to 320 h (3G);Up to 11 h (3G);
https://www.gsmarena.com/archos_sense_55s-8739.php;https://fdn2.gsmarena.com/vv/bigpic/archos-sense-55s.jpg;Archos Sense 55s;Released 2017, July;130g, 8mm thickness;Android 7.0;16GB storage, microSDXC;7;N/A;93,399 hits;"5.2""";1080x1920 pixels;2 GB RAM;;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2017, June. Released 2017, July;Discontinued;142.5 x 74.2 x 8 mm (5.61 x 2.92 x 0.31 in);130 g (4.59 oz);Dual SIM;IPS LCD;5.2 inches, 74.5 cm(~70.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~424 ppi density);Android 7.0 (Nougat);;;;microSDXC;16GB 2GB RAM;;8 MP, AF;Dual-LED dual-tone flash;1080p@30fps;Yes;;;Wi-Fi 802.11 b/g/n;4.0, A2DP, LE;GPS;No;No;microUSB 2.0;Fingerprint (front-mounted), accelerometer, proximity;Li-Ion 3000 mAh, non-removable;Black;About 250 EUR;;;;;;;;;;
