Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;price;displayother;featuresother;gprstext;edge;optionalother
https://www.gsmarena.com/benq_f52-7043.php;https://fdn2.gsmarena.com/vv/bigpic/benq-f52.jpg;BenQ F52;Released 2015, May;142g, 9.3mm thickness;Android 5.0;16GB storage, microSDXC;12;0.1%;238,737 hits;"5.2""";1080x1920 pixels;2 GB RAM;Snapdragon 615;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE 700 / 900 / 1800;HSPA, LTE Cat4 150/50 Mbps;2015, May. Released 2015, May;Discontinued;147 x 74.5 x 9.3 mm (5.79 x 2.93 x 0.37 in);142 g (5.01 oz);Micro-SIM;IPS LCD;5.2 inches, 74.5 cm(~68.1% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~424 ppi density);Android 5.0 (Lollipop);Qualcomm MSM8939 Snapdragon 615 (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Adreno 405;microSDXC (dedicated slot);16GB 2GB RAM;eMMC 4.5;13 MP, AF;LED flash, HDR, panorama;Yes;8 MP;LED flash;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;Yes;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2500 mAh, removable;Up to 580 h (3G);Up to 24 h (3G);Glam Pink, Chic Gray;;;;;;
https://www.gsmarena.com/benq_b502-7048.php;https://fdn2.gsmarena.com/vv/bigpic/benq-b502.jpg;BenQ B502;Released 2014, October;125g, 7mm thickness;Android 4.4.2;16GB storage, microSDHC;7;N/A;301,814 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6582;1800 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2014, October. Released 2014, October;Discontinued;144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in);125 g (4.41 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~68.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;16GB 2GB RAM;;13 MP, AF;LED flash;Yes;5 MP;;;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1800 mAh, non-removable;Up to 430 h (3G);Up to 11 h (3G);Black, White;;;;;;
https://www.gsmarena.com/benq_t3-6694.php;https://fdn2.gsmarena.com/vv/bigpic/benq-t3.jpg;BenQ T3;Released 2014, September;128g, 8.5mm thickness;Android 4.4.2;4GB 1GB RAM storage, microSDXC slot;8;N/A;162,488 hits;"4.5""";540x960 pixels;1 GB RAM;Snapdragon 400;1840 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;3, 7;HSPA, LTE Cat4 150/50 Mbps;2014, September. Released 2014, September;Discontinued;131.9 x 66.7 x 8.5 mm (5.19 x 2.63 x 0.33 in);128 g (4.52 oz);Micro-SIM;IPS LCD;4.5 inches, 55.8 cm(~63.5% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~245 ppi density);Android 4.4.2 (KitKat);Qualcomm MSM8926 Snapdragon 400 (28 nm);Quad-core 1.2 GHz Cortex-A7;Adreno 305;microSDXC (dedicated slot);4GB 1GB RAM;eMMC 4.5;8 MP, AF;LED flash, HDR, panorama;Yes;VGA;;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 1840 mAh, non-removable;Up to 450 h (3G);Up to 15 h (3G);Black, White, Green;About 80 EUR;;;;;
https://www.gsmarena.com/benq_f5-6693.php;https://fdn2.gsmarena.com/vv/bigpic/benq-f5.jpg;BenQ F5;Released 2014, September;135g, 8.5mm thickness;Android 4.4.2;16GB storage, microSDXC;10;N/A;207,637 hits;"5.0""";720x1280 pixels;2 GB RAM;Snapdragon 400;2520 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;3, 7;HSPA, LTE Cat4 150/50 Mbps;2014, September. Released 2014, September;Discontinued;143 x 72.8 x 8.5 mm (5.63 x 2.87 x 0.33 in);135 g (4.76 oz);Micro-SIM;IPS LCD;5.0 inches, 68.9 cm(~66.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);Qualcomm MSM8926 Snapdragon 400 (28 nm);Quad-core 1.2 GHz Cortex-A7;Adreno 305;microSDXC (dedicated slot);16GB 2GB RAM;eMMC 4.5;13 MP, AF;LED flash, HDR, panorama;Yes;2 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP;GPS;Yes;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2520 mAh, non-removable;Up to 550 h (3G);Up to 24 h (3G);Black, White;About 100 EUR;;;;;
https://www.gsmarena.com/benq_f3-5878.php;https://fdn2.gsmarena.com/vv/bigpic/benq-f3.jpg;BenQ F3;Released 2013, November;119g, 8.9mm thickness;Android 4.2.2;4GB 1GB RAM storage, microSDHC slot;6;N/A;136,973 hits;"4.5""";540x960 pixels;1 GB RAM;MT6589;2100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;HSPA 42.2/11.5 Mbps;2013, November. Released 2013, November;Discontinued;131.6 x 66.9 x 8.9 mm (5.18 x 2.63 x 0.35 in);119 g (4.20 oz);Micro-SIM;IPS LCD;4.5 inches, 55.8 cm(~63.4% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~245 ppi density);Android 4.2.2 (Jelly Bean);Mediatek MT6589 (28 nm);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;microSDHC (dedicated slot);4GB 1GB RAM;;13 MP, AF;LED flash, HDR, panorama;Yes;2 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;Yes;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2100 mAh, removable;;;White, Red;About 200 EUR;;;;;
https://www.gsmarena.com/benq_a3-5847.php;https://fdn2.gsmarena.com/vv/bigpic/benq-a3.jpg;BenQ A3;Released 2013, November;135g, 10mm thickness;Android 4.1.2;4GB 1GB RAM storage, microSDHC slot;6;N/A;123,804 hits;"4.5""";540x960 pixels;1 GB RAM;Snapdragon S4 Play;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;HSPA 7.2/5.76 Mbps;2013, November. Released 2013, November;Discontinued;133.9 x 66 x 10 mm (5.27 x 2.60 x 0.39 in);135 g (4.76 oz);Mini-SIM;IPS LCD;4.5 inches, 55.8 cm(~63.2% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~245 ppi density);Android 4.1.2 (Jelly Bean);Qualcomm MSM8225Q Snapdragon S4 Play;Quad-core 1.2 GHz Cortex-A5;Adreno 203;microSDHC (dedicated slot);4GB 1GB RAM;;8 MP, AF;LED flash;Yes;2 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;Yes;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2000 mAh, removable;;;Black, White;About 150 EUR;;;;;
https://www.gsmarena.com/benq_e55-2464.php;https://fdn2.gsmarena.com/vv/bigpic/benq-e55.jpg;BenQ E55;Released 2008, July;95g, 19mm thickness;Feature phone;45MB storage, microSD slot;7;N/A;158,646 hits;"2.0""";176x220 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2008, July. Released 2008, July;Discontinued;94 x 48 x 19 mm (3.70 x 1.89 x 0.75 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~27.9% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;;;;microSD (dedicated slot);45MB;;2 MP;;Yes;VGA videocall camera;;;No;1.2, A2DP;No;;No;1.2;;Removable Li-Ion 900 mAh battery;Up to 180 h;Up to 2 h 40 min;Red, Brown;;WallpapersSecond external 1-inch 65K CSTN display, 96 x 64 pixels;MP3/MP4 playerOrganizerVoice memo;;;
https://www.gsmarena.com/benq_c36-2361.php;https://fdn2.gsmarena.com/vv/bigpic/benq-c36.jpg;BenQ C36;Released 2008;78g, 14.2mm thickness;Feature phone;microSD slot;7;N/A;154,950 hits;"2.0""";176x220 pixels; ;;640 mAh Li-Ion;GSM 900 / 1800;;;;2008, April. Released 2008;Discontinued;108 x 47.2 x 14.2 mm (4.25 x 1.86 x 0.56 in);78 g (2.75 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~24.7% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;;;;microSD (dedicated slot);;;1.3 MP;;Yes;No;;;No;No;No;;"FM radio; scheduled recording";1.1;;Removable Li-Ion 640 mAh battery;Up to 180 h;Up to 2 h 40 min;Lustrous Blue;;;Dual loud speakersMP3 playerVoice memoHealth managementE-book readerWebcamChatPhoto editor;Class 12;No;Dedicated music keys
https://www.gsmarena.com/benq_e53-2362.php;https://fdn2.gsmarena.com/vv/bigpic/benq-e53.jpg;BenQ E53;Released 2008;90g, 17mm thickness;Feature phone;45MB storage, microSD slot;11;N/A;163,558 hits;"2.0""";176x220 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2008, March. Released 2008;Discontinued;93 x 47 x 17 mm (3.66 x 1.85 x 0.67 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~28.8% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;;;;microSD (dedicated slot);45MB;;1.3 MP;;Yes;Yes;;;No;2.0;No;;No;1.2;;Removable Li-Ion 900 mAh battery;;;Black;;WallpapersSecond external 1-inch OLED display;MP3/MP4 playerVoice memoPhoto editor;;;
https://www.gsmarena.com/benq_t60-2333.php;https://fdn2.gsmarena.com/vv/bigpic/benq-t60.jpg;BenQ T60;Released 2008;80g, 8.9mm thickness;Feature phone;24MB storage, microSD slot;9;N/A;190,847 hits;"2.2""";240x320 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;;;;2008, March. Released 2008;Discontinued;109 x 46 x 8.9 mm (4.29 x 1.81 x 0.35 in);80 g (2.82 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 15.0 cm(~29.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;;;microSD (dedicated slot);24MB;;3.15 MP;;Yes;No;;;No;1.1, A2DP;No;;"FM radio; scheduled recording";1.2;;Removable Li-Ion 750 mAh battery;Up to 180 h;Up to 2 h 30 min;Sleek black;;;MP3/MP4/3GP playerCaller BlacklistPhoto ArtistVoice memo;Class 12;No;
https://www.gsmarena.com/benq_m7-2160.php;https://fdn2.gsmarena.com/vv/bigpic/benq-m7.gif;BenQ M7;Cancelled;93g, 16.8mm thickness;Feature phone;50MB storage, microSD slot;9;N/A;131,056 hits;"2.0""";240x320 pixels; ;6250A;920 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2007, Q4;Cancelled;105 x 47.5 x 16.8 mm (4.13 x 1.87 x 0.66 in);93 g (3.28 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~24.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;Qualcomm 6250A;;;microSD;50MB;;2 MP;;480p;VGA videocall camera;;;No;1.1;GPS, A-GPS;;No;1.1;;Removable Li-Ion 920 mAh battery;Up to 400 h;Up to 5 h;Charcoal with crimson trim;;;MP3/AAC/AAC/eAAC+/XMF playerMP4/3GP playerVoice memo;;;
https://www.gsmarena.com/benq_e72-2117.php;https://fdn2.gsmarena.com/vv/bigpic/benq-e72.gif;BenQ E72;Released 2007, August;90g, 13mm thickness;Microsoft Windows Mobile 6.0;128MB 64MB RAM storage, microSD slot;12;N/A;207,226 hits;"2.0""";240x320 pixels;64 MB RAM;TI OMAP V1030;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2007, August;Discontinued;108 x 46 x 13 mm (4.25 x 1.81 x 0.51 in);90 g (3.17 oz);Mini-SIM;TFT, 65K colors;2.0 inches, 12.4 cm(~24.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Microsoft Windows Mobile 6.0;TI OMAP V1030;260 MHz;;microSD (dedicated slot);128MB 64MB RAM;;2 MP;;Yes;No;;;Wi-Fi 802.11 b/g;2.0, A2DP;No;;No;2.0;;Removable Li-Ion 900 mAh battery;Up to 180 h;Up to 4 h;Bright red;About 120 EUR;Wallpapers;MP3/AAC/AAC+/WAV/WMA playerMP4/WMV/3GP playerVoice memo;Class 10;Yes;
https://www.gsmarena.com/benq_c30-2113.php;https://fdn2.gsmarena.com/vv/bigpic/benq-c30.gif;BenQ C30;Cancelled;77g, 14.4mm thickness;Feature phone;microSD slot;8;N/A;141,050 hits;"1.8""";128x160 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;;;;2007, September;Cancelled;108 x 47.3 x 14.4 mm (4.25 x 1.86 x 0.57 in);77 g (2.72 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~20.0% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;microSD;;;VGA;;Yes;No;;;No;No;No;;FM radio;1.1;;Removable Li-Ion 650 mAh battery;Up to 250 h;Up to 4 h;Vibrant grey;;Wallpapers;E-book readerHealth managementMP3, AAC, WAV playerVoice memo;Class 12;No;
https://www.gsmarena.com/benq_t51-2112.php;https://fdn2.gsmarena.com/vv/bigpic/benq-t51.gif;BenQ T51;Cancelled;85.5g, 20.8mm thickness;Feature phone;23MB storage, microSD slot;8;N/A;117,309 hits;"1.8""";176x220 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2007, August;Cancelled;86.4 x 45.3 x 20.8 mm (3.40 x 1.78 x 0.82 in);85.5 g (3.00 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~26.1% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;;;;microSD;23MB;;2 MP;;Yes;No;;;No;1.2;No;;FM radio;1.1;;Removable Li-Ion 750 mAh battery;Up to 150 h;Up to 3 h 30 min;Burnished graphite, Peach essence;;Second external mono OLED display 128 x 32 pixels, 1 inchWallpapers;Webcam funcitonPredictive text inputStopwatchOrganizer;Class 10;No;
https://www.gsmarena.com/benq_t33-2114.php;https://fdn2.gsmarena.com/vv/bigpic/benq-t33.gif;BenQ T33;Cancelled;85g, 19mm thickness;Feature phone;23MB storage, microSD slot;9;N/A;110,315 hits;"1.8""";176x220 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2007, August;Cancelled;92 x 48 x 19 mm (3.62 x 1.89 x 0.75 in);85 g (3.00 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~23.1% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;;;;microSD;23MB;;2 MP;;Yes;No;;;No;1.2, A2DP;No;;FM radio;1.1;;Removable Li-Ion 750 mAh battery;Up to 150 h;Up to 3 h 30 min;Black Rock;;Wallpapers;MP3 playerWebcam functionPredictive text inputStopwatchOrganizer;Class 10;No;
https://www.gsmarena.com/benq_el71-2116.php;https://fdn2.gsmarena.com/vv/bigpic/benq-el71.gif;BenQ EL71;Released 2006, February;94g, 16.5mm thickness;Feature phone;16MB storage, microSD slot;7;N/A;123,428 hits;"2.0""";240x320 pixels; ;;570 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2006, February;Discontinued;90 x 46.3 x 16.5 mm (3.54 x 1.82 x 0.65 in);94 g (3.32 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 30 x 40 mm, 12.4 cm(~29.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;;microSD (dedicated slot);16MB;;1.3 MP;LED flash;Yes;No;;;No;1.2, A2DP;No;;No;2.0;;Removable Li-Ion 570 mAh battery;Up to 280 h;Up to 4 h;Vibrant grey;;Wallpapers;MP3/AAC/WAV playerPredictive text inputStopwatchOrganizerVoice memo;Class 10;Class 10;
https://www.gsmarena.com/benq_m580-1426.php;https://fdn2.gsmarena.com/vv/bigpic/benq-m580.gif;BenQ M580;Released 2006, Q1;95g, 22mm thickness;Feature phone;2MB storage, no card slot;5;N/A;162,721 hits;"1.8""";128x160 pixels; ;;870 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2006, Q1;Discontinued;88 x 44 x 22 mm (3.46 x 1.73 x 0.87 in);95 g (3.35 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 29 x 35 mm, 10.2 cm(~26.3% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;No;2MB;;VGA;;No;No;;;No;1.2;No;;No;No;;Removable Li-Ion 870 mAh battery;Up to 155 h;Up to 5 h 30 min;Mercury Silver, Ebony Black, Pearl White;;Second external mono OLED display 96 x 32 pixelsWallpapers;Predictive text inputStopwatchOrganizer;Class 10;No;
https://www.gsmarena.com/benq_u700-1002.php;https://fdn2.gsmarena.com/vv/bigpic/bqu700.gif;BenQ U700;Cancelled;135g, 27mm thickness;Feature phone;miniSD slot;7;N/A;365,032 hits;;176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2005, Q1;Cancelled;97 x 46 x 27 mm (3.82 x 1.81 x 1.06 in);135 g (4.76 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;;;;;miniSD;;;1.3 MP;LED flash;Yes;No;;;No;No;No;;No;Proprietary;;Removable Li-Ion 1000 mAh battery;Up to 200 h;Up to 4 h;;;WallpapersDownloadable pictures;MP3/MP4 playeriTapPhoto editorOrganizer;Class 10;No;
https://www.gsmarena.com/benq_z2-1001.php;https://fdn2.gsmarena.com/vv/bigpic/bqz2.gif;BenQ Z2;Released 2005, Q1;106g, 20mm thickness;Feature phone;60MB storage, miniSD slot;13;N/A;482,229 hits;"1.5""";128x128 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2005, Q1;Discontinued;66 x 66 x 20 mm (2.60 x 2.60 x 0.79 in);106 g (3.74 oz);Mini-SIM;TFT, 256K colors;1.5 inches, 27 x 27 mm, 7.3 cm(~16.7% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;;;;miniSD;60MB;;1.3 MP;LED flash;No;No;;;No;No;No;;FM radio;Proprietary;;Removable Li-Ion 1000 mAh battery;Up to 150 h;Up to 5 h;Vanilla White, Berry Blue, Wasabi Green, Bubblegum Pink;;WallpapersDownloadable pictures;MP3 playerChangeable front and back coversiTapVoice memoOrganizer;Class 10;No;3D surround sound
