Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;gprstext;edge;optionalother;bodyother;os;cpu
https://www.gsmarena.com/benq_siemens_sf71-2075.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sf71.gif;BenQ-Siemens SF71;Released 2007, March;118g, 23mm thickness;Feature phone;45MB storage, microSD slot;9;N/A;213,967 hits;"2.0""";240x320 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2007, March;Discontinued;96 x 48 x 23 mm (3.78 x 1.89 x 0.91 in);118 g (4.16 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~26.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Second external 65K colors display, OLED (96 x 64 pixels);microSD (dedicated slot);45MB;2 MP;LED flash;Yes;VGA videocall camera;;No;1.1, A2DP;No;No;1.1;;Video telephonyMP3/AAC/AAC+/eAAC+ playerPhoto editorPredictive text inputVoice dialStopwatchOrganizer;Removable Li-Ion 920 mAh battery;Up to 160 h;Up to 4 h 30 min;Black;;;;;;
https://www.gsmarena.com/benq_siemens_e52-2000.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e52.gif;BenQ-Siemens E52;Cancelled;122g, 14.9mm thickness;Feature phone;20MB storage, microSD slot;8;N/A;196,971 hits;"1.8""";176x220 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, June;Cancelled;102 x 45 x 14.9 mm (4.02 x 1.77 x 0.59 in);122 g (4.30 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~22.2% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;microSD;20MB;1.3 MP;;Yes;No;;No;1.2;No;FM radio;1.1;;AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer;Removable Li-Ion 920 mAh battery;Up to 245 h;Up to 4 h 10 min;TransSilver;Class 10;No;;;;
https://www.gsmarena.com/benq_siemens_c32-2110.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c32.gif;BenQ-Siemens C32;Cancelled;82g, 16.6mm thickness;Feature phone;microSD slot;9;N/A;117,632 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2007, July;Cancelled;101.6 x 47.3 x 16.6 mm (4.0 x 1.86 x 0.65 in);82 g (2.89 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.2% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD;;2 MP;;Yes;No;;No;1.2, A2DP;No;No;1.1;;AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer;Removable Li-Ion 720 mAh battery;Up to 250 h;Up to 4 h;Liquid aura;Class 12;No;;;;
https://www.gsmarena.com/benq_siemens_c31-2001.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c31.gif;BenQ-Siemens C31;Cancelled;86g, 16.7mm thickness;Feature phone;20MB storage, microSD slot;8;N/A;125,678 hits;"1.8""";176x220 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, June;Cancelled;99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in);86 g (3.03 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~21.9% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;microSD;20MB;1.3 MP;;Yes;No;;No;No;No;FM radio;1.1;;AAC/MP3 playerPredictive text inputVoice memoStopwatchOrganizer;Removable Li-Ion 920 mAh battery;Up to 170 h;Up to 3 h 30 min;SilverShine, GraphiteGloss;Class 10;No;;;;
https://www.gsmarena.com/benq_siemens_sl80-1668.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl80.gif;BenQ-Siemens SL80;Cancelled;99g, 23mm thickness;Feature phone;52MB storage, no card slot;8;N/A;237,531 hits;"1.8""";132x176 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, August;Cancelled;92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in);99 g (3.49 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.0 cm(~22.7% screen-to-body ratio);132 x 176 pixels, 4:3 ratio (~122 ppi density);;No;52MB;1.3 MP;LED flash;Yes;No;;No;1.2;No;No;Proprietary;;MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memo;Removable Li-Ion 750 mAh battery;Up to 300 h;Up to 5 h;Mauve Sensation;Class 10;Class 10;;;;
https://www.gsmarena.com/benq_siemens_al26-1666.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-al26.gif;BenQ-Siemens AL26;Cancelled;80g, 19.2mm thickness;Feature phone;1.5MB storage, no card slot;7;N/A;198,912 hits;;130x130 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, August;Cancelled;86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;;130 x 130 pixels, 1:1 ratio;Special Hello Kitty wallpapers and ringtones4-way navigation key;No;1.5MB;No;;;;;No;No;No;No;Proprietary;;CalculatorCurrency converterBirthday reminder;Removable Li-Ion 600 mAh battery;Up to 220 h;Up to 5 h;Pink;Class 8;No;;;;
https://www.gsmarena.com/benq_siemens_a53-2511.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg;BenQ-Siemens A53;Released 2007, April;68g, 14.8mm thickness;Feature phone;microSD slot;6;N/A;98,102 hits;;176x220 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, April;Discontinued;80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in);68 g (2.40 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;Second external 65K colors CSTN display, 120 x 160 pixels;microSD (dedicated slot);;1.3 MP;;Yes;No;;No;No;No;No;1.1;;MP3 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 600 mAh battery;Up to 200 h;Up to 3 h 20 min;Black, Blue, Pink;Class 12;No;;;;
https://www.gsmarena.com/benq_siemens_sl91-1652.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl91.gif;BenQ-Siemens SL91;Released 2006, July;109g, 23mm thickness;Feature phone;64MB storage, microSD slot;8;N/A;349,453 hits;"2.0""";240x320 pixels; ;;950 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, July;Discontinued;89 x 47 x 23 mm (3.50 x 1.85 x 0.91 in);109 g (3.84 oz);Mini-SIM;TFT, 16M colors;2.0 inches, 12.4 cm(~29.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Touch-sensitive navigation keys;microSD (dedicated slot);64MB;3.15 MP, AF;;Yes;VGA videocall camera;;No;Yes;No;Stereo FM radio, RDS;2.0;;MP3/AAC/eAAC+/XMF playerPredictive text inputReminderOrganizer;Removable Li-Ion 950 mAh battery;Up to 310 h;Up to 3 h 15 min;Magic Black;;;;;;
https://www.gsmarena.com/benq_siemens_e81-1651.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e81.gif;BenQ-Siemens E81;Released 2006, July;90g, 16.7mm thickness;Feature phone;16MB storage, microSD slot;9;N/A;242,075 hits;"1.8""";176x220 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, July;Discontinued;99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~21.9% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;microSD (dedicated slot);16MB;1.3 MP;LED flash;QCIF;No;;No;Yes;No;No;2.0;;MP3/AAC/eAAC+/XMF playerPredictive text inputReminderOrganizer;Removable Li-Ion 900 mAh battery;Up to 300 h;Up to 5 h;Lucent Black;;;;;;
https://www.gsmarena.com/benq_siemens_e71-1650.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e71.gif;BenQ-Siemens E71;Released 2006, July;80g, 15mm thickness;Feature phone;16MB storage, microSD slot;11;N/A;231,402 hits;"2.1""";240x320 pixels; ;;730 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, July;Discontinued;104 x 46 x 15 mm (4.09 x 1.81 x 0.59 in);80 g (2.82 oz);Mini-SIM;TFT, 256K colors;2.1 inches, 31 x 42 mm, 13.7 cm(~28.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~190 ppi density);;microSD (dedicated slot);16MB;1.3 MP;;QCIF;No;;No;Yes;No;FM radio;2.0;;MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo;Removable Li-Ion 730 mAh battery;Up to 390 h;Up to 6 h 20 min;Dark Silver, Onyx Black;Class 10;Class 10;;;;
