Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;internalmemory;memoryother
https://www.gsmarena.com/bird_m32-1966.php;https://fdn2.gsmarena.com/vv/bigpic/bird-m32.gif;Bird M32;Cancelled;84g, 16.5mm thickness;Feature phone;microSD slot;5;N/A;191,860 hits;"1.8""";128x160 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2007;Cancelled;94 x 46 x 16.5 mm (3.70 x 1.81 x 0.65 in);84 g (2.96 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~23.6% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Second External LCD Neon Color;microSD;VGA;No;No;No;No;No;FM radio (optional);Proprietary;;MP3 player, MP4 playerAudio RecorderData/Fax ModemLanguages: Chinese, English, French, Arabic, Hindi, Spanish, PortugueseFR,HR,EFR,AMR Voice Codecs;Removable Li-Ion 600 mAh battery;Up to 150 h;Up to 3 h 20 min;Light Blue;;
https://www.gsmarena.com/bird_d636-1965.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d636.gif;Bird D636;Cancelled;98.4g, 12.2mm thickness;Feature phone;60MB storage, microSD slot;6;N/A;161,830 hits;"1.9""";176x220 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Cancelled;105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in);98.4 g (3.46 oz);Mini-SIM;TFT, 260K colors;1.9 inches, 11.4 cm(~23.7% screen-to-body ratio);176 x 220 pixels (~148 ppi density);;microSD;1.3 MP;Yes;No;No;No;No;No;Proprietary;;MP3 player, MP4 playerAudio RecorderData/Fax ModemLanguages: Chinese, English, French, Spanish, Portuguese, HindiFR,HR,EFR,AMR Voice Codecs;Removable Li-Ion 600 mAh battery;Up to 120 h;Up to 3 h 20 min;Black;60MB;
https://www.gsmarena.com/bird_d706-1964.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d706.gif;Bird D706;Cancelled;84g, 12.2mm thickness;Feature phone;60MB storage, microSD slot;7;N/A;199,598 hits;"1.9""";176x220 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Cancelled;105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in);84 g (2.96 oz);Mini-SIM;TFT, 260K colors;1.9 inches, 11.4 cm(~23.7% screen-to-body ratio);176 x 220 pixels (~148 ppi density);;microSD;1.3 MP;Yes;No;No;No;No;No;Proprietary;;MP3 player, MP4 playerAudio RecorderData/Fax ModemLanguages: Chinese, English, French, Spanish, Portuguese, HindFR,HR,EFR,AMR Voice Codecs;Removable Li-Ion 600 mAh battery;Up to 120 h;Up to 3 h 20 min;Golden Black;60MB;
https://www.gsmarena.com/bird_d615-1963.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d615.gif;Bird D615;Released 2007;82g, 12.2mm thickness;Feature phone;60MB storage, microSD slot;7;N/A;158,104 hits;"1.8""";128x160 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Discontinued;105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in);82 g (2.89 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~21.3% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;microSD (dedicated slot);1.3 MP;Yes;No;No;Yes;No;FM radio;Proprietary;;MP3 player, MP4 playerVoice memoData/Fax Modem;Removable Li-Ion 650 mAh battery;Up to 140 h;Up to 4 h;Soft-touch Grey, Shining Blue;60MB;
https://www.gsmarena.com/bird_s768-1962.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s768.gif;Bird S768;Cancelled;75g, 10mm thickness;Feature phone;microSD slot;8;N/A;115,011 hits;"1.8""";128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Cancelled;105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~21.1% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;microSD;No;;;No;No;No;FM radio;Proprietary;;MP3 playerX-Slim design;Removable Li-Ion 700 mAh battery;Up to 150 h;Up to 4 h;Pink, Blue;;
https://www.gsmarena.com/bird_s758-1961.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s758.gif;Bird S758;Cancelled;73g, 10mm thickness;Feature phone;No card slot;6;N/A;99,519 hits;"1.8""";128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Cancelled;105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in);73 g (2.57 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~21.1% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;No;No;;;No;No;No;FM radio (optional);No;;X-Slim design;Removable Li-Ion 700 mAh battery;Up to 150 h;Up to 4 h;Pink, Black;;
https://www.gsmarena.com/bird_s618-1960.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s618.gif;Bird S618;Cancelled;73g, 11mm thickness;Feature phone;No card slot;6;N/A;104,198 hits;"1.7""";128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Cancelled;103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in);73 g (2.57 oz);Mini-SIM;Monochrome graphic;1.7 inches, 9.1 cm(~19.2% screen-to-body ratio);128 x 160 pixels (~121 ppi density);;No;No;;;No;No;No;FM radio (optional);No;;FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese;Removable Li-Ion 700 mAh battery;Up to 150 h;Up to 4 h;Black;;
https://www.gsmarena.com/bird_d736-1959.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d736.gif;Bird D736;Released 2007;96g, 18.2mm thickness;Feature phone;60MB storage, microSD slot;8;N/A;95,705 hits;"1.9""";176x220 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Discontinued;95 x 47 x 18.2 mm (3.74 x 1.85 x 0.72 in);96 g (3.39 oz);Mini-SIM;TFT, 260K colors;1.9 inches, 11.4 cm(~25.4% screen-to-body ratio);176 x 220 pixels (~148 ppi density);;microSD (dedicated slot);2 MP;Yes;No;No;No;No;FM radio;Proprietary;;MP3/ MP4 playerVoice memoData/ Fax ModemFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi;Removable Li-Ion 600 mAh battery;Up to 120 h;Up to 3 h 30 min;UV Black, Soft-touch Black;60MB;
https://www.gsmarena.com/bird_d716-1955.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d716.gif;Bird D716;Released 2007;81g, 12.8mm thickness;Feature phone;60MB storage, microSD slot;8;N/A;106,126 hits;"1.9""";176x220 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Discontinued;105.8 x 46 x 12.8 mm (4.17 x 1.81 x 0.50 in);81 g (2.86 oz);Mini-SIM;TFT, 260K colors;1.9 inches, 11.4 cm(~23.3% screen-to-body ratio);176 x 220 pixels (~148 ppi density);;microSD (dedicated slot);2 MP, AF;Yes;No;No;No;No;No;Proprietary;;MP3/ MP4 playerAudio RecorderData/ Fax ModemFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi;Removable Li-Ion 600 mAh battery;Up to 120 h;Up to 3.30 h;Mirror  Silver;60MB;
https://www.gsmarena.com/bird_d720-1952.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d720.gif;Bird D720;Released 2007;93g, 15.9mm thickness;Feature phone;60MB storage, miniSD slot;5;N/A;104,083 hits;"1.9""";176x220 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2007;Discontinued;100 x 46 x 15.9 mm (3.94 x 1.81 x 0.63 in);93 g (3.28 oz);Mini-SIM;TFT, 260K colors;1.9 inches, 11.4 cm(~24.7% screen-to-body ratio);176 x 220 pixels (~148 ppi density);;miniSD;2 MP;Yes;No;No;No;No;FM radio;Proprietary;;MP3/ MP4 playerVoice memoData/ Fax ModemFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi;Removable Li-Ion 700 mAh battery;Up to 120 h;Up to 4 h;Silver, Green, Blue;60MB;
