Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;displayprotection;build;net5g;gprstext;edge;tbench;batlife;cam2features
https://www.gsmarena.com/blackview_oscal_s80-12115.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-s80.jpg;Blackview Oscal S80;Released 2023, February 13;460g, 18.9mm thickness;Android 12, Doke-OS 3.0;128GB storage, microSDXC;10;0.8%;21,922 hits;"6.58""";1080x2408 pixels;6 GB RAM;Helio G85;13000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2023, January 03;Available. Released 2023, February 13;174 x 81.4 x 18.9 mm (6.85 x 3.20 x 0.74 in);460 g (1.01 lb);Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810H compliant;IPS LCD;6.58 inches, 104.3 cm(~73.6% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Android 12, Doke-OS 3.0;Mediatek MT6769 Helio G85 (12nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (uses shared SIM slot);128GB 6GB RAM;eMMC 5.1;"12 MP, f/2.0, (wide), 1/2.55"", PDAF8 MP, 117˚ (ultrawide)2 MP, (depth)";LED flash, HDR, panorama;1440p@30fps, 1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 13000 mAh, non-removable;Navy Green, Mecha Orange, Conquest Black;About 170 EUR;;;;;;;;
https://www.gsmarena.com/blackview_bv9200-12055.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-bv-9200.jpg;Blackview BV9200;Released 2023, January 09;310g, 13.6mm thickness;Android 12, Doke-OS 3.1;256GB storage, microSDXC;13;0.6%;32,270 hits;"6.6""";1080x2408 pixels;8 GB RAM;Helio G96;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE;2022, December 28;Available. Released 2023, January 09;174.5 x 81.8 x 13.6 mm (6.87 x 3.22 x 0.54 in);310 g (10.93 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;IPS LCD, 120Hz;6.6 inches, 104.9 cm(~73.5% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~400 ppi density);Android 12, Doke-OS 3.1;Mediatek Helio G96 (12 nm);Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G52 MC2;microSDXC (dedicated slot);256GB 8GB RAM;UFS 2.1;"50 MP, (wide), 1/2.76"", 0.64µm, PDAF8 MP, 120˚, (ultrawide)0.3 MP, (depth)";LED flash, HDR, panorama;1440p@30fps, 1080p@30fps;"16 MP, (wide), 1/3"", 1.0µm";1080p;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Po 5000 mAh, non-removable;Black, Orange, Green;About 200 EUR;Corning Gorilla Glass 5;;;;;;;
https://www.gsmarena.com/blackview_bv5200_pro-12056.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-bv5200-pro.jpg;Blackview BV5200 Pro;Released 2022, December 05;268g, 13.7mm thickness;Android 12, Doke-OS 3.0;64GB storage, microSDXC;2;0.3%;11,701 hits;"6.1""";720x1560 pixels;4 GB RAM;Helio G35;5180 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2022, December 05;Available. Released 2022, December 05;161.6 x 77.9 x 13.7 mm (6.36 x 3.07 x 0.54 in);268 g (9.45 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810H compliant;IPS LCD;6.1 inches, 91.3 cm(~72.6% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);Android 12, Doke-OS 3.0;Mediatek MT6765 Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;;"13 MP, (wide), 1/3.06"", PDAFSecondary unspecified camera";LED flash, HDR, panorama;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C, OTG;Unspecified;Li-Ion 5180 mAh, non-removable;Black, Orange, Green;About 100 EUR;;;;;;;;
https://www.gsmarena.com/blackview_oscal_pad_10-12057.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-10.jpg;Blackview Oscal Pad 10;Released Exp. release 2023, January 09;536g, 8.9mm thickness;Android 12, Doke-OS 3.0;128GB storage, microSDXC;3;0.2%;6,892 hits;"10.1""";1200x1920 pixels;8 GB RAM;Unisoc T606;6580 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 19, 20, 28, 40;HSPA, LTE;2022, December 29;Available. Released Exp. release 2023, January 09;241.3 x 160 x 8.9 mm (9.50 x 6.30 x 0.35 in);536 g (1.18 lb);Hybrid Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;10.1 inches, 295.8 cm(~76.6% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);Android 12, Doke-OS 3.0;Unisoc T606 (12 nm);Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Mali-G57 MP1;microSDXC (uses shared SIM slot);128GB 8GB RAM;;13 MP;LED flash;1080p@30fps;"8 MP, 1/4"", 1.12µm";Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C, OTG;Unspecified;Li-Ion 6580 mAh, non-removable;Mint Green, Moonlight Silver, Diamond Grey;About 130 EUR;;;;;;;;
https://www.gsmarena.com/blackview_a85-12000.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-a85.jpg;Blackview A85;Released 2022, November 25;193g, 8.7mm thickness;Android 12, Doke OS 3.0;128GB storage, microSDXC;13;0.3%;30,394 hits;"6.5""";720x1612 pixels;8 GB RAM;Unisoc T606;4480 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2022, November 22;Available. Released 2022, November 25;164.3 x 76.1 x 8.7 mm (6.47 x 3.00 x 0.34 in);193 g (6.81 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 90Hz;6.5 inches, 101.5 cm(~81.2% screen-to-body ratio);720 x 1612 pixels, 20:9 ratio (~272 ppi density);Android 12, Doke OS 3.0;Unisoc T606 (12 nm);Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Mali-G57 MP1;microSDXC (dedicated slot);128GB 8GB RAM;UFS 2.1;"50 MP, (wide), 1/2.76"", 0.64µm, PDAF8 MP, 120˚ (ultrawide)";Dual-LED dual-tone flash, HDR, panorama;1080p@30fps;"8 MP, (wide), 1/4"", 1.12µm";Yes;Yes;Yes;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;Yes, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Ion 4480 mAh, non-removable;Black, Blue, Sky;About 160 EUR;;Glass front, aluminum frame, glass back;;;;;;
https://www.gsmarena.com/blackview_a52-11999.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-a52.jpg;Blackview A52;Released 2022, November 25;183.6g, 9.1mm thickness;Android 12, Doke OS G0 3.0;32GB storage, microSDXC;3;0.2%;15,309 hits;"6.5""";720x1600 pixels;2 GB RAM;Unisoc SC9863A1;5180 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20;HSPA, LTE;2022, November 22;Available. Released 2022, November 25;164.2 x 62 x 9.1 mm (6.46 x 2.44 x 0.36 in);183.6 g (6.49 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.5 inches, 102.0 cm(~100.2% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 12, Doke OS G0 3.0;Unisoc SC9863A1 (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);PowerVR GE8322;microSDXC (uses shared SIM slot);32GB 2GB RAM;eMMC;13 MPother unspecified camera;LED flash;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS, GLONASS, GALILEO;No;Unspecified;microUSB 2.0;Unspecified;Li-Ion 5180 mAh, non-removable;Polar Night, Vitality Green, Ice Blue;About 100 EUR;;;;;;;;
https://www.gsmarena.com/blackview_bv7200-11963.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-bv7200.jpg;Blackview BV7200;Released 2022, November 01;288g, 16mm thickness;Android 12, Doke-OS 3.0;128GB storage, microSDXC;3;0.2%;17,277 hits;"6.1""";720x1560 pixels;6 GB RAM;Helio G85;5180 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2022, October 26;Available. Released 2022, November 01;165.3 x 81.6 x 16 mm (6.51 x 3.21 x 0.63 in);288 g (10.16 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;IPS LCD;6.1 inches, 91.3 cm(~67.7% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);Android 12, Doke-OS 3.0;Mediatek MT6769Z Helio G85 (12nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (uses shared SIM slot);128GB 6GB RAM;eMMC 5.1;"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF8 MP, 117˚ (ultrawide)";Dual-LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.2, (wide), 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C, OTG;Fingerprint (side-mounted), gyro, accelerometer, compass, barometer;Li-Po 5180 mAh, non-removable;Black, Orange, Green;About 250 EUR;Corning Gorilla Glass 3;;;;;;;
https://www.gsmarena.com/blackview_tab_15-11964.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-tab15.jpg;Blackview Tab 15;Released 2022, October 26;525g, 7.3mm thickness;Android 12, Doke OS_P 3.0;128GB storage, microSDXC;5;0.4%;21,360 hits;"10.5""";1200x1920 pixels;8 GB RAM;Unisoc T610;8280 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2022, October 26;Available. Released 2022, October 26;246.4 x 161.5 x 7.3 mm (9.70 x 6.36 x 0.29 in);525 g (1.16 lb);Hybrid Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;10.5 inches, 319.7 cm(~80.3% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~216 ppi density);Android 12, Doke OS_P 3.0;Unisoc T610 (12 nm);Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MP2;microSDXC (uses shared SIM slot);128GB 8GB RAM;eMMC 5.1;13 MP;LED flash;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP;GPS, GLONASS, GALILEO;No;FM Radio;USB Type-C, OTG;Accelerometer;Li-Ion 8280 mAh, non-removable;Lunar Silver, Twilight Blue, Space Gray;About 230 EUR;;;;;;;;
https://www.gsmarena.com/blackview_oscal_c80-11872.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c80.jpg;Blackview Oscal C80;Released 2022, September 14;188g, 8.6mm thickness;Android 12, Doke-OS 3.0;128GB storage, microSDXC;4;0.3%;38,370 hits;"6.5""";720x1600 pixels;8 GB RAM;Unisoc T606;5180 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2022, September 07;Available. Released 2022, September 14;164.2 x 76 x 8.6 mm (6.46 x 2.99 x 0.34 in);188 g (6.63 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 90Hz;6.5 inches, 102.0 cm(~81.7% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 12, Doke-OS 3.0;Unisoc T606 (12 nm);Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Mali-G57 MP1;microSDXC (uses shared SIM slot);128GB 8GB RAM;UFS 2.1;50 MP, (wide), 1.2µm, PDAF0.3 MP, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C, OTG;Fingerprint (side-mounted), accelerometer, gyro, compass;Li-Ion 5180 mAh, non-removable;Early Sunny Snow, Midnight Black, Navy Blue;About 130 EUR;;;;;;;;
https://www.gsmarena.com/blackview_bv5200-11871.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-BV5200.jpg;Blackview BV5200;Released 2022, September 14;268g, 13.7mm thickness;Android 12, Doke-OS 3.0;32GB storage, microSDXC;4;0.2%;18,028 hits;"6.1""";720x1560 pixels;4 GB RAM;Helio A22;5180 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2022, September 07;Available. Released 2022, September 14;161.6 x 77.9 x 13.7 mm (6.36 x 3.07 x 0.54 in);268 g (9.45 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant;IPS LCD, 450 nits;6.1 inches, 91.3 cm(~72.6% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);Android 12, Doke-OS 3.0;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);32GB 4GB RAM;;13 MP, (wide), AFSecondary unspecified camera;LED flash, HDR, panorama;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C, OTG;Accelerometer, gyro, compass;Li-Ion 5180 mAh, non-removable;Black, Orange, Green;About 120 EUR;;;;;;;;
