Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;memoryother;displayprotection;models;batstandby1;battalktime1;cam2features;bodyother;build;gprstext;edge;featuresother;displayother;optionalother;batmusicplayback1
https://www.gsmarena.com/blu_f92e-12153.php;https://fdn2.gsmarena.com/vv/bigpic/blu-f92e-5g.jpg;BLU F92e;Released 2023, January 19;202g, 8.9mm thickness;Android 12;128GB storage, microSDXC;1;0.8%;1,374 hits;"6.5""";720x1600 pixels;4 GB RAM;Dimensity 700;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 13, 17, 25, 26, 41, 66, 71;2, 5, 25, 41, 66, 71, 77 SA/NSA/Sub6;HSPA, LTE, 5G;2023, January 19;Available. Released 2023, January 19;164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in);202 g (7.13 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.5 inches, 102.0 cm(~81.5% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 12;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC;128GB 4GB RAM;50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, 115˚ (ultrawide)0.3 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;13 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (side-mounted), unspecified sensors;Li-Po 5000 mAh, non-removable;Blue, Black, Lime;About 190 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_g72_max-12110.php;https://fdn2.gsmarena.com/vv/bigpic/blu-g72-max.jpg;BLU G72 Max;Released 2023, February 04;209g, 9.9mm thickness;Android 12;128GB storage, microSDXC;4;0.5%;12,024 hits;"6.8""";720x1600 pixels;4 GB RAM;Helio G37;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 3, 4, 5, 7, 12, 17, 28, 66;;HSPA, LTE;2023, February 04;Available. Released 2023, February 04;168.3 x 78.8 x 9.9 mm (6.63 x 3.10 x 0.39 in);209 g (7.37 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.8 inches, 111.6 cm(~84.2% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~258 ppi density);Android 12;Mediatek MT6765 Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC;128GB 4GB RAM;13 MP, (wide), AF2 other unspecified cameras;LED flash;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS;No;Unspecified;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Gray, Mint, Orange;;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_g52l-12102.php;https://fdn2.gsmarena.com/vv/bigpic/blu-g52l.jpg;BLU G52L;Released 2023, February;195g, 9.2mm thickness;Android 12;64GB storage, microSDXC;7;0.3%;15,099 hits;"6.5""";720x1600 pixels;2 GB RAM;;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 3, 4, 5, 7, 12, 17, 28, 66;;HSPA, LTE;2023, January;Available. Released 2023, February;164.5 x 76 x 9.2 mm (6.48 x 2.99 x 0.36 in);195 g (6.88 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.5 inches, 102.0 cm(~81.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 12;;Octa-core 1.6 GHz Cortex-A55;;microSDXC;64GB 2GB RAM;13 MP0.3 MP (macro)0.3 MP (depth);LED flash, HDR, panorama;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 а/b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer;Li-Po 5000 mAh, non-removable;Grey, Blue, Burgundy, Mint Blue;About 90 EUR;eMMC 5.1;;;;;;;;;;;;;
https://www.gsmarena.com/blu_studio_x5_max-11830.php;https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5-max.jpg;BLU Studio X5 Max;Released 2022, July;202g, 8.9mm thickness;Android 11;32GB storage, microSDXC;2;0.2%;29,419 hits;"5.7""";480x960 pixels;2 GB RAM;;2700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 3, 5, 7, 12, 17, 28, 66;;HSPA 21.1/5.76 Mbps;2022, July;Available. Released 2022, July;164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in);202 g (7.13 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.7 inches, 83.8 cm(~67.0% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~188 ppi density);Android 11 (Go edition);;Quad-core 1.3 GHz Cortex-A53;;microSDXC;32GB 2GB RAM;5 MPSecondary unspecified camera;LED flash;720p@30fps;2 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2700 mAh, removable;Green, Bronze, Black, Blue;About 50 EUR;eMMC 5.1;;;;;;;;;;;;;
https://www.gsmarena.com/blu_studio_x5-11829.php;https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5.jpg;BLU Studio X5;Released 2022, July;149g, 10.1mm thickness;Android 11;32GB storage, microSDXC;1;0.1%;12,865 hits;"5.0""";480x854 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 3, 5, 7, 12, 17, 28, 66;;HSPA 21.1/5.76 Mbps;2022, July;Available. Released 2022, July;145 x 72.4 x 10.1 mm (5.71 x 2.85 x 0.40 in);149 g (5.26 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.6% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 11 (Go edition);;Quad-core 1.3 GHz Cortex-A53;;microSDXC;32GB 1GB RAM;5 MPSecondary unspecified camera;LED flash;720p@30fps;2 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh, removable;Green, Bronze, Black, Blue;About 50 EUR;eMMC 5.1;;;;;;;;;;;;;
https://www.gsmarena.com/blu_g40-11828.php;https://fdn2.gsmarena.com/vv/bigpic/blu-g40.jpg;BLU G40;Released 2022, June;203g, 10.8mm thickness;Android 11;32GB storage, microSDXC;1;0.1%;14,051 hits;"6.0""";720x1440 pixels;3 GB RAM;;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 3, 4, 5, 7, 12, 17, 28, 66;;HSPA, LTE;2022, June;Available. Released 2022, June;163.4 x 78.8 x 10.8 mm (6.43 x 3.10 x 0.43 in);203 g (7.16 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.0 inches, 92.9 cm(~72.2% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~268 ppi density);Android 11;;Quad-core 2.0 GHz Cortex-A75;;microSDXC;32GB 3GB RAM;13 MP0.3 MP;LED flash, HDR, panorama;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 3000 mAh, removable;Black, Blue, Green, Cyan, Teal, White;About 100 EUR;eMMC 5.1;;;;;;;;;;;;;
https://www.gsmarena.com/blu_bold_n2-11757.php;https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n2-new.jpg;BLU Bold N2;Released 2022, August 11;180g, 8.6mm thickness;Android 11;256GB storage, Unspecified;21;0.3%;73,284 hits;"6.6""";1080x2340 pixels;8 GB RAM;Dimensity 810;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 13, 17, 25, 26, 41, 66, 71;2, 5, 25, 41, 66, 71, 77 SA/NSA;HSPA, LTE-A (CA), 5G;2022, August 11;Available. Released 2022, August 11;158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in);180 g (6.35 oz);Dual SIM (Nano-SIM, dual stand-by);AMOLED;6.6 inches, 106.9 cm(~90.9% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density);Android 11;Mediatek MT6833P Dimensity 810 (6 nm);Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;Unspecified;256GB 8GB RAM;64 MP, (wide), PDAF5 MP, f/2.4, 115˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);Dual-LED flash, HDR, panorama;1080p@30fps;16 MP, (wide)2 MP, (depth);1080p@30fps;Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct;5.1, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4200 mAh, non-removable;Cyprus Teal;About 230 EUR;;Corning Gorilla Glass 5;;;;;;;;;;;;
https://www.gsmarena.com/blu_studio_x10l_2022-11716.php;https://fdn2.gsmarena.com/vv/bigpic/blu-studiox10l-2022.jpg;BLU Studio X10L 2022;Released 2022, July;175g, 9.8mm thickness;Android 11;32GB storage, microSDXC;0;0.1%;15,032 hits;"5.0""";480x854 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;2, 3, 4, 5, 7, 28;;HSPA, LTE;2022, July;Available. Released 2022, July;145.9 x 73.5 x 9.8 mm (5.74 x 2.89 x 0.39 in);175 g (6.17 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~64.2% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 11 (Go edition);;Quad-core (4x1.4 GHz Cortex-A53);;microSDXC;32GB 1GB RAM;8 MP;LED flash;1080p@30fps;5 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.1, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh, removable;Black, Blue, Green, Red;About 50 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_s91_pro-11715.php;https://fdn2.gsmarena.com/vv/bigpic/blu-s91pro.jpg;BLU S91 Pro;Released 2022, July;202g, 8.9mm thickness;Android 12;128GB storage, microSDXC;4;0.2%;24,731 hits;"6.5""";720x1600 pixels;4 GB RAM;MT6765V;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700 / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 13, 17, 28, 66;;HSPA, LTE;2022, July;Available. Released 2022, July;164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in);202 g (7.13 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.5 inches, 102.0 cm(~81.5% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 12;Mediatek MT6765V/CB Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC;128GB 4GB RAM;50 MP, f/1.8 (wide), 0.7µm, PDAF2 MP, f/2.4, 115º (ultrawide)0.8 MP, f/2.4, (depth);Dual-LED flash, HDR, panorama;1080p@30fps;13 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 5000 mAh, non-removable;Black, Mint Green;About 180 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_j6s-11673.php;https://fdn2.gsmarena.com/vv/bigpic/blu-j6s.jpg;BLU J6S;Released 2022, July 07;161g, 9.7mm thickness;Android 11;32GB storage, microSDXC;0;0.1%;12,694 hits;"6.1""";720x1560 pixels;1 GB RAM;;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;;;HSPA 21.1/5.76 Mbps;2022, July 07;Available. Released 2022, July 07;152.9 x 73.3 x 9.7 mm (6.02 x 2.89 x 0.38 in);161 g (5.68 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.1 inches, 91.3 cm(~81.5% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);Android 11 (Go edition);;Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC;32GB 1GB RAM;8 MP;LED flash;720p@30fps;5 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), proximity, gyro;Li-Ion 3000 mAh;Blue, Bronze, Teal, White;About 50 EUR;eMMC 5.1;;;;;;;;;;;;;
