Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors
https://www.gsmarena.com/bosch_909_dual_s-183.php;https://fdn2.gsmarena.com/vv/bigpic/boc909sb.gif;Bosch 909 Dual S;Released 1999;109g, 17mm thickness;Feature phone;No card slot;21;0.1%;253,145 hits;;96x32 pixels, 4x16 chars; ;;600 mAh Li-Ion;GSM 900 / 1800;No;No;1999;Discontinued;122 x 50 x 17 mm (4.80 x 1.97 x 0.67 in);109 g (3.84 oz);Mini-SIM;Monochrome graphic;;96 x 32 pixels, 4 x 16 chars;Dynamic font sizeSoft keysBlue LCD;No;No;No;No;No;No;;;CalculatorIntegrated PCMCIA;Removable Li-Ion battery;180 h;5 h;3
https://www.gsmarena.com/bosch_909_dual-142.php;https://fdn2.gsmarena.com/vv/bigpic/boc909b.gif;Bosch 909 Dual;Released 1999;99g, 17mm thickness;Feature phone;No card slot;11;N/A;134,311 hits;;4x16 chars; ;;650 mAh Li-Ion;GSM 900 / 1800;No;No;1999;Discontinued;112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in);99 g (3.49 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;CalculatorIntegrated PCMCIA;Removable Li-Ion 650 mAh battery;70 h;3 h;3
https://www.gsmarena.com/bosch_com_908-141.php;https://fdn2.gsmarena.com/vv/bigpic/boc908b.gif;Bosch Com 908;Released 1998;99g, 17mm thickness;Feature phone;No card slot;11;N/A;116,193 hits;;4x16 chars; ;;650 mAh Li-Ion;GSM 900;No;No;1998;Discontinued;112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in);99 g (3.49 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;CalculatorIntegrated PCMCIA;Removable Li-Ion 650 mAh battery;70 h;3 h;3
https://www.gsmarena.com/bosch_com_509-140.php;https://fdn2.gsmarena.com/vv/bigpic/boc509b.gif;Bosch Com 509;Released 1999;150g, 23mm thickness;Feature phone;No card slot;13;N/A;152,015 hits;;4x16 chars; ;;650 mAh NiMH;GSM 900 / 1800;No;No;1999;Discontinued;134 x 53 x 23 mm (5.28 x 2.09 x 0.91 in);150 g (5.29 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;Calculator;Removable NiMH battery;87 h;4 h;Several, half transparent
https://www.gsmarena.com/bosch_world_718-139.php;https://fdn2.gsmarena.com/vv/bigpic/bow718b.gif;Bosch World 718;Released 1996;189g, 18mm thickness;Feature phone;No card slot;6;N/A;105,508 hits;;4x16 chars; ;;650 mAh Li-Ion;GSM 900 / 1900;No;No;1996;Discontinued;142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in);189 g (6.67 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;Calculator;Removable Li-Ion 650 mAh battery;70 h;200 min;
https://www.gsmarena.com/bosch_com_738-138.php;https://fdn2.gsmarena.com/vv/bigpic/boc738b.gif;Bosch Com 738;Released 1996;189g, 18mm thickness;Feature phone;No card slot;8;N/A;95,146 hits;;4x16 chars; ;;650 mAh Li-Ion;GSM 900 / 1800;No;No;1996;Discontinued;142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in);189 g (6.67 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;;Removable Li-Ion 650 mAh battery;70 h;200 min;
https://www.gsmarena.com/bosch_com_906-137.php;https://fdn2.gsmarena.com/vv/bigpic/boc906b.gif;Bosch Com 906;Released 1996;145g, 19mm thickness;Feature phone;No card slot;7;N/A;90,666 hits;;3x15 chars; ;;500 mAh Li-Ion;GSM 900;No;No;1996;Discontinued;144 x 57 x 19 mm (5.67 x 2.24 x 0.75 in);145 g (5.11 oz);Mini-SIM;Monochrome graphic;;3 x 15 chars;Fixed icons;No;No;No;No;No;No;;;;Removable Li-Ion 500 mAh battery;30 h;75 min;
https://www.gsmarena.com/bosch_com_608-136.php;https://fdn2.gsmarena.com/vv/bigpic/boc608b.gif;Bosch Com 608;Released 1999;169g, 24mm thickness;Feature phone;No card slot;13;N/A;103,566 hits;;4x16 chars; ;;550 mAh NiMH;GSM 900;No;No;1999;Discontinued;134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in);169 g (5.96 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;Calculator;Removable NiMH 550 mAh battery;50 h;130 min;
https://www.gsmarena.com/bosch_com_607-135.php;https://fdn2.gsmarena.com/vv/bigpic/boc607b.gif;Bosch Com 607;Released 1997;189g, 17mm thickness;Feature phone;No card slot;15;N/A;107,508 hits;;4x16 chars; ;;550 mAh NiMH;GSM 900;No;No;1997;Discontinued;134 x 53 x 17 mm (5.28 x 2.09 x 0.67 in);189 g (6.67 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;Calculator;Removable NiMH 550 mAh battery;80 h;3 h;
https://www.gsmarena.com/bosch_com_207-134.php;https://fdn2.gsmarena.com/vv/bigpic/boc207b.gif;Bosch Com 207;Released 1997;179g, 23mm thickness;Feature phone;No card slot;6;N/A;110,855 hits;;1x10 chars; ;;600 mAh NiMH;GSM 900;No;No;1997;Discontinued;147 x 56 x 23 mm (5.79 x 2.20 x 0.91 in);179 g (6.31 oz);Mini-SIM;Alphanumeric;;1 x 10 chars;;No;No;No;No;No;No;;;;Removable NiMH 600 mAh battery;85 h;2 h;
