Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;models;sar-eu;gprstext;edge;featuresother;battalktime1;batmusicplayback1
https://www.gsmarena.com/bq_aquaris_x2_pro-9197.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2-pro.jpg;BQ Aquaris X2 Pro;Released 2018, June;168g, 8.4mm thickness;Android 8.1, Android One;64GB/128GB storage, microSDXC;40;0.1%;228,846 hits;"5.65""";1080x2160 pixels;4/6 GB RAM;Snapdragon 660;3100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 7, 20;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2018, May;Available. Released 2018, June;150.7 x 72.3 x 8.4 mm (5.93 x 2.85 x 0.33 in);168 g (5.93 oz);Glass front (Gorilla Glass), glass back, aluminum frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.65 inches, 82.4 cm(~75.6% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~427 ppi density);Corning Gorilla Glass (unspecified version);Android 8.1 (Oreo), Android One;Qualcomm SDM660 Snapdragon 660 (14 nm);Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Adreno 512;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 6GB RAM;eMMC 5.1;"12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF5 MP, f/2.4, (depth)";Dual-LED dual-tone flash, auto-HDR, panorama;4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE, aptX;GPS, GLONASS, GALILEO;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3100 mAh, non-removable;Midnight Black, Glaze White, Deep Silver;About 390 EUR;;;;;;;
https://www.gsmarena.com/bq_aquaris_x2-9198.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2.jpg;BQ Aquaris X2;Released 2018, June;163g, 8.3mm thickness;Android 8.1, Android One;32GB/64GB storage, microSDXC;10;N/A;169,657 hits;"5.65""";1080x2160 pixels;3/4 GB RAM;Snapdragon 636;3100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 7, 20;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2018, May;Available. Released 2018, June;150.7 x 72.3 x 8.3 mm (5.93 x 2.85 x 0.33 in);163 g (5.75 oz);Glass front (Gorilla Glass), plastic back, aluminum frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.65 inches, 82.4 cm(~75.6% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~427 ppi density);Corning Gorilla Glass (unspecified version);Android 8.1 (Oreo), Android One;Qualcomm SDM636 Snapdragon 636 (14 nm);Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver);Adreno 509;microSDXC (uses shared SIM slot);32GB 3GB RAM, 64GB 4GB RAM;eMMC 5.1;"12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF5 MP, f/2.4, (depth)";Dual-LED dual-tone flash, auto-HDR, panorama;4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE, aptX;GPS, GLONASS, GALILEO;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3100 mAh, non-removable;Carbon Black, Sand Gold;About 310 EUR;;;;;;;
https://www.gsmarena.com/bq_aquaris_vs_plus-9078.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs-plus.jpg;BQ Aquaris VS Plus;Released 2018, March;183g, 8.4mm thickness;Android 7.1.2, up to Android 8.0;64GB storage, microSDXC;8;N/A;82,676 hits;"5.5""";1080x1920 pixels;4 GB RAM;Snapdragon 430;3400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 20;HSPA, LTE;2018, February;Available. Released 2018, March;152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in);183 g (6.46 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~71.4% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Dinorex glass;Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo);Qualcomm MSM8937 Snapdragon 430 (28 nm);Octa-core 1.4 GHz Cortex-A53;Adreno 505;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;"12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF";LED flash, HDR, panorama;1080p@30fps, 480p@120fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3400 mAh, non-removable;Mist Gold;About 230 EUR;;;;;;;
https://www.gsmarena.com/bq_aquaris_vs-9077.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs.jpg;BQ Aquaris VS;Released 2018, March;165g, 8.4mm thickness;Android 7.1.2, up to Android 8.0;32GB/64GB storage, microSDXC;4;N/A;68,887 hits;"5.2""";720x1280 pixels;3/4 GB RAM;Snapdragon 430;3100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 20;HSPA, LTE;2018, February;Available. Released 2018, March;148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in);165 g (5.82 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~68.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~282 ppi density);Dinorex glass;Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo);Qualcomm MSM8937 Snapdragon 430 (28 nm);Octa-core 1.4 GHz Cortex-A53;Adreno 505;microSDXC (uses shared SIM slot);32GB 3GB RAM, 64GB 4GB RAM;eMMC 5.1;"12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF";LED flash, HDR, panorama;1080p@30fps, 480p@120fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3100 mAh, non-removable;Mist Gold;About 190 EUR;;;;;;;
https://www.gsmarena.com/bq_aquaris_u2_lite-9037.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2-lite.jpg;BQ Aquaris U2 Lite;Released 2017, October;155g, 8.4mm thickness;Android 7.1.2, up to Android 8.0;16GB storage, microSDXC;2;N/A;59,023 hits;"5.2""";720x1280 pixels;2 GB RAM;Snapdragon 425;3100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 7, 8, 20, 28;HSPA, LTE;2017, September;Available. Released 2017, October;148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in);155 g (5.47 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~69.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~282 ppi density);Dinorex glass;Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo);Qualcomm MSM8917 Snapdragon 425 (28 nm);Quad-core 1.4 GHz;Adreno 308;microSDXC (uses shared SIM slot);16GB 2GB RAM;eMMC 5.1;"8 MP, f/2.0, 1/4.0"", 1.12µm, PDAF";LED flash, HDR, panorama;1080p@30fps;"5 MP, f/2.0, 1/5"", 1.12µm";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS;No;FM radio;microUSB 2.0, OTG;Accelerometer, gyro, proximity, compass;Li-Po 3100 mAh, non-removable;Black, White;About 170 EUR;;;;;;;
https://www.gsmarena.com/bq_aquaris_u2-9036.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2.jpg;BQ Aquaris U2;Released 2017, October;155g, 8.4mm thickness;Android 7.1.2, up to Android 8.0;16GB/32GB storage, microSDXC;1;N/A;76,794 hits;"5.2""";720x1280 pixels;2/3 GB RAM;Snapdragon 435;3100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 7, 8, 20, 28;HSPA, LTE;2017, September;Available. Released 2017, October;148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in);155 g (5.47 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~69.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~282 ppi density);Dinorex glass;Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo);Qualcomm MSM8940 Snapdragon 435 (28 nm);Octa-core 1.4 GHz Cortex-A53;Adreno 505;microSDXC (uses shared SIM slot);16GB 2GB RAM, 32GB 3GB RAM;eMMC 5.1;"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF";LED flash, HDR, panorama;1080p@30fps, 480p@120fps;"5 MP, f/2.0, 1/5"", 1.12µm";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS, BDS, GALILEO;Yes;FM radio;microUSB 2.0, OTG;Accelerometer, gyro, proximity, compass;Li-Po 3100 mAh, non-removable;Black;About 190 EUR;Aquaris U2;;;;;;
https://www.gsmarena.com/bq_aquaris_v_plus-9035.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg;BQ Aquaris V Plus;Released 2017, October;183g, 8.4mm thickness;Android 7.1.2, up to Android 8.0;32GB/64GB storage, microSDXC;3;N/A;65,238 hits;"5.5""";1080x1920 pixels;3/4 GB RAM;Snapdragon 435;3400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 7, 8, 20, 28;HSPA, LTE;2017, September;Available. Released 2017, October;152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in);183 g (6.46 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~71.4% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Dinorex glass;Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo);Qualcomm MSM8940 Snapdragon 435 (28 nm);Octa-core 1.4 GHz Cortex-A53;Adreno 505;microSDXC (uses shared SIM slot);32GB 3GB RAM, 64GB 4GB RAM;eMMC 5.1;12 MP, f/2.0, 1.12µm, PDAF;LED flash, HDR, panorama;1080p@30fps, 480p@120fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS, BDS, GALILEO;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3400 mAh, non-removable;Black;About 260 EUR;;;;;;;
https://www.gsmarena.com/bq_aquaris_v-9034.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg;BQ Aquaris V;Released 2017, October;165g, 8.4mm thickness;Android 7.1.2, up to Android 8.0;16GB/32GB/64GB storage, microSDXC;1;N/A;72,637 hits;"5.2""";720x1280 pixels;2-4 GB RAM;Snapdragon 435;3100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 7, 8, 20, 28;HSPA, LTE;2017, September;Available. Released 2017, October;148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in);165 g (5.82 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~68.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~282 ppi density);Dinorex glass;Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo);Qualcomm MSM8940 Snapdragon 435 (28 nm);Octa-core 1.4 GHz Cortex-A53;Adreno 505;microSDXC (uses shared SIM slot);16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM;eMMC 5.1;12 MP, f/2.0, 1.12µm, PDAF;LED flash, HDR, panorama;1080p@30fps, 480p@120fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS, BDS, GALILEO;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3100 mAh, non-removable;Black;About 210 EUR;;;;;;;
https://www.gsmarena.com/bq_aquaris_x_pro-8641.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-xpro.jpg;BQ Aquaris X Pro;Released 2017, June;158g, 7.8mm thickness;Android 7.1.1;64GB/128GB storage, microSDXC;30;0.1%;268,431 hits;"5.2""";1080x1920 pixels;4 GB RAM;Snapdragon 626;3100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 20;HSPA, LTE;2017, April. Released 2017, June;Discontinued;146.5 x 72.7 x 7.8 mm (5.77 x 2.86 x 0.31 in);158 g (5.57 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~70.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~424 ppi density);Dinorex glass;Android 7.1.1 (Nougat);Qualcomm MSM8953-Pro Snapdragon 626 (14 nm);Octa-core 2.2 GHz Cortex-A53;Adreno 506;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM;eMMC 5.1;"12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF";Dual-LED dual-tone flash, auto-HDR, panorama;4K@30fps, 720p@120fps;8 MP, f/2.0;LED flash;1080p@60fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS, GALILEO;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3100 mAh, non-removable;Midnight Black, Glaze White;About 370 EUR;Aquaris X Pro;;;;;;
https://www.gsmarena.com/bq_aquaris_x-8642.php;https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris.jpg;BQ Aquaris X;Released 2017, June;153g, 7.9mm thickness;Android 7.1.1;32GB storage, microSDXC;10;0.1%;228,145 hits;"5.2""";1080x1920 pixels;3 GB RAM;Snapdragon 626;3100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 20;HSPA, LTE;2017, April. Released 2017, June;Discontinued;146.5 x 72.7 x 7.9 mm (5.77 x 2.86 x 0.31 in);153 g (5.40 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~70.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~424 ppi density);Dinorex glass;Android 7.1.1 (Nougat);Qualcomm MSM8953-Pro Snapdragon 626 (14 nm);Octa-core 2.2 GHz Cortex-A53;Adreno 506;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.1;"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF";Dual-LED dual-tone flash, auto-HDR, panorama;4K@30fps, 720p@120fps;8 MP, f/2.0;LED flash;1080p@60fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE, aptX;GPS, GLONASS, GALILEO;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3100 mAh, non-removable;Mineral Black, Pearl Rose;About 290 EUR;Aquaris X;;;;;;
