Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;models;price;displayother;memoryother;batstandby1;battalktime1;gprstext;edge
https://www.gsmarena.com/cat_s75-12140.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s75.jpg;Cat S75;Exp. release 2023, Q2;268g, 11.9mm thickness;Android 12;128GB storage, microSDXC;9;3.6%;26,644 hits;"6.6""";1080x2408 pixels;6 GB RAM;Dimensity 930;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 32, 38, 39, 40, 41;1, 2, 3, 5, 7, 8, 20, 23, 28, 38, 40, 41, 75, 77, 78, 255, 256 SA/NSA/Sub6/mmWave;HSPA, LTE, 5G;2023, February 24;Coming soon. Exp. release 2023, Q2;171 x 80 x 11.9 mm (6.73 x 3.15 x 0.47 in);268 g (9.45 oz);Glass front (Gorilla Glass Victus), plastic back, aluminum frame;Single SIM (Nano-SIM) or Hybrid SIM (Nano-SIM, dual stand-by);IP68/IP69 dust/water resistant (up to 5m for 35 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;IPS LCD, 120Hz;6.6 inches, 104.9 cm(~76.7% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~400 ppi density);Corning Gorilla Glass Victus;Android 12;Mediatek Dimensity 930 (6 nm);Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);IMG BXM-8-256;microSDXC (uses shared SIM slot);128GB 6GB RAM;50 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro);Dual-LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS (L1+L5), GALILEO, GLONASS, BDS;Yes;Unspecified;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Emergency SOS via satellite (Bullitt Satellite Connect service);Li-Po 5000 mAh, non-removable;Black;BM1S1B;About 600 EUR;;;;;;
https://www.gsmarena.com/cat_s53-11766.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s53.jpg;Cat S53;Released 2022, July 19;320g, 16mm thickness;Android 11;128GB storage, microSDXC;8;0.8%;82,265 hits;"6.5""";720x1600 pixels;6 GB RAM;Snapdragon 480 5G;5500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;1, 2, 3, 5, 7, 8, 28, 41, 66, 77, 78;HSPA, LTE;2022, July 19;Available. Released 2022, July 19;171 x 81 x 16 mm (6.73 x 3.19 x 0.63 in);320 g (11.29 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 35 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliantDedicated flashlight;IPS LCD;6.5 inches, 102.0 cm(~73.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);;Android 11;Qualcomm SM4350 Snapdragon 480 5G (8 nm);Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460);Adreno 619;microSDXC (uses shared SIM slot);128GB 6GB RAM;48 MP, f/1.8, (wide)2 MP, (macro);LED flash;1080p@30fps;16 MP, f/2.0;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS;Yes;No;USB Type-C 3.0, OTG;Fingerprint (rear-mounted), accelerometer;;Li-Po 5500 mAh, non-removable;Black;;About 530 EUR;;;;;;
https://www.gsmarena.com/cat_s22_flip-11141.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s22-flip.jpg;Cat S22 Flip;Released 2021, September 18;224g, 23mm thickness;Android 11;16GB storage, microSDXC;47;0.7%;178,229 hits;"2.8""";480x640 pixels;2 GB RAM;Snapdragon 215;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, September 18;Available. Released 2021, September 18;119.4 x 61 x 23 mm (4.70 x 2.40 x 0.91 in);224 g (7.90 oz);;Nano-SIM;IP68 dust/water resistant (up to 1.5m for 35 min)MIL-STD-810H compliantDrop-to-concrete resistance from up to 1.8m;TFT LCD;2.8 inches, 24.3 cm(~33.3% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Corning Gorilla Glass 5;Android 11 (Go edition);Qualcomm QM215 Snapdragon 215 (28 nm);Quad-core 1.3 GHz Cortex-A53;Adreno 308;microSDXC (dedicated slot);16GB 2GB RAM;5 MP;LED flash;Yes;2 MP;Yes;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS, GLONASS, GALILEO;No;FM radio;USB Type-C 2.0;Accelerometer, proximity, barometer;;Li-Ion 2000 mAh, removable;Black;;About 200 EUR;Secondary external display, 1.44”, Corning Gorilla Glass 5;eMMC 5.1;;;;
https://www.gsmarena.com/cat_s62-11300.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s62.jpg;Cat S62;Released 2021, June 18;260g, 12.7mm thickness;Android 10, up to Android 11;128GB storage, microSDXC;11;0.5%;101,285 hits;"5.7""";1080x2160 pixels;4 GB RAM;Snapdragon 660;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71;;HSPA 42.2/5.76 Mbps, LTE-A Cat12 600/150 Mbps;2021, June 18;Available. Released 2021, June 18;157.5 x 76.2 x 12.7 mm (6.20 x 3.00 x 0.5 in);260 g (9.17 oz);Glass front (Gorilla Glass 6), plastic back, aluminum frame;Nano-SIM;IP68/IP69 dust/water resistant (up to 1.5m for 35 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;IPS LCD;5.7 inches, 83.8 cm(~69.9% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~424 ppi density);Corning Gorilla Glass 6;Android 10, upgradable to Android 11;Qualcomm SDM660 Snapdragon 660 (14 nm);Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Adreno 512;microSDXC (dedicated slot);128GB 4GB RAM;48 MP, (wide), PDAF2 MP;LED flash, HDR, panorama;4K@30fps, 1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;;Li-Ion 4000 mAh, non-removable;Black;;About 440 EUR;;;;;;
https://www.gsmarena.com/cat_s42_h+-10975.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s42-plus.jpg;Cat S42 H+;Released 2021, April 20;220g, 12.7mm thickness;Android 10, planned upgrade to Android 11;32GB storage, microSDXC;12;0.4%;147,047 hits;"5.5""";720x1440 pixels;3 GB RAM;Helio A20;4200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 13, 14, 17, 25, 26, 41, 66, 71;;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2021, April 20;Available. Released 2021, April 20;161.3 x 77.2 x 12.7 mm (6.35 x 3.04 x 0.5 in);220 g (7.76 oz);;Dual SIM (Nano-SIM, dual stand-by);IP69 dust/water resistant (up to 1.5m for 35 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliantAntimicrobial protection (silver ion-based);IPS LCD;5.5 inches, 78.1 cm(~62.7% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~293 ppi density);Corning Gorilla Glass 5;Android 10, planned upgrade to Android 11;Mediatek MT6761D Helio A20 (12 nm);Quad-core 1.8 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;13 MP, f/2.0, (wide), PDAF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS, GLONASS, BDS;Yes;FM radio;microUSB 2.0, OTG;Accelerometer, proximity, compass;;Li-Ion 4200 mAh, non-removable;Black;;;;eMMC 5.1;;;;
https://www.gsmarena.com/cat_b40-10976.php;https://fdn2.gsmarena.com/vv/bigpic/cat-b40.jpg;Cat B40;Released 2021, April 20;157g, 18mm thickness;Feature phone;Unspecified storage, microSD slot;6;0.3%;117,175 hits;"2.4""";240x320 pixels; ;Unisoc T117;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20, 28;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, April 20;Available. Released 2021, April 20;145 x 62 x 18 mm (5.71 x 2.44 x 0.71 in);157 g (5.54 oz);;Nano-SIM;IP69 dust/water resistant (up to 1.2m for 35 min)MIL-STD-810H compliantDrop-to-concrete resistance from up to 1.8mFlashlight (100+ lumens)Antimicrobial protection (silver ion-based);TFT LCD;2.4 inches, 17.8 cm(~19.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;Unisoc T117;;;microSD;Unspecified;2 MP;;Yes;No;;No;5.0, A2DP, LE;No;No;FM radio;USB Type-C 2.0;Accelerometer;;Li-Ion 1800 mAh, non-removable;Black;;;;;;;;
https://www.gsmarena.com/cat_s62_pro-10358.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s62-pro.jpg;Cat S62 Pro;Released 2020, August 17;248g, 11.9mm thickness;Android 10;128GB storage, microSDXC;62;0.8%;536,013 hits;"5.7""";1080x2160 pixels;6 GB RAM;Snapdragon 660;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40;;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps;2020, June 28;Available. Released 2020, August 17;158.5 x 76.7 x 11.9 mm (6.24 x 3.02 x 0.47 in);248 g (8.75 oz);Glass front (Gorilla Glass 6), plastic back, aluminum frame;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IP68/IP69 dust/water resistant (up to 1.5m for 35 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;IPS LCD;5.7 inches, 83.8 cm(~69.0% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~424 ppi density);Corning Gorilla Glass 6;Android 10;Qualcomm SDM660 Snapdragon 660 (14 nm);Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Adreno 512;microSDXC (dedicated slot);128GB 6GB RAM;"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAFFLIR thermal camera (Lepton 3.5 module)";Thermal imaging, heat palettes, temp. spot meter, LED flash;1080p@30fps, gyro-EIS;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;;Li-Ion 4000 mAh, non-removable;Black;;;;;;;;
https://www.gsmarena.com/cat_s42-10029.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s32.jpg;Cat S42;Released 2020, August;220g, 12.7mm thickness;Android 10, planned upgrade to Android 11;32GB storage, microSDXC;16;0.4%;312,146 hits;"5.5""";720x1440 pixels;3 GB RAM;Helio A20;4200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100 - EU;1, 2, 3, 4, 5, 7, 8, 20, 28;;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2020, January;Available. Released 2020, August;161.4 x 77.3 x 12.7 mm (6.35 x 3.04 x 0.5 in);220 g (7.76 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IP69 dust/water resistant (up to 1.5m for 35 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;IPS LCD;5.5 inches, 78.1 cm(~62.6% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~293 ppi density);Corning Gorilla Glass 5;Android 10, planned upgrade to Android 11;Mediatek MT6761D Helio A20 (12 nm);Quad-core 1.8 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;13 MP, f/2.0, (wide), PDAF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS, GLONASS, BDS;Yes;FM radio;microUSB 2.0, OTG;Accelerometer, proximity, compass;;Li-Ion 4200 mAh, non-removable;Black;;About 300 EUR;;eMMC 5.1;;;;
https://www.gsmarena.com/cat_s52-9938.php;https://fdn2.gsmarena.com/vv/bigpic/cat-s52.jpg;Cat S52;Released 2019, November;210g, 9.7mm thickness;Android 9.0, planned upgrade to Android 10;64GB storage, microSD;24;0.4%;378,836 hits;"5.65""";720x1440 pixels;4 GB RAM;Helio P35;3100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2  (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38;;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/100 Mbps;2019, October;Available. Released 2019, November;158.1 x 76.6 x 9.7 mm (6.22 x 3.02 x 0.38 in);210 g (7.41 oz);Glass front (Gorilla Glass 6), plastic back, aluminum frame;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 35 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;5.65 inches, 82.4 cm(~68.0% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~285 ppi density);Corning Gorilla Glass 6;Android 9.0 (Pie), planned upgrade to Android 10;Mediatek MT6765 Helio P35 (12nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSD;64GB 4GB RAM;"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAF";LED flash;1080p@30fps, gyro-EIS;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;;Li-Ion 3100 mAh, non-removable;Black;;About 440 EUR;;eMMC 5.1;;;;
https://www.gsmarena.com/cat_b35-9348.php;https://fdn2.gsmarena.com/vv/bigpic/cat-b35.jpg;Cat B35;Released 2018, October;130g, 14mm thickness;KaiOS 2.5.1;4GB 512MB RAM storage, microSDXC slot;35;0.3%;384,200 hits;"2.4""";240x320 pixels;512 MB RAM;Snapdragon 205;2300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, September;Available. Released 2018, October;138 x 60 x 14 mm (5.43 x 2.36 x 0.55 in);130 g (4.59 oz);;Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.2m for 35 min)MIL-STD-810G compliantDrop-to-concrete resistance from up to 1.8mFlashlight;TFT;2.4 inches, 17.8 cm(~21.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Scratch-proof glass;KaiOS 2.5.1;Qualcomm MSM8905 Snapdragon 205 (28 nm);Dual-core (2x1.3 GHz Cortex-A7);Adreno 304;microSDXC (uses shared SIM slot);4GB 512MB RAM;2 MP;LED flash;480p@30fps;No;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer;Downloadable applications Facebook, Gmail, Whatsapp, etc.;Li-Ion 2300 mAh, non-removable;Black;;About 110 EUR;;eMMC 4.5;Up to 720 h (3G);Up to 12 h (3G);;
