Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;sar-eu;gpu;gprstext;edge;memoryother;cam2features;price;batstandby1;battalktime1;featuresother;bodyother;displayother;sar-us
https://www.gsmarena.com/celkon_a403-7618.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg;Celkon A403;Released 2015, August;113g, 10.2mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;2;N/A;103,455 hits;"4.0""";480x800 pixels;512 MB RAM;Spreadtrum SC7715;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2015, August. Released 2015, August;Discontinued;125 x 65 x 10.2 mm (4.92 x 2.56 x 0.40 in);113 g (3.99 oz);Dual SIM;TFT, 256K colors;4.0 inches, 45.5 cm(~56.1% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);Spreadtrum SC7715;1.0 GHz;microSDHC;4GB 512MB RAM;3.15 MP;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n;2.0;A-GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh battery;Black, Light Blue, Red, Yellow;0.38 W/kg (head)     0.68 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/celkon_campus_prime-7617.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg;Celkon Campus Prime;Released 2015, August;119.2g, 9.3mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;99,097 hits;"4.5""";480x854 pixels;512 MB RAM;Spreadtrum SC7715;1600 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2015, August. Released 2015, August;Discontinued;132 x 67 x 9.3 mm (5.20 x 2.64 x 0.37 in);119.2 g (4.20 oz);Dual SIM;TFT, 256K colors;4.5 inches, 55.8 cm(~63.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.4.2 (KitKat);Spreadtrum SC7715;1.0 GHz;microSDHC;4GB 512MB RAM;3.15 MP;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n;2.0;A-GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1600 mAh, removable;White, Black, Gold, Silver, Brown, Blue;0.35 W/kg (head)     0.85 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/celkon_millennia_everest-7616.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-everest.jpg;Celkon Millennia Everest;Released 2015, August;9.1mm thickness;Android 5.1;8GB storage, microSDHC;0;N/A;94,616 hits;"5.5""";480x854 pixels;1 GB RAM;Spreadtrum SC7731;2500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2015, August. Released 2015, August;Discontinued;157 x 78 x 9.1 mm (6.18 x 3.07 x 0.36 in);-;Dual SIM;TFT, 256K colors;5.5 inches, 83.4 cm(~68.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~178 ppi density);Android 5.1 (Lollipop);Spreadtrum SC7731;Quad-core 1.2 GHz;microSDHC;8GB 1GB RAM;5 MP;LED flash;Yes;3.2 MP;;Wi-Fi 802.11 b/g/n;2.0;A-GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2500 mAh battery;Black, White, Blue;0.33 W/kg (head)     0.25 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/celkon_millennia_hero-7615.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-hero.jpg;Celkon Millennia Hero;Released 2015, August;113g, 11mm thickness;Android 5.1;8GB storage, microSDHC;0;N/A;80,254 hits;"4.0""";480x800 pixels;1 GB RAM;;1700 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2015, August. Released 2015, August;Discontinued;125 x 64 x 11 mm (4.92 x 2.52 x 0.43 in);113 g (3.99 oz);Dual SIM;TFT, 256K colors;4.0 inches, 45.5 cm(~56.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 5.1 (Lollipop);;Quad-core 1.2 GHz;microSDHC;8GB 1GB RAM;5 MP;LED flash;Yes;3.2 MP;;Wi-Fi 802.11 b/g/n;2.0;A-GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1700 mAh battery;Black, White/Gold, White/Silver, Black/Gold;0.34 W/kg (head)     0.76 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/celkon_millennia_xplore-7461.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg;Celkon Millennia Xplore;Released 2015, July;150g, 7.9mm thickness;Android 5.0;8GB storage, microSDHC;1;N/A;111,057 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6582M;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, July;Discontinued;145.7 x 73.8 x 7.9 mm (5.74 x 2.91 x 0.31 in);150 g (5.29 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~64.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.0 (Lollipop);Mediatek MT6582M (28 nm);Quad-core 1.2 GHz Cortex-A7;microSDHC;8GB 1GB RAM;13 MP;LED flash;Yes;8 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh battery;Black/White;;Mali-400MP2;;;;;;;;;;;
https://www.gsmarena.com/celkon_q455l-7460.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-q455.jpg;Celkon Q455L;Released 2015, July;130g, 7.9mm thickness;Android 5.0;8GB storage, microSDHC;0;N/A;72,991 hits;"4.5""";480x854 pixels;1 GB RAM;;1800 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, July;Discontinued;136.5 x 68 x 7.9 mm (5.37 x 2.68 x 0.31 in);130 g (4.59 oz);Dual SIM;IPS LCD;4.5 inches, 55.8 cm(~60.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 5.0 (Lollipop);;Quad-core 1.2 GHz;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;Yes;3.15 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1800 mAh battery;Black, Red, Yellow;;;;;;;;;;;;;
https://www.gsmarena.com/celkon_2gb_xpress-7459.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-2gb-xpress.jpg;Celkon 2GB Xpress;Released 2015, July;134g, 10.1mm thickness;Android 4.4.2, up to 5.0;16GB storage, microSDHC;0;N/A;81,101 hits;"4.5""";480x800 pixels;2 GB RAM;Spreadtrum 7731;1500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, July;Discontinued;133.5 x 66.5 x 10.1 mm (5.26 x 2.62 x 0.40 in);134 g (4.73 oz);Dual SIM;IPS LCD;4.5 inches, 57.6 cm(~64.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~207 ppi density);Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop);Spreadtrum 7731;Quad-core 1.2 GHz;microSDHC;16GB 2GB RAM;5 MP, AF;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1500 mAh battery;Black;;Mali-400;;;;;;;;;;;
https://www.gsmarena.com/celkon_a35k_remote-7376.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-a35k-remote.jpg;Celkon A35k Remote;Released 2015, June;102g, 10.7mm thickness;Android 4.4.2;512MB 256MB RAM storage, microSDHC slot;1;N/A;74,540 hits;"3.5""";320x480 pixels;256 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;Yes, 384 kbps;2015, June. Released 2015, June;Discontinued;119 x 63 x 10.7 mm (4.69 x 2.48 x 0.42 in);102 g (3.60 oz);Dual SIM;TFT, 256K colors;3.5 inches, 36.5 cm(~48.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.4.2 (KitKat);;1.0 GHz;microSDHC;512MB 256MB RAM;3.15 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh battery;White, Black, Blue;0.56 W/kg (head)     0.40 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/celkon_q3k_power-7375.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-q3k-power.jpg;Celkon Q3K Power;Released 2015, July;128g, 9.8mm thickness;Android 4.4.2;8GB storage, microSDHC;1;N/A;73,350 hits;"4.0""";480x800 pixels;512 MB RAM;Spreadtrum 7731G;3000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;Yes, 384 kbps;2015, July. Released 2015, July;Discontinued;125.8 x 65 x 9.8 mm (4.95 x 2.56 x 0.39 in);128 g (4.52 oz);Dual SIM;TFT, 256K colors;4.0 inches, 45.5 cm(~55.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);Spreadtrum 7731G;Quad-core 1.2 GHz;microSDHC;8GB 512MB RAM;3.15 MP;LED flash, HDR, panorama;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 3000 mAh battery;White, black, gold;;Mali-400;;;;;;;;;;;
https://www.gsmarena.com/celkon_q5k_power-7374.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-q5k-power.jpg;Celkon Q5K Power;Released 2015, June;169g, 10mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;85,263 hits;"5.0""";480x854 pixels;512 MB RAM;Spreadtrum 7731;5000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;Yes, 384 kbps;2015, June. Released 2015, June;Discontinued;145 x 72 x 10 mm (5.71 x 2.83 x 0.39 in);169 g (5.96 oz);Dual SIM;TFT, 256K colors;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.4.2 (KitKat);Spreadtrum 7731;Quad-core 1.2 GHz;microSDHC;4GB 512MB RAM;5 MP, AF;LED flash;Yes;3.15 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 5000 mAh battery;White, Blue, Silver, Black;0.31 W/kg (head)     0.46 W/kg (body);Mali-400;;;;;;;;;;;
