Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;optionalother;wlan;bluetooth;gps;radio;usb;sensors;batdescription1;colors;Battery;featuresother;batstandby1;battalktime1
https://www.gsmarena.com/chea_a90-651.php;https://fdn2.gsmarena.com/vv/bigpic/cha90.gif;Chea A90;Released 2004, Q1;82.8g, 21mm thickness;Feature phone;No card slot;5;N/A;108,455 hits;;128x160 pixels; ;;GSM 900 / 1800 / 1900;Class 10;No;2004, Q1;Discontinued;86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in);82.8 g (2.89 oz);Mini-SIM;CSTN, 4096 colors;;128 x 160 pixels;WallpapersDownloadable image;No;No;KaraokeDownloadable karaoke;No;No;No;No;;;Removable battery;;;;;
https://www.gsmarena.com/chea_jms_110-650.php;https://fdn2.gsmarena.com/vv/bigpic/chjms110.gif;Chea JMS-110;Cancelled;77g, 24mm thickness;Feature phone;No card slot;5;N/A;103,923 hits;;128x128 pixels; ;;GSM 900 / 1800 / 1900;Class 8;No;2004, Q1;Cancelled;50.3 x 94 x 24 mm (1.98 x 3.70 x 0.94 in);77 g (2.72 oz);Mini-SIM;CSTN, 256 colors;;128 x 128 pixels, 1:1 ratio;Wallpapers;No;No;;No;No;No;No;;;Removable Li-Ion 720 mAh battery;;720 mAh Li-Ion;Predictive text input;Up to 240 h;
https://www.gsmarena.com/chea_328-505.php;https://fdn2.gsmarena.com/vv/bigpic/ch328.gif;Chea 328;Cancelled;77g, 18mm thickness;Feature phone;No card slot;3;N/A;97,621 hits;;128x128 pixels; ;;GSM 900 / 1800;Yes;No;2003, Q3;Cancelled;109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in);77 g (2.72 oz);Mini-SIM;STN, 4096 colors;;128 x 128 pixels, 1:1 ratio;Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion battery;;650 mAh Li-Ion;OrganizerVoice dialVoice memo;Up to 150 h;Up to 5 h
https://www.gsmarena.com/chea_318-504.php;https://fdn2.gsmarena.com/vv/bigpic/ch318.gif;Chea 318;Cancelled;77g, 18mm thickness;Feature phone;No card slot;5;N/A;80,583 hits;;128x128 pixels; ;;GSM 900 / 1800;Yes;No;2003, Q3;Cancelled;109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in);77 g (2.72 oz);Mini-SIM;STN, 4096 colors;;128 x 128 pixels, 1:1 ratio;Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion battery;;650 mAh Li-Ion;OrganizerVoice dialVoice memo;Up to 150 h;Up to 5 h
https://www.gsmarena.com/chea_308-503.php;https://fdn2.gsmarena.com/vv/bigpic/ch308.gif;Chea 308;Cancelled;77g, 18mm thickness;Feature phone;No card slot;5;N/A;80,219 hits;;128x128 pixels; ;;GSM 900 / 1800;Yes;No;2003, Q3;Cancelled;109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in);77 g (2.72 oz);Mini-SIM;STN, 4096 colors;;128 x 128 pixels, 1:1 ratio;Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion battery;;650 mAh Li-Ion;OrganizerVoice dial;Up to 150 h;Up to 5 h
https://www.gsmarena.com/chea_228-502.php;https://fdn2.gsmarena.com/vv/bigpic/ch228.gif;Chea 228;Cancelled;74g, 20.5mm thickness;Feature phone;No card slot;6;N/A;90,923 hits;;128x160 pixels; ;;GSM 900 / 1800;Yes;No;2003, Q3;Cancelled;85 x 45 x 20.5 mm (3.35 x 1.77 x 0.81 in);74 g (2.61 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external FSTN monochrome display (96 x 64 pixels)Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion battery;;650 mAh Li-Ion;OrganizerVoice memoVoice dial;Up to 200 h;Up to 2 h
https://www.gsmarena.com/chea_218-501.php;https://fdn2.gsmarena.com/vv/bigpic/ch218.gif;Chea 218;Cancelled;74g, 20mm thickness;Feature phone;No card slot;6;N/A;78,550 hits;;128x160 pixels; ;;GSM 900 / 1800;Yes;No;2003, Q3;Cancelled;85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in);74 g (2.61 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external FSTN monochrome display (96 x 64 pixels)Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion battery;;650 mAh Li-Ion;OrganizerVoice memoVoice dial;Up to 200 h;Up to 2 h
https://www.gsmarena.com/chea_208-500.php;https://fdn2.gsmarena.com/vv/bigpic/ch208.gif;Chea 208;Cancelled;74g, 20mm thickness;Feature phone;No card slot;5;N/A;76,933 hits;;128x160 pixels; ;;GSM 900 / 1800;Yes;No;2003, Q3;Cancelled;85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in);74 g (2.61 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external FSTN monochrome display (96 x 64 pixels)Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion battery;;650 mAh Li-Ion;OrganizerVoice memoVoice dial;Up to 200 h;Up to 2 h
https://www.gsmarena.com/chea_198-499.php;https://fdn2.gsmarena.com/vv/bigpic/ch198.gif;Chea 198;Released 2003, Q2;80g, 20mm thickness;Feature phone;No card slot;6;N/A;90,630 hits;;112x64 pixels; ;;GSM 900 / 1800;No;No;2003, Q2;Discontinued;106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in);80 g (2.82 oz);Mini-SIM;FSTN, monochrome graphics;;112 x 64 pixels, 16:9 ratio;Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion 650 mAh battery;;650 mAh Li-Ion;Predictive text inputOrganizer;Up to 160 h;Up to 3 h
https://www.gsmarena.com/chea_188-498.php;https://fdn2.gsmarena.com/vv/bigpic/ch188.gif;Chea 188;Released 2003, Q2;80g, 20mm thickness;Feature phone;No card slot;6;N/A;68,242 hits;;112x64 pixels; ;;GSM 900 / 1800;No;No;2003, Q2;Discontinued;106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in);80 g (2.82 oz);Mini-SIM;FSTN, monochrome graphics;;112 x 64 pixels, 16:9 ratio;Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion 650 mAh battery;;650 mAh Li-Ion;Predictive text inputOrganizer;Up to 160 h;Up to 3 h
https://www.gsmarena.com/chea_178-497.php;https://fdn2.gsmarena.com/vv/bigpic/ch178.gif;Chea 178;Released 2003, Q2;80g, 20mm thickness;Feature phone;No card slot;5;N/A;73,632 hits;;112x64 pixels; ;;GSM 900 / 1800;No;No;2003, Q2;Discontinued;106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in);80 g (2.82 oz);Mini-SIM;FSTN, monochrome graphics;;112 x 64 pixels, 16:9 ratio;Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion 650 mAh battery;;650 mAh Li-Ion;Predictive text inputOrganizer;Up to 160 h;Up to 3 h
https://www.gsmarena.com/chea_168-496.php;https://fdn2.gsmarena.com/vv/bigpic/ch168.gif;Chea 168;Released 2003, Q2;80g, 20mm thickness;Feature phone;No card slot;5;N/A;110,428 hits;;112x64 pixels; ;;GSM 900 / 1800;No;No;2003, Q2;Discontinued;106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in);80 g (2.82 oz);Mini-SIM;FSTN, monochrome graphics;;112 x 64 pixels, 16:9 ratio;Screensavers;No;No;;No;No;No;No;;;Removable Li-Ion 650 mAh battery;;650 mAh Li-Ion;Predictive text inputOrganizer;Up to 160 h;Up to 3 h
