Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;battalktime1;colors;price;cam1features;bodyother;featuresother;displayprotection;batstandby1;displayother
https://www.gsmarena.com/dell_venue_10_7000-7188.php;https://fdn2.gsmarena.com/vv/bigpic/dell-venue-10-7000.jpg;Dell Venue 10 7000;Released 2015, May;597g, 6.2mm thickness;Android 5.0;32GB storage, microSDXC;23;0.2%;351,711 hits;"10.5""";1600x2560 pixels;2 GB RAM;Intel Atom Z3580;7000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA;LTE (unspecified);HSPA, LTE;Yes;Yes;2015, April. Released 2015, May;Discontinued;243.4 x 195.4 x 6.2 mm (9.58 x 7.69 x 0.24 in);597 g (1.32 lb);Micro-SIM;OLED;10.5 inches, 319.7 cm(~67.2% screen-to-body ratio);1600 x 2560 pixels, 16:10 ratio (~288 ppi density);Android 5.0 (Lollipop);Intel Atom Z3580;Quad-core 2.3 GHz;PowerVR G6430;microSDXC (dedicated slot);32GB 2GB RAM;8 MP, AF;Yes;2 MP;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 7000 mAh, non-removable;Up to 7 h (multimedia);Black;About 460 EUR;;;;;;
https://www.gsmarena.com/dell_venue_8_7000-6714.php;https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8-7000.jpg;Dell Venue 8 7000;Released 2015, January;305g, 6.1mm thickness;Android 4.4.2, up to 5.0.2;16GB/32GB storage, microSDXC;63;0.1%;969,428 hits;"8.4""";1600x2560 pixels;2 GB RAM;Intel Atom Z3580;5900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA;LTE (unspecified);HSPA, LTE;Yes;Yes;2014, October. Released 2015, January;Discontinued;215.9 x 124.2 x 6.1 mm (8.5 x 4.89 x 0.24 in);305 g (10.76 oz);Micro-SIM;OLED;8.4 inches, 204.6 cm(~76.3% screen-to-body ratio);1600 x 2560 pixels, 16:10 ratio (~359 ppi density);Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop);Intel Atom Z3580;Quad-core 2.3 GHz;PowerVR G6430;microSDXC (dedicated slot);16GB 2GB RAM, 32GB 2GB RAM;8 MP, f/2.4, AF;1080p@30fps;2 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 5900 mAh, non-removable (21 Wh);;Black;About 250 EUR;Depth & motion tracking sensors;;;;;
https://www.gsmarena.com/dell_venue_8-5752.php;https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8.jpg;Dell Venue 8;Released 2013, October;292g, 9.8mm thickness;Android 4.2.2;16GB/32GB storage, microSDHC;36;0.1%;1,323,300 hits;"8.0""";800x1280 pixels;2 GB RAM;Intel Atom Z2580;4100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;HSPA;;;2013, October. Released 2013, October;Discontinued;212 x 130 x 9.8 mm (8.35 x 5.12 x 0.39 in);292 g (10.30 oz);Micro-SIM;IPS LCD;8.0 inches, 185.6 cm(~67.3% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Android 4.2.2 (Jelly Bean);Intel Atom Z2580;Dual-core 2.0 GHz;PowerVR SGX544MP2;microSDHC (dedicated slot);16GB 2GB RAM, 32GB 2GB RAM;5 MP;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 4100 mAh, non-removable (15.5 Wh);;Black;About 130 EUR;;;;;;
https://www.gsmarena.com/dell_venue_7_8_gb-6053.php;https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7-8gb.jpg;Dell Venue 7 8 GB;Released 2013, October;234g, 9.6mm thickness;Android 4.2.2;8GB storage, microSDHC;3;N/A;156,344 hits;"7.0""";800x1280 pixels;1 GB RAM;Intel Atom Z2560;4100 mAh Li-Ion;N/A;;;;No;No;2013, October. Released 2013, October;Discontinued;193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in);234 g (8.25 oz);No;IPS LCD;7.0 inches, 142.1 cm(~62.4% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~216 ppi density);Android 4.2.2 (Jelly Bean);Intel Atom Z2560;Dual-core 1.6 GHz;PowerVR SGX544MP2;microSDHC (dedicated slot);8GB 1GB RAM;3.15 MP;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 4100 mAh, non-removable (15.5 Wh);;Black, Red;;;;;;;
https://www.gsmarena.com/dell_venue_7-5751.php;https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7.jpg;Dell Venue 7;Released 2013, October;234g, 9.6mm thickness;Android 4.2.2;16GB storage, microSDHC;24;0.1%;1,263,993 hits;"7.0""";800x1280 pixels;2 GB RAM;Intel Atom Z2560;4100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;HSPA;;;2013, October. Released 2013, October;Discontinued;193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in);234 g (8.25 oz);Micro-SIM;IPS LCD;7.0 inches, 142.1 cm(~62.4% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~216 ppi density);Android 4.2.2 (Jelly Bean);Intel Atom Z2560;Dual-core 1.6 GHz;PowerVR SGX544MP2;microSDHC (dedicated slot);16GB 2GB RAM;3.15 MP;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 4100 mAh, non-removable (15.5 Wh);;Black, Red;About 100 EUR;;;;;;
https://www.gsmarena.com/dell_xps_10-5160.php;https://fdn2.gsmarena.com/vv/bigpic/dell-xps-10.jpg;Dell XPS 10;Released 2012, December;635g, 9.2mm thickness;Microsoft Windows RT;64GB storage, microSDXC;19;N/A;466,932 hits;"10.1""";1366x768 pixels; ;;;GSM 850 / 900 / 1800 / 1900  (optional);HSDPA (optional);LTE (optional);HSPA/LTE (optional);No;No;2012, Q4. Released 2012, December;Discontinued;274.7 x 177.3 x 9.2 mm (10.81 x 6.98 x 0.36 in);635 g (1.40 lb);Single SIM (Micro-SIM) - optional;TFT;10.1 inches, 281.1 cm(~57.7% screen-to-body ratio);1366 x 768 pixels, 16:9 ratio (~155 ppi density);Microsoft Windows RT;;Dual-core 1.5 GHz;;microSDXC (dedicated slot);32/64GB;5 MP, AF;720p@30fps;2 MP;720p@30fps;Wi-Fi 802.11 a/b/g/n, dual-band;4.0, A2DP;GPS (with LTE/HSPA+ configs);No;No;microUSB 2.0;Accelerometer, gyro, compass;Li-Ion (28 Wh);;Black;About 380 EUR;;Optional mobile dock with standard QWERTY keyboard and trackpad;MP4/H.264 playerMP3/WAV/eAAC+ playerPhoto viewer/editorDocument editor;;;
https://www.gsmarena.com/dell_streak_10_pro-4398.php;https://fdn2.gsmarena.com/vv/bigpic/dell-streak-10-pro.jpg;Dell Streak 10 Pro;Released 2011;727g, 13mm thickness;Android 3.2;16GB storage, microSDHC;9;N/A;384,965 hits;"10.1""";800x1280 pixels;1 GB RAM;Nvidia Tegra 2 T20;;N/A;;;;No;No;2011;Discontinued;262.3 x 178 x 13 mm (10.33 x 7.01 x 0.51 in);727 g (1.60 lb);No;TFT;10.1 inches, 295.8 cm(~63.4% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~149 ppi density);Android 3.2 (Honeycomb);Nvidia Tegra 2 T20;Dual-core 1.0 GHz Cortex-A9;ULP GeForce;microSDHC (dedicated slot);16GB 1GB RAM;5 MP, AF;1080p@30fps;2 MP;;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;2.1, A2DP, EDR;GPS;;No;2.0;Accelerometer, gyro, proximity, compass;Non-removable Li-Ion battery;Up to 12 h;Black;About 280 EUR;LED flash;;MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerDocument viewerPhoto viewer/editorOrganizerPredictive text input;Corning Gorilla Glass;;
https://www.gsmarena.com/dell_streak_pro_d43-4384.php;https://fdn2.gsmarena.com/vv/bigpic/dell-streak-pro-d43.jpg;Dell Streak Pro D43;Released 2012, Q3;145g, 10.3mm thickness;Feature phone;8GB ROM storage, microSDHC slot;15;N/A;619,353 hits;"4.3""";540x960 pixels;1 GB RAM;Snapdragon S3;1520 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 1700 / 2100;;HSPA 14.4/5.76 Mbps;;;2011, December. Released 2012, Q3;Discontinued;124.9 x 64.5 x 10.3 mm (4.92 x 2.54 x 0.41 in);145 g (5.11 oz);Micro-SIM;Super AMOLED;4.3 inches, 51.0 cm(~63.3% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~256 ppi density);;Qualcomm MSM8260 Snapdragon S3;Dual-core 1.5 GHz Scorpion;Adreno 220;microSDHC (dedicated slot);8GB ROM, 1GB RAM;8 MP, AF;1080p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, gyro, proximity, compass;Removable Li-Ion 1520 mAh battery;Up to 13 h (2G) / Up to 9 h (3G);Black;About 450 EUR;LED flash;;SNS integrationMP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument editorVoice memo/dial/commandsPredictive text input;Corning Gorilla Glass;Up to 281 h (2G) / Up to 353 h (3G);
https://www.gsmarena.com/dell_streak_7-3881.php;https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg;Dell Streak 7;Released 2011, March;453.6g, 12.4mm thickness;Android 2.2, 2.3, up to 3.2;16GB storage, microSDHC;12;N/A;1,021,115 hits;"7.0""";480x800 pixels; ;Nvidia Tegra 2 T20;2780 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 1900 / 2100  / 1700;;HSPA;;;2011, February. Released 2011, March;Discontinued;200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in);453.6 g (1.00 lb);Mini-SIM;TFT;7.0 inches, 139.5 cm(~58.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~133 ppi density);Android 2.2 (Froyo), 2.3 (Gingerbread), upgradable to 3.2 (Honeycomb);Nvidia Tegra 2 T20;Dual-core 1.0 GHz Cortex-A9;ULP GeForce;microSDHC (dedicated slot);16GB;5 MP, AF;720p;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;No;2.0;Accelerometer, proximity, compass;Non-removable Li-Ion 2780 mAh battery;Up to 4 h;Gray;About 210 EUR;LED flash;;MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerQuickOffice document viewerPhoto viewer/editorOrganizerPredictive text input;Corning Gorilla Glass;Up to 72 h;
https://www.gsmarena.com/dell_streak_7_wi_fi-3882.php;https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg;Dell Streak 7 Wi-Fi;Released 2011, April;453.6g, 12.4mm thickness;Android 2.2, up to 2.3;16GB storage, microSDHC;8;N/A;418,665 hits;"7.0""";480x800 pixels; ;Nvidia Tegra 2 T20;2780 mAh Li-Ion;N/A;;;;No;No;2011, February. Released 2011, April;Discontinued;200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in);453.6 g (1.00 lb);No;TFT;7.0 inches, 139.5 cm(~58.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~133 ppi density);Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread);Nvidia Tegra 2 T20;Dual-core 1.0 GHz Cortex-A9;ULP GeForce;microSDHC (dedicated slot);16GB;5 MP, AF;720p;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;GPS;;No;2.0;Accelerometer, proximity, compass;Non-removable Li-Ion 2780 mAh battery;Up to 4 h;Gray;About 140 EUR;LED flash;;MP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerQuickOffice document viewerPhoto viewer/editorOrganizerPredictive text input;Corning Gorilla Glass;Up to 72 h;
