Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;net3g;speed;featuresother
https://www.gsmarena.com/emporia_glam-6264.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg;Emporia Glam;Released 2014, June;17mm thickness;Feature phone;8MB 4MB RAM storage, microSD slot;2;N/A;101,969 hits;"2.4""";240x320 pixels;4 MB RAM;MT6260A;1020 mAh Li-Ion;GSM 900 / 1800;No;No;2014, March. Released 2014, June;Discontinued;104 x 52 x 17 mm (4.09 x 2.05 x 0.67 in);-;Mini-SIM;Flashlight;TFT;2.4 inches, 17.8 cm(~33.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Mediatek MT6260A;360 MHz;No;microSD (dedicated slot);8MB 4MB RAM;2 MP;;No;No;No;No;No;No;;;Li-Ion 1020 mAh, removable;Up to 320 h;Up to 4 h;Black;;;
https://www.gsmarena.com/emporia_flip_basic-6263.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg;Emporia Flip Basic;Released 2014, March;82g, 17mm thickness;Feature phone;16MB 32MB RAM storage, no card slot;1;N/A;107,265 hits;"2.4""";176x220 pixels;32 MB RAM;MT6260M;1020 mAh Li-Ion;GSM 900 / 1800;No;No;2014, March. Released 2014, March;Discontinued;96 x 49 x 17 mm (3.78 x 1.93 x 0.67 in);82 g (2.89 oz);Mini-SIM;;TFT;2.4 inches, 18.1 cm(~38.5% screen-to-body ratio);176 x 220 pixels (~117 ppi density);Mediatek MT6260M;360 MHz;No;No;16MB 32MB RAM;No;;;No;No;No;No;No;No;;Li-Ion 1020 mAh, removable;Up to 360 h;Up to 3 h 40 min;Black;;;
https://www.gsmarena.com/emporia_eco-6262.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg;Emporia Eco;Released 2014;70g, 12.5mm thickness;Feature phone;16MB 32MB RAM storage, no card slot;1;N/A;82,791 hits;"2.2""";176x220 pixels;32 MB RAM;MT6260M;1020 mAh Li-Ion;GSM 900 / 1800;No;No;2014;Discontinued;124 x 48 x 12.5 mm (4.88 x 1.89 x 0.49 in);70 g (2.47 oz);Mini-SIM;Flashlight;TFT;2.2 inches, 15.2 cm(~25.6% screen-to-body ratio);176 x 220 pixels (~128 ppi density);Mediatek MT6260M;360 MHz;No;No;16MB 32MB RAM;VGA;No;No;No;No;No;No;FM radio;miniUSB;;Li-Ion 1020 mAh, removable;Up to 310 h;Up to 4 h 45 min;Black;;;
https://www.gsmarena.com/emporia_click_plus-6261.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg;Emporia Click Plus;Released 2014;110g, 18.5mm thickness;Feature phone;20MB 64MB RAM storage, no card slot;2;N/A;82,688 hits;"2.4""";240x320 pixels;64 MB RAM;QSC6240;1000 mAh Li-Ion;GSM 900 / 1800;;;2014;Discontinued;105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in);110 g (3.88 oz);Mini-SIM;Flashlight;TFT;2.4 inches, 17.8 cm(~33.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Qualcomm QSC6240;;;No;20MB 64MB RAM;2 MP;Yes;No;No;2.0;A-GPS only;No;No;No;;Li-Ion 1000 mAh, removable;Up to 320 h;Up to 4 h;White;HSDPA 900 / 2100;HSPA;
https://www.gsmarena.com/emporia_essence_plus-6260.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg;Emporia Essence Plus;Released 2012;74g, 12mm thickness;Feature phone;0.3MB 2MB RAM storage, no card slot;2;N/A;80,862 hits;"1.8""";128x160 pixels;2 MB RAM;Infineon PMB7880;1000 mAh Li-Ion;GSM 900 / 1800 - RL2 model;No;No;2012;Discontinued;107 x 51 x 12 mm (4.21 x 2.01 x 0.47 in);74 g (2.61 oz);Mini-SIM;Flashlight;TFT;1.8 inches, 10.2 cm(~18.7% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Infineon PMB7880;;;No;0.3MB 2MB RAM;No;;;No;2.0;No;No;FM radio;No;;Li-Ion 1000 mAh, removable;Up to 400 h;Up to 4 h;Silver;;;
https://www.gsmarena.com/emporia_solid_plus-6231.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg;Emporia Solid Plus;Released 2013;142g, 18mm thickness;Feature phone;0.5MB 4MB RAM storage, no card slot;2;N/A;77,714 hits;"1.8""";128x160 pixels;4 MB RAM;MT6223;1750 mAh Li-Ion;GSM 900 / 1800;No;No;2013;Discontinued;119 x 60 x 18 mm (4.69 x 2.36 x 0.71 in);142 g (5.01 oz);Mini-SIM;IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810F compliantFlashlight;TFT;1.8 inches, 10.2 cm(~14.3% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Mediatek MT6223;;No;No;0.5MB 4MB RAM;No;;;No;2.0;GPS;No;No;No;;Li-Ion 1750 mAh, removable;Up to 400 h;Up to 5 h;White, Yellow;;;
https://www.gsmarena.com/emporia_care_plus-6230.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCAREplus.jpg;Emporia Care Plus;Released 2013;103g, 18mm thickness;Feature phone;0.5MB 4MB RAM storage, no card slot;0;N/A;61,719 hits;"2.2""";176x220 pixels;4 MB RAM;MT6223;1750 mAh Li-Ion;GSM 900 / 1800;No;No;2013;Discontinued;122 x 55 x 18 mm (4.80 x 2.17 x 0.71 in);103 g (3.63 oz);Mini-SIM;Flashlight;TFT;2.2 inches, 15.2 cm(~22.7% screen-to-body ratio);176 x 220 pixels (~128 ppi density);Mediatek MT6223;;No;No;0.5MB 4MB RAM;No;;;No;2.0;GPS;No;FM radio;No;;Li-Ion 1750 mAh, removable;Up to 300 h;Up to 6 h;Black;;;
https://www.gsmarena.com/emporia_elegance_plus-6229.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCEplus.jpg;Emporia Elegance Plus;Released 2012;92g, 14mm thickness;Feature phone;0.3MB 2MB RAM storage, no card slot;0;N/A;67,872 hits;"1.8""";128x160 pixels;2 MB RAM;Infineon PMB7880;1100 mAh Li-Ion;GSM 900 / 1800;No;No;2012;Discontinued;109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in);92 g (3.25 oz);Mini-SIM;Flashlight;TFT;1.8 inches, 10.2 cm(~18.7% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Infineon PMB7880;;;No;0.3MB 2MB RAM;No;;;No;2.0;No;No;FM radio;No;;Li-Ion 1100 mAh, removable;Up to 300 h;Up to 4 h;Black;;;
https://www.gsmarena.com/emporia_elegance-6259.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCE-V35.jpg;Emporia Elegance;Released 2012;92g, 14mm thickness;Feature phone;0.3MB 2MB RAM storage, no card slot;2;N/A;69,476 hits;"1.8""";128x160 pixels;2 MB RAM;Infineon PMB7880;1100 mAh Li-Ion;GSM 900 / 1800;No;No;2012;Discontinued;109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in);92 g (3.25 oz);Mini-SIM;Flashlight;TFT;1.8 inches, 10.2 cm(~18.7% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Infineon PMB7880;;;No;0.3MB 2MB RAM;No;;;No;2.0;No;No;FM radio;No;;Li-Ion 1100 mAh, removable;Up to 300 h;Up to 4 h;Black, White, Brown;;;
https://www.gsmarena.com/emporia_connect-6228.php;https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg;Emporia Connect;Released 2012;110g, 20mm thickness;Feature phone;20MB 64MB RAM storage, microSD slot;1;N/A;71,737 hits;"2.8""";240x400 pixels;64 MB RAM;QSC6270;1150 mAh Li-Ion;GSM 900 / 1800;;;2012;Discontinued;108 x 53 x 20 mm (4.25 x 2.09 x 0.79 in);110 g (3.88 oz);Mini-SIM;Flashlight;TFT;2.8 inches, 22.3 cm(~39.0% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);Qualcomm QSC6270;;;microSD (dedicated slot);20MB 64MB RAM;2 MP;;No;No;2.1;A-GPS only;No;No;miniUSB;;Li-Ion 1150 mAh, removable;Up to 170 h;Up to 6 h;Black;UMTS 900 / 2100;Yes, 384 kbps;Organizer
