Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;chipset;cpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;price;os;gpu;memoryother;cam1features;cam2video;bodyother;net5g;displayprotection;displayother;cam2features;batstandby1;battalktime1;sar-us;build
https://www.gsmarena.com/energizer_e4-11646.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-e4.jpg;Energizer E4;Released 2022, August;65g, 13.5mm thickness;Feature phone;4MB storage, microSDHC slot;0;0.2%;25,280 hits;"1.77""";128x160 pixels;512 MB RAM;Unisoc SC6531DA;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;N/A;N/A;No;Yes;No;2022, June;Available. Released 2022, August;115 x 46 x 13.5 mm (4.53 x 1.81 x 0.53 in);65 g (2.29 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;1.77 inches, 9.9 cm(~18.6% screen-to-body ratio);128 x 160 pixels (~116 ppi density);Unisoc SC6531DA;312 MHz;microSDHC;4MB;QVGA;Yes;;No;2.0;No;No;FM radio;microUSB;No;SOS feature;Li-Ion 1000 mAh battery, removable;Black, Blue, Red, Gold, Silver;About 10 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/energizer_ultimate_u608s-11634.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-u608s.jpg;Energizer Ultimate U608s;Released 2022, July;156.8g, 9.8mm thickness;Android 12;32GB storage, microSDXC;0;0.4%;41,411 hits;"6.08""";720x1520 pixels;2 GB RAM;Helio A22;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE;HSPA, LTE;;;2022, June;Available. Released 2022, July;155.4 x 73.3 x 9.8 mm (6.12 x 2.89 x 0.39 in);156.8 g (5.54 oz);Dual SIM (Nano-SIM, dual stand-by);LCD;6.08 inches, 92.3 cm(~81.0% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~277 ppi density);Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;microSDXC;32GB 2GB RAM;5 MP;1080p@30/60fps;5 MP;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS;No;FM radio;microUSB;;;Li-Ion 3000 mAh;Black;About 90 EUR;Android 12 (Go edition);PowerVR GE8320;eMMC 5.1;LED flash;720p;;;;;;;;;
https://www.gsmarena.com/energizer_e242s-11535.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s.jpg;Energizer E242s;Released 2022, April 10;116g, 13mm thickness;KaiOS 2.5.3;4GB 512MB RAM storage, microSDHC slot;2;0.2%;22,137 hits;"2.4""";240x320 pixels;512 MB RAM;MT6739;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20, 28, 38, 40, 41;HSPA, LTE;;;2022, April 10;Available. Released 2022, April 10;130.8 x 53.6 x 13 mm (5.15 x 2.11 x 0.51 in);116 g (4.09 oz);Dual SIM (Micro-SIM, dual stand-by);TFT LCD, 256K colors;2.4 inches, 17.8 cm(~25.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Mediatek MT6739;Quad-core 1.5 GHz;microSDHC;4GB 512MB RAM;0.3 MP;Yes;0.3 MP;Yes;4.2, A2DP, LE;GPS;No;FM radio;microUSB;No;Downloadable applications Facebook, Gmail, Whatsapp, etc.;Li-Ion 1700 mAh battery, removable;Black, Blue, Pink, Gold, Silver;About 40 EUR;KaiOS 2.5.3;PowerVR GE8100;;LED flash;Yes;;;;;;;;;
https://www.gsmarena.com/energizer_e284s-10068.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-e284s.jpg;Energizer E284S;Released 2022, Q2;131g, 15.6mm thickness;Feature phone;128MB storage, microSDHC slot;4;0.1%;27,499 hits;"2.8""";240x320 pixels;64 MB RAM;Unisoc T117;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20, 28, 38, 40, 41;HSPA, LTE;;;2021, December;Available. Released 2022, Q2;137.6 x 62.5 x 15.6 mm (5.42 x 2.46 x 0.61 in);131 g (4.62 oz);Dual SIM (Nano-SIM, dual stand-by);TFT LCD;2.8 inches, 24.3 cm(~28.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Unisoc T117;1 GHz;microSDHC;128MB, 64MB RAM;2 MP;Yes;VGA;Yes;2.1;No;No;FM radio;microUSB;No;;Li-Ion 2000 mAh, removable;Black, Blue, Red, Green;About 50 EUR;;;eMMC;LED flash;Yes;;;;;;;;;
https://www.gsmarena.com/energizer_ultimate_u505s-10061.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-u505s.jpg;Energizer Ultimate U505s;Released 2022, March;10.6mm thickness;Android 11;16GB storage, microSDHC;6;0.2%;39,508 hits;"5.0""";480x854 pixels;1 GB RAM;MT6739;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20, 28, 38, 40, 41;HSPA, LTE;;;2022, March;Available. Released 2022, March;138.5 x 73.5 x 10.6 mm (5.45 x 2.89 x 0.42 in);-;Dual SIM (Nano-SIM, dual stand-by);TFT LCD;5.0 inches, 68.9 cm(~67.7% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Mediatek MT6739;Quad-core 1.5 GHz;microSDHC;16GB 1GB RAM;5 MPVGA;1080p@30fps;2 MP;Yes;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Po 3000 mAh, removable;Black;About 80 EUR;Android 11 (Go edition);;eMMC 5.1;LED flash;720p;;;;;;;;;
https://www.gsmarena.com/energizer_e282sc-11370.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-e282sc.jpg;Energizer E282SC;Released 2021, December;101g, 18.5mm thickness;KaiOS 2.5.3;4GB 512MB RAM storage, microSDHC slot;5;0.1%;27,579 hits;"2.8""";240x320 pixels;512 MB RAM;MT6731;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20, 28, 38, 40, 41;HSPA;;;2021, December;Available. Released 2021, December;108.5 x 58 x 18.5 mm (4.27 x 2.28 x 0.73 in);101 g (3.56 oz);Dual SIM (Micro-SIM, dual stand-by);TFT LCD;2.8 inches, 24.3 cm(~38.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Mediatek MT6731 (28 nm);Quad-core 1.1 GHz;microSDHC;4GB 512MB RAM;2 MP;No;No;Yes;4.2, A2DP;GPS;No;FM radio;microUSB 2.0;;;Li-Ion 1400 mAh, removable;Black, Silver/Diamond, Gold/Diamond, Pink/Diamond;About 60 EUR;KaiOS 2.5.3;PowerVR GE8100;;;;Flashlight;;;;;;;;
https://www.gsmarena.com/energizer_hard_case_g5-10998.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-g5.jpg;Energizer Hard Case G5;Released 2021, Q4;13.7mm thickness;Android 11;128GB storage, microSDXC;15;0.1%;113,024 hits;"6.3""";1080x2340 pixels;6 GB RAM;Dimensity 800U;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41;HSPA, LTE, 5G;;;2021, June 29;Available. Released 2021, Q4;167.7 x 78.2 x 13.7 mm (6.60 x 3.08 x 0.54 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.3 inches, 97.4 cm(~74.3% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density);Mediatek MT6853 Dimensity 800U (7 nm);Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);microSDXC;128GB 6GB RAM;48 MP, (wide), AF20 MP, f/1.813 MP, f/2.4, (ultrawide);1080p@30fps;8 MP;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;;Li-Po 5000 mAh, non-removable;Black;About 500 EUR;Android 11;Mali-G57 MC3;eMMC 5.1;LED flash;1080p@30fps;IP69 dust/water resistant (up to 1.2m for 30 min)Drop-to-concrete resistance from up to 1.2m;1, 3, 8, 28, 38, 41, 77, 78, 79 SA/NSA;Corning Gorilla Glass 5;;;;;;
https://www.gsmarena.com/energizer_u680s-10060.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-u680s.jpg;Energizer U680S;Released 2021, Q3;;Android 11;32GB storage, microSDHC;12;0.1%;80,445 hits;"6.8""";720x1640 pixels;2 GB RAM;Unisoc SC9863A;7000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 28, 40, 41;HSPA, LTE;;;2021, June 29;Available. Released 2021, Q3;-;-;Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;6.8 inches, 109.8 cm;720 x 1640 pixels (~263 ppi density);Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);microSDHC;32GB 2GB RAM;13 MP, AF2 MPVGA;1080p@30fps;5 MP;Wi-Fi 802.11 b/g/n;4.0;GPS;No;FM radio;USB Type-C 2.0;Accelerometer, proximity;;Li-Po 7000 mAh, non-removable;Green, Black;About 120 EUR;Android 11;IMG8322;eMMC 5.1;LED flash;;;;;;;;;;
https://www.gsmarena.com/energizer_e28-10953.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-e28.jpg;Energizer E28;Released 2021, April;113g, 16.9mm thickness;Feature phone;microSD slot;1;0.1%;37,496 hits;"2.8""";240x320 pixels; ;Spreadtrum SC6531E;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;Yes;No;2021, April;Available. Released 2021, April;134.5 x 56 x 16.9 mm (5.30 x 2.20 x 0.67 in);113 g (3.99 oz);Dual SIM (Mini-SIM, Micro-SIM);TFT LCD, 256K colors;2.8 inches, 24.3 cm(~32.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Spreadtrum SC6531E;;microSD;;QVGA;Yes;;No;2.1;No;No;FM radio;microUSB;;;Li-Ion 3000 mAh battery;Black, Gray, Blue, White, Green, Brown, Yellow;About 20 EUR;;;;LED flash;;Flashlight;;;;;;;;
https://www.gsmarena.com/energizer_e24-10952.php;https://fdn2.gsmarena.com/vv/bigpic/energizer-e24.jpg;Energizer E24;Released 2021, April;105g, 14.5mm thickness;Feature phone;microSD slot;1;N/A;26,410 hits;"2.4""";240x320 pixels; ;Spreadtrum SC6531E;1900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;Yes;No;2021, April;Available. Released 2021, April;125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in);105 g (3.70 oz);Dual SIM (Mini-SIM, Micro-SIM);TFT LCD, 256K colors;2.4 inches, 17.8 cm(~26.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Spreadtrum SC6531E;;microSD;;QVGA;Yes;QVGA;No;2.1;No;No;FM radio;microUSB;;;Li-Ion 1900 mAh battery;Black, Gray, Blue, White, Green, Brown, Yellow;About 20 EUR;;;;LED flash;;Flashlight;;;;;;;;
