Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;price;net3g;speed;cam2video;batstandby1;battalktime1
https://www.gsmarena.com/eten_glofiish_x610-2419.php;https://fdn2.gsmarena.com/vv/bigpic/eten-x610.jpg;Eten glofiish X610;Released 2008, December;136g, 15mm thickness;Microsoft Windows Mobile 6.1 Professional;64MB RAM storage, microSD slot;11;N/A;354,198 hits;"2.8""";320x240 pixels;64 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;Class 10;2008, June. Released 2008, December;Discontinued;107 x 58 x 15 mm (4.21 x 2.28 x 0.59 in);136 g (4.80 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~39.1% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.1 Professional;Samsung S3C2442 400 MHz;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP;LED flash;Yes;No;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;No;miniUSB;;Pocket OfficeWindows MPlayer 10Direct push technologyOrganizerVoice memo;Removable Li-Ion battery;Black;About 200 EUR;;;;;
https://www.gsmarena.com/eten_glofiish_v900-2418.php;https://fdn2.gsmarena.com/vv/bigpic/eten-v900.jpg;Eten glofiish V900;Released 2008, December;147g, 17mm thickness;Microsoft Windows Mobile 6.1 Professional;128MB RAM storage, microSDHC slot;7;N/A;278,606 hits;"2.8""";480x640 pixels;128 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, June. Released 2008, December;Discontinued;106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in);147 g (5.19 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~37.9% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.1 Professional;Samsung 667 MHz;microSDHC (dedicated slot);128MB RAM, 256MB ROM;3.15 MP, AF;LED flash;Yes;VGA videocall camera;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;FM radio;miniUSB 1.1;;DVB-H/DVB-T/T-DMB/DAB TV broadcast receiverMP3/WMA/WAV/eAAC+ playerMP4/H.263/WMV playerPocket OfficeOrganizerTV-outVoice memoPredictive text input;Removable Li-Ion 1530 mAh battery;Black;About 590 EUR;HSDPA 850 / 1900 / 2100;HSPA 3.6/0.384 Mbps;;;
https://www.gsmarena.com/eten_glofiish_x900-2417.php;https://fdn2.gsmarena.com/vv/bigpic/eten-x900.jpg;Eten glofiish X900;Released 2008;147g, 17mm thickness;Microsoft Windows Mobile 6.1 Professional;128MB RAM storage, microSD slot;10;N/A;217,576 hits;"2.8""";480x640 pixels;128 MB RAM;;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, June. Released 2008;Discontinued;106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in);147 g (5.19 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~37.9% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.1 Professional;Samsung S3C 6400 533 MHz;microSD (dedicated slot);128MB RAM, 256MB ROM;3.15 MP, AF;;Yes;VGA videocall camera;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;No;Proprietary;;TV-outPocket OfficeWindows MPlayer 10OrganizerVoice memo;Removable Li-Ion battery;Black;About 350 EUR;HSDPA 850 / 1900 / 2100;HSPA 3.6/0.384 Mbps;;;
https://www.gsmarena.com/eten_glofiish_dx900-2416.php;https://fdn2.gsmarena.com/vv/bigpic/eten-dx900.jpg;Eten glofiish DX900;Released 2008, December;147g, 17mm thickness;Microsoft Windows Mobile 6.1 Professional;128MB RAM storage, microSD slot;11;N/A;315,394 hits;"2.8""";480x640 pixels;128 MB RAM;;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;2008, June. Released 2008, December;Discontinued;106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in);147 g (5.19 oz);Dual SIM (Mini-SIM);TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~37.9% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.1 Professional;Samsung S3C 6400 533 MHz;microSD (dedicated slot);128MB RAM, 256MB ROM;3.15 MP, AF;;Yes;VGA videocall camera;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;No;Proprietary;;TV-outPocket OfficeWindows MPlayer 10OrganizerVoice memo;Removable Li-Ion battery;Black;About 320 EUR;HSDPA 850 / 1900 / 2100 - SIM 1;HSPA 3.6/0.384 Mbps;;;
https://www.gsmarena.com/eten_glofiish_m750-2344.php;https://fdn2.gsmarena.com/vv/bigpic/eten-m750.jpg;Eten glofiish M750;Released 2008;179g, 17.5mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;8;N/A;133,402 hits;"2.8""";320x240 pixels;64 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;Class 10;2008, April. Released 2008;Discontinued;109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in);179 g (6.31 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~37.6% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Samsung S3C 2442 500 MHz;microSD (dedicated slot);64MB RAM, 256MB ROM;2 MP, AF;;No;No;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;FM radio;miniUSB;;Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo;Removable Li-Ion 1530 mAh battery;Black;;;;;Up to 260 h;Up to 6 h
https://www.gsmarena.com/eten_glofiish_m810-2343.php;https://fdn2.gsmarena.com/vv/bigpic/eten-m810.jpg;Eten glofiish M810;Released 2008, August;179g, 17.5mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;9;N/A;168,055 hits;"2.8""";320x240 pixels;64 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, April. Released 2008, August;Discontinued;109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in);179 g (6.31 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~37.6% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Samsung S3C 2442 500 MHz;microSD (dedicated slot);64MB RAM, 256MB ROM;2 MP, AF;;Yes;VGA videocall camera;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;FM radio;miniUSB;;Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo;Removable Li-Ion 1530 mAh battery;Black;About 230 EUR;HSDPA 850 / 1900 / 2100;HSPA;;Up to 260 h;Up to 6 h
https://www.gsmarena.com/eten_glofiish_x650-2204.php;https://fdn2.gsmarena.com/vv/bigpic/eten-x650.jpg;Eten glofiish X650;Released 2008, March;136g, 14.7mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;11;N/A;252,750 hits;"2.8""";480x640 pixels;64 MB RAM;;1530 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;Class 10;Class 10;2008, January. Released 2008, March;Discontinued;107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in);136 g (4.80 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~39.1% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Samsung SC32442 500 MHz;microSD (dedicated slot);64MB RAM, 256MB ROM;2 MP, AF;;Yes;No;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;FM radio;miniUSB;;Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo;Removable Li-Po 1530 mAh battery;Black, Purple;About 220 EUR;;;;Up to 170 h;Up to 6 h
https://www.gsmarena.com/eten_glofiish_m800-2163.php;https://fdn2.gsmarena.com/vv/bigpic/eten-m800.gif;Eten glofiish M800;Released 2008, March;178g, 18.4mm thickness;Microsoft Windows Mobile 6.0;64MB RAM storage, microSD slot;11;N/A;252,521 hits;;640x480 pixels, 2.8;64 MB RAM;;1530 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2007, October. Released 2008, March;Discontinued;113.8 x 57.8 x 18.4 mm (4.48 x 2.28 x 0.72 in);178 g (6.28 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;;640 x 480 pixels, 2.8, 4:3 ratio;Handwriting recognition;Microsoft Windows Mobile 6.0;Samsung S3C2442 500 MHz;microSD (dedicated slot);64MB RAM, 256MB ROM;2 MP, AF;;Yes;VGA videocall camera;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;FM radio;miniUSB;;Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo;Removable Li-Po 1530 mAh battery;Silver;About 230 EUR;HSDPA 850 / 1900 / 2100;HSPA;;Up to 150 h;Up to 4 h
https://www.gsmarena.com/eten_glofiish_x600-2162.php;https://fdn2.gsmarena.com/vv/bigpic/eten-x600.gif;Eten glofiish X600;Released 2008, January;136g, 14.7mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;9;N/A;211,766 hits;"2.8""";320x240 pixels;64 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;Class 10;2007, October. Released 2008, January;Discontinued;107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in);136 g (4.80 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~39.1% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Samsung S3C2442 400 MHz;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP;;Yes;No;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;FM radio;miniUSB;;Pocket OfficeeBook readerWindows MPlayer 10Direct push technologyOrganizerVoice memo;Removable Li-Ion 1530 mAh battery;Black, Red;About 170 EUR;;;;Up to 200 h;Up to 7 h
https://www.gsmarena.com/eten_glofiish_x500+-1986.php;https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif;Eten glofiish X500+;Released 2007, May;146g, 15.5mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;12;N/A;244,527 hits;"2.8""";640x480 pixels;64 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;Class 10;2007, May;Discontinued;113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in);146 g (5.15 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~36.1% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Samsung S3C2440 400 MHz;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP;;Yes;No;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;FM radio;miniUSB;;Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo;Removable Li-Ion 1530 mAh battery;Silver, Black;About 180 EUR;;;;Up to 170 h;Up to 5 h
