Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;price;cam1features;net4g;displayprotection;memoryother;gprstext;edge;sar-eu;featuresother;displayother;bodyother
https://www.gsmarena.com/gigabyte_gsmart_essence_4-7703.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg;Gigabyte GSmart Essence 4;Released 2015, November;105g, 9.6mm thickness;Android 4.4;4GB 512MB RAM storage, microSDHC slot;3;0.1%;249,994 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, October. Released 2015, November;Discontinued;124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in);105 g (3.70 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;4.0 inches, 45.5 cm(~59.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4 (KitKat);Mediatek MT6572 (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 512MB RAM;2 MP;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1300 mAh, removable;Up to 300 h;Up to 12 h;Black;About 60 EUR;;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_classic_lite-7702.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg;Gigabyte GSmart Classic Lite;Released 2015, November;145g, 9.2mm thickness;Android 4.4;8GB storage, microSDHC;1;N/A;161,196 hits;"5.0""";480x854 pixels;512 MB RAM;Spreadtrum SC7731;2100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, October. Released 2015, November;Discontinued;143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in);145 g (5.11 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.4 (KitKat);Spreadtrum SC7731;Quad-core 1.2 GHz;Mali-400;microSDHC (dedicated slot);8GB 512MB RAM;5 MP;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2100 mAh, removable;Up to 250 h;Up to 12 h;Black;About 80 EUR;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_essence-7701.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg;Gigabyte GSmart Essence;Released 2015, October;125g, 8.8mm thickness;Android 4.4;8GB storage, microSDHC;1;N/A;154,408 hits;"4.5""";480x854 pixels;512 MB RAM;Spreadtrum SC7731;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, October. Released 2015, October;Discontinued;134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in);125 g (4.41 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;4.5 inches, 55.8 cm(~62.2% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.4 (KitKat);Spreadtrum SC7731;Quad-core 1.2 GHz;Mali-400;microSDHC (dedicated slot);8GB 512MB RAM;5 MP;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1600 mAh, removable;Up to 240 h;Up to 12 h;Black, White;About 70 EUR;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_classic-7700.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg;Gigabyte GSmart Classic;Released 2015, October;150g, 8.6mm thickness;Android 5.1;8GB storage, microSDHC;1;N/A;164,561 hits;"5.0""";720x1280 pixels;1 GB RAM;Spreadtrum SC7731;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, October. Released 2015, October;Discontinued;145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in);150 g (5.29 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Spreadtrum SC7731;Quad-core 1.2 GHz;Mali-400;microSDHC (dedicated slot);8GB 1GB RAM;8 MP, AF;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 230 h;Up to 10 h;Black, Gray;About 100 EUR;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_guru_gx-6985.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg;Gigabyte GSmart Guru GX;Released 2015, April;115g, 7mm thickness;Android 4.4;32GB storage, microSDXC;15;N/A;299,115 hits;"5.0""";1080x1920 pixels;2 GB RAM;Snapdragon 615;2300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2015, January. Released 2015, April;Discontinued;139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in);115 g (4.06 oz);Dual SIM (Nano-SIM/ Micro-SIM);IPS LCD;5.0 inches, 68.9 cm(~71.9% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 4.4 (KitKat);Qualcomm MSM8939 Snapdragon 615 (28 nm);Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Adreno 405;microSDXC (dedicated slot);32GB 2GB RAM;13 MP, AF;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2300 mAh, non-removable;Up to 200 h;Up to 14 h;Black;;LED flash;3, 7, 20;Corning Gorilla Glass 3;eMMC 4.5;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_mika_mx-6988.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg;Gigabyte GSmart Mika MX;Released 2015, February;165g, 9.8mm thickness;Android 4.4;8GB storage, microSDHC;3;N/A;180,911 hits;"5.0""";540x960 pixels;1 GB RAM;Snapdragon 410;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2015, January. Released 2015, February;Discontinued;143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in);165 g (5.82 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.9% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~220 ppi density);Android 4.4 (KitKat);Qualcomm MSM8916 Snapdragon 410 (28 nm);Quad-core 1.2 GHz Cortex-A53;Adreno 306;microSDHC (dedicated slot);8GB 1GB RAM;5 MP, AF;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3000 mAh, removable;Up to 320 h;Up to 20 h;Black;;;3, 7, 8;;eMMC 4.5;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_roma_rx-6989.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg;Gigabyte GSmart Roma RX;Released 2015, April;155g, 9.5mm thickness;Android 4.4;4GB 512MB RAM storage, microSDHC slot;1;N/A;144,048 hits;"5.0""";480x854 pixels;512 MB RAM;MT6582;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2015, January. Released 2015, April;Discontinued;142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in);155 g (5.47 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.5% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.4 (KitKat);Mediatek MT6582 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC (dedicated slot);4GB 512MB RAM;5 MP;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 400 h;Up to 20 h;Black;;;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_akta_a4-6832.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg;Gigabyte GSmart Akta A4;Released 2014, November;158g, 9.6mm thickness;Android 4.4.2;8GB storage, microSDHC;24;N/A;238,954 hits;"5.0""";540x960 pixels;1 GB RAM;MT6592;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA 21.1/5.76 Mbps;2014, November. Released 2014, November;Discontinued;147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in);158 g (5.57 oz);Dual SIM (Mini-SIM/ Micro-SIM);IPS LCD;5.0 inches, 68.9 cm(~64.2% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~220 ppi density);Android 4.4.2 (KitKat);Mediatek MT6592 (28 nm);Octa-core 1.4 GHz Cortex-A7;Mali-450MP4;microSDHC (dedicated slot);8GB 1GB RAM;13 MP, AF;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, gyro, proximity, compass;Li-Ion 1800 mAh, removable;Up to 250 h;Up to 6 h;Navy Blue;;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_mika_m3-6797.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg;Gigabyte GSmart Mika M3;Released 2014, November;146g, 8.3mm thickness;Android 4.4.2;8GB storage, microSDHC;19;N/A;203,977 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6582;1900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 21.1/5.76 Mbps;2014, October. Released 2014, November;Discontinued;144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in);146 g (5.15 oz);Dual SIM (Mini-SIM/ Micro-SIM);IPS LCD;5.0 inches, 68.9 cm(~67.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC (dedicated slot);8GB 1GB RAM;13 MP, AF;Yes;8 MP;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1900 mAh, removable;Up to 150 h;Up to 4 h 30 min;Navy Blue;;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_gx2-6587.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg;Gigabyte GSmart GX2;Released 2014, September;135g, 8.7mm thickness;Android 4.4.2;8GB storage, microSDXC;8;N/A;191,022 hits;"5.0""";1080x1920 pixels;2 GB RAM;Snapdragon 400;2200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2014, August. Released 2014, September;Discontinued;146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in);135 g (4.76 oz);Dual SIM (Micro-SIM);IPS LCD;5.0 inches, 68.9 cm(~64.1% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 4.4.2 (KitKat);Qualcomm MSM8228 Snapdragon 400 (28 nm);Quad-core 1.6 GHz Cortex-A7;Adreno 305;microSDXC (dedicated slot);8GB 2GB RAM;13 MP, AF;Yes;2 MP;;Wi-Fi 802.11 a/b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2200 mAh, removable;Up to 350 h;Up to 12 h;Black;;LED flash;;;eMMC 4.5;;;;;;
