Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;net2g;gprstext;edge;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;chipset;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;Battery;net3g;net4g;speed;displayprotection;os;cpu;gpu;cam1features;cam2features;cam2video;memoryother;build;sar-eu;price;displayother;batstandby1;battalktime1
https://www.gsmarena.com/haier_c300-9170.php;https://fdn2.gsmarena.com/vv/bigpic/haier-c300.jpg;Haier C300;Released 2018, May;80g, 17.9mm thickness;Feature phone;32MB ROM storage, microSDHC slot;0;N/A;56,300 hits;"1.77""";128x160 pixels;32 MB RAM;MT6261D;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;Yes;No;2018, May. Released 2018, May;Discontinued;97.4 x 47.9 x 17.9 mm (3.83 x 1.89 x 0.70 in);80 g (2.82 oz);Dual SIM;Flashlight;TFT, 65K colors;1.77 inches, 9.9 cm(~21.1% screen-to-body ratio);128 x 160 pixels (~116 ppi density);Mediatek MT6261D;microSDHC;32MB ROM, 32MB RAM;2 MP;Yes;No;No;Yes;No;No;FM radio;microUSB;;Audio playerPhoto viewer;Li-Ion, removable;Black, Gold;;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/haier_hurricane-9169.php;https://fdn2.gsmarena.com/vv/bigpic/haier-hurricane.jpg;Haier Hurricane;Released 2018, January;145g, 8.3mm thickness;Android 7.0;16GB storage, microSDXC;4;0.1%;125,526 hits;"5.7""";720x1440 pixels;2 GB RAM;MT6753;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2018, January;Available. Released 2018, January;151.5 x 72.5 x 8.3 mm (5.96 x 2.85 x 0.33 in);145 g (5.11 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;5.7 inches, 83.8 cm(~76.3% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Mediatek MT6753 (28 nm);microSDXC (dedicated slot);16GB 2GB RAM;13 MP, f/2.0, 1.12 µm, PDAF;1080p@30fps;"8 MP, f/2.0, 1/4"", no AF";Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;;Li-Ion 3300 mAh, non-removable;Black, Blue, Red, Green;3300 mAh Li-Ion;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 40, 41;HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;Asahi Dragontrail Glass;Android 7.0 (Nougat);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;LED flash, HDR, panorama;LED flash;;;;;;;;
https://www.gsmarena.com/haier_g8-9057.php;https://fdn2.gsmarena.com/vv/bigpic/haier-g8.jpg;Haier G8;Released 2018, April;135g, 8.5mm thickness;Android 7.0;16GB storage, microSDXC;2;N/A;63,500 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6737;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;Not announced yet;Available. Released 2018, April;142.8 x 70.7 x 8.5 mm (5.62 x 2.78 x 0.33 in);135 g (4.76 oz);Dual SIM (Micro-SIM, dual stand-by);;IPS LCD;5.0 inches, 68.9 cm(~68.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Mediatek MT6737 (28 nm);microSDXC (dedicated slot);16GB 1GB RAM;"8 MP, f/2.0, 1/4.0"", 1.12µm, AF";720p@30fps;"8 MP, f/2.0, 1/4"", 1.12µm";Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 2500 mAh, removable;Black, White, Blue;2500 mAh Li-Ion;HSDPA 900 / 2100;1, 3, 5, 7, 8, 20, 40;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;Asahi Dragontrail Glass;Android 7.0 (Nougat);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP1;LED flash, HDR, panorama;LED flash;;eMMC 5.0;;;;;;
https://www.gsmarena.com/haier_l8-9055.php;https://fdn2.gsmarena.com/vv/bigpic/haier-l8.jpg;Haier L8;Released 2018, April;140g, 8.4mm thickness;Android 7.1;32GB storage, microSDXC;9;N/A;91,063 hits;"5.99""";1080x2160 pixels;3 GB RAM;Snapdragon 450;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2018, March;Available. Released 2018, April;160 x 76 x 8.4 mm (6.30 x 2.99 x 0.33 in);140 g (4.94 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;5.99 inches, 92.6 cm(~76.1% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~403 ppi density);Qualcomm SDM450 Snapdragon 450 (14 nm);microSDXC (dedicated slot);32GB 3GB RAM;12 MP, PDAF2 MP, (depth);1080p@30fps;"8 MP, f/2.0, 1/4"", 1.12µm";Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;;Li-Ion 4000 mAh, non-removable;Black, Gold, Blue;4000 mAh Li-Ion;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps;Asahi Dragontrail Glass;Android 7.1 (Nougat);Octa-core 1.8 GHz Cortex-A53;Adreno 506;Dual-LED dual-tone flash, HDR, panorama;LED flash;;eMMC 5.1;Glass front (Asahi Dragontrail), aluminum back, aluminum frame;;;;;
https://www.gsmarena.com/haier_i6-9056.php;https://fdn2.gsmarena.com/vv/bigpic/haier-l6.jpg;Haier I6;Released 2018, January;145g, 8.3mm thickness;Android 7.1;32GB storage, microSDXC;4;N/A;75,576 hits;"5.7""";720x1440 pixels;3 GB RAM;MT6753;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2018, January;Available. Released 2018, January;151.5 x 72.5 x 8.3 mm (5.96 x 2.85 x 0.33 in);145 g (5.11 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;5.7 inches, 83.8 cm(~76.3% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Mediatek MT6753 (28 nm);microSDXC (dedicated slot);32GB 3GB RAM;13 MP, f/2.0, 1.12µm, PDAF;1080p@30fps;"8 MP, f/2.0, 1/4"", no AF";Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;;Li-Ion 3300 mAh, non-removable;Black, Blue, Red, Green;3300 mAh Li-Ion;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 40, 41;HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;;Android 7.1 (Nougat);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;LED flash, HDR, panorama;LED flash;;;Glass front, aluminum back, aluminum frame;0.32 W/kg (head)     1.19 W/kg (body);;;;
https://www.gsmarena.com/haier_l7-9048.php;https://fdn2.gsmarena.com/vv/bigpic/haier-l7.jpg;Haier L7;Released 2017;160g, 7.9mm thickness;Android 7.1;32GB storage, microSDXC;7;0.1%;145,692 hits;"5.5""";1080x1920 pixels;3 GB RAM;Snapdragon 430;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2017;Available. Released 2017;152 x 76 x 7.9 mm (5.98 x 2.99 x 0.31 in);160 g (5.64 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);;IPS LCD;5.5 inches, 83.4 cm(~72.2% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Qualcomm MSM8937 Snapdragon 430 (28 nm);microSDXC (uses shared SIM slot);32GB 3GB RAM;13 MP, f/2.2, PDAF;1080p@30fps;5 MP, f/2.4;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;;Li-Ion 3000 mAh, non-removable;Gold, Gray, Silver, Black, Red;3000 mAh Li-Ion;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;Asahi Dragontrail Glass;Android 7.1 (Nougat);Octa-core 1.4 GHz Cortex-A53;Adreno 505;Dual-LED dual-tone flash, HDR, panorama;LED flash;;eMMC 5.1;Glass front (Asahi Dragontrail), aluminum/plastic back, aluminum frame;0.17 W/kg (head)     0.69 W/kg (body);About 120 EUR;;;
https://www.gsmarena.com/haier_g7-9049.php;https://fdn2.gsmarena.com/vv/bigpic/haier-g7.jpg;Haier G7;Released 2017;135g, 8.1mm thickness;Android 7.0;16GB storage, microSDHC;7;N/A;134,712 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6737;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2017;Available. Released 2017;143 x 71.5 x 8.1 mm (5.63 x 2.81 x 0.32 in);135 g (4.76 oz);Dual SIM (Micro-SIM, dual stand-by);;IPS LCD;5.0 inches, 68.9 cm(~67.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Mediatek MT6737 (28 nm);microSDHC (dedicated slot);16GB 1GB RAM;8 MP, AF;720p@30fps;5 MP;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 2200 mAh, removable;Black, White, Yellow, Blue;2200 mAh Li-Ion;HSDPA 900 / 2100;1, 3, 7, 20;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;Scratch-resistant glass;Android 7.0 (Nougat);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP1;LED flash, HDR, panorama;LED flash;;eMMC 5.0;;0.53 W/kg (head)     0.87 W/kg (body);;;;
https://www.gsmarena.com/haier_g51-9050.php;https://fdn2.gsmarena.com/vv/bigpic/haier-g51-.jpg;Haier G51;Released 2017;155g, 9.1mm thickness;Android 7.0;8GB storage, microSDHC;2;N/A;77,541 hits;"5.0""";480x854 pixels;1 GB RAM;MT6737M;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2017;Available. Released 2017;142.6 x 72.9 x 9.1 mm (5.61 x 2.87 x 0.36 in);155 g (5.47 oz);Dual SIM (Micro-SIM, dual stand-by);;IPS LCD;5.0 inches, 68.9 cm(~66.3% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Mediatek MT6737M (28 nm);microSDHC (dedicated slot);8GB 1GB RAM;5 MP, f/2.0, AF;720p@30fps;5 MP, f/2.4;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 2000 mAh, removable;Black, Gold, White, Blue;2000 mAh Li-Ion;HSDPA 900 / 2100;1, 3, 7, 8, 20;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;Scratch-resistant glass;Android 7.0 (Nougat);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP1;Dual-LED dual-tone flash, HDR, panorama;Dual-LED dual-tone flash;;eMMC 5.0;;0.71 W/kg (head)     1.11 W/kg (body);;;;
https://www.gsmarena.com/haier_u69-3389.php;https://fdn2.gsmarena.com/vv/bigpic/haier-u69.jpg;Haier U69;Released 2010, April;111g, 12.2mm thickness;Microsoft Windows Mobile 6.5 Professional;microSD slot;6;N/A;164,154 hits;"3.0""";240x400 pixels; ;;GSM 900 / 1800;Class 10;Class 10;2010. Released 2010, April;Discontinued;110 x 55 x 12.2 mm (4.33 x 2.17 x 0.48 in);111 g (3.92 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors;3.0 inches, 25.6 cm(~42.3% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);;microSD (dedicated slot);;2 MP;No;No;No;2.0, A2DP;No;;FM radio;2.0;Accelerometer;MP3/WAV/WMA/eAAC playerMP4/H.264 playerOrganizerDocument viewerVoice memoPredictive text input;Removable Li-Ion 1100 mAh battery;Silver;1100 mAh Li-Ion;;;;;Microsoft Windows Mobile 6.5 Professional;;;;;;;;;;;;
https://www.gsmarena.com/haier_u60-3388.php;https://fdn2.gsmarena.com/vv/bigpic/haier-u60.jpg;Haier U60;Released 2010;14.5mm thickness;Feature phone;microSD slot;6;N/A;81,106 hits;"2.4""";240x320 pixels; ;;GSM 900 / 1800;Class 10;No;2010. Released 2010;Discontinued;104 x 50 x 14.5 mm (4.09 x 1.97 x 0.57 in);-;Dual SIM (Mini-SIM);;TFT resistive touchscreen, 65K colors;2.4 inches, 17.8 cm(~34.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;microSD (dedicated slot);;VGA;No;No;No;2.0;No;;FM radio;No;;MP3/MP4 playerPredictive text input;Removable Li-Ion 900 mAh battery;Black;900 mAh Li-Ion;;;;;;;;;;;;;;;;;
