Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;models;price;displayprotection;tbench;batlife;gprstext;edge;displayother;sar-eu;sar-us;batstandby1;battalktime1
https://www.gsmarena.com/honor_magic5_pro-12148.php;https://fdn2.gsmarena.com/vv/bigpic/honor-magic5-pro.jpg;Honor Magic5 Pro;Exp. release 2023, March 31;219g, 8.8mm thickness;Android 13, MagicOS 7.1;256GB/512GB storage, no card slot;82;39%;103,128 hits;"6.81""";1312x2848 pixels;8-16 GB RAM;Snapdragon 8 Gen 2;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - China;1, 3, 5, 8, 28, 38, 41, 77, 78, 79 SA/NSA - China;HSPA, LTE-A, 5G;2023, February 27;Coming soon. Exp. release 2023, March 31;162.9 x 76.7 x 8.8 mm (6.41 x 3.02 x 0.35 in);219 g (7.72 oz);Glass front, glass back or eco leather back;Single SIM (Nano-SIM, eSIM) or Dual SIM (2xNano-SIM, eSIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min);LTPO OLED, 1B colors, 120Hz, HDR10+, 1800 nits (peak);6.81 inches, 113.7 cm(~91.0% screen-to-body ratio);1312 x 2848 pixels, 19.5:9 ratio (~460 ppi density);Android 13, MagicOS 7.1;Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm);Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Adreno 740;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;UFS 4.0;"50 MP, f/1.6, 23mm (wide), 1/1.12"" 1.4µm, multi-directional PDAF, Laser AF, OIS50 MP, f/3.0, 90mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.5"", AFTOF 3D (depth)";LED flash, HDR, panorama;4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10, 10-bit video;12 MP, f/2.4, 100˚ (ultrawide), 1.22µmTOF 3D, (depth/biometrics sensor);HDR;4K@30fps, 1080p@30fps;24-bit audio stereo recording;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a);Yes, HCE, NFC-SIM;No;USB Type-C 3.1, DisplayPort 1.2, OTG;Fingerprint (under display, ultrasonic), Face ID, accelerometer, gyro, proximity, compass, color spectrum;Ultra Wideband (UWB) support;Li-Po 5100 mAh, non-removable - InternationalSilicon-carbon 5450 mAh, non-removable - China only;Black, Meadow Green, Blue, Purple, Orange;PGT-AN10;About 1200 EUR;;;;;;;;;;
https://www.gsmarena.com/honor_magic5-12149.php;https://fdn2.gsmarena.com/vv/bigpic/honor-magic5-.jpg;Honor Magic5;Exp. release 2023, March 31;191g, 7.8mm thickness;Android 13, MagicOS 7.1;256GB storage, no card slot;28;14%;37,301 hits;"6.73""";1224x2688 pixels;12 GB RAM;Snapdragon 8 Gen 2;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - China;1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA - China;HSPA, LTE-A, 5G;2023, February 27;Coming soon. Exp. release 2023, March 31;161.4 x 75.5 x 7.8 mm (6.35 x 2.97 x 0.31 in);191 g (6.74 oz);Glass front, glass back or eco leather back;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;OLED, 1B colors, 120Hz, HDR10+, 1600 nits (peak);6.73 inches, 110.2 cm(~90.4% screen-to-body ratio);1224 x 2688 pixels (~439 ppi density);Android 13, MagicOS 7.1;Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm);Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Adreno 740;No;256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM;UFS;"54 MP, f/1.9, (wide), 1/1.49"", PDAF32 MP, f/2.4, (telephoto), PDAF, OIS, 2.5x optical zoom50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.5"", AF";LED flash, HDR, panorama;4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10, 10-bit video;12 MP, f/2.4, 100˚ (ultrawide), 1.22µm;HDR;4K@30fps, 1080p@30fps;24-bit audio stereo recording;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a);Yes, HCE, NFC-SIM;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum;Ultra Wideband (UWB) support;Li-Po 5100 mAh, non-removable;Black, Glacier Blue, Green, Purple, Orange;PGT-AN00;About 900 EUR;;;;;;;;;;
https://www.gsmarena.com/honor_magic5_lite-12107.php;https://fdn2.gsmarena.com/vv/bigpic/honor-magic5-lite.jpg;Honor Magic5 Lite;Released 2023, February 20;175g, 7.9mm thickness;Android 12, Magic UI 6.1;128GB storage, no card slot;29;15%;157,266 hits;"6.67""";1080x2400 pixels;6 GB RAM;Snapdragon 695 5G;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE (unspecified);SA/NSA;HSPA, LTE-A, 5G;2023, February 15;Available. Released 2023, February 20;161.6 x 73.9 x 7.9 mm (6.36 x 2.91 x 0.31 in);175 g (6.17 oz);;Dual SIM (Nano-SIM, dual stand-by);;AMOLED, 1B colors, 120Hz, 800 nits (HBM);6.67 inches, 107.4 cm(~89.9% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 12, Magic UI 6.1;Qualcomm SM6375 Snapdragon 695 5G (6 nm);Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Adreno 619;No;128GB 6GB RAM;;64 MP, f/1.8, (wide), PDAF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro);LED flash, panorama, HDR;1080p@30fps;16 MP, f/2.5, (wide);;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;;Li-Po 5100 mAh, non-removable;Midnight Black, Emerald Green, Titanium Silver;;;Scratch/drop-resistant glass;AnTuTu: 387250 (v9)GeekBench: 1912 (v5.1)GFXBench: 18fps (ES 3.1 onscreen);;;;;;;;
https://www.gsmarena.com/honor_x8a-12113.php;https://fdn2.gsmarena.com/vv/bigpic/honor-x8a.jpg;Honor X8a;Released 2023, February 11;179g, 7.5mm thickness;Android 12, Magic UI 6.1;128GB storage, no card slot;8;6.4%;70,103 hits;"6.7""";1080x2388 pixels;6/8 GB RAM;Helio G88;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);;HSPA, LTE-A;2023, February 08;Available. Released 2023, February 11;162.9 x 74.5 x 7.5 mm (6.41 x 2.93 x 0.30 in);179 g (6.31 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 90Hz;6.7 inches, 108.7 cm(~89.6% screen-to-body ratio);1080 x 2388 pixels (~391 ppi density);Android 12, Magic UI 6.1;Mediatek Helio G88 (12nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;No;128GB 6GB RAM, 128GB 8GB RAM;;100 MP, f/1.9, (wide), AF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro);LED flash, panorama, HDR;1080p@30fps;16 MP, f/2.5;;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes (CRT-LX1 only);No;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, compass;Virtual proximity sensing;Li-Po 4500 mAh, non-removable;Cyan Lake, Titanium Silver, Midnight Black;CRT-LX1, CRT-LX2, CRT-LX3;About 220 EUR;;;;;;;;;;
https://www.gsmarena.com/honor_x5-12093.php;https://fdn2.gsmarena.com/vv/bigpic/honor-x5.jpg;Honor X5;Released 2023, February 14;193g, 8.9mm thickness;Android 12;32GB storage, microSDXC;5;1.3%;50,094 hits;"6.5""";720x1600 pixels;2 GB RAM;Helio G25;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE;;HSPA, LTE;2023, January 24;Available. Released 2023, February 14;164 x 75.6 x 8.9 mm (6.46 x 2.98 x 0.35 in);193 g (6.81 oz);Glass front, plastic back, plastic frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);;TFT LCD;6.5 inches, 102.0 cm(~82.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 12 (Go edition);Mediatek MT6762 Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;32GB 2GB RAM;;8 MP, f/2.0, (wide), AF;LED flash;1080p@30fps;5 MP, f/2.2, (wide);;1080p@30fps;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;Unspecified;microUSB 2.0, OTG;Accelerometer, proximity;;Li-Po 5000 mAh, non-removable;Sunrise Orange, Ocean Blue, Midnight Black;;About 90 EUR;;;;;;;;;;
https://www.gsmarena.com/honor_x9a-12075.php;https://fdn2.gsmarena.com/vv/bigpic/honor-x9a.jpg;Honor X9a;Released 2023, January 06;175g, 7.9mm thickness;Android 12, Magic UI 6.1;128GB/256GB storage, no card slot;58;12%;309,749 hits;"6.67""";1080x2400 pixels;6/8 GB RAM;Snapdragon 695 5G;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE (unspecified);SA/NSA;HSPA, LTE-A, 5G;2023, January 04;Available. Released 2023, January 06;161.6 x 73.9 x 7.9 mm (6.36 x 2.91 x 0.31 in);175 g (6.17 oz);;Dual SIM (Nano-SIM, dual stand-by);;AMOLED, 1B colors, 120Hz, 800 nits (HBM);6.67 inches, 107.4 cm(~89.9% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 12, Magic UI 6.1;Qualcomm SM6375 Snapdragon 695 5G (6 nm);Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Adreno 619;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;;64 MP, f/1.8, (wide), PDAF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro);LED flash, panorama, HDR;1080p@30fps;16 MP, f/2.5, (wide);;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE, aptX HD;GPS, GLONASS, GALILEO, BDS;Yes;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;;Li-Po 5100 mAh, non-removable;Titanium Silver, Emerald Green, Midnight Black;RMO-NX1;;;;;;;;;;;
https://www.gsmarena.com/honor_x7a-12076.php;https://fdn2.gsmarena.com/vv/bigpic/honor-x7a.jpg;Honor X7a;Released 2023, January 06;196g, 8.3mm thickness;Android 12, Magic UI 6.1;128GB storage, microSDXC;12;4.5%;79,313 hits;"6.75""";720x1600 pixels;6 GB RAM;Helio G37;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE;SA/NSA;HSPA, LTE-A, 5G;2023, January 04;Available. Released 2023, January 06;167.5 x 76.9 x 8.3 mm (6.59 x 3.03 x 0.33 in);196 g (6.91 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;TFT LCD;6.75 inches, 110.0 cm(~85.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~260 ppi density);Android 12, Magic UI 6.1;Mediatek MT6765H Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53);PowerVR GE8320;microSDXC;128GB 6GB RAM;;50 MP, f/1.8, (wide), PDAF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide);;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;Unspecified;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity, compass;;Li-Po 6000 mAh, non-removable;Titanium Silver, Ocean Blue, Midnight Black;;About 170 EUR;;;;;;;;;;
https://www.gsmarena.com/honor_80_pro_flat-12065.php;https://fdn2.gsmarena.com/vv/bigpic/honor-80-pro-flat.jpg;Honor 80 Pro Flat;Released 2023, January 06;186g or 193g, 7.9mm thickness;Android 12, MagicOS 7;256GB storage, no card slot;29;1.5%;67,193 hits;"6.67""";1080x2400 pixels;12 GB RAM;Snapdragon 8+ Gen 1;4800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;HSPA, LTE-A, 5G;2023, January 06;Available. Released 2023, January 06;162.3 x 75.3 x 7.9 mm (6.39 x 2.96 x 0.31 in);186 g or 193 g (6.56 oz);;Dual SIM (Nano-SIM, dual stand-by);;OLED, 1B colors, 120Hz, HDR, 1000 nits (peak);6.67 inches, 107.4 cm(~87.9% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 12, MagicOS 7;Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Adreno 730;No;256GB 12GB RAM;;"160 MP, f/1.8, (wide), 1/1.56"", 0.75µm, PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (depth)";LED flash, HDR, panorama;4K@30fps, 1080p@30/60fps, gyro-EIS;32 MP, f/2.4, (wide);HDR;1080p@30fps, gyro-EIS;;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS, GALILEO, GLONASS, BDS, QZSS;Yes;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, compass;Virtual proximity sensing;Li-Po 4800 mAh, non-removable;Black, Green, Pink;;About 450 EUR;;;;;;;;;;
https://www.gsmarena.com/honor_80_gt-12043.php;https://fdn2.gsmarena.com/vv/bigpic/honor-80-gt.jpg;Honor 80 GT;Released 2022, December 26;187g or 195g, 7.9mm thickness;Android 12, MagicOS 7;256GB storage, no card slot;29;0.9%;79,288 hits;"6.67""";1080x2400 pixels;12/16 GB RAM;Snapdragon 8+ Gen 1;4800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 8, 19, 28, 34, 38, 39, 40, 41;1, 5, 8, 28, 41, 77, 78 SA/NSA;HSPA, LTE-A, 5G;2022, December 26;Available. Released 2022, December 26;162.5 x 75.3 x 7.9 mm (6.40 x 2.96 x 0.31 in);187 g or 195 g (6.60 oz);;Dual SIM (Nano-SIM, dual stand-by);;AMOLED, 1B colors, 120Hz, HDR10, 1400 nits (peak);6.67 inches, 107.4 cm(~87.8% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 12, MagicOS 7;Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Adreno 730;No;256GB 12GB RAM, 256GB 16GB RAM;;"54 MP, f/1.9, (wide), 1/1.49"", PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)";LED flash, HDR, panorama;4K@30fps, 1080p@30/60fps, gyro-EIS;16 MP, f/2.4, (wide);;1080p@30fps, gyro-EIS;;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS, GALILEO, GLONASS, BDS, QZSS;Yes, eSE, HCE, NFC-SIM;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, compass;Virtual proximity sensing;Li-Po 4800 mAh, non-removable;Black, Blue, White;AGT-AN00;About 450 EUR;;;;;;;;;;
https://www.gsmarena.com/honor_pad_v8_pro-12044.php;https://fdn2.gsmarena.com/vv/bigpic/honor-pad-v8-pro.jpg;Honor Pad V8 Pro;Released 2022, December 30;589g or 599g, 6.6mm thickness;Android 12, MagicOS 7;128GB/256GB storage, no card slot;26;0.7%;32,779 hits;"12.1""";2560x1600 pixels;8/12 GB RAM;Dimensity 8100;10050 mAh Li-Po;N/A;N/A;N/A;;;2022, December 26;Available. Released 2022, December 30;277 x 179 x 6.6 mm or 7 mm;589 g or 599 g (1.30 lb);Glass front, aluminum frame, aluminum back or eco leather back;No;Honor Pencil 3 (15ms latency);IPS LCD, 1B colors, 144Hz, 600 nits;12.1 inches, 424.5 cm(~85.6% screen-to-body ratio);2560 x 1600 pixels, 16:10 ratio (~249 ppi density);Android 12, MagicOS 7;Mediatek Dimensity 8100 (5 nm);Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mali-G610 MC6;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;;"13 MP, f/2.0, (wide), 1/3"", AF";LED flash, HDR;4K@30fps, 1080p@30fps;5 MP, f/2.2;;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.2, A2DP, LE;GPS, GLONASS, BDS;No;No;USB Type-C, magnetic connector;Accelerometer;;Li-Po 10050 mAh, non-removable;Grey, Blue, Orange;ROD-W09;About 350 EUR;;;;N/A;N/A;IMAX enhanced;;;;
