Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;price;gprstext;edge;battalktime1;batstandby1;sar-us;sar-eu;displayother
https://www.gsmarena.com/hp_elite_x3-7954.php;https://fdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg;HP Elite x3;Released 2016, August;195g, 7.8mm thickness;Microsoft Windows 10;64GB storage, microSDXC;403;0.4%;2,003,325 hits;"5.96""";1440x2560 pixels;4 GB RAM;Snapdragon 820;4150 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 29, 38, 39, 40, 41 - EMEA;HSPA 21.1/5.76 Mbps, LTE-A Cat6 300/50 Mbps;2016, February. Released 2016, August;Discontinued;161.8 x 83.5 x 7.8 mm (6.37 x 3.29 x 0.31 in);195 g (6.88 oz);Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions;AMOLED, 350 nits (typ);5.96 inches, 97.5 cm(~72.2% screen-to-body ratio);1440 x 2560 pixels, 16:9 ratio (~494 ppi density);Corning Gorilla Glass 4;Microsoft Windows 10;Qualcomm MSM8996 Snapdragon 820 (14 nm);Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);Adreno 530;microSDXC (uses shared SIM slot) - dual SIM model only;64GB 4GB RAM;eMMC 5.1;16 MP, f/2.2, 1.31µm, PDAF;LED flash, HDR, panorama;4K@30fps, 1080p@30fps;"8 MP, f/2.2, 1/4.0"", 1.12µm";1080p@30fps;Tuned by Bang & Olufsen;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.0, A2DP, LE;GPS, GLONASS, BDS;Yes;No;USB Type-C 3.0, magnetic connector;Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer;Microsoft Continuum support;Li-Po 4150 mAh, non-removable;Gold, Graphite/Chrome;About 700 EUR;;;;;;;
https://www.gsmarena.com/hp_slate_17-7030.php;https://fdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg;HP Slate 17;Released 2014, September;2005g, 15.8mm thickness;Android 4.4.2;32GB storage, microSDHC;14;0.1%;337,297 hits;"17.3""";1080x1920 pixels;2 GB RAM;Intel Celeron N2807;;N/A;;;;2014, September. Released 2014, September;Discontinued;418.1 x 283.2 x 15.8 mm (16.46 x 11.15 x 0.62 in);2005 g (4.42 lb);No;Built-in 2 kickstands;IPS LCD;17.3 inches, 825.1 cm(~69.7% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~127 ppi density);;Android 4.4.2 (KitKat);Intel Celeron N2807;Dual-core 1.58 GHz;;"microSDHC (dedicated slot); SDHC";32GB 2GB RAM;;0.9 MP;;720p@30fps;No;;Beats Audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.0, A2DP;No;No;No;USB 2.0;Accelerometer;HDMI port;Li-Po (43 Wh, 3-cell);Snow White, Sweet Yellow;About 370 EUR;No;No;Up to 7 h 45 min (multimedia);;;;
https://www.gsmarena.com/hp_pro_slate_12-6963.php;https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg;HP Pro Slate 12;Released 2015, January;850g, 8mm thickness;Android 4.4.4;32GB storage, microSDHC;6;0.1%;257,366 hits;"12.3""";1200x1600 pixels;2 GB RAM;Snapdragon 800;;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;;HSPA;2015, January. Released 2015, January;Discontinued;300.3 x 222 x 8 mm (11.82 x 8.74 x 0.31 in);850 g (1.87 lb);Nano-SIM;HP Duet Pen;IPS LCD;12.3 inches, 468.5 cm(~70.3% screen-to-body ratio);1200 x 1600 pixels, 4:3 ratio (~163 ppi density);Corning Concore Glass;Android 4.4.4 (KitKat);Qualcomm Snapdragon 800 (28 nm);Quad-core 2.3 GHz Krait 400;Adreno 330;microSDHC (dedicated slot);32GB 2GB RAM;eMMC 4.5;8 MP, AF;HDR;1080p@30fps;2 MP;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP, LE;GPS;Yes;No;microUSB 2.0 (SlimPort);Accelerometer, gyro, proximity, compass, barometer;;Li-Po (21 Wh);Silver;About 490 EUR;;;Up to 10 h (multimedia);;;;
https://www.gsmarena.com/hp_pro_slate_10_ee_g1-6964.php;https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg;HP Pro Slate 10 EE G1;Released 2015, January;855g, 14.4mm thickness;Android 4.4.4;16GB/32GB storage, microSDHC;3;N/A;174,480 hits;"10.1""";800x1280 pixels;1/2 GB RAM;Intel Atom Z3735G;8380 mAh Li-Ion;N/A;;;;2015, January. Released 2015, January;Discontinued;280 x 182 x 14.4 mm (11.02 x 7.17 x 0.57 in);855 g (1.88 lb);No;Optional mobile dock with standard QWERTY keyboard and trackpad;IPS LCD;10.1 inches, 295.8 cm(~58.0% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~149 ppi density);;Android 4.4.4 (KitKat);Intel Atom Z3735G;Quad-core 1.33 GHz;;microSDHC (dedicated slot);16GB 1GB RAM, 32GB 2GB RAM;;5 MP, AF or 2 MP, AF;;Yes;2 MP or 1.3 MP;;;Wi-Fi 802.11 a/b/g/n, dual-band;4.0, A2DP, LE;GPS;No;No;microUSB 2.0;Accelerometer, compass;HDMI port;Li-Ion 8380 mAh, non-removable (28.5 Wh);Black;About 240 EUR;No;No;;;;;
https://www.gsmarena.com/hp_pro_slate_8-6962.php;https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg;HP Pro Slate 8;Released 2015, January;350g, 8mm thickness;Android 4.4.4;16GB/32GB storage, microSDHC;10;N/A;273,640 hits;"7.86""";1536x2048 pixels;2 GB RAM;Snapdragon 800;5900 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;;HSPA;2015, January. Released 2015, January;Discontinued;207 x 137 x 8 mm (8.15 x 5.39 x 0.31 in);350 g (12.35 oz);Nano-SIM;HP Duet Pen;IPS LCD;7.86 inches, 191.3 cm(~67.5% screen-to-body ratio);1536 x 2048 pixels, 4:3 ratio (~326 ppi density);Corning Gorilla Glass 4;Android 4.4.4 (KitKat);Qualcomm Snapdragon 800 (28 nm);Quad-core 2.3 GHz Krait 400;Adreno 330;microSDHC (dedicated slot);16GB 2GB RAM, 32GB 2GB RAM;eMMC 4.5;8 MP, AF;HDR;1080p@30fps;2 MP;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP, LE;GPS;Yes;No;microUSB 2.0 (SlimPort);Accelerometer, gyro, proximity, compass, barometer;;Li-Po 5900 mAh, non-removable (21 Wh);Gray;About 390 EUR;;;;;;;
https://www.gsmarena.com/hp_slate6_voicetab_ii-6831.php;https://fdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg;HP Slate6 VoiceTab II;Released 2014, November;160g, 9mm thickness;Android 4.4.2;16GB storage, microSDXC;9;N/A;467,363 hits;"6.0""";720x1280 pixels;1 GB RAM;Marvell PXA1088;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2014, November. Released 2014, November;Discontinued;165.1 x 83.2 x 9 mm (6.5 x 3.28 x 0.35 in);160 g (5.64 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);;IPS LCD;6.0 inches, 99.2 cm(~72.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~245 ppi density);;Android 4.4.2 (KitKat);Marvell PXA1088;Quad-core 1.2 GHz;;microSDXC;16GB 1GB RAM;;8 MP, AF;LED flash;Yes;2 MP;;;Wi-Fi 802.11 b/g/n, hotspot;3.0, EDR;GPS;No;No;microUSB 2.0;Accelerometer, gyro, proximity, compass;;Li-Ion 3000 mAh, removable;Silver;About 200 EUR;;;Up to 13 h 30 min (2G) / Up to 10 h 30 min (3G);Up to 750 h (2G) / Up to 750 h (3G);0.15 W/kg (head)     0.53 W/kg (body);0.54 W/kg (head)     0.28 W/kg (body);
https://www.gsmarena.com/hp_10_plus-6811.php;https://fdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg;HP 10 Plus;Released 2014;660g, 9.5mm thickness;Android 4.4.2;16GB storage, microSDHC;1;N/A;196,373 hits;"10.1""";1920x1200 pixels;2 GB RAM;;7700 mAh Li-Po;N/A;;;;2014. Released 2014;Discontinued;265 x 175 x 9.5 mm (10.43 x 6.89 x 0.37 in);660 g (1.46 lb);No;;IPS LCD;10.1 inches, 295.8 cm(~63.8% screen-to-body ratio);1920 x 1200 pixels, 16:10 ratio (~224 ppi density);;Android 4.4.2 (KitKat);;Quad-core 1.0 GHz;;microSDHC (dedicated slot);16GB 2GB RAM;;5 MP, AF;HDR;1080p@30fps;2 MP;;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;No;microUSB 2.0, OTG;Accelerometer, gyro;;Li-Po 7700 mAh, non-removable (28 Wh);Black/Silver;;No;No;Up to 6 h (multimedia);;;;
https://www.gsmarena.com/hp_7_voicetab-6784.php;https://fdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg;HP 7 VoiceTab;Released 2014, October;305g, 10.2mm thickness;Android 4.4.2;8GB storage, microSDHC;9;0.1%;615,538 hits;"6.95""";600x1024 pixels;1 GB RAM;MT8382;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA;;HSPA;2014, October. Released 2014, October;Discontinued;192.1 x 102.2 x 10.2 mm (7.56 x 4.02 x 0.40 in);305 g (10.76 oz);Micro-SIM;;TFT;6.95 inches, 135.9 cm(~69.2% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~171 ppi density);;Android 4.4.2 (KitKat);Mediatek MT8382 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC (dedicated slot);8GB 1GB RAM;;5 MP;LED flash;Yes;VGA;;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity;;Li-Ion 3000 mAh, non-removable;Black/White;About 140 EUR;Yes;Yes;;;;;
https://www.gsmarena.com/hp_7_plus-6377.php;https://fdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg;HP 7 Plus;Released 2014, May;294.8g, 8.1mm thickness;Android 4.2.2;8GB storage, microSDHC;5;N/A;409,748 hits;"7.0""";600x1024 pixels;1 GB RAM;Allwinner A31;2800 mAh Li-Po;N/A;;;;2014, May. Released 2014, May;Discontinued;192.5 x 121.9 x 8.1 mm (7.58 x 4.80 x 0.32 in);294.8 g (10.37 oz);No;;IPS LCD;7.0 inches, 137.9 cm(~58.8% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);;Android 4.2.2 (Jelly Bean);Allwinner A31;Quad-core 1.0 GHz Cortex-A7;;microSDHC (dedicated slot);8GB 1GB RAM;;2 MP;;Yes;VGA;;;Wi-Fi 802.11 b/g/n;Yes;No;No;No;microUSB 2.0;Accelerometer;;Li-Po 2800 mAh, non-removable;Silver;About 70 EUR;No;No;Up to 5 h 30 min (multimedia);;;;
https://www.gsmarena.com/hp_8-6199.php;https://fdn2.gsmarena.com/vv/bigpic/hp-8.jpg;HP 8;Released 2014, March;313g, 8mm thickness;Android 4.2.2;16GB storage, microSDHC;4;N/A;390,149 hits;"7.85""";768x1024 pixels;1 GB RAM;Allwinner A31;3800 mAh Li-Po;N/A;;;;2014, February. Released 2014, March;Discontinued;200.3 x 136.3 x 8 mm (7.89 x 5.37 x 0.31 in);313 g (11.04 oz);No;;IPS LCD;7.85 inches, 190.8 cm(~69.9% screen-to-body ratio);768 x 1024 pixels, 4:3 ratio (~163 ppi density);;Android 4.2.2 (Jelly Bean);Allwinner A31;Quad-core 1.0 GHz Cortex-A7;;microSDHC (dedicated slot);16GB 1GB RAM;;2 MP;;Yes;VGA;;;Wi-Fi 802.11 b/g/n;4.0, A2DP;No;No;No;microUSB 2.0;Accelerometer, gyro;;Li-Po 3800 mAh, non-removable;Silver;About 120 EUR;No;No;Up to 7 h (multimedia);;;;
