Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;net5g;bodyother;displayprotection;cam2features;featuresother;optionalother;models;battalktime1;tbench;batlife;batstandby1;displayother;sar-us;sar-eu;batmusicplayback1;gprstext;edge
https://www.gsmarena.com/htc_wildfire_e_plus-11948.php;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-plus.jpg;HTC Wildfire E plus;Released 2022, October 24;190g, 8.8mm thickness;Android 12;32GB storage, microSDXC;5;2.0%;103,544 hits;"6.52""";720x1600 pixels;2 GB RAM;MT6739;5150 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);HSPA, LTE;2022, October 24;Available. Released 2022, October 24;164.1 x 75.9 x 8.8 mm (6.46 x 2.99 x 0.35 in);190 g (6.70 oz);Glass front, plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12 (Go edition);Mediatek MT6739 (28 nm);Quad-core 1.5 GHz Cortex-A53;PowerVR GE8100;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;13 MP, (wide), AF5 MP;LED flash;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS, GLONASS, BDS;No;Unspecified;USB Type-C 2.0;Accelerometer, compass;Li-Po 5150 mAh, non-removable;Black;About 130 EUR;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/htc_desire_22_pro-11642.php;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-22-pro.jpg;HTC Desire 22 Pro;Released 2022, July 10;205.5g, 9.4mm thickness;Android 12;128GB storage, microSDXC;33;1.6%;245,345 hits;"6.6""";1080x2412 pixels;8 GB RAM;Snapdragon 695 5G;4520 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41;HSPA, LTE-A;2022, June 28;Available. Released 2022, July 10;166.3 x 76.9 x 9.4 mm (6.55 x 3.03 x 0.37 in);205.5 g (7.27 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 120Hz;6.6 inches, 104.8 cm(~82.0% screen-to-body ratio);1080 x 2412 pixels, 20:9 ratio (~400 ppi density);Android 12;Qualcomm SM6375 Snapdragon 695 5G (6 nm);Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Adreno 619;microSDXC (uses shared SIM slot);128GB 8GB RAM;;64 MP, f/1.8, (wide), PDAF13 MP, f/2.4, 118˚ (ultrawide)5 MP, f/2.4, (depth);Dual-LED flash, HDR, panorama;1080p@30fps;32 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;Unspecified;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 4520 mAh, non-removable;Wave Gold, Starry Night Black;About 460 EUR;1, 3, 7, 20, 28, 41, 78 SA/NSA;IP67 dust/water resistant (up to 1m for 30 min);Corning Gorilla Glass;HDR;;;;;;;;;;;;;
https://www.gsmarena.com/htc_wildfire_e2_plus-11266.php;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg;HTC Wildfire E2 Plus;Released 2021, December 14;210g, 9.3mm thickness;Android 11;64GB storage, microSDXC;13;0.3%;221,894 hits;"6.82""";720x1640 pixels;4 GB RAM;Unisoc T610;;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE;HSPA, LTE;2021, December 14;Available. Released 2021, December 14;174.2 x 78.6 x 9.3 mm (6.86 x 3.09 x 0.37 in);210 g (7.41 oz);Glass front, plastic back, plastic frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.82 inches, 110.5 cm(~80.7% screen-to-body ratio);720 x 1640 pixels (~263 ppi density);Android 11;Unisoc T610 (12 nm);Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MP2;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;13 MP, f/2.2, (wide), PDAF5 MP, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash;1080p@30fps;8 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;Unspecified;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;;Black;About 160 EUR;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/htc_wildfire_e3-10790.php;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3.jpg;HTC Wildfire E3;Released 2021, April 11;186g, 9mm thickness;Android 10;64GB/128GB storage, microSDXC;20;0.3%;325,379 hits;"6.52""";720x1560 pixels;4 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 7, 8, 20, 38, 40;HSPA 42.2/5.76 Mbps, LTE Cat4 150/75 Mbps;2021, March 15;Available. Released 2021, April 11;165.7 x 76.6 x 9 mm (6.52 x 3.02 x 0.35 in);186 g (6.56 oz);Glass front, plastic back, plastic frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 104.4 cm(~82.2% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~264 ppi density);Android 10;Mediatek MT6762 Helio P22 (12 nm);Octa-core 1.8 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM;eMMC 5.1;13 MP, f/2.0, (wide), PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm";720p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Blue, Black;About 130 EUR;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/htc_desire_21_pro_5g-10681.php;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-21-pro-5g.jpg;HTC Desire 21 Pro 5G;Released 2021, January 21;205g, 9.4mm thickness;Android 10;128GB storage, microSDXC;79;0.6%;652,548 hits;"6.7""";1080x2400 pixels;8 GB RAM;Snapdragon 690 5G;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41;HSPA, LTE-A;2021, January 13;Available. Released 2021, January 21;167.1 x 78.1 x 9.4 mm (6.58 x 3.07 x 0.37 in);205 g (7.23 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD, HDR10, 90Hz;6.7 inches, 108.4 cm(~83.0% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~393 ppi density);Android 10;Qualcomm SM6350 Snapdragon 690 5G (8 nm);Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver);Adreno 619;microSDXC (uses shared SIM slot);128GB 8GB RAM;;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide)2 MP, f/2.4, (macro)5 MP, f/2.4, (depth)";Dual-LED flash, HDR, panorama;4K@30fps, 1080p@30fps, gyro-EIS;16 MP, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;No;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Blue, Purple;About 350 EUR;1, 3, 5, 7, 28, 41, 78 SA/NSA;;;HDR;;;;;;;;;;;;;
https://www.gsmarena.com/htc_desire_20+-10529.php;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-20-plus.jpg;HTC Desire 20+;Released 2020, October 22;203g, 9mm thickness;Android 10;128GB storage, microSDXC;63;0.4%;546,076 hits;"6.5""";720x1600 pixels;6 GB RAM;Snapdragon 720G;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A, Cat6 300/75 Mbps;2020, October 19;Available. Released 2020, October 22;164.9 x 75.7 x 9 mm (6.49 x 2.98 x 0.35 in);203 g (7.16 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.5 inches, 102.0 cm(~81.7% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 10;Qualcomm SM7125 Snapdragon 720G (8 nm);Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver);Adreno 618;microSDXC;128GB 6GB RAM;;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide)2 MP, f/2.4, (macro)5 MP, f/2.4, (depth)";Dual-LED flash, HDR, panorama;4K@30fps, 1080p@30fps;16 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;No;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Dawn Orange, Twilight Black, Blue;About 250 EUR;;;;HDR;;;;;;;;;;;;;
https://www.gsmarena.com/htc_wildfire_e1_lite-10594.php;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite.jpg;HTC Wildfire E1 lite;Released 2020, September 24;160g, 8.9mm thickness;Android 10;16GB storage, microSDHC;10;0.2%;145,072 hits;"5.45""";720x1440 pixels;2 GB RAM;Helio A20;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 7, 8, 20, 38, 40;HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps;2020, September 24;Available. Released 2020, September 24;147.9 x 71.4 x 8.9 mm (5.82 x 2.81 x 0.35 in);160 g (5.64 oz);Glass front, plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);TFT LCD;5.45 inches, 76.7 cm(~72.6% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);Android 10 (Go edition);Mediatek MT6761D Helio A20 (12 nm);Quad-core 1.8 GHz Cortex-A53;PowerVR GE8320;microSDHC;16GB 2GB RAM;eMMC 5.1;8 MP, f/2.0, (wide), AF0.3 MP, f/2.8, (depth);LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2, (wide);720p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP;GPS, GLONASS, GALILEO;No;Unspecified;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3000 mAh, non-removable;Black;About 80 EUR;;;;HDR;;;;;;;;;;;;;
https://www.gsmarena.com/htc_wildfire_e2-10357.php;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2.jpg;HTC Wildfire E2;Released 2020, August 06;173.5g, 9mm thickness;Android 10;64GB storage, microSDXC;18;0.1%;205,977 hits;"6.22""";720x1560 pixels;4 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE (unspecified);HSPA, LTE-A;2020, August 06;Available. Released 2020, August 06;158.4 x 75.9 x 9 mm (6.24 x 2.99 x 0.35 in);173.5 g (6.14 oz);Glass front, plastic back, plastic frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.22 inches, 95.0 cm(~79.0% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~276 ppi density);Android 10;Mediatek MT6762D Helio P22 (12 nm);Octa-core 1.8 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;16 MP, f/2.2, (wide), PDAF2 MP, f/2.2, (depth);Dual-LED dual-tone flash, HDR, panorama;1080p@30fps;8 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Blue;About 100 EUR;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/htc_wildfire_e1_plus-10593.php;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-plus.jpg;HTC Wildfire E1 plus;Released 2019, December 18;165g, 8.9mm thickness;Android 9.0;32GB storage, microSDXC;7;0.1%;69,438 hits;"6.09""";720x1560 pixels;3 GB RAM;Helio P23;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38, 40;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, December 18;Available. Released 2019, December 18;157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in);165 g (5.82 oz);Glass front, plastic back, plastic frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.09 inches, 91.0 cm(~77.1% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);Android 9.0 (Pie);Mediatek MT6763 Helio P23 (16 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);Mali-G71 MP2;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.1;16 MP, f/2.2, (wide), AF;LED flash;1080p@30fps;5 MP, f/2.2, (wide);720p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.2, A2DP;GPS, GLONASS, GALILEO;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 3000 mAh, non-removable;Black, Blue, Red;About 120 EUR;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/htc_wildfire_e1-10592.php;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1.jpg;HTC Wildfire E1;Released 2019, December 18;165g, 8.9mm thickness;Android 9.0;32GB storage, microSDXC;7;0.1%;60,525 hits;"6.09""";720x1560 pixels;3 GB RAM;Helio P23;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38, 40;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, December 18;Available. Released 2019, December 18;157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in);165 g (5.82 oz);Glass front, plastic back, plastic frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.09 inches, 91.0 cm(~77.1% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);Android 9.0 (Pie);Mediatek MT6763 Helio P23 (16 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);Mali-G71 MP2;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.1;13 MP, f/2.2, (wide), AF;LED flash;1080p@30fps;5 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.2, A2DP;GPS, GLONASS, GALILEO;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 3000 mAh, non-removable;Black, Gold, Blue/Violet;About 90 EUR;;;;;;;;;;;;;;;;;
