Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;gprstext;edge;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;os;memoryslot;cam1modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;cpu;internalmemory;cam1features;cam1video;cam2modules;cam2video;models;displayother;chipset;gpu;cam2features;displayprotection;memoryother;optionalother;featuresother;tbench;batlife;net5g;sar-eu;batstandby1;battalktime1;batmusicplayback1;sar-us
https://www.gsmarena.com/huawei_watch_buds-12021.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-buds-.jpg;Huawei Watch Buds;Released 2022, December 09;66.5g, 15mm thickness;HarmonyOS 3.0;No card slot;49;2.4%;139,817 hits;"1.43""";466x466 pixels; ;;410 mAh Li-Ion;N/A;N/A;N/A;No;No;No;2022, December 09;Available. Released 2022, December 09;47 x 47.5 x 15 mm (1.85 x 1.87 x 0.59 in);66.5 g (2.36 oz);Glass front, stainless steel frame;No;"Built-in wireless earbuds housed beneath the display; charging from the watchCompatible with standard 22mm straps";AMOLED;1.43 inches;466 x 466 pixels (~326 ppi density);HarmonyOS 3.0;No;No;No;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;No;No;Accelerometer, gyro, heart rate, SpO2;Li-Ion 410 mAh, non-removable (watch);Black, Silver;About 400 EUR;;;;;;;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_enjoy_50z-12020.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y61.jpg;Huawei Enjoy 50z;Released 2022, December 26;188g, 8.9mm thickness;HarmonyOS 2.0;128GB/256GB storage, microSDXC;6;2.1%;84,216 hits;"6.52""";720x1600 pixels;6/8 GB RAM;;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41;HSPA, LTE;;;2022, December 09;Available. Released 2022, December 26;164.3 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in);188 g (6.63 oz);;Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~82.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);HarmonyOS 2.0;microSDXC;50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS, QZSS;No;No;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 5000 mAh, non-removable;Sapphire Blue, Mint Green, Midnight Black;About 150 EUR;Octa-core;128GB 6GB RAM, 256GB 6GB RAM, 256GB 8GB RAM;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2, (wide);1080p@30fps;EVE-AL00;;;;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_watch_gt_3_se-11980.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-3-se-.jpg;Huawei Watch GT 3 SE;Released 2022, November 10;35.6g, 11mm thickness;HarmonyOS 2.0;No card slot;10;0.8%;58,493 hits;"1.43""";466x466 pixels; ;;;N/A;N/A;N/A;No;No;No;2022, November 10;Available. Released 2022, November 10;46.4 x 46.4 x 11 mm (1.83 x 1.83 x 0.43 in);35.6 g (1.27 oz);Glass front, plastic back, plastic frame;No;50m water resistant5 ATMCompatible with standard 22mm straps (46mm model);AMOLED;1.43 inches;466 x 466 pixels (~326 ppi density);HarmonyOS 2.0;No;No;No;Yes;GPS;No;No;No;Accelerometer, gyro, heart rate, barometer, compass, SpO2;;Graphite Black, Wilderness Green;;;;;;;;RUNE-B29;;;;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_pocket_s-11970.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-pocket-s.jpg;Huawei Pocket S;Released 2022, November 11;190g, 7.2mm thickness;HarmonyOS 3.0;128GB/256GB/512GB storage, NM;56;2.3%;209,534 hits;"6.9""";1188x2790 pixels;8 GB RAM;Snapdragon 778G 4G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41;HSPA, LTE-A;;;2022, November 02;Available. Released 2022, November 11;Unfolded: 170 x 75.5 x 7.2 mmFolded: 87.3 x 75.5 x 15.2 mm;190 g (6.70 oz);;Dual SIM (Nano-SIM, dual stand-by);;Foldable OLED, 1B colors, 120Hz;6.9 inches, 109.2 cm(~85.1% screen-to-body ratio);1188 x 2790 pixels, 21:9 ratio (~442 ppi density);HarmonyOS 3.0;NM (Nano Memory), up to 256GB (uses shared SIM slot);40 MP, f/1.8, (wide), PDAF, Laser AF13 MP, f/2.2, 120˚ (ultrawide), AF;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot;5.2, A2DP, LE;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC;Yes;No;USB Type-C 2.0, OTG;Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer, color spectrum;Li-Po 4000 mAh, non-removable;Blue, Pink, Gren, Silver, Gold, Black;About 830 EUR;Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670);128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;LED flash, HDR, panorama;4K, 1080p;10.7 MP, f/2.2, (ultrawide);4K, 1080p;BAL-AL60;Cover display:OLED, 1.04 inch, 340 x 340 pixels, 328 ppi;Qualcomm SM7325 Snapdragon 778G 4G (6 nm);Adreno 642L;HDR, panorama;;;;;;;;;;;;
https://www.gsmarena.com/huawei_watch_gt_cyber-11972.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-cyber.jpg;Huawei Watch GT Cyber;Released 2022, November 12;58 / 59 / 77g, 10.2mm thickness;HarmonyOS 2.0;No card slot;22;0.6%;61,692 hits;"1.32""";466x466 pixels; ;;;N/A;N/A;N/A;No;No;No;2022, November 02;Available. Released 2022, November 12;47.4 x 44.4 x 10.2 mm45.6 x 45.6 x 10.2 mm;58 / 59 / 77 g (2.05 oz);Nanocrystalline ceramic + 316L stainless steelReinforced composite fiber;No;50m water resistant5 ATMSwapable casesRotating bezel;AMOLED;1.32 inches;466 x 466 pixels (~352 ppi density);HarmonyOS 2.0;No;No;Yes (only for Bluetooth transmission acceleration);Yes;GPS, GLONASS, BDS, GALILEO, QZSS;Yes;No;No;Accelerometer, gyro, heart rate, barometer, compass, SpO2;Li-Po 292 mAh, non-removable;Black, Gray, White, Blue;About 180 EUR;;;;;;;AND-B19;;;;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_nova_y61-11968.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y61.jpg;Huawei nova Y61;Released 2022, November;188g, 8.9mm thickness;EMUI 12, no Google Play Services;64GB storage, microSDXC;11;3.2%;179,281 hits;"6.52""";720x1600 pixels;4/6 GB RAM;;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - EVE-LX3;1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 40, 66 - EVE-LX3;HSPA, LTE;;;2022, November 01;Available. Released 2022, November;164.3 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in);188 g (6.63 oz);;Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~82.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);EMUI 12, no Google Play Services;microSDXC;50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);Wi-Fi 802.11 b/g/n, hotspot;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS, QZSS;Yes (EVE-LX9N only);Unspecified;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 5000 mAh, non-removable;Sapphire Blue, Mint Green, Midnight Black;;Octa-core;64GB 4GB RAM, 64GB 6GB RAM;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2, (wide);1080p@30fps;EVE-LX9, EVE-LX9N, EVE-LX3;;;;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_matepad_c5e-11942.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-se.jpg;Huawei MatePad C5e;Released 2022, November;450g, 7.9mm thickness;Android 10, EMUI 10.1;64GB storage, microSDXC;5;0.4%;36,144 hits;"10.1""";1200x1920 pixels;4 GB RAM;Kirin 710A;5100 mAh Li-Po;N/A;N/A;N/A;;No;No;2022, October 19;Available. Released 2022, November;240.2 x 159 x 7.9 mm (9.46 x 6.26 x 0.31 in);450 g (0.99 lb);;No;;IPS LCD;10.1 inches, 295.8 cm(~77.4% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);Android 10, EMUI 10.1;microSDXC (dedicated slot);5 MP, f/2.2, AF;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, BDS;No;No;USB Type-C 2.0, OTG;Accelerometer;Li-Po 5100 mAh, non-removable;Deepsea Blue;;Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);64GB 4GB RAM;HDR;1080p@30fps;2 MP, f/2.4;720p@30fps;BZI-W00;;Kirin 710A (14 nm);Mali-G51 MP4;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_nova_10_se-11918.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova10-se.jpg;Huawei nova 10 SE;Released 2022, October 25;184g, 7.4mm thickness;EMUI 12, no Google Play Services;128GB/256GB storage, no card slot;27;4.2%;258,868 hits;"6.67""";1080x2400 pixels;6/8 GB RAM;Snapdragon 680G 4G;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100 - BNE-LX1;1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - BNE-LX1;HSPA, LTE-A;;;2022, October 05;Available. Released 2022, October 25;162.4 x 75.5 x 7.4 mm (6.39 x 2.97 x 0.29 in);184 g (6.49 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;OLED, 1B colors, 90Hz;6.67 inches, 107.4 cm(~87.6% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);EMUI 12, no Google Play Services;No;108 MP, f/1.9, 27mm (wide), PDAF8 MP, f/2.2, 112˚ (ultrawide)2 MP, f/2.4, (macro);Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS, QZSS;Yes (BNE-LX1 only);No;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, compass, proximity (ultrasound);Li-Po 4500 mAh, non-removable;Starry Silver, Mint Green, Starry Black;;Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Dual-LED dual-tone flash, panorama, HDR;1080p@30fps;16 MP, f/2.2, (wide);1080p@30fps;BNE-LX1, BNE-LX3;Always-On Display;Qualcomm Snapdragon 680G 4G (6 nm);Adreno 610;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_mate_50_rs_porsche_design-11858.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-50-rs-porsche-design.jpg;Huawei Mate 50 RS Porsche Design;Released 2022, September 21;232g, 9.9mm thickness;HarmonyOS 3.0;512GB storage, NM;76;1.4%;198,009 hits;"6.74""";1212x2616 pixels;12 GB RAM;Snapdragon 8+ Gen 1 4G;4700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41;HSPA, LTE-A;;;2022, September 06;Available. Released 2022, September 21;162.1 x 75.5 x 9.9 mm (6.38 x 2.97 x 0.39 in);232 g (8.18 oz);Glass front, ceramic back, aluminum frame;Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 6m for 30 min);OLED, 1B colors, 120Hz;6.74 inches, 111.8 cm(~91.3% screen-to-body ratio);1212 x 2616 pixels, 19.5:9 ratio (~428 ppi density);HarmonyOS 3.0;NM (Nano Memory), up to 256GB (uses shared SIM slot);50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS48 MP, f/3.0, 90mm (periscope telephoto macro), PDAF, OIS, 3.5x optical zoom13 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot;5.2, A2DP, LE;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);Yes;No;USB Type-C 3.1, OTG, Display Port 1.2;Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum;Li-Po 4700 mAh, non-removable;Ink Blue, Purple;About 1880 EUR;Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510);512GB 12GB RAM;LED flash, panorama, HDR;4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS;13 MP, f/2.4, 18mm (ultrawide)TOF 3D, (depth/biometrics sensor);4K@30/60fps, 1080p@30/60/240fps;DCO-AL00;;Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm);Adreno 730;HDR, panorama;Huawei Kunlun Glass;UFS 3.1;32-bit/384kHz audio;BDS Satellite Message (sending only);;;;;;;;
https://www.gsmarena.com/huawei_mate_50_pro-11856.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-50-pro.jpg;Huawei Mate 50 Pro;Released 2022, September 28;205g / 209g, 8.5mm thickness;"EMUI 13; HarmonyOS 3.0";256GB/512GB storage, NM;208;10%;888,195 hits;"6.74""";1212x2616 pixels;8 GB RAM;Snapdragon 8+ Gen 1 4G;4700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - International;HSPA, LTE-A;;;2022, September 06;Available. Released 2022, September 28;162.1 x 75.5 x 8.5 mm (6.38 x 2.97 x 0.33 in);205 g / 209 g (7.23 oz);;Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 6m for 30 min);OLED, 1B colors, 120Hz;6.74 inches, 111.8 cm(~91.3% screen-to-body ratio);1212 x 2616 pixels, 19.5:9 ratio (~428 ppi density);"EMUI 13 (International); HarmonyOS 3.0 (China)";NM (Nano Memory), up to 256GB (uses shared SIM slot);50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS64 MP, f/3.5, 90mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom13 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot;5.2, A2DP, LE;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);Yes;No;USB Type-C 3.1, OTG, Display Port 1.2;Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum;Li-Po 4700 mAh, non-removable;Black, Silver, Purple, Orange;;Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510);256GB 8GB RAM, 512GB 8GB RAM;LED flash, panorama, HDR;4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS;13 MP, f/2.4, 18mm (ultrawide)TOF 3D, (depth/biometrics sensor);4K@30/60fps, 1080p@30/60/240fps;DCO-AL00, DCO-LX9;;Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm);Adreno 730;HDR, panorama;Huawei Kunlun Glass;UFS 3.1;32-bit/384kHz audio;BDS Satellite Message (sending only);AnTuTu: 979921 (v9)GeekBench: 3839 (v5.1)GFXBench: 68fps (ES 3.1 onscreen);;;;;;;
