Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;cpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;price;chipset;gpu;cam1features;optionalother;gprstext;edge
https://www.gsmarena.com/i_mate_810_f-2721.php;https://fdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg;i-mate 810-F;Released 2009;150g, 15.5mm thickness;Microsoft Windows Mobile 6.1 Professional;2GB 128MB RAM storage, no card slot;14;N/A;333,094 hits;"2.46""";320x240 pixels;128 MB RAM;;1200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA 7.2/0.384 Mbps;2009, February. Released 2009;Discontinued;111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in);150 g (5.29 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.46 inches, 18.7 cm(~25.6% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~163 ppi density);;Microsoft Windows Mobile 6.1 Professional;624 MHz Marvell PXA310;No;2GB 128MB RAM;2 MP;Yes;Yes;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS;No;Proprietary;Accelerometer, compass;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager;Removable Li-Po 1200 mAh battery;Up to 200 h;Up to 3 h 30 min;Blue;About 550 EUR;;;;;;
https://www.gsmarena.com/i_mate_ultimate_9502-2158.php;https://fdn2.gsmarena.com/vv/bigpic/ultimate-9502.gif;i-mate Ultimate 9502;Released 2008, March;200g, 17.8mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;12;N/A;1,041,173 hits;"2.8""";640x480 pixels;128 MB RAM;MSM7200;1620 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2007, October. Released 2008, March;Discontinued;116 x 60 x 17.8 mm (4.57 x 2.36 x 0.70 in);200 g (7.05 oz);Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);2.8 inches, 24.3 cm(~34.9% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~286 ppi density);;Microsoft Windows Mobile 6.0 Professional;400 MHz ARM 11;microSD (dedicated slot);128MB RAM, 256MB ROM;3.15 MP, AF;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS;No;Proprietary;;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile managerTV-outi-mate GPRS Configurator(WAP, MMS);Removable Li-Po 1620 mAh battery;Up to 180 h;Up to 4 h 20 min;Black;About 410 EUR;Qualcomm MSM7200;Adreno 130;LED flash;2.5 mm audio jack;;
https://www.gsmarena.com/i_mate_ultimate_8502-2157.php;https://fdn2.gsmarena.com/vv/bigpic/ultimate-8502.gif;i-mate Ultimate 8502;Released 2008, September;140g, 15mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;11;N/A;479,275 hits;"2.6""";320x240 pixels;128 MB RAM;MSM7200;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2007, October. Released 2008, September;Discontinued;116 x 55 x 15 mm (4.57 x 2.17 x 0.59 in);140 g (4.94 oz);Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);2.6 inches, 20.9 cm(~32.8% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~154 ppi density);;Microsoft Windows Mobile 6.0 Professional;400 MHz ARM 11;microSD (dedicated slot);128MB RAM, 256MB ROM;2 MP;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS;No;Proprietary;;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile managerTV-outi-mate GPRS Configurator(WAP, MMS)360° Jog wheel;Removable Li-Ion 1530 mAh battery;Up to 180 h;Up to 4 h 30 min;Black;About 200 EUR;Qualcomm MSM7200;Adreno 130;LED flash;2.5 mm audio jack;;
https://www.gsmarena.com/i_mate_jama_201-2149.php;https://fdn2.gsmarena.com/vv/bigpic/imate-jama201.gif;i-mate JAMA 201;Released 2008, October;152g, 14mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;6;N/A;241,457 hits;"2.4""";320x240 pixels;64 MB RAM;;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, October. Released 2008, October;Discontinued;113 x 63 x 14 mm (4.45 x 2.48 x 0.55 in);152 g (5.36 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.4 inches, 17.8 cm(~25.1% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;Microsoft Windows Mobile 6.0 Professional;SAMSUNG SC3 2442X 300MHz;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP, AF;Yes;No;;No;1.1;No;No;miniUSB 1.1;;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager;Removable Li-Ion 1050 mAh battery;Up to 150 h;Up to 4 h;Black;About 250 EUR;;;LED flash;;Class 10;No
https://www.gsmarena.com/i_mate_jama_101-2148.php;https://fdn2.gsmarena.com/vv/bigpic/imate-jama101.gif;i-mate JAMA 101;Cancelled;110g, 15.5mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;9;N/A;309,183 hits;"2.4""";320x240 pixels;64 MB RAM;;1020 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, October;Cancelled;105 x 52.5 x 15.5 mm (4.13 x 2.07 x 0.61 in);110 g (3.63 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.4 inches, 17.8 cm(~32.4% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);Handwriting recognition4-way navigation pad;Microsoft Windows Mobile 6.0 Professional;SAMSUNG SC3 2442X 300MHz;microSD;64MB RAM, 128MB ROM;2 MP;Yes;No;;No;1.2;No;No;miniUSB 1.1;;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager;Removable Li-Ion 1020 mAh battery;Up to 150 h;Up to 4 h;Black;About 250 EUR;;;;;Class 10;No
https://www.gsmarena.com/i_mate_jama-2009.php;https://fdn2.gsmarena.com/vv/bigpic/imate-jama.gif;i-mate JAMA;Released 2007, June;110g, 15.6mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, microSD slot;8;N/A;478,978 hits;"2.4""";320x240 pixels;64 MB RAM;;1000 mAh Li-Ion;GSM 900 / 1800;;;2007, June;Discontinued;106 x 52.5 x 15.6 mm (4.17 x 2.07 x 0.61 in);110 g (3.88 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.4 inches, 17.8 cm(~32.1% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);Handwriting recognition4-way navigation pad;Microsoft Windows Mobile 5.0 PocketPC;Samsung SC3 2442X 300MHz;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP;Yes;No;;No;1.2;No;No;miniUSB 1.1;;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager;Removable Li-Ion 1000 mAh battery;Up to 150 h;Up to 4 h;Silver;About 200 EUR;;;;;Class 10;No
https://www.gsmarena.com/i_mate_ultimate_9150-1884.php;https://fdn2.gsmarena.com/vv/bigpic/imate-ultim9150.gif;i-mate Ultimate 9150;Cancelled;19mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;12;N/A;546,539 hits;"2.6""";640x480 pixels;128 MB RAM;;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2007, February;Cancelled;98 x 50 x 19 mm (3.86 x 1.97 x 0.75 in);;Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);2.6 inches, 20.9 cm(~42.7% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~308 ppi density);Second OLED, 1.2 inches displayHandwriting recognition;Microsoft Windows Mobile 6.0 Professional;Intel Bulverde 520 MHz;microSD;128MB RAM, 256MB ROM;2 MP;Yes;Yes;;Wi-Fi 802.11 b/g/e/i;2.0, A2DP;No;Stereo FM radio;miniUSB;;Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out;Removable Li-Ion 1400 mAh battery;;;Silver;About 410 EUR;;;;;;
https://www.gsmarena.com/i_mate_ultimate_8150-1883.php;https://fdn2.gsmarena.com/vv/bigpic/imate-ultim8150.jpg;i-mate Ultimate 8150;Released 2007, February;152g, 15.5mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;9;N/A;553,333 hits;"2.6""";480x640 pixels;128 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2007, February;Discontinued;118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in);152 g (5.36 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.6 inches, 20.9 cm(~29.2% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~308 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Intel XScale PXA270 520 MHz;microSD (dedicated slot);128MB RAM, 256MB ROM;2 MP, AF;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g/e/i;2.0, A2DP;No;Stereo FM radio;miniUSB;;Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out;Removable Li-Ion 1530 mAh battery;;;Silver;About 260 EUR;;;;;;
https://www.gsmarena.com/i_mate_ultimate_7150-1882.php;https://fdn2.gsmarena.com/vv/bigpic/imate-ultim7150.gif;i-mate Ultimate 7150;Cancelled;180g, 18mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;18;N/A;1,078,848 hits;"3.8""";640x480 pixels;128 MB RAM;;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2007, February;Cancelled;110 x 74 x 18 mm (4.33 x 2.91 x 0.71 in);180 g (6.35 oz);Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);3.8 inches, 44.7 cm(~54.9% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~211 ppi density);Second OLED, 2.2 inches display (128 x 128 pixels)Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Intel Bulverde 520 MHz;microSD;128MB RAM, 256MB ROM;2 MP;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g/e/i;2.0, A2DP;No;Stereo FM radio;miniUSB;;Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out;Removable Li-Ion 1400 mAh battery;;;Silver;About 300 EUR;;;;;;
https://www.gsmarena.com/i_mate_ultimate_6150-1881.php;https://fdn2.gsmarena.com/vv/bigpic/imate-ultim6150.jpg;i-mate Ultimate 6150;Released 2008, January;152g, 15.5mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;10;N/A;426,491 hits;"2.8""";640x480 pixels;128 MB RAM;;1530 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2007, February. Released 2008, January;Discontinued;118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in);152 g (5.36 oz);Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);2.8 inches, 24.3 cm(~33.9% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Intel Bulverde 520 MHz;microSD (dedicated slot);128MB RAM, 256MB ROM;2 MP;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g/e/i;2.0, A2DP;No;Stereo FM radio;miniUSB;;Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out;Removable Li-Ion 1530 mAh battery;;;Silver;About 260 EUR;;;;;;
