Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;gprstext;edge;internalmemory;featuresother;batstandby1;battalktime1;displayother;bodyother;batmusicplayback1;price
https://www.gsmarena.com/icemobile_g8_lte-8786.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8-.jpg;Icemobile G8 LTE;Released 2017, July;320g, 10mm thickness;Android 5.1;microSD slot;1;N/A;55,302 hits;"7.0""";600x1024 pixels; ;MT8735;2800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900 / 900;2, 4, 5, 7, 17;HSPA, LTE;2017, July. Released 2017, July;Discontinued;188 x 108 x 10 mm (7.40 x 4.25 x 0.39 in);320 g (11.29 oz);Micro-SIM;IPS LCD;7.0 inches, 137.9 cm(~67.9% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 5.1 (Lollipop);Mediatek MT8735;Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD;5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 a/b/g/n, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2800 mAh, non-removable;Black, Silver, Gold;;;;;;;;;;
https://www.gsmarena.com/icemobile_mash-7982.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg;Icemobile Mash;Released 2016, March;13.5mm thickness;Feature phone;32MB 32MB RAM storage, microSDHC slot;3;N/A;62,357 hits;"2.2""";320x240 pixels;32 MB RAM;Spreadtrum 6531DA;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2016, March. Released 2016, March;Discontinued;110 x 64 x 13.5 mm (4.33 x 2.52 x 0.53 in);-;Dual SIM;TFT;2.2 inches, 15.0 cm(~21.3% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;Spreadtrum 6531DA;;;microSDHC (dedicated slot);VGA;;No;No;;No;2.0;No;No;FM radio;microUSB;;Li-Ion 800 mAh, removable;White, Black, Red, Gold;Yes;No;32MB 32MB RAM;MP4/H.263 playerMP3 player;Up to 150 h;Up to 3 h;;;;
https://www.gsmarena.com/icemobile_g8-7560.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg;Icemobile G8;Released 2015, September;320g, 13mm thickness;Android 4.4.2;microSD slot;0;N/A;61,347 hits;"7.0""";600x1024 pixels; ;MT6572;2600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;;HSPA;2015, September. Released 2015, September;Discontinued;190 x 110 x 13 mm (7.48 x 4.33 x 0.51 in);320 g (11.29 oz);Micro-SIM;IPS LCD;7.0 inches, 137.9 cm(~66.0% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572 (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSD (dedicated slot);5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.1, EDR;GPS;No;FM radio;2.0;Accelerometer;Li-Ion 2600 mAh, non-removable;White, Black, Blue;;;;;Up to 280 h;Up to 10 h;;;;
https://www.gsmarena.com/icemobile_prime_5_0_plus-7040.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg;Icemobile Prime 5.0 Plus;Released 2015, February;;Android 4.4.2;8GB storage, microSDHC;2;N/A;68,719 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6582;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700 / 1900;;HSPA;2015, February. Released 2015, February;Discontinued;-;-;Dual SIM;IPS LCD;5.0 inches, 68.9 cm;720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;8 MP, AF;LED flash;Yes;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Black, Blue;;;8GB 1GB RAM;;;;Flashlight;;;
https://www.gsmarena.com/icemobile_prime_5_0-7041.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg;Icemobile Prime 5.0;Released 2015, February;8.7mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;59,891 hits;"5.0""";480x854 pixels;512 MB RAM;MT6572A;1600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;;HSPA;2015, February. Released 2015, February;Discontinued;142 x 72.3 x 8.7 mm (5.59 x 2.85 x 0.34 in);-;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~67.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572A;Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC;5 MP;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1600 mAh, removable;Black, White;;;4GB 512MB RAM;;;Up to 3 h;Flashlight;;;
https://www.gsmarena.com/icemobile_prime_4_0_plus-7039.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg;Icemobile Prime 4.0 Plus;Released 2015, February;10mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;48,157 hits;;480x800 pixels;512 MB RAM;MT6572;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700 / 1900;;HSPA;2015, February. Released 2015, February;Discontinued;125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in);-;Dual SIM;IPS LCD;, -;480 x 800 pixels, 5:3 ratio;Android 4.4.2 (KitKat);Mediatek MT6572 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC;2 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh, removable;Black, Blue;;;4GB 512MB RAM;;;;Flashlight;;;
https://www.gsmarena.com/icemobile_gravity_4_0-6810.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg;Icemobile Gravity 4.0;Released 2014, November;316g, 16.3mm thickness;Android 4.4.2;8GB storage, microSDHC;1;N/A;58,297 hits;"4.02""";480x854 pixels;1 GB RAM;MT6582;2800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2014. Released 2014, November;Discontinued;140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in);316 g (11.15 oz);Micro-SIM;IPS LCD;4.02 inches, 44.5 cm(~41.8% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~244 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582 (28 nm);Quad-core 1.2 GHz Cortex-A7;Mali-400MP2;microSDHC (dedicated slot);8 MP, AF;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;;Li-Ion 2800 mAh, removable;Black, White, Orange, Yellow, Green;;;8GB 1GB RAM;;Up to 300 h (2G) / Up to 300 h (3G);Up to 12 h (2G) / Up to 7 h 30 min (3G);;IP68 dust/water resistant (up to 1.5m for 30 min);;
https://www.gsmarena.com/icemobile_rock_2_4-6809.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg;Icemobile Rock 2.4;Released 2014;60g, 13.8mm thickness;Feature phone;32MB 32MB storage, microSDHC slot;1;N/A;50,681 hits;"2.4""";176x220 pixels;32 MB RAM;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2014. Released 2014;Discontinued;120 x 50 x 13.8 mm (4.72 x 1.97 x 0.54 in);60 g (2.12 oz);Dual SIM (Mini-SIM);TFT;2.4 inches, 18.1 cm(~30.2% screen-to-body ratio);176 x 220 pixels (~117 ppi density);;;;;microSDHC;VGA;;Yes;No;;No;2.0;No;No;FM radio;microUSB;;Li-Ion 1000 mAh, removable;Black, White, Red, Pink, Green, White&blue;Yes;No;32MB 32MB;MP3/MP4/WAV playerCalendarPredictive text input;Up to 100 h;Up to 9 h;;;;
https://www.gsmarena.com/icemobile_prime_5_5-6618.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg;Icemobile Prime 5.5;Released 2014, August;8.6mm thickness;Android 4.4.2;16GB storage, microSDXC;1;N/A;61,143 hits;"5.46""";720x1280 pixels;1 GB RAM;MT6582A;2250 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;;HSPA;2014, August. Released 2014, August;Discontinued;152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in);-;Dual SIM;IPS LCD;5.46 inches, 82.2 cm(~70.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~269 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582A/W;Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;8 MP;LED flash;Yes;2 MP;;Wi-Fi 802.11 b/g/n;Yes;;No;FM radio;Proprietary;;Li-Ion 2250 mAh, removable;White;;;16GB 1GB RAM;;;;;;;
https://www.gsmarena.com/icemobile_prime_3_5-6544.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg;Icemobile Prime 3.5;Released 2014, July;10.9mm thickness;Android 4.2.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;49,601 hits;"3.5""";320x480 pixels;512 MB RAM;MT6572M;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;;HSPA 7.2/5.76 Mbps;2014, July. Released 2014, July;Discontinued;119.5 x 63.5 x 10.9 mm (4.70 x 2.5 x 0.43 in);-;Dual SIM;TFT;3.5 inches, 36.5 cm(~48.1% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.2.2 (Jelly Bean);Mediatek MT6572M (28 nm);Dual-core 1.2 GHz Cortex-A7;Mali-400;microSDHC;2 MP;LED flash;480p@30fps;VGA;;Wi-Fi 802.11 b/g;2.1;GPS;No;No;microUSB 2.0;Accelerometer;Li-Ion 1200 mAh, removable;White, Black;;;4GB 512MB RAM;;;;;;;
