Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;sar-eu;displayprotection;build;batstandby1;battalktime1;sar-us;featuresother;price;gprstext;edge
https://www.gsmarena.com/intex_aqua_craze-8040.php;https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg;Intex Aqua Craze;Released 2016, January;165g, 9mm thickness;Android 5.1;8GB storage, microSDHC;3;N/A;281,763 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6735P;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;3, 5, 40;HSPA, LTE;2016, January. Released 2016, January;Discontinued;143.5 x 71.4 x 9 mm (5.65 x 2.81 x 0.35 in);165 g (5.82 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~67.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Mediatek MT6735P (28 nm);Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;microSDHC (dedicated slot);8GB 1GB RAM;8 MP, AF;LED flash, panorama, HDR;Yes;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2500 mAh, removable;Gray, White, Gold;0.73 W/kg (head);;;;;;;;;
https://www.gsmarena.com/intex_aqua_genx-8039.php;https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg;Intex Aqua GenX;Released 2015, August;175g, 8.4mm thickness;Android 5.1;16GB storage, microSDHC;5;N/A;118,270 hits;"5.5""";1080x1920 pixels;2 GB RAM;MT6753;2850 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;3, 40;HSPA, LTE;2015, August. Released 2015, August;Discontinued;152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in);175 g (6.17 oz);Dual SIM;IPS LCD;5.5 inches, 83.4 cm(~71.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Android 5.1 (Lollipop);Mediatek MT6753 (28 nm);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;microSDHC (dedicated slot);16GB 2GB RAM;13 MP, AF;LED flash, panorama, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2850 mAh, non-removable;White;0.72 W/kg (head);Asahi Dragontrail Glass;;;;;;;;
https://www.gsmarena.com/intex_aqua_ace-7651.php;https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg;Intex Aqua Ace;Released 2015, October;121.5g, 6.7mm thickness;Android 5.1;16GB storage, microSDXC;17;N/A;740,050 hits;"5.0""";720x1280 pixels;3 GB RAM;MT6735;2300 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;3, 5, 40;HSPA, LTE;2015, October. Released 2015, October;Discontinued;145 x 71.5 x 6.7 mm (5.71 x 2.81 x 0.26 in);121.5 g (4.30 oz);Dual SIM;Super AMOLED;5.0 inches, 68.9 cm(~66.5% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Mediatek MT6735 (28 nm);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSDXC (dedicated slot);16GB 3GB RAM;13 MP, AF;LED flash, panorama, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 2300 mAh, non-removable;Black, White;;Corning Gorilla Glass 3;Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame;Up to 250 h;Up to 10 h;;;;;
https://www.gsmarena.com/intex_aqua_trend-7563.php;https://fdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg;Intex Aqua Trend;Released 2015, September;158.5g, 8.9mm thickness;Android 5.1;16GB storage, microSDHC;6;N/A;456,472 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6735;3000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;3, 40;HSPA, LTE;2015, September. Released 2015, September;Discontinued;144.5 x 72.5 x 8.9 mm (5.69 x 2.85 x 0.35 in);158.5 g (5.61 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~65.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Mediatek MT6735 (28 nm);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSDHC;16GB 2GB RAM;13 MP, AF;LED flash, panorama;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3000 mAh, removable;Champagne, silver, gray, black;;;;Up to 250 h;Up to 7 h;1.44 W/kg (head);;;;
https://www.gsmarena.com/intex_irist_smartwatch-7462.php;https://fdn2.gsmarena.com/vv/bigpic/intex-watch.jpg;Intex IRist Smartwatch;Released 2015, August;83g, 14mm thickness;Android OS compatible;4GB 512MB RAM storage, microSDHC slot;14;N/A;286,007 hits;"1.56""";240x240 pixels;512 MB RAM;MT6572;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 1900 / 2100;;HSPA;2015, July. Released 2015, August;Discontinued;44 x 44 x 14 mm (1.73 x 1.73 x 0.55 in);83 g (3.03 oz);Micro-SIM;OLED;1.56 inches;240 x 240 pixels (~218 ppi density);Android OS compatible;Mediatek MT6572 (28 nm);Dual-core 1.2 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 512MB RAM;5 MP;;Yes;No;;Wi-Fi 802.11 b/g/n;2.0;GPS;No;No;microUSB 2.0;Accelerometer, gyro, compass;Li-Ion 600 mAh, non-removable;Orange, pink, black;;;;;;0.98 W/kg (head);Video playerPhoto viewer;About 160 EUR;;
https://www.gsmarena.com/intex_aqua_4g+-7359.php;https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg;Intex Aqua 4G+;Released 2015, June;136.5g, 9.5mm thickness;Android 5.0;16GB storage, microSDHC;7;N/A;644,484 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6735;2300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 40, 41;HSPA, LTE;2015, June. Released 2015, June;Discontinued;140 x 71 x 9.5 mm (5.51 x 2.80 x 0.37 in);136.5 g (4.83 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~69.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.0 (Lollipop);Mediatek MT6735 (28 nm);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSDHC;16GB 2GB RAM;13 MP, AF;LED flash, panorama;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2300 mAh, non-removable;White, Black;0.26 W/kg (head);;;Up to 210 h;Up to 8 h;;;;;
https://www.gsmarena.com/intex_aqua_xtreme_ii-7358.php;https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg;Intex Aqua Xtreme II;Released 2015, June;132g, 7.9mm thickness;Android 4.4.2;16GB storage, microSDHC;5;N/A;261,529 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6592M;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, June. Released 2015, June;Discontinued;140 x 71.9 x 7.9 mm (5.51 x 2.83 x 0.31 in);132 g (4.66 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~68.5% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);Mediatek MT6592M (28 nm);Octa-core 1.4 GHz Cortex-A7;Mali-450MP4;microSDHC;16GB 2GB RAM;13 MP, AF;LED flash, panorama, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2000 mAh, non-removable;White, Black, Champagne, Silver;0.26 W/kg (head);;;Up to 300 h;Up to 8 h;;;;;
https://www.gsmarena.com/intex_aqua_y2_remote-7304.php;https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg;Intex Aqua Y2 Remote;Released 2015, February;110g, 10mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;2;N/A;156,440 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572M;1500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, February. Released 2015, February;Discontinued;125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in);110 g (3.88 oz);Dual SIM;IPS LCD;4.0 inches, 45.5 cm(~56.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.2 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;5 MP;LED flash, panorama;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1500 mAh, removable;Blue, White, Gray;;;;Up to 180 h;Up to 8 h;0.78 W/kg (head);;;;
https://www.gsmarena.com/intex_aqua_xtreme-7303.php;https://fdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg;Intex Aqua Xtreme;Released 2014, December;119.5g, 7mm thickness;Android 5.0;32GB storage, microSDHC;7;N/A;205,338 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6592;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2014, December. Released 2014, December;Discontinued;144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in);119.5 g (4.23 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~68.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.0 (Lollipop);Mediatek MT6592 (28 nm);Octa-core 1.7 GHz Cortex-A7;Mali-450MP4;microSDHC;32GB 2GB RAM;13 MP, AF;LED flash, panorama, HDR;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, non-removable;Black, Gray, Red;;Asahi Dragontrail Glass;;Up to 180 h;Up to 7 h;0.62 W/kg (head);;;;
https://www.gsmarena.com/intex_aqua_star_l-7302.php;https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg;Intex Aqua Star L;Released 2015, January;130g, 8mm thickness;Android 5.0;8GB storage, microSDHC;1;N/A;100,313 hits;"5.0""";480x854 pixels;1 GB RAM;MT6582M;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, January. Released 2015, January;Discontinued;141 x 72.9 x 8 mm (5.55 x 2.87 x 0.31 in);130 g (4.59 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~67.0% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 5.0 (Lollipop);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash, panorama;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;White, black;;;;Up to 220 h;Up to 5 h;0.72 W/kg (head);;;;
