Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;displayprotection;os;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;batstandby1;battalktime1;chipset;gpu;sar-eu;gprstext;edge;featuresother;sar-us;bodyother
https://www.gsmarena.com/karbonn_titanium_mach_two_s360-7236.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg;Karbonn Titanium Mach Two S360;Released 2015, March;112g, 6.3mm thickness;Android 4.4.2, up to 5.0;8GB storage, microSDHC;12;0.1%;412,818 hits;"5.0""";720x1280 pixels;1 GB RAM;;1900 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2015, March. Released 2015, March;Discontinued;138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in);112 g (3.95 oz);Glass front (Asahi Dragontrail Glass), glass back (Gorilla Glass 3), aluminum frame;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~70.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Corning Gorilla Glass 3;Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop);Octa-core 1.4 GHz Cortex-A7;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash, HDR;Yes;8 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1900 mAh, non-removable;Deep Blue;About 140 EUR;;;;;;;;;;
https://www.gsmarena.com/karbonn_titanium_wind_w4-7209.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg;Karbonn Titanium Wind W4;Released 2014, September;11mm thickness;Microsoft Windows Phone 8.1;4GB 512MB RAM storage, microSDHC slot;7;N/A;150,465 hits;"4.0""";480x800 pixels;512 MB RAM;;1950 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2014, September. Released 2014, September;Discontinued;125.1 x 64.3 x 11 mm (4.93 x 2.53 x 0.43 in);-;;Dual SIM;TFT, 256K colors;4.0 inches, 45.5 cm(~56.6% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;Microsoft Windows Phone 8.1;Quad-core 1.2 GHz;microSDHC;4GB 512MB RAM;5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Yes;Li-Ion 1950 mAh, removable;Black,White, Red;;Up to 240 h;Up to 8 h;;;;;;;;
https://www.gsmarena.com/karbonn_titanium_s99-7210.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg;Karbonn Titanium S99;Released 2014, June;9.7mm thickness;Android 4.4;4GB 512MB RAM storage, microSDHC slot;1;N/A;78,454 hits;"4.0""";480x800 pixels;512 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2014, June. Released 2014, June;Discontinued;133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in);-;;Dual SIM;IPS LCD;4.0 inches, 45.5 cm(~51.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;Android 4.4 (KitKat);Quad-core 1.3 GHz;microSDHC;4GB 512MB RAM;5 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Yes;Li-Ion 1400 mAh battery;Black,White;;Up to 168 h;Up to 5 h;;;;;;;;
https://www.gsmarena.com/karbonn_sparkle_v-6687.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg;Karbonn Sparkle V;Released 2014, September;138g, 9.2mm thickness;Android 4.4.4, up to 6.0, Android One;4GB 1GB RAM storage, microSDHC slot;23;N/A;1,011,266 hits;"4.5""";480x854 pixels;1 GB RAM;MT6582;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;HSPA;2014, September. Released 2014, September;Discontinued;132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in);138 g (4.87 oz);;Dual SIM;IPS LCD;4.5 inches, 55.8 cm(~63.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);;Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow), Android One;Quad-core 1.3 GHz Cortex-A7;microSDHC;4GB 1GB RAM;5 MP, AF;LED flash;720p;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1700 mAh, removable;Red;About 80 EUR;Up to 160 h;Up to 8 h;Mediatek MT6582 (28 nm);Mali-400MP2;;;;;;
https://www.gsmarena.com/karbonn_titanium_s19-6597.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg;Karbonn Titanium S19;Released 2014, August;;Android 4.4.2;8GB storage, microSDHC;5;N/A;306,558 hits;"5.0""";720x1280 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2014, August. Released 2014, August;Discontinued;-;-;;Dual SIM;IPS LCD;5.0 inches, 68.9 cm;720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 4.4.2 (KitKat);Quad-core 1.3 GHz;microSDHC;8GB 1GB RAM;13 MP, AF;LED flash;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh battery;Black, White;About 110 EUR;;;;;;;;;;
https://www.gsmarena.com/karbonn_smart_a12_star-6530.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg;Karbonn Smart A12 Star;Released 2014, July;130g, 10.1mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;4;N/A;425,600 hits;"4.0""";480x800 pixels;512 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2014, July. Released 2014, July;Discontinued;124.2 x 64.2 x 10.1 mm (4.89 x 2.53 x 0.40 in);130 g (4.59 oz);;Dual SIM (Micro-SIM, dual stand-by);IPS LCD;4.0 inches, 45.5 cm(~57.1% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;Android 4.4.2 (KitKat);Dual-core 1.2 GHz;microSDHC;4GB 512MB RAM;5 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh battery;Black;About 50 EUR;Up to 300 h;;;;0.79 W/kg (head);;;;;
https://www.gsmarena.com/karbonn_titanium_s1_plus-6372.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg;Karbonn Titanium S1 Plus;Released 2014, May;129g, 10.3mm thickness;Android 4.3;4GB 1GB RAM storage, microSDHC slot;7;N/A;378,053 hits;"4.0""";480x800 pixels;1 GB RAM;;1500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2014, May. Released 2014, May;Discontinued;124 x 64 x 10.3 mm (4.88 x 2.52 x 0.41 in);129 g (4.55 oz);;Dual SIM;TFT;4.0 inches, 45.5 cm(~57.4% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;Android 4.3 (Jelly Bean);Quad-core 1.2 GHz;microSDHC;4GB 1GB RAM;5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1500 mAh battery;White;About 80 EUR;;;;Adreno 302;;;;;;
https://www.gsmarena.com/karbonn_titanium_hexa-6218.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg;Karbonn Titanium Hexa;Released 2014, April;6.9mm thickness;Android 4.4.2;16GB storage, microSDHC;16;N/A;466,788 hits;"5.5""";1080x1920 pixels;2 GB RAM;MT6591;2050 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA;HSPA 42.2/5.76 Mbps;2014, March. Released 2014, April;Discontinued;154 x 76.8 x 6.9 mm (6.06 x 3.02 x 0.27 in);-;;Dual SIM;IPS LCD;5.5 inches, 83.4 cm(~70.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);;Android 4.4.2 (KitKat);Hexa-core 1.5 GHz Cortex-A7;microSDHC;16GB 2GB RAM;13 MP, AF;LED flash, panorama;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 2050 mAh battery;Black, White;About 200 EUR;;;Mediatek MT6591;Mali-450MP4;;Yes;Yes;;;
https://www.gsmarena.com/karbonn_titanium_octane_plus-6219.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg;Karbonn Titanium Octane Plus;Released 2014, April;7.6mm thickness;Android 4.4.2;16GB storage, microSDHC;74;N/A;2,415,376 hits;"5.0""";1080x1920 pixels;2 GB RAM;MT6592;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA;HSPA 42.2/5.76 Mbps;2014, March. Released 2014, April;Discontinued;147.3 x 72.6 x 7.6 mm (5.80 x 2.86 x 0.30 in);-;;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~64.4% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);;Android 4.4.2 (KitKat);Octa-core 1.7 GHz Cortex-A7;microSDHC;16GB 2GB RAM;16 MP, AF;LED flash, panorama;Yes;8 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2000 mAh, removable;Black, White;About 220 EUR;;;Mediatek MT6592 (28 nm);Mali-450MP4;;Yes;Yes;;;
https://www.gsmarena.com/karbonn_titanium_octane-6220.php;https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg;Karbonn Titanium Octane;Released 2014, April;7.9mm thickness;Android 4.4.2;16GB storage, microSDHC;13;N/A;1,146,439 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6592;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA;HSPA 42.2/5.76 Mbps;2014, March. Released 2014, April;Discontinued;145.7 x 71.2 x 7.9 mm (5.74 x 2.80 x 0.31 in);-;;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~66.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 4.4.2 (KitKat);Octa-core 1.7 GHz Cortex-A7;microSDHC;16GB 1GB RAM;13 MP, AF;LED flash, panorama;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2000 mAh, removable;Black, White;About 170 EUR;;;Mediatek MT6592 (28 nm);Mali-450MP4;;Yes;Yes;;;
