Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;gprstext;edge;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;speed;memoryother;build;models;tbench;net5g;cam2features;displayprotection;sar-us;batlife;batstandby1;battalktime1;featuresother;displayother;sar-eu
https://www.gsmarena.com/lenovo_tab_extreme-12071.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-extreme.jpg;Lenovo Tab Extreme;Exp. release 2023, Q4;740g, 5.9mm thickness;Android 13;256GB storage, microSDXC;34;1.6%;64,109 hits;"14.5""";1876x3000 pixels;12 GB RAM;Dimensity 9000;12300 mAh Li-Po;N/A;N/A;N/A;No;No;2023, January 05;Coming soon. Exp. release 2023, Q4;327.8 x 210.8 x 5.9 mm (12.91 x 8.30 x 0.23 in);740 g (1.63 lb);No;Stylus support (Lenovo Precision Pen 3);OLED, 120Hz, HDR10+, Dolby Vision;14.5 inches, 609.8 cm(~88.2% screen-to-body ratio);1876 x 3000 pixels, 16:10 ratio (~244 ppi density);Android 13;Mediatek Dimensity 9000 (4 nm);Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Mali-G710 MC10;microSDXC (dedicated slot);256GB 12GB RAM;13 MP, f/2.4, (wide), AF5 MP, f/2.2, (ultrawide);LED flash;4K@30fps, 1080p@30fps;13 MP, (ultrawide);1080p@30fps;JBL speakers;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.3, A2DP, LE;Unspecified;No;No;USB Type-C 3.2 and USB Type-C 2.0, OTG, DisplayPort, accessory connector;Fingerprint (side-mounted), accelerometer, gyro, compass;Li-Po 12300 mAh, non-removable;Storm Grey;About 1100 EUR;;;;;;;;;;;;;;;
https://www.gsmarena.com/lenovo_tab_m9-12052.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m9.jpg;Lenovo Tab M9;Exp. release 2023, July;344g, 8mm thickness;Android 12;32GB/64GB/128GB storage, microSDXC;10;0.8%;36,188 hits;"9.0""";800x1340 pixels;3/4 GB RAM;MT6769V;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 66;;;2022, December 20;Coming soon. Exp. release 2023, July;215.4 x 136.8 x 8 mm (8.48 x 5.39 x 0.31 in);344 g (12.13 oz);Nano-SIM;;IPS LCD, 400 nits (typ);9.0 inches, 230.0 cm(~78.1% screen-to-body ratio);800 x 1340 pixels, 5:3 ratio (~173 ppi density);Android 12;Mediatek MT6769V/CU Helio G80 (12 nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM;8 MP, AF;;1080p;2 MP;720p;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO;No;Unspecified;USB Type-C 2.0;Accelerometer, proximity;Li-Po 5100 mAh, non-removable;Arctic Grey, Frost Blue;About 140 EUR;HSPA, LTE;eMMC 5.1;;;;;;;;;;;;;
https://www.gsmarena.com/lenovo_tab_p11_gen_2-11842.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg;Lenovo Tab P11 Gen 2;Released 2023, January;520g, 7.4mm thickness;Android 12L;64GB/128GB storage, microSDXC;19;1.0%;83,080 hits;"11.5""";1200x2000 pixels;4/6 GB RAM;Helio G99;7700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66;;;2022, September 01;Available. Released 2023, January;269.1 x 169.4 x 7.4 mm (10.59 x 6.67 x 0.29 in);520 g (1.15 lb);Nano-SIM;Stylus support;IPS LCD, 400 nits (typ);11.5 inches, 376.4 cm(~82.6% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~203 ppi density);Android 12L;Mediatek MT8781 Helio G99 (6nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;13 MP, f/2.4, (wide), AF;LED flash;1080p@30fps;8 MP, f/2.0;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS, GLONASS, BDS;No;No;USB Type-C 2.0, OTG, magnetic connector;Accelerometer, gyro, proximity;Li-Po 7700 mAh, non-removable;Storm Grey, Sage;About 350 EUR;HSPA, LTE-A;;;;;;;;;;;;;;
https://www.gsmarena.com/lenovo_tab_p11_pro_gen_2-11841.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg;Lenovo Tab P11 Pro Gen 2;Released 2022, September 01;480g, 6.8mm thickness;Android 12;128GB/256GB storage, microSDXC;32;1.4%;122,706 hits;"11.2""";1536x2560 pixels;4-8 GB RAM;Kompanio 1300T;8200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;;;2022, September 01;Available. Released 2022, September 01;263.7 x 166.7 x 6.8 mm (10.38 x 6.56 x 0.27 in);480 g (1.06 lb);Nano-SIM;Stylus support (magnetic);OLED, HDR10+, Dolby Vision, 120Hz, 420 nits (typ), 600 nits (peak);11.2 inches, 357.0 cm(~81.2% screen-to-body ratio);1536 x 2560 pixels, 5:3 ratio (~267 ppi density);Android 12;Mediatek Kompanio 1300T (6 nm);Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mali-G77 MC9;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM;13 MP, f/2.4, (wide), AF;LED flash;1080p@30fps;8 MP;1080p@30fps;Tuned by JBL;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS;No;No;USB Type-C 3.0, OTG, magnetic connector, video output;Accelerometer, gyro, proximity, compass;Li-Po 8200 mAh, non-removable;Storm Grey, Oat;About 500 EUR;HSPA, LTE-A;UFS 3.1;Glass front, plastic back, plastic frame;ZAB50194GB, ZAB50043SE;AnTuTu: 616573 (v9)GeekBench: 2827 (v5.1);;;;;;;;;;
https://www.gsmarena.com/lenovo_pad_pro_2022-11783.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-pad-pro-2022.jpg;Lenovo Pad Pro 2022;Released 2022, August 19;480 g;Android 12, ZUI 14;128GB storage, microSDXC;36;0.9%;109,500 hits;"11.2""";1536x2560 pixels;6/8 GB RAM;Kompanio 1300T;8200 mAh Li-Po;N/A;N/A;N/A;No;No;2022, August 19;Available. Released 2022, August 19;6.8 mm thickness;480 g (1.06 lb);No;Stylus support (magnetic);OLED, HDR10+, Dolby Vision, 120Hz, 420 nits (typ), 600 nits (peak);11.2 inches, 357.0 cm;1536 x 2560 pixels, 5:3 ratio (~267 ppi density);Android 12, ZUI 14;Mediatek Kompanio 1300T (6 nm);Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mali-G77 MC9;microSDXC (dedicated slot);128GB 6GB RAM, 128GB 8GB RAM;13 MP, (wide), AF;LED flash;1080p@30fps;8 MP;1080p@30fps;Tuned by JBL;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;Yes;GPS;No;No;USB Type-C 3.2, OTG, magnetic connector, video output;Unspecified;Li-Po 8200 mAh, non-removable;Gray, Gold;About 320 EUR;;;Glass front, aluminum frame, aluminum back;;;;;;;;;;;;
https://www.gsmarena.com/lenovo_legion_y70-11747.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y70.jpg;Lenovo Legion Y70;Released 2022, August 23;209g, 8mm thickness;Android 12, ZUI 14;128GB/256GB/512GB storage, no card slot;120;2.6%;278,476 hits;"6.67""";1080x2400 pixels;8-16 GB RAM;Snapdragon 8+ Gen 1;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1900 / 2100;LTE;;;2022, August 18;Available. Released 2022, August 23;163.6 x 77 x 8 mm (6.44 x 3.03 x 0.31 in);209 g (7.37 oz);Dual SIM (Nano-SIM, dual stand-by);;OLED, 144Hz, HDR10+, 1000 nits (peak);6.67 inches, 107.4 cm(~85.3% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 12, ZUI 14;Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Adreno 730;No;128GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM;"50 MP, (wide), 1/1.55"", 1.0µm, PDAF, OIS13 MP, 120˚ (ultrawide), 1.12µm, AF2 MP, f/2.4, (depth)";Dual-LED flash, panorama, HDR;8K@30fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS;16 MP;Yes;;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS;Yes;No;USB Type-C;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5100 mAh, non-removable;Black, Silver, Red;About 440 EUR;HSPA, LTE-A (CA), 5G;UFS 3.1;Glass front, aluminum frame;L71091;;SA/NSA/Sub6;;;;;;;;;
https://www.gsmarena.com/lenovo_tab_m10_plus_(3rd_gen)-11711.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tabm10plus.jpg;Lenovo Tab M10 Plus (3rd Gen);Released 2022, May;465g, 7.5mm thickness;Android 12;32GB/64GB/128GB storage, microSDXC;18;1.8%;134,985 hits;"10.61""";1200x2000 pixels;3-6 GB RAM;Snapdragon 680 4G;7700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 26, 28, 28, 38, 40, 41;;;2022, May;Available. Released 2022, May;251.2 x 158.8 x 7.5 mm (9.89 x 6.25 x 0.30 in);465 g (1.03 lb);Nano-SIM;Stylus support;IPS LCD, 400 nits (typ);10.61 inches, 320.4 cm(~80.3% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~220 ppi density);Android 12;Qualcomm SM6225 Snapdragon 680 4G (6 nm) - LTE modelMediatek MT6769V/CU Helio G80 (12 nm) - Wi-Fi only model;Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver) - LTE modelOcta-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55) - Wi-Fi only model;Adreno 610 - LTE modelMali-G52 MC2 - Wi-Fi only model;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;8 MP, AF;;1080p;8 MP;;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, BDS;No;FM Radio;USB Type-C 2.0;Accelerometer, proximity, gyro;Li-Po 7700 mAh, non-removable;Storm Grey, Frost Blue;About 260 EUR;HSPA 42.2/5.76 Mbps, LTE Cat13 390/75 Mbps;eMCP/uMCP;;;;;;;;;;;;;
https://www.gsmarena.com/lenovo_legion_y700-11394.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700.jpg;Lenovo Legion Y700;Released 2022, March 10;375g, 7.9mm thickness;Android 12, ZUI 13;128GB/256GB storage, microSDXC;119;1.2%;284,719 hits;"8.8""";1600x2560 pixels;8/12 GB RAM;Snapdragon 870 5G;6550 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;;;2022, March 01;Available. Released 2022, March 10;207.1 x 128.1 x 7.9 mm (8.15 x 5.04 x 0.31 in);375 g (13.23 oz);Nano-SIM;;IPS LCD, 120Hz, Dolby Vision, HDR10, 500 nits (typ);8.8 inches, 224.5 cm(~84.6% screen-to-body ratio);1600 x 2560 pixels, 16:10 ratio (~343 ppi density);Android 12, ZUI 13;Qualcomm SM8250-AC Snapdragon 870 5G (7 nm);Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585);Adreno 650;microSDXC (dedicated slot);128GB 8GB RAM, 256GB 12GB RAM;13 MP;LED flash;1080p@30fps;8 MP;1080p@30fps;Tuned by JBL;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;No;No;Unspecified;USB Type-C 3.1 Gen2;Accelerometer, gyro, proximity, compass;Li-Po 6550 mAh, non-removable;Gray;About 360 EUR;HSPA, LTE;UFS 3.1;;;;;;;;;;;;;
https://www.gsmarena.com/lenovo_legion_y90-11331.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y90.jpg;Lenovo Legion Y90;Released 2022, March 10;252g, 10.1mm thickness;Android 12, ZUI 13;256GB/640GB storage, no card slot;175;1.6%;448,164 hits;"6.92""";1080x2460 pixels;12-18 GB RAM;Snapdragon 8 Gen 1;5600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1900 / 2100;LTE;;;2022, March 01;Available. Released 2022, March 10;177 x 78.4 x 10.1 mm (6.97 x 3.09 x 0.40 in);252 g (8.89 oz);Dual SIM (Nano-SIM, dual stand-by);Built-in two cooling fansRGB light panel (on the back)4 ultrasonic buttons (Gaming triggers);AMOLED, 144Hz, HDR10+, 1300 nits (peak);6.92 inches, 113.7 cm(~81.9% screen-to-body ratio);1080 x 2460 pixels (~388 ppi density);Android 12, ZUI 13;Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm);Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Adreno 730;No;256GB 12GB RAM, 256GB 16GB RAM, 640GB 18GB RAM;"64 MP, f/1.9, 25mm (wide), 1/1.32"", 1.0µm, PDAF13 MP, 120˚ (ultrawide)";Dual-LED flash, panorama, HDR;8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR10+ rec.;16 MP;4K@30/60fps, 1080p@30/60/120fps;;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS;Yes;No;USB Type-C 3.1 Gen2, USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 5600 mAh, non-removable;Gray;About 570 EUR;HSPA, LTE-A (CA), 5G;UFS 3.1640GB (512GB UFS + 128GB SSD);;L71061;;SA/NSA/Sub6;HDR;;;;;;;;
https://www.gsmarena.com/lenovo_k14_plus-12008.php;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k14-plus.jpg;Lenovo K14 Plus;Released 2022, March;198g, 9.1mm thickness;Android 11;64GB storage, microSDXC;3;0.6%;21,245 hits;"6.5""";720x1600 pixels;4 GB RAM;Unisoc T700;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;;;2022, February 15;Available. Released 2022, March;165.1 x 75.7 x 9.1 mm (6.5 x 2.98 x 0.36 in);198 g (6.98 oz);Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 90Hz;6.5 inches, 102.0 cm(~81.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 11;Unisoc T700;Octa-core 1.8 GHz;Mali G52;microSDXC (dedicated slot);64GB 4GB RAM;48 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0;1080p@30fps;;Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS, GLONASS, GALILEO;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Black, Gold;About 200 EUR;HSPA, LTE;UFS 2.1;Glass front, plastic frame, plastic back;;;;;;;;;;;;
