Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;gprstext;edge;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;speed;cam1features;net5g;build;displayprotection;displayother;cam2features;sar-us;tbench;batlife;optionalother;sar-eu;batstandby1;battalktime1;featuresother;batmusicplayback1
https://www.gsmarena.com/lg_ultra_tab-11751.php;https://fdn2.gsmarena.com/vv/bigpic/lg_ultratab.jpg;LG Ultra Tab;Released 2022, August 05;458g, 7.1mm thickness;Android 12;64GB storage, microSDXC;14;1.4%;121,355 hits;"10.35""";1200x2000 pixels;4 GB RAM;Snapdragon 680 4G;7040 mAh Li-Ion;N/A;N/A;N/A;No;No;2022, August 05;Available. Released 2022, August 05;247.6 x 157.3 x 7.1 mm (9.75 x 6.19 x 0.28 in);458 g (1.01 lb);No;MIL-STD 810GStylus support;IPS LCD;10.35 inches, 304.9 cm(~78.3% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~225 ppi density);Android 12;Qualcomm SM6225 Snapdragon 680 4G (6 nm);Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver);Adreno 610;microSDXC (dedicated slot);64GB 4GB RAM;UFS;8 MP, AF;;5 MP;;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP;No;No;No;USB Type-C;Accelerometer;Li-Ion 7040 mAh, non-removable;Charcoal Gray;10A30Q;About 320 EUR;;;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_w41_pro-10742.php;https://fdn2.gsmarena.com/vv/bigpic/lg-w41-pro.jpg;LG W41 Pro;Released 2021, March 03;201g, 9.3mm thickness;Android 10;128GB storage, microSDXC;47;1.9%;819,097 hits;"6.55""";900x1600 pixels;6 GB RAM;Helio G35;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;;;2021, February 22;Available. Released 2021, March 03;166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in);201 g (7.09 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 400 nits (typ);6.55 inches, 118.3 cm(~91.9% screen-to-body ratio);900 x 1600 pixels, 16:9 ratio (~280 ppi density);Android 10;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);128GB 6GB RAM;eMMC 5.1;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";1080p@30fps;"8 MP, (wide), 1/4.0"", 1.12µm";1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Magic Blue, Laser Blue;LMK610IM, LM-K610IM;About 180 EUR;HSPA, LTE;LED flash, panorama, HDR;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_w41+-10743.php;https://fdn2.gsmarena.com/vv/bigpic/lg-w41-plus.jpg;LG W41+;Released 2021, March 03;201g, 9.3mm thickness;Android 10;128GB storage, microSDXC;16;0.5%;220,306 hits;"6.55""";900x1600 pixels;4 GB RAM;Helio G35;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;;;2021, February 22;Available. Released 2021, March 03;166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in);201 g (7.09 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 400 nits (typ);6.55 inches, 118.3 cm(~91.9% screen-to-body ratio);900 x 1600 pixels, 16:9 ratio (~280 ppi density);Android 10;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);128GB 4GB RAM;eMMC 5.1;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";1080p@30fps;"8 MP, (wide), 1/4.0"", 1.12µm";1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Magic Blue, Laser Blue;LMK610IM, LM-K610IM;About 170 EUR;HSPA, LTE;LED flash, panorama, HDR;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_w41-10744.php;https://fdn2.gsmarena.com/vv/bigpic/lg-w41.jpg;LG W41;Released 2021, March 03;201g, 9.3mm thickness;Android 10;64GB storage, microSDXC;9;0.4%;170,822 hits;"6.55""";900x1600 pixels;4 GB RAM;Helio G35;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;;;2021, February 22;Available. Released 2021, March 03;166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in);201 g (7.09 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 400 nits (typ);6.55 inches, 118.3 cm(~91.9% screen-to-body ratio);900 x 1600 pixels, 16:9 ratio (~280 ppi density);Android 10;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;eMMC 5.1;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";1080p@30fps;"8 MP, (wide), 1/4.0"", 1.12µm";1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Magic Blue, Laser Blue;LMK610IM, LM-K610IM;About 160 EUR;HSPA, LTE;LED flash, panorama, HDR;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_w31+-10585.php;https://fdn2.gsmarena.com/vv/bigpic/lg-w31-plus.jpg;LG W31+;Released 2020, December 23;173.6g, 8.4mm thickness;Android 10;128GB storage, microSDXC;18;0.3%;253,653 hits;"6.52""";720x1600 pixels;4 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;;;2020, November 06;Available. Released 2020, December 23;166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in);173.6 g (6.14 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~80.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 10;Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);128GB 4GB RAM;eMMC 5.1;"13 MP, (wide), 1/3.0"", 1.12µm, PDAF5 MP, (ultrawide)2 MP, (depth)";1080p@30fps;8 MP, (wide);1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Midnight Blue;LMK315IM, LM-K315, LM-K315IM;About 140 EUR;HSPA, LTE-A;LED flash, panorama, HDR;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_w31-10586.php;https://fdn2.gsmarena.com/vv/bigpic/lg-w31.jpg;LG W31;Released 2020, December 23;173.6g, 8.4mm thickness;Android 10;64GB/128GB storage, microSDXC;3;0.2%;143,131 hits;"6.52""";720x1600 pixels;4 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;;;2020, November 06;Available. Released 2020, December 23;166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in);173.6 g (6.14 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~80.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 10;Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;eMMC 5.1;"13 MP, (wide), 1/3.0"", 1.12µm, PDAF5 MP, (ultrawide)2 MP, (depth)";1080p@30fps;8 MP, (wide);1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Midnight Blue;LMK315IM, LM-K315, LM-K315IM;About 130 EUR;HSPA, LTE-A;LED flash, panorama, HDR;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_w11-10587.php;https://fdn2.gsmarena.com/vv/bigpic/lg-w11.jpg;LG W11;Cancelled;8.4mm thickness;Android 10;32GB storage, microSDXC;7;0.2%;123,405 hits;"6.52""";720x1600 pixels;3 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;;;2020, November 06;Cancelled;166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in);-;Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~80.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 10;Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;13 MP, (wide), PDAF2 MP, (depth);1080p@30fps;8 MP, (wide);1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0, OTG;Accelerometer;Li-Po 4000 mAh, non-removable;Midnight Blue;LM-K310IM;About 110 EUR;HSPA, LTE-A;LED flash, panorama, HDR;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_k92_5g-10564.php;https://fdn2.gsmarena.com/vv/bigpic/lg-k92-5g.jpg;LG K92 5G;Released 2020, November 06;202.4g, 8.4mm thickness;Android 10;128GB storage, microSDXC;57;0.8%;545,500 hits;"6.7""";1080x2400 pixels;6 GB RAM;Snapdragon 690 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE (unspecified);;;2020, September 29;Available. Released 2020, November 06;166.4 x 77.2 x 8.4 mm (6.55 x 3.04 x 0.33 in);202.4 g (7.13 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.7 inches, 108.4 cm(~84.4% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~393 ppi density);Android 10;Qualcomm SM6350 Snapdragon 690 5G (8 nm);Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver);Adreno 619L;microSDXC;128GB 6GB RAM;;"64 MP, f/1.8, 25mm (wide), 1/1.97"", 0.7µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";4K@30fps, 1080p@30fps;16 MP, f/2.0, 27mm (wide), 1/3.06, 1.0µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO;Yes;No;USB Type-C 3.1;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Titan Gray;LMK920, LM-K920;About 340 EUR;HSPA, LTE-A, 5G;Quad-LED flash, panorama, HDR;SA/NSA/Sub6;;;;;;;;;;;;;
https://www.gsmarena.com/lg_k62-10464.php;https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg;LG K62;Released 2020, November 27;186g, 8.4mm thickness;Android 10;64GB/128GB storage, microSDXC;25;0.3%;358,972 hits;"6.6""";720x1600 pixels;4 GB RAM;Helio P35;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 66 - North America;;;2020, September 23;Available. Released 2020, November 27;165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in);186 g (6.56 oz);Dual SIM (Nano-SIM, dual stand-by);MIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions;IPS LCD;6.6 inches, 105.2 cm(~83.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~266 ppi density);Android 10;Mediatek MT6765 Helio P35 (12nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM, 128GB 4GB RAM;;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";1080p@30fps;28 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS;Yes;No;USB Type-C 3.1;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;White, Sky Blue, Red;LMK525H, LMK525, LM-K525H, LM-K525;About 290 EUR;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;Dual-LED flash, panorama, HDR;;;;;;;;;;;;;;
https://www.gsmarena.com/lg_q52-10558.php;https://fdn2.gsmarena.com/vv/bigpic/lg-q52.jpg;LG Q52;Released 2020, October 26;186g, 8.4mm thickness;Android 10;64GB storage, microSDXC;12;0.3%;191,776 hits;"6.6""";720x1600 pixels;4 GB RAM;Helio P35;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE (unspecified);;;2020, September 26;Available. Released 2020, October 26;165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in);186 g (6.56 oz);Dual SIM (Nano-SIM, dual stand-by);MIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions;IPS LCD;6.6 inches, 105.2 cm(~83.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~266 ppi density);Android 10;Mediatek MT6765 Helio P35 (12nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM;eMMC 5.1;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";1080p@30fps;"13 MP, (wide), 1/3.1"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS;Yes;No;USB Type-C 3.1;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Silky White, Silky Red;LM-Q520N;About 240 EUR;HSPA, LTE;Dual-LED flash, panorama, HDR;;;;;;;;;;;;;;
