Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;net4g;memoryother;gprstext;edge;featuresother;bodyother
https://www.gsmarena.com/maxwest_nitro_55m-8540.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55-m.jpg;Maxwest Nitro 55M;Released 2017, January;180g, 8.2mm thickness;Android 6.0;8GB storage, microSDHC;4;0.1%;121,294 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6580;2800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2016, October. Released 2017, January;Discontinued;152.9 x 77.6 x 8.2 mm (6.02 x 3.06 x 0.32 in);180 g (6.35 oz);Dual SIM (dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~70.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 6.0 (Marshmallow);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2800 mAh, removable;Up to 280 h;Up to 5 h;White, black;;;;;;
https://www.gsmarena.com/maxwest_nitro_55_lte-8539.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55m.jpg;Maxwest Nitro 55 LTE;Released 2017, January;163g, 7.9mm thickness;Android 6.0;8GB storage, microSDHC;1;0.1%;87,796 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6737;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700 / 2100;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2016, November. Released 2017, January;Discontinued;153 x 77.6 x 7.9 mm (6.02 x 3.06 x 0.31 in);163 g (5.75 oz);Dual SIM (dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~70.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 6.0 (Marshmallow);Mediatek MT6737 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-T720MP2;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3000 mAh, removable;Up to 280 h;Up to 15 h;Dark Blue, White, Gold;2, 4, 5, 7, 12, 17;eMMC 5.0;;;;
https://www.gsmarena.com/maxwest_nitro_5m-8538.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5m.jpg;Maxwest Nitro 5M;Released 2016, December;148g, 10.3mm thickness;Android 6.0;8GB storage, microSDHC;1;N/A;70,041 hits;"5.0""";480x854 pixels;1 GB RAM;Spreadtrum SC7731;2200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;HSPA 21.1/5.76 Mbps;2016, September. Released 2016, December;Discontinued;144.2 x 73 x 10.3 mm (5.68 x 2.87 x 0.41 in);148 g (5.22 oz);Dual SIM (dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.4% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 6.0 (Marshmallow);Spreadtrum SC7731;Quad-core 1.2 GHz Cortex-A7;Mali-400;microSDHC;8GB 1GB RAM;5 MP;LED flash;Yes;2 MP;;Wi-Fi 802.11 b/g/n;2.1, EDR;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2200 mAh, removable;Up to 300 h;Up to 8 h;Black, BLue, Gold, Red;;;;;;
https://www.gsmarena.com/maxwest_astro_5s-8412.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-5s.jpg;Maxwest Astro 5s;Released 2016, August;150g, 9.1mm thickness;Android 5.1;8GB storage, microSDHC;2;N/A;85,632 hits;"5.0""";480x854 pixels;1 GB RAM;MT6580M;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2016, July. Released 2016, August;Discontinued;144.4 x 72 x 9.1 mm (5.69 x 2.83 x 0.36 in);150 g (5.29 oz);Dual SIM (dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.3% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 5.1 (Lollipop);Mediatek MT6580M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 300 h (3G);Up to 6 h (3G);White, Black, Pink Red;;;;;;
https://www.gsmarena.com/maxwest_gravity_5_lte-8021.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5-lte-.jpg;Maxwest Gravity 5 LTE;Released 2016, February;155g, 8.9mm thickness;Android 5.1;8GB storage, microSDXC;1;N/A;107,563 hits;"5.0""";720x1280 pixels;1 GB RAM;Snapdragon 210;2200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900;HSPA, LTE;2016, January. Released 2016, February;Discontinued;145.5 x 72.8 x 8.9 mm (5.73 x 2.87 x 0.35 in);155 g (5.47 oz);Dual SIM (Dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Qualcomm MSM8909 Snapdragon 210 (28 nm);Quad-core 1.1 GHz Cortex-A7;Adreno 304;microSDXC;8GB 1GB RAM;8 MP, AF;LED flash;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.1;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2200 mAh, removable;Up to 300 h;Up to 7 h 30 min;Black/Silver/Gold;2, 4, 7, 17;eMMC 4.5;;;;
https://www.gsmarena.com/maxwest_astro_x4-7930.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x4.jpg;Maxwest Astro X4;Released 2016, February;122g, 9.8mm thickness;Android 4.4;4GB 512MB RAM storage, microSDHC slot;0;N/A;73,865 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572M;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900;HSPA 21.1/5.76 Mbps;2016, January. Released 2016, February;Discontinued;123.5 x 64 x 9.8 mm (4.86 x 2.52 x 0.39 in);122 g (4.30 oz);Dual SIM (Dual stand-by);TFT, 256K colors;4.0 inches, 45.5 cm(~57.6% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;3.15 MP;LED flash;720p;VGA, LED flash;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh, removable;Up to 180 h;Up to 8 h;White, Black, Blue, Gold, Pink;;;;;;
https://www.gsmarena.com/maxwest_astro_x55-7889.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x55.jpg;Maxwest Astro X55;Released 2016, February;174g, 7.8mm thickness;Android 5.1;8GB storage, microSDHC;8;N/A;187,779 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6580;2200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900;HSPA 21.1/5.76 Mbps;2016, January. Released 2016, February;Discontinued;150.5 x 76.3 x 7.8 mm (5.93 x 3.00 x 0.31 in);174 g (6.14 oz);Dual SIM (Dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~72.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 5.1 (Lollipop);Mediatek MT6580 (28 nm);Quad-core 1.5 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;720p;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2200 mAh, removable;Up to 350 h;Up to 14 h;Gold/White;;;;;;
https://www.gsmarena.com/maxwest_vice-7873.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-vice.jpg;Maxwest Vice;Released 2016, January;87g, 13.6mm thickness;Feature phone;64MB 64MB RAM storage, microSDHC slot;2;N/A;102,018 hits;"2.4""";240x320 pixels;64 MB RAM;Spreadtrum 6531D;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2016, January. Released 2016, January;Discontinued;106 x 52 x 13.6 mm (4.17 x 2.05 x 0.54 in);87 g (3.07 oz);Dual SIM (dual stand-by);TFT;2.4 inches, 17.8 cm(~32.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;Spreadtrum 6531D;;;microSDHC (dedicated slot);64MB 64MB RAM;VGA;;No;No;;No;2.0;No;No;FM radio;microUSB 1.1;;Li-Ion 900 mAh, removable;;;Black, Red, Silver;;;Yes;No;Audio/Video playerPhoto viewerVoice memo;
https://www.gsmarena.com/maxwest_gravity_5_5_lte-7629.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55-lte.jpg;Maxwest Gravity 5.5 LTE;Released 2015, September;165g, 7.5mm thickness;Android 5.1;8GB storage, microSDHC;4;N/A;143,840 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6735;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900;HSPA 21.1/5.76 Mbps, LTE;2015, June. Released 2015, September;Discontinued;155.5 x 78 x 7.5 mm (6.12 x 3.07 x 0.30 in);165 g (5.82 oz);Dual SIM (Dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~68.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 5.1 (Lollipop);Mediatek MT6735 (28 nm);Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;microSDHC;8GB 1GB RAM;13 MP, AF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3000 mAh, non-removable;Up to 350 h;Up to 14 h;Black, Gold, Silver;2, 4, 7, 17;;;;;
https://www.gsmarena.com/maxwest_gravity_5-7589.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5.jpg;Maxwest Gravity 5;Released 2015, September;150g, 9.1mm thickness;Android 4.4.2;8GB storage, microSDHC;2;N/A;106,955 hits;"5.0""";540x960 pixels;1 GB RAM;MT6582M;2700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, September;Discontinued;145.4 x 72 x 9.1 mm (5.72 x 2.83 x 0.36 in);150 g (5.29 oz);Dual SIM (Dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.8% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~220 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2700 mAh, removable;Up to 200 h;Up to 25 h;White/Black/Blue/Red;;;;;;
