Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;build;tbench;batlife;displayother;optionalother;gprstext;edge;batmusicplayback1;batstandby1;battalktime1;featuresother
https://www.gsmarena.com/meizu_18s_pro-11075.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-18s-pro.jpg;Meizu 18s Pro;Released 2021, September 23;189g, 8.1mm thickness;Android 11, Flyme 9.2;128GB/256GB storage, no card slot;99;1.3%;364,778 hits;"6.7""";1440x3200 pixels;8/12 GB RAM;Snapdragon 888+ 5G;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41;1, 3, 41, 77, 78, 79 SA/NSA;HSPA, LTE-A, 5G;2021, September 22;Available. Released 2021, September 23;162.5 x 73 x 8.1 mm (6.40 x 2.87 x 0.32 in);189 g (6.67 oz);Dual SIM (Nano-SIM, dual stand-by);Waterproof;Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak);6.7 inches, 107.6 cm(~90.7% screen-to-body ratio);1440 x 3200 pixels, 20:9 ratio (~526 ppi density);Corning Gorilla Glass 6;Android 11, Flyme 9.2;Qualcomm SM8350 Snapdragon 888+ 5G (5 nm);Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Adreno 660;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;UFS 3.1;"50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm0.3 MP, TOF 3D, f/1.4, (depth)";LED flash, HDR, panorama;"8K, 4K@30/60fps, 1080p; gyro-EIS, HDR";44 MP, f/2.4, (wide), 1/2.65”, 0.7µm;HDR;4K@30fps, 1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;Yes;No;USB Type-C;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;Li-Po 4500 mAh, non-removable;Blue, White, Gray;M192Q;About 610 EUR;;;;;;;;;;;
https://www.gsmarena.com/meizu_18s-11115.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-18s.jpg;Meizu 18s;Released 2021, September 23;162g, 8.2mm thickness;Android 11, Flyme 9.2;128GB/256GB storage, no card slot;47;0.4%;149,783 hits;"6.2""";1440x3200 pixels;8/12 GB RAM;Snapdragon 888+ 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41;1, 3, 41, 77, 78, 79 SA/NSA;HSPA, LTE-A, 5G;2021, September 22;Available. Released 2021, September 23;152.4 x 69.2 x 8.2 mm (6.00 x 2.72 x 0.32 in);162 g (5.71 oz);Dual SIM (Nano-SIM, dual stand-by);;Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak);6.2 inches, 93.8 cm(~88.9% screen-to-body ratio);1440 x 3200 pixels, 20:9 ratio (~563 ppi density);;Android 11, Flyme 9.2;Qualcomm SM8350 Snapdragon 888+ 5G (5 nm);Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Adreno 660;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;UFS 3.1;"64 MP, f/1.6, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom16 MP, f/2.2, 15mm, 122˚ (ultrawide), 1/3.0"", 1.0µm";Dual-LED dual-tone flash, HDR, panorama;"4K@30/60fps, 1080p; gyro-EIS";"20 MP, f/2.2, 26mm (wide), 1/3.4"", 0.8µm";HDR;1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;Yes;No;USB Type-C;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Light Blue, White, Aurora, Pink/Violet;;About 490 EUR;;;;;;;;;;;
https://www.gsmarena.com/meizu_18x-11116.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-18x.jpg;Meizu 18x;Released 2021, September 22;189g, 8mm thickness;Android 11, Flyme 9.2;128GB/256GB storage, no card slot;26;0.3%;96,116 hits;"6.67""";1080x2400 pixels;8/12 GB RAM;Snapdragon 870 5G;4300 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41;1, 3, 41, 77, 78, 79 SA/NSA;HSPA, LTE-A, 5G;2021, September 22;Available. Released 2021, September 22;165.1 x 76.4 x 8 mm (6.5 x 3.01 x 0.31 in);189 g (6.67 oz);Dual SIM (Nano-SIM, dual stand-by);;OLED, 1B colors, 120Hz, 500 nits (typ), 700 nits (peak);6.67 inches, 107.4 cm(~85.2% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);;Android 11, Flyme 9.2;Qualcomm SM8250-AC Snapdragon 870 5G (7 nm);Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585);Adreno 650;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;UFS 3.1;"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (depth)";LED flash, HDR, panorama;1080p@30fps;13 MP, f/2.0, (wide);HDR;1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;No;USB Type-C;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4300 mAh, non-removable;Light Blue, White, Gray;;About 340 EUR;;;;;;;;;;;
https://www.gsmarena.com/meizu_watch-10939.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-watch.jpg;Meizu Watch;Released 2021, June 01;43g, 13mm thickness;Flyme;8GB storage, no card slot;18;0.1%;55,892 hits;"1.78""";368x448 pixels;1 GB RAM;Snapdragon Wear 4100;430 mAh Li-Ion;GSM 900 / 1800;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 38, 39, 40, 41;;HSPA, LTE;2021, May 31;Available. Released 2021, June 01;46 x 38.4 x 13 mm (1.81 x 1.51 x 0.51 in);43 g (1.52 oz);eSIM;Swimproof;AMOLED, 450 nits (typ);1.78 inches;368 x 448 pixels (~326 ppi density);Corning Gorilla Glass;Flyme;Qualcomm Snapdragon Wear 4100 (12 nm);Quad-core 1.7 GHz Cortex-A53;Adreno 504;No;8GB 1GB RAM;eMMC 4.5;No;;;;;;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS, GLONASS, BDS, QZSS;Yes;No;No;Accelerometer, heart rate, SpO2, gyro, barometer, compass;Li-Ion 430 mAh, non-removable;Black, Azure;;About 190 EUR;Glass front (Gorilla Glass), ceramic back, aluminum frame;;;;;;;;;;
https://www.gsmarena.com/meizu_18_pro-10751.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-18-pro.jpg;Meizu 18 Pro;Released 2021, March 08;189g, 8.1mm thickness;Android 11, Flyme 9;128GB/256GB storage, no card slot;137;0.4%;435,007 hits;"6.7""";1440x3200 pixels;8/12 GB RAM;Snapdragon 888 5G;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41;1, 3, 41, 77, 78, 79 SA/NSA;HSPA, LTE-A, 5G;2021, March 03;Available. Released 2021, March 08;162.5 x 73 x 8.1 mm (6.40 x 2.87 x 0.32 in);189 g (6.67 oz);Dual SIM (Nano-SIM, dual stand-by);Waterproof;Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak);6.7 inches, 107.6 cm(~90.7% screen-to-body ratio);1440 x 3200 pixels, 20:9 ratio (~526 ppi density);Corning Gorilla Glass 6;Android 11, Flyme 9;Qualcomm SM8350 Snapdragon 888 5G (5 nm);Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Adreno 660;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;UFS 3.1;"50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm0.3 MP, TOF 3D, f/1.4, (depth)";LED flash, HDR, panorama;"8K, 4K@30/60fps, 1080p; gyro-EIS";44 MP, f/2.4, (wide), 1/2.65”, 0.7µm;HDR;4K@30fps, 1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS, NavIC;Yes;No;USB Type-C;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;Li-Po 4500 mAh, non-removable;Blue, White, Gray;;About 640 EUR;;;;;;;;;;;
https://www.gsmarena.com/meizu_18-10766.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-18-.jpg;Meizu 18;Released 2021, March 08;162g, 8.2mm thickness;Android 11, Flyme 9;128GB/256GB storage, no card slot;81;0.2%;265,317 hits;"6.2""";1440x3200 pixels;8/12 GB RAM;Snapdragon 888 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41;1, 3, 41, 77, 78, 79 SA/NSA;HSPA, LTE-A, 5G;2021, March 03;Available. Released 2021, March 08;152.4 x 69.2 x 8.2 mm (6.00 x 2.72 x 0.32 in);162 g (5.71 oz);Dual SIM (Nano-SIM, dual stand-by);;Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak);6.2 inches, 93.8 cm(~88.9% screen-to-body ratio);1440 x 3200 pixels, 20:9 ratio (~563 ppi density);;Android 11, Flyme 9;Qualcomm SM8350 Snapdragon 888 5G (5 nm);Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Adreno 660;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;UFS 3.1;"64 MP, f/1.6, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom16 MP, f/2.2, 15mm, 122˚ (ultrawide), 1/3.0"", 1.0µm";Dual-LED dual-tone flash, HDR, panorama;"4K@30/60fps, 1080p; gyro-EIS";"20 MP, f/2.2, 26mm (wide), 1/3.4"", 0.8µm";HDR;1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS, NavIC;Yes;No;USB Type-C;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Light Blue, White, Aurora;;About 560 EUR;;;;;;;;;;;
https://www.gsmarena.com/meizu_17_pro-10232.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-m17-pro1.jpg;Meizu 17 Pro;Released 2020, May 11;219g, 8.5mm thickness;Android 10, Flyme 8.1;128GB/256GB storage, no card slot;120;0.2%;491,256 hits;"6.6""";1080x2340 pixels;8/12 GB RAM;Snapdragon 865 5G;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 34, 38, 39, 40, 41;41, 78, 79 SA/NSA;HSPA, LTE-A, 5G;2020, May 08;Available. Released 2020, May 11;160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in);219 g (7.72 oz);Dual SIM (Nano-SIM, dual stand-by);;Super AMOLED, 120Hz, HDR10+, 700 nits (typ);6.6 inches, 106.9 cm(~86.6% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density);;Android 10, Flyme 8.1;Qualcomm SM8250 Snapdragon 865 5G (7 nm+);Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55);Adreno 650;No;128GB 8GB RAM, 256GB 12GB RAM;UFS 3.1;"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.4, 79mm (telephoto), 1.0µm, PDAF32 MP, f/2.2, 15mm, 129˚ (ultrawide), 1/2.8"", 0.8µm0.3 MP, TOF 3D, f/1.4, (depth)";5-LED dual-tone flash, Auto-HDR, panorama;"4K@30/60fps, 1080p; gyro-EIS";20 MP, f/2.2, (wide), 0.8µm;HDR;1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS (L1+L5), GLONASS, BDS;Yes;No;USB Type-C 2.0;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4500 mAh, non-removable;Mint, Black, White;;About 560 EUR;Glass front, ceramic back, ceramic frame;;;;;;;;;;
https://www.gsmarena.com/meizu_17-10129.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-m17.jpg;Meizu 17;Released 2020, May 11;199g, 8.5mm thickness;Android 10, Flyme 8.1;128GB/256GB storage, no card slot;96;0.2%;416,530 hits;"6.6""";1080x2340 pixels;8 GB RAM;Snapdragon 865 5G;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 34, 38, 39, 40, 41;41, 78, 79 SA/NSA;HSPA, LTE-A, 5G;2020, May 08;Available. Released 2020, May 11;160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in);199 g (7.02 oz);Dual SIM (Nano-SIM, dual stand-by);;Super AMOLED, 120Hz, HDR10+, 700 nits (typ);6.6 inches, 106.9 cm(~86.6% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density);;Android 10, Flyme 8.1;Qualcomm SM8250 Snapdragon 865 5G (7 nm+);Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55);Adreno 650;No;128GB 8GB RAM, 256GB 8GB RAM;UFS 3.1;"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF8 MP, f/2.2, 16mm, 118˚ (ultrawide), 1/4.0"", 1.12µm5 MP, f/1.9, (macro)";5-LED dual-tone flash, Auto-HDR, panorama;"4K@30/60fps, 1080p; gyro-EIS";20 MP, f/2.2, (wide), 0.8µm;HDR;1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS (L1+L5), GLONASS, BDS;Yes;No;USB Type-C 2.0;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4500 mAh, non-removable;Green, Gray, Aurora White;;About 530 EUR;;;;;;;;;;;
https://www.gsmarena.com/meizu_16t-9926.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-16t.jpg;Meizu 16T;Released 2019, October;183g, 8.3mm thickness;Android 9.0, Flyme 8;128GB/256GB storage, no card slot;99;0.1%;460,764 hits;"6.5""";1080x2232 pixels;6/8 GB RAM;Snapdragon 855;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41;;HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/150 Mbps;2019, October;Available. Released 2019, October;159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in);183 g (6.46 oz);Dual SIM (Nano-SIM, dual stand-by);;Super AMOLED, 430 nits (typ);6.5 inches, 106.3 cm(~85.2% screen-to-body ratio);1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density);;Android 9.0 (Pie), Flyme 8;Qualcomm SM8150 Snapdragon 855 (7 nm);Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Adreno 640;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;UFS 3.0;"12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm, PDAF5 MP, f/1.9, 23mm (wide), 1/5.0"", 1.12µm, PDAF";LED flash, HDR, panorama;4K@30/60fps;"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm";HDR;1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, BDS;No;No;USB Type-C 2.0;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4500 mAh, non-removable;Orange, Blue, Green;;About 250 EUR;;;;;;;;;;;
https://www.gsmarena.com/meizu_m10-9953.php;https://fdn2.gsmarena.com/vv/bigpic/meizu-m10.jpg;Meizu M10;Released 2019, October;184g, 8.5mm thickness;Android 9.0, Flyme 8;32GB storage, no card slot;11;0.1%;192,369 hits;"6.5""";720x1600 pixels;2/3 GB RAM;Helio P25;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100 - Global;1, 2, 3, 5, 7, 8, 20, 40 - Global;;HSPA, LTE-A;2019, September;Available. Released 2019, October;164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in);184 g (6.49 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, 450 nits (typ);6.5 inches, 102.0 cm(~81.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);;Android 9.0 (Pie), Flyme 8;Mediatek MT6757T Helio P25 (16 nm);Octa-core (4x2.5 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53);Mali-T880MP2;No;32GB 2GB RAM, 32GB 3GB RAM;;13 MP, f/2.0, (wide), PDAF2 MP, f/2.22 MP, f/2.2;LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0;HDR;1080p@30fps;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS, GLONASS, BDS;No;No;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Phantom Black, Purplish Red, Sea Blue;;About 180 EUR;;;;;;;;;;;
