Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;displayprotection;sar-us;cam2features;build;battalktime1;batstandby1;batmusicplayback1;sar-eu;gprstext;edge;bodyother;featuresother;optionalother;displayother
https://www.gsmarena.com/micromax_in_2c-11496.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2c.jpg;Micromax In 2c;Released 2022, May 01;198g, 8.6mm thickness;Android 11;32GB storage, microSDXC;6;0.4%;54,018 hits;"6.52""";720x1600 pixels;3 GB RAM;Unisoc T610;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;1, 3, 5, 8, 38, 40, 41;HSPA, LTE;2022, April 26;Available. Released 2022, May 01;164.3 x 75.7 x 8.6 mm (6.47 x 2.98 x 0.34 in);198 g (6.98 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 420 nits;6.52 inches, 102.6 cm(~82.5% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11;Unisoc T610 (12 nm);Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MP2;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;8 MP, (wide), AFVGA, (depth);LED flash, HDR, panorama;1080p@30fps;5 MP, AF;Unspecified;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;No;USB Type-C 2.0, OTG;Accelerometer, proximity;Li-Po 5000 mAh, non-removable;Brown, Silver;E6533;;;;;;;;;;;;;;;
https://www.gsmarena.com/micromax_in_note_2-11332.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note2.jpg;Micromax In note 2;Released 2022, January 30;205g, 8.3mm thickness;Android 11;64GB storage, microSDXC;27;0.3%;145,281 hits;"6.43""";1080x2400 pixels;4 GB RAM;Helio G95;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;HSPA, LTE-A;2022, January 25;Available. Released 2022, January 30;159.9 x 74.3 x 8.3 mm (6.30 x 2.93 x 0.33 in);205 g (7.23 oz);Dual SIM (Nano-SIM, dual stand-by);AMOLED, 550 nits (typ);6.43 inches, 99.8 cm(~84.0% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~409 ppi density);Android 11;Mediatek Helio G95 (12 nm);Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G76 MC4;microSDXC (dedicated slot);64GB 4GB RAM;UFS 2.1;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";Dual-LED dual-tone flash, HDR, panorama;1080p@30fps;"16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Black, Oak;E7446;About 150 EUR;Corning Gorilla Glass;1.01 W/kg (head)     0.77 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/micromax_in_2b-11036.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2b.jpg;Micromax In 2b;Released 2021, August 06;190g, 8.6mm thickness;Android 11;64GB storage, microSDXC;15;0.2%;128,317 hits;"6.52""";720x1600 pixels;4/6 GB RAM;Unisoc T610;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;1, 3, 5, 8, 38, 40, 41;HSPA, LTE;2021, July 30;Available. Released 2021, August 06;164.3 x 75.7 x 8.6 mm (6.47 x 2.98 x 0.34 in);190 g (6.70 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 400 nits (typ);6.52 inches, 102.6 cm(~82.5% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11;Unisoc T610 (12 nm);Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MP2;microSDXC (dedicated slot);64GB 4GB RAM, 64GB 6GB RAM;eMMC 5.1;"13 MP, f/1.8, 27mm (wide), 1/3.0"", 1.12µm, PDAF2 MP, f/2.4, (depth)";LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2;Unspecified;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;Unspecified;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Blue, Black, Green;E7544;About 90 EUR;;0.85 W/kg (head)     1.13 W/kg (body);HDR;;;;;;;;;;;
https://www.gsmarena.com/micromax_in_1-10800.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in1.jpg;Micromax In 1;Released 2021, March 26;195g, 9mm thickness;Android 10;64GB/128GB storage, microSDXC;19;0.1%;127,360 hits;"6.67""";1080x2400 pixels;4/6 GB RAM;MT6769V;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;HSPA, LTE-A (CA);2021, March 19;Available. Released 2021, March 26;165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in);195 g (6.88 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 440 nits (peak);6.67 inches, 107.4 cm(~84.4% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 10;Mediatek MT6769V/CU Helio G80 (12 nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 6GB RAM;eMMC 5.1;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";LED flash, HDR;1080p@30fps;"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Blue, Purple;E6746;About 120 EUR;;0.96 W/kg (head);;;;;;;;;;;;
https://www.gsmarena.com/micromax_in_note_1-10569.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg;Micromax In note 1;Released 2020, November 24;196g, 9mm thickness;Android 10;64GB/128GB storage, microSDXC;50;0.2%;331,413 hits;"6.67""";1080x2400 pixels;4 GB RAM;Helio G85;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat7 300/150 Mbps;2020, November 03;Available. Released 2020, November 24;165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in);196 g (6.91 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 450 nits (peak);6.67 inches, 107.4 cm(~84.4% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 10;Mediatek MT6769Z Helio G85 (12nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;eMMC 5.1;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";LED flash, HDR;1080p@30fps;"16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Green, White;E7746;About 130 EUR;Oleophobic coating;0.57 W/kg (head)     0.96 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/micromax_in_1b-10568.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b.jpg;Micromax In 1b;Released 2020, November 26;188g, 8.9mm thickness;Android 10;32GB/64GB storage, microSDXC;23;0.1%;166,302 hits;"6.52""";720x1600 pixels;2/4 GB RAM;Helio G35;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;1, 3, 5, 8, 40, 41;HSPA, LTE;2020, November 03;Available. Released 2020, November 26;164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in);188 g (6.63 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 400 nits (typ);6.52 inches, 102.6 cm(~82.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 10 (Go edition);Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);32GB 2GB RAM, 64GB 4GB RAM;eMMC 5.1;13 MP, f/1.9, 26mm (wide), PDAF2 MP, f/2.4, (depth);LED flash, panorama;1080p@30fps;8 MP, f/2.0;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO;No;Unspecified;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity;Li-Po 5000 mAh, non-removable;Blue, Purple, Green;E6523, E7533;About 80 EUR;;0.57 W/kg (head)     0.90 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/micromax_infinity_n12-9515.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg;Micromax Infinity N12;Released 2018, December;164g, 8.5mm thickness;Android 8.1;32GB storage, microSDXC;19;0.1%;357,325 hits;"6.19""";720x1500 pixels;3 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2018, December;Available. Released 2018, December;156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in);164 g (5.78 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.19 inches, 96.4 cm(~81.1% screen-to-body ratio);720 x 1500 pixels (~269 ppi density);Android 8.1 (Oreo);Mediatek MT6762V Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;13 MP, PDAF5 MP, f/2.4, (depth);LED flash;1080p@24fps;"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm";1080p;Wi-Fi 802.11 a/b/g/n;4.2, A2DP;GPS;No;FM radio, recording;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity;Li-Po 4000 mAh, non-removable;Blue Lagoon, Red Velvet, Viola, Black;N8301;About 10000 INR;;;LED flash;;;;;;;;;;;
https://www.gsmarena.com/micromax_infinity_n11-9516.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg;Micromax Infinity N11;Released 2019, January;164g, 8.5mm thickness;Android 8.1;32GB storage, microSDXC;8;0.1%;137,876 hits;"6.19""";720x1500 pixels;2 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2018, December;Available. Released 2019, January;156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in);164 g (5.78 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.19 inches, 96.4 cm(~81.1% screen-to-body ratio);720 x 1500 pixels (~269 ppi density);Android 8.1 (Oreo);Mediatek MT6762V Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;13 MP, PDAF5 MP, f/2.4, (depth);LED flash;1080p@24fps;8 MP;1080p;Wi-Fi 802.11 a/b/g/n;4.2, A2DP;GPS;No;FM radio, recording;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity;Li-Po 4000 mAh, non-removable;Black;;About 9000 INR;;;LED flash;;;;;;;;;;;
https://www.gsmarena.com/micromax_bharat_5_infinity-9517.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg;Micromax Bharat 5 Infinity;Released 2018, December;10.4mm thickness;Android 8.1 Oreo;16GB storage, microSDHC;8;0.1%;196,433 hits;"5.45""";720x1440 pixels;1 GB RAM;MT6739;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 40, 41;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, December;Available. Released 2018, December;148 x 71 x 10.4 mm (5.83 x 2.80 x 0.41 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.45 inches, 76.7 cm(~72.9% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);Android 8.1 Oreo (Go edition);Mediatek MT6739 (28 nm);Quad-core 1.5 GHz Cortex-A53;PowerVR GE8100;microSDHC (dedicated slot);16GB 1GB RAM;eMMC 5.1;5 MP;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.1, A2DP;GPS;No;FM radio, recording;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Lava Red, Rose Gold, Matte Blue;Q4204;About 5400 INR;;;LED flash;;;;;;;;;;;
https://www.gsmarena.com/micromax_bharat_go-9207.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg;Micromax Bharat Go;Released 2018, June;130g, 9.6mm thickness;Android 8.0 Oreo;8GB storage, microSDHC;4;0.1%;114,658 hits;"4.5""";480x854 pixels;1 GB RAM;MT6737М;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;3, 40;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, May;Available. Released 2018, June;136.5 x 67 x 9.6 mm (5.37 x 2.64 x 0.38 in);130 g (4.59 oz);Dual SIM (Micro-SIM, dual stand-by);TFT LCD;4.5 inches, 61.9 cm(~67.7% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~207 ppi density);Android 8.0 Oreo (Go edition);Mediatek MT6737М;Quad-core 1.1 GHz Cortex-A53;Mali-T720MP1;microSDHC;8GB 1GB RAM;eMMC 5.0;5 MP;Dual-LED dual-tone flash;480p;5 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer;Li-Ion 2000 mAh, removable;Black;;About 4400 INR;;;LED flash;Glass front, plastic back, plastic frame;;;;;;;;;;
