Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;cam2features;batstandby1;battalktime1;batlife;featuresother;batmusicplayback1;tbench;sar-us;sar-eu;gprstext;edge
https://www.gsmarena.com/microsoft_surface_duo_2-11117.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo2.jpg;Microsoft Surface Duo 2;Released 2021, October 21;284g, 11mm thickness;Android 11;128GB/256GB/512GB storage, no card slot;124;1.4%;410,977 hits;"8.3""";1892x2688 pixels;8 GB RAM;Snapdragon 888 5G;4449 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 46, 48, 66, 71;1, 2, 3, 5, 7, 20, 25, 28, 38, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6 - International;HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat20 2000/150 Mbps, 5G 6 Gbps DL;2021, September 22;Available. Released 2021, October 21;Unfolded: 184.5 x 145.2 x 5.5 mmFolded: 145.2 x 92.1 x 11 mm;284 g (10.02 oz);Glass front (Gorilla Glass Victus), glass back (Gorilla Glass);Nano-SIM and eSIM;Stylus support;AMOLED, 90Hz, HDR, 800 nits (peak);8.3 inches, 204.0 cm(~152.6% screen-to-body ratio);1892 x 2688 pixels (~401 ppi density);Corning Gorilla Glass Victus;Folded position display: 5.8 inches, AMOLED, 1344 x 1892 pixels (4:3);Android 11;Qualcomm SM8350 Snapdragon 888 5G (5 nm);Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Adreno 660;No;128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;UFS;12 MP, f/1.7, 27mm (wide), 1.4µm, dual pixel PDAF, OIS12 MP, f/2.4, 51mm (telephoto), 1.0µm, PDAF, OIS, 2x optical zoom16 MP, f/2.2, 13mm (ultrawide), 1.0µmTOF 3D, (depth);Dual-LED dual-tone flash, HDR, panorama;4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR;12 MP, f/2.0, 24mm (wide), 1.0µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE, aptX Adaptive;GPS, GLONASS, GALILEO, QZSS, BDS;Yes;No;USB Type-C 3.2, DisplayPort;Fingerprint (side-mounted), dual accelerometer, dual gyro, dual proximity, dual compass;Li-Po 4449 mAh, non-removable;Glacier, Obsidian;About 1480 EUR;;;;;;;;;;;
https://www.gsmarena.com/microsoft_surface_duo-10365.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo.jpg;Microsoft Surface Duo;Released 2020, September 10;250g, 9.9mm thickness;Android 10, up to Android 11;128GB/256GB storage, no card slot;162;1.0%;761,007 hits;"8.1""";1800x2700 pixels;6 GB RAM;Snapdragon 855;3577 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 19 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 66;;HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/150 Mbps;2020, August 12;Available. Released 2020, September 10;Unfolded: 186.9 x 145.2 x 4.8 mmFolded: 145.2 x 93.3 x 9.9 mm;250 g (8.82 oz);Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5);Nano-SIM and eSIM;Stylus support;AMOLED;8.1 inches, 195.4 cm(~144.2% screen-to-body ratio);1800 x 2700 pixels, 3:2 ratio (~401 ppi density);Corning Gorilla Glass 5;Folded position display: 5.6 inches, AMOLED, 1350 x 1800 pixels (4:3);Android 10, upgradable to Android 11;Qualcomm SM8150 Snapdragon 855 (7 nm);Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Adreno 640;No;128GB 6GB RAM, 256GB 6GB RAM;UFS 3.0;11 MP, f/2.0, 23mm (wide), 1.0µm, PDAF;HDR, panorama;4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR;Uses main camera;4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE, aptX Adaptive;GPS;No;No;USB Type-C 3.1;Fingerprint (side-mounted), dual accelerometer, dual gyro, proximity, dual compass;Li-Po 3577 mAh, non-removable;White;;HDR, panorama;;;;;;;;;;
https://www.gsmarena.com/microsoft_lumia_650-7859.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-650-s.jpg;Microsoft Lumia 650;Released 2016, February;122g, 6.9mm thickness;Microsoft Windows 10;16GB storage, microSDXC;278;0.7%;4,697,267 hits;"5.0""";720x1280 pixels;1 GB RAM;Snapdragon 212;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2016, February. Released 2016, February;Discontinued;142 x 70.9 x 6.9 mm (5.59 x 2.79 x 0.27 in);122 g (4.30 oz);Glass front (Gorilla Glass 3), plastic back, aluminum frame;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;OLED;5.0 inches, 67.5 cm(~67.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~297 ppi density);Corning Gorilla Glass 3;ClearBlack display;Microsoft Windows 10;Qualcomm MSM8909v2 Snapdragon 212 (28 nm);Quad-core 1.3 GHz Cortex-A7;Adreno 304;microSDXC (dedicated slot);16GB 1GB RAM;eMMC 4.5;"8 MP, f/2.2, 28mm (wide), 1/4.0"", AF";LED flash;720p@30fps;5 MP, f/2.2;720p;Wi-Fi 802.11 b/g/n, DLNA, hotspot;4.1, A2DP, LE;GPS, GLONASS, BDS;Yes;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Black, White;About 150 EUR;;Up to 624 h (3G);Up to 16 h (2G) / Up to 13 h (3G);;;;;;;;
https://www.gsmarena.com/microsoft_lumia_950_xl_dual_sim-7631.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg;Microsoft Lumia 950 XL Dual SIM;Released 2015, December;165g, 8.1mm thickness;Microsoft Windows 10;32GB storage, microSDXC;332;0.3%;1,670,834 hits;"5.7""";1440x2560 pixels;3 GB RAM;Snapdragon 810;3300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2015, October. Released 2015, December;Discontinued;151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in);165 g (5.82 oz);;Dual SIM (Nano-SIM, dual stand-by);;AMOLED;5.7 inches, 89.6 cm(~75.2% screen-to-body ratio);1440 x 2560 pixels, 16:9 ratio (~515 ppi density);Corning Gorilla Glass 4;ClearBlack display;Microsoft Windows 10;Qualcomm MSM8994 Snapdragon 810 (20 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57);Adreno 430;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.0;"20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS";Zeiss optics, triple-LED RGB flash, panorama, HDR;4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update);5 MP, f/2.4;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.1, A2DP;GPS, GLONASS, BDS;Yes;FM radio;USB Type-C 3.1;Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core;Li-Ion 3340 mAh, removable;Black, White;About 350 EUR;;Up to 288 h (2G) / Up to 288 h (3G);Up to 25 h (2G) / Up to 19 h (3G);;Microsoft Continuum support;Up to 75 h;Basemark OS II 2.0: 1472Basemark X: 32178;;;;
https://www.gsmarena.com/microsoft_lumia_950_xl-7263.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg;Microsoft Lumia 950 XL;Released 2015, November;165g, 8.1mm thickness;Microsoft Windows 10;32GB storage, microSDXC;785;0.6%;5,208,515 hits;"5.7""";1440x2560 pixels;3 GB RAM;Snapdragon 810;3300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 20, 28, 38, 40 - EMEA;;HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps;2015, October. Released 2015, November;Discontinued;151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in);165 g (5.82 oz);;Nano-SIM;;AMOLED;5.7 inches, 88.5 cm(~74.3% screen-to-body ratio);1440 x 2560 pixels, 16:9 ratio (~518 ppi density);Corning Gorilla Glass 4;ClearBlack display;Microsoft Windows 10;Qualcomm MSM8994 Snapdragon 810 (20 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57);Adreno 430;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.0;"20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS";Zeiss optics, triple-LED RGB flash, panorama, HDR;4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update);5 MP, f/2.4;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.1, A2DP;GPS, GLONASS, BDS;Yes;FM radio;USB Type-C 3.1;Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core;Li-Ion 3340 mAh, removable;Black, White;About 350 EUR;;Up to 288 h (2G) / Up to 288 h (3G);Up to 25 h (2G) / Up to 19 h (3G);;Microsoft Continuum support;Up to 75 h;Basemark OS II 2.0: 1472Basemark X: 32178;;;;
https://www.gsmarena.com/microsoft_lumia_950_dual_sim-7632.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg;Microsoft Lumia 950 Dual SIM;Released 2015, December;150g, 8.2mm thickness;Microsoft Windows 10;32GB storage, microSDXC;139;0.1%;727,713 hits;"5.2""";1440x2560 pixels;3 GB RAM;Snapdragon 808;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2015, October. Released 2015, December;Discontinued;145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in);150 g (5.29 oz);;Dual SIM (Nano-SIM, dual stand-by);;AMOLED;5.2 inches, 74.5 cm(~70.2% screen-to-body ratio);1440 x 2560 pixels, 16:9 ratio (~565 ppi density);Corning Gorilla Glass 3;ClearBlack display;Microsoft Windows 10;Qualcomm MSM8992 Snapdragon 808 (20 nm);Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);Adreno 418;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.0;"20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS";Zeiss optics, triple-LED RGB flash, panorama, HDR;4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update);5 MP, f/2.4;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.1, A2DP;GPS, GLONASS, BDS;Yes;FM radio;USB Type-C 3.1;Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core;Li-Ion 3000 mAh, removable;Black, White;About 280 EUR;;Up to 288 h (2G) / Up to 288 h (3G);Up to 23 h (2G) / Up to 18 h (3G);;Microsoft Continuum support;Up to 67 h;;;;;
https://www.gsmarena.com/microsoft_lumia_950-7262.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg;Microsoft Lumia 950;Released 2015, November;150g, 8.2mm thickness;Microsoft Windows 10;32GB storage, microSDXC;592;0.5%;5,456,905 hits;"5.2""";1440x2560 pixels;3 GB RAM;Snapdragon 808;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40 - EMEA;;HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps;2015, October. Released 2015, November;Discontinued;145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in);150 g (5.29 oz);;Nano-SIM;;AMOLED;5.2 inches, 74.8 cm(~70.5% screen-to-body ratio);1440 x 2560 pixels, 16:9 ratio (~564 ppi density);Corning Gorilla Glass 3;ClearBlack display;Microsoft Windows 10;Qualcomm MSM8992 Snapdragon 808 (20 nm);Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);Adreno 418;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.0;"20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS";Zeiss optics, triple-LED RGB flash, panorama, HDR;4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update);5 MP, f/2.4;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.1, A2DP;GPS, GLONASS, BDS;Yes;FM radio;USB Type-C 3.1;Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core;Li-Ion 3000 mAh, removable;Black, White;About 280 EUR;;Up to 288 h (2G) / Up to 288 h (3G);Up to 23 h (2G) / Up to 18 h (3G);;Microsoft Continuum support;Up to 67 h;Basemark OS II 2.0: 1281Basemark X: 26330;;;;
https://www.gsmarena.com/microsoft_lumia_550-7612.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-550-.jpg;Microsoft Lumia 550;Released 2015, December;141.9, 9.9mm thickness;Microsoft Windows 10;8GB storage, microSDXC;167;0.2%;3,711,152 hits;"4.7""";720x1280 pixels;1 GB RAM;Snapdragon 210;2100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2015, October. Released 2015, December;Discontinued;136.1 x 67.8 x 9.9 mm (5.36 x 2.67 x 0.39 in);141.9 (5.01 oz);;Nano-SIM;;IPS LCD,;4.7 inches, 59.7 cm(~64.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~315 ppi density);;;Microsoft Windows 10;Qualcomm MSM8909 Snapdragon 210 (28 nm);Quad-core 1.1 GHz Cortex-A7;Adreno 304;microSDXC (dedicated slot);8GB 1GB RAM;eMMC 4.5;"5 MP, f/2.4, 1/4.0"", AF";LED flash;720p@30fps;2 MP, f/2.8;480p;Wi-Fi 802.11 b/g/n, hotspot;4.1, A2DP;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2100 mAh, removable;Black, White;About 90 EUR;;Up to 672 h (2G) / Up to 672 h (3G);Up to 16 h (2G) / Up to 14 h (3G);;;Up to 60 h;;;;;
https://www.gsmarena.com/microsoft_lumia_540_dual_sim-7196.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-540-ds1.jpg;Microsoft Lumia 540 Dual SIM;Released 2015, May;152g, 8.6mm thickness;Microsoft Windows Phone 8.1 with Lumia Denim;8GB storage, microSDXC;131;0.2%;7,387,216 hits;"5.0""";720x1280 pixels;1 GB RAM;Snapdragon 200;2200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;;HSPA 42.2/5.76 Mbps;2015, April. Released 2015, May;Discontinued;144 x 73.7 x 8.6 mm (5.67 x 2.90 x 0.34 in);152 g (5.36 oz);;Dual SIM (Micro-SIM, dual stand-by);;IPS LCD;5.0 inches, 68.9 cm(~64.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;ClearBlack display;Microsoft Windows Phone 8.1 with Lumia Denim;Qualcomm Snapdragon 200 (28 nm);Quad-core 1.2 GHz Cortex-A7;Adreno 302;microSDXC (dedicated slot);8GB 1GB RAM;eMMC 4.5;"8 MP, f/2.2, 28mm (wide), 1/4.0"", AF";LED flash;480p@30fps;5 MP;480p;Wi-Fi 802.11 b/g/n, DLNA, hotspot;4.0, A2DP;GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2200 mAh, removable;Orange, white, black, gray, blue;About 100 EUR;;Up to 576 h (2G) / Up to 576 h (3G);Up to 26 h (2G) / Up to 15 h (3G);;;Up to 81 h;;;;;
https://www.gsmarena.com/microsoft_lumia_430_dual_sim-7127.php;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-430.jpg;Microsoft Lumia 430 Dual SIM;Released 2015, May;127.9g, 10.6mm thickness;Microsoft Windows Phone 8.1, up to Windows 10;8GB storage, microSDXC;76;0.1%;3,081,416 hits;"4.0""";480x800 pixels;1 GB RAM;Snapdragon 200;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;;HSPA 42.2/5.76 Mbps;2015, March. Released 2015, May;Discontinued;120.5 x 63.2 x 10.6 mm (4.74 x 2.49 x 0.42 in);127.9 g (4.52 oz);;Dual SIM (Micro-SIM, dual stand-by);;IPS LCD,;4.0 inches, 44.8 cm(~58.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~235 ppi density);;;Microsoft Windows Phone 8.1, upgradable to Windows 10;Qualcomm MSM8210 Snapdragon 200 (28 nm);Dual-core 1.2 GHz Cortex-A7;Adreno 302;microSDXC (dedicated slot);8GB 1GB RAM;eMMC 4.5;"2 MP, f/2.2, 1/5.0""";;480p@30fps;VGA;480p;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;A-GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1500 mAh, removable;Black, Orange;About 70 EUR;;Up to 720 h (2G) / Up to 720 h (3G);Up to 13 h (2G) / Up to 8 h 30 min (3G);;;Up to 47 h;;;;;
