Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;gprstext;edge;cam1features;price
https://www.gsmarena.com/mitac_mio_explora_k75-2817.php;https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-k75.jpg;Mitac MIO Explora K75;Released 2009, Q3;115g, 11.9mm thickness;Windows Mobile 6.1 Professional;128MB RAM storage, microSD slot;9;N/A;115,992 hits;"3.5""";240x400 pixels;128 MB RAM;MSM7201A;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2009, June. Released 2009, Q3;Discontinued;115.3 x 61.5 x 11.9 mm (4.54 x 2.42 x 0.47 in);115 g (4.06 oz);Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);3.5 inches, 34.9 cm(~49.2% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~133 ppi density);Handwriting recognition;Windows Mobile 6.1 Professional;Qualcomm MSM7201A;528 MHz ARM 11;Adreno 130;microSD (dedicated slot);128MB RAM, 256MB ROM;3.15 MP;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, Qualcomm gpsOne;No;miniUSB 2.0;Accelerometer;MIO Spirit Mobile navigationMP3/MP4 playerOrganizerPocket OfficeVoice memo/dial;Removable Li-Ion 1000 mAh battery;Up to 200 h;Up to 4 h 30 min;Black;;;;
https://www.gsmarena.com/mitac_mio_explora_k70-2735.php;https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-k70.jpg;Mitac MIO Explora K70;Released 2009, Q3;115g, 11.9mm thickness;Windows Mobile 6.1 Professional;128MB RAM storage, microSD slot;9;N/A;89,718 hits;"3.5""";240x400 pixels;128 MB RAM;MSM7201A;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2009, February. Released 2009, Q3;Discontinued;115.3 x 61.5 x 11.9 mm (4.54 x 2.42 x 0.47 in);115 g (4.06 oz);Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);3.5 inches, 34.9 cm(~49.2% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~133 ppi density);Handwriting recognition;Windows Mobile 6.1 Professional;Qualcomm MSM7201A;528 MHz ARM 11;Adreno 130;microSD (dedicated slot);128MB RAM, 256MB ROM;3.15 MP;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, Qualcomm gpsOne;No;miniUSB 2.0;Accelerometer;Car antenna connectorMP3/MP4 playerOrganizerPocket OfficeVoice memo/dial;Removable Li-Ion 1000 mAh battery;Up to 200 h;Up to 4 h 30 min;Black;;;;
https://www.gsmarena.com/mitac_mio_leap_g50-3206.php;https://fdn2.gsmarena.com/vv/bigpic/mitak-mio-leap-g50.jpg;Mitac MIO Leap G50;Released Released 2009, October;119g, 14.2mm thickness;Windows Mobile 6.1 Professional;64MB RAM storage, microSDHC slot;9;N/A;73,127 hits;"2.8""";240x320 pixels;64 MB RAM;;670 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2008, August. Released Released 2009, October;Discontinued;98 x 58.5 x 14.2 mm (3.86 x 2.30 x 0.56 in);119 g (4.20 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~42.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Windows Mobile 6.1 Professional;;Samsung S3C 2443, 400MHz;;microSDHC (dedicated slot);64MB RAM;2 MP, AF;Yes;;;No;2.0, A2DP;GPS, A-GPS, SiRF Star III chipset;No;miniUSB 2.0;Accelerometer;MP3/WMA/WAV/eAAC playerMP4/H.263 playerPocket OfficeOrganizerVoice memoPredictive text input;Removable Li-Ion battery;;;Black;;;;
https://www.gsmarena.com/mitac_mio_leap_k1-3207.php;https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-leap-k1.jpg;Mitac MIO Leap K1;Released 2009, October;125g, 14.5mm thickness;Windows Mobile 6.1 Professional;64MB RAM storage, microSDHC slot;6;N/A;74,593 hits;"2.6""";240x320 pixels;64 MB RAM;;790 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, June. Released 2009, October;Discontinued;105.1 x 53.5 x 14.5 mm (4.14 x 2.11 x 0.57 in);125 g (4.41 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.6 inches, 20.9 cm(~37.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~154 ppi density);"Secondary OLED 65K display, 1.7"" inches";Windows Mobile 6.1 Professional;;Samsung S3C 2443, 400MHz;;microSDHC (dedicated slot);64MB RAM, 1GB;2 MP, AF;Yes;;;No;2.0, A2DP;GPS, A-GPS, SiRF Star III chipset, MioMap navigation;No;miniUSB 1.1;;Dual-face phoneMP3/WMA/WAV/eAAC playerMP4/H.263 playerPocket OfficeOrganizerVoice memoPredictive text input;Removable Li-Ion 790 mAh battery;;Up to 5 h;Black;Class 10;Class 10;LED flash;
https://www.gsmarena.com/mitac_mio_a502-2159.php;https://fdn2.gsmarena.com/vv/bigpic/mio-a502.gif;Mitac MIO A502;Cancelled;135g, 20.7mm thickness;Windows Mobile 6 Professional;64MB RAM storage, SD/MMC slot;7;N/A;98,589 hits;"2.7""";240x320 pixels;64 MB RAM;TI OMAP 850;1050 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2007, Q4;Cancelled;95.7 x 59.6 x 20.7 mm (3.77 x 2.35 x 0.81 in);135 g (4.76 oz);Mini-SIM;TFT resistive touchscreen, 256K colors;2.7 inches, 22.6 cm(~39.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);Handwriting recognition5 way joystick;Windows Mobile 6 Professional;TI OMAP 850;200 MHz ARM926EJ-S;;SD/MMC, SDIO;64MB RAM, ROM varies by region;2 MP;Yes;No;;No;2.0;GPS, SiRF Star III chipset;No;miniUSB 2.0;;Car antenna connectorMP3/MP4 playerOrganizerPocket OfficeVoice memo/dial;Removable Li-Ion 1050 mAh battery;Up to 200 h;;Gray;Class 10;;LED flash;
https://www.gsmarena.com/mitac_mio_a501-2122.php;https://fdn2.gsmarena.com/vv/bigpic/mio-a501.gif;Mitac MIO A501;Cancelled;135g, 20.7mm thickness;Windows Mobile 5 AKU3.3;256MB 64MB RAM storage, SD/MMC slot;11;N/A;134,331 hits;"2.7""";240x320 pixels;64 MB RAM;TI OMAP 850;1050 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2007, Q4;Cancelled;95.7 x 59.6 x 20.7 mm, 118 cc (3.77 x 2.35 x 0.81 in);135 g (4.76 oz);Mini-SIM;TFT resistive touchscreen, 256K colors;2.7 inches, 22.6 cm(~39.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);Handwriting recognition5 way joystick;Windows Mobile 5 AKU3.3;TI OMAP 850;200 MHz ARM926EJ-S;;SD/MMC, SDIO;256MB 64MB RAM;2 MP;Yes;No;;No;2.0, A2DP;GPS, SiRF Star III chipset;No;1.1;;Car antenna connectorMP3/MP4 playerOrganizerPocket OfficeeUtilityE-viewerMio MenuCustomized Today screenVoice memo/dial;Removable Li-Ion 1050 mAh battery;Up to 200 h;Up to 4 h 30 min;Gray;Class 10;Class 10;LED flash;About 210 EUR
https://www.gsmarena.com/mitac_mio_a702-2109.php;https://fdn2.gsmarena.com/vv/bigpic/mio-a702.gif;Mitac MIO A702;Released 2007, November;148g, 16.5mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, microSD slot;14;N/A;166,829 hits;"2.7""";240x320 pixels;64 MB RAM;TI OMAP 850;1130 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2007, September. Released 2007, November;Discontinued;110 x 57.5 x 16.5 mm (4.33 x 2.26 x 0.65 in);148 g (5.22 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.7 inches, 22.6 cm(~35.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;TI OMAP 850;200 MHz ARM926EJ-S;;microSD (dedicated slot);64MB RAM, 256MB to 2GB (depends on region);3.15 MP, AF;Yes;No;;Wi-Fi 802.11 b/g;2.0;GPS, SiRF Star III chipset;No;miniUSB 1.1;;MP3/MP4 playerPocket OfficeOrganizerVoice memo/dial;Removable Li-Ion 1130 mAh battery;Up to 200 h;Up to 4 h;;Class 10;Class 10;LED flash;About 340 EUR
https://www.gsmarena.com/mitac_mio_a701-1261.php;https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-a701.gif;Mitac MIO A701;Released 2005, August;150g, 22mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, MMC/SD slot;13;N/A;325,953 hits;"2.7""";240x320 pixels;64 MB RAM;;1300 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2005, August;Discontinued;117 x 59 x 22 mm (4.61 x 2.32 x 0.87 in);150 g (5.29 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.7 inches, 41 x 54 mm, 22.6 cm(~32.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);Handwriting recognition5 way navigation key;Microsoft Windows Mobile 5.0 PocketPC;;Intel PXA270 520 MHz;;MMC/SD, up to 2 GB;64MB RAM, 128MB ROM;1.3 MP;Yes;No;;No;1.2;GPS, SiRF Star III chipset;No;1.0;;Pocket OfficeMP3/MP4 playerOrganizerVoice memo/dial;Removable Li-Ion 1300 mAh battery;Up to 200 h;Up to 4 h;;Class 10;No;;
https://www.gsmarena.com/mitac_mio_8870-929.php;https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-8870.gif;Mitac MIO 8870;Released 2004, Q4;120g, 21mm thickness;Microsoft Windows Mobile 2003 SE Smartphone;32MB storage, MMC/SD slot;9;N/A;112,963 hits;"2.2""";176x220 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q4;Discontinued;110 x 49 x 21 mm, 110 cc (4.33 x 1.93 x 0.83 in);120 g (4.23 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~28.3% screen-to-body ratio);176 x 220 pixels (~128 ppi density);Animated screensaversColor backgrounds;Microsoft Windows Mobile 2003 SE Smartphone;;Intel PXA262 200 MHz;;MMC/SD, up to 1 GB;32MB;VGA;Yes;No;;No;No;No;No;Proprietary;;MP3/MP4 playerPredictive text inputOrganizerVoice memo;Removable Li-Ion 1050 mAh battery;Up to 100 h;Up to 4 h;;Class 10;No;;
https://www.gsmarena.com/mitac_mio_8860-726.php;https://fdn2.gsmarena.com/vv/bigpic/mtc8860.gif;Mitac MIO 8860;Cancelled;;Microsoft Smartphone 2003;MMC/SD slot;8;N/A;114,244 hits;"2.2""";176x220 pixels; ;;850 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q1;Cancelled;;;Mini-SIM;TFT, 256K colors (65K effective);2.2 inches, 35 x 44 mm, 15.2 cm;176 x 220 pixels (~128 ppi density);Second external display 65K colors;Microsoft Smartphone 2003;;Intel XScale 200 MHz;;MMC/SD;;CIF;No;No;;No;No;No;No;Proprietary;;MP3 playerPredictive text inputOrganizer;Removable Li-Ion battery;;;;Class 10;No;;
