Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;optionalother;os;cpu
https://www.gsmarena.com/mitsubishi_m430i_m900-879.php;https://fdn2.gsmarena.com/vv/bigpic/mip900.gif;Mitsubishi M430i/M900;Released 2004, Q3;125g, 24mm thickness;Feature phone;15MB storage, miniSD slot;11;0.1%;531,092 hits;"2.2""";240x320 pixels; ;;810 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2004, Q3;Discontinued;105 x 49 x 24 mm, 100 cc (4.13 x 1.93 x 0.94 in);125 g (4.41 oz);Mini-SIM;TFD, 256K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~29.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);Second external TFD display (120 x 160 pixels), 256K colorsDownloadable pictures;miniSD, 32 MB included;15MB;400 short messages;1.3 MP;LED flash;Yes;No;No;No;No;No;Proprietary;;MP3 player (M900 only)Predictive text inputOrganizerPhoto editorVoice memoVoice dial (20 slots);Removable Li-Ion 810 mAh battery;Up to 200 h;Up to 4 h;Silver;;;
https://www.gsmarena.com/mitsubishi_m800-915.php;https://fdn2.gsmarena.com/vv/bigpic/mim800.gif;Mitsubishi M800;Released 2004, Q4;94g, 22mm thickness;Feature phone;1.5MB storage, no card slot;8;N/A;370,585 hits;;128x160 pixels; ;;680 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2004, Q4;Discontinued;89 x 45 x 22 mm (3.50 x 1.77 x 0.87 in);94 g (3.32 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Second external flashing  displayDownloadable pictures;No;1.5MB;300 short messages;1.3 MP;;320p;No;No;No;No;No;;;Predictive text inputOrganizerWorld Time;Removable Li-Ion 680 mAh battery;Up to 250 h;Up to 2 h 30 min;Sleek silver;;;
https://www.gsmarena.com/mitsubishi_m420i_m760-914.php;https://fdn2.gsmarena.com/vv/bigpic/mim760.gif;Mitsubishi M420i/M760;Released 2004, Q4;115g, 25mm thickness;Feature phone;19MB storage, no card slot;10;N/A;282,991 hits;;176x240 pixels; ;;730 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004, Q4;Discontinued;98 x 47 x 25 mm (3.86 x 1.85 x 0.98 in);115 g (4.06 oz);Mini-SIM;TFD, 256K colors;;176 x 240 pixels, 4:3 ratio;Downloadable pictures;No;19MB;;1.3 MP;;Yes;No;No;No;No;No;Proprietary;;MP3 playerPredictive text inputOrganizerPhoto editorVoice memo;Removable Li-Ion battery;Up to 200 h;Up to 4 h;Silver;;;
https://www.gsmarena.com/mitsubishi_m528-1146.php;https://fdn2.gsmarena.com/vv/bigpic/mitsubishi-m528.gif;Mitsubishi M528;Released 2004, Q4;72g, 22mm thickness;Feature phone;2MB storage, no card slot;10;N/A;105,913 hits;;128x128 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2004, Q4;Discontinued;76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in);72 g (2.54 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external CSTN display (96 x 64 pixels), 65K colorsDownloadable pictures;No;2MB;;VGA;;Yes;No;No;No;No;No;Proprietary;;Predictive text inputOrganizerPhoto editor;Removable Li-Ion battery;;;Silver, Red, Blue;;;
https://www.gsmarena.com/mitsubishi_m520-910.php;https://fdn2.gsmarena.com/vv/bigpic/mim520.gif;Mitsubishi M520;Released 2004, Q4;75g, 22mm thickness;Feature phone;3MB storage, no card slot;8;N/A;112,677 hits;;128x128 pixels; ;;680 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2004, Q4;Discontinued;76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external CSTN display (96 x 64 pixels), 65K colorsDownloadable pictures;No;3MB;;VGA;;Yes;No;No;No;No;No;;;Predictive text inputOrganizerWorld Time;Removable Li-Ion 680 mAh battery;Up to 120 h;Up to 2 h;Crystal Silver and Sapphire Blue;;;
https://www.gsmarena.com/mitsubishi_m350-782.php;https://fdn2.gsmarena.com/vv/bigpic/mim350.gif;Mitsubishi M350;Released 2004, Q2;99g, 20mm thickness;Feature phone;5MB storage, no card slot;10;N/A;194,601 hits;;128x160 pixels,  7 lines; ;;900 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004, Q2;Discontinued;107 x 47 x 20 mm, 85 cc (4.21 x 1.85 x 0.79 in);99 g (3.49 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels,  7 lines;Downloadable logos;No;5MB;;VGA;;No;No;No;No;No;No;;;Predictive text inputVoice dial/memoOrganizerPhoto editor;Removable Li-Ion 900 mAh battery;;;Metallic Silver;;;
https://www.gsmarena.com/mitsubishi_m750-744.php;https://fdn2.gsmarena.com/vv/bigpic/mim750.gif;Mitsubishi M750;Released 2003, Q4;102g, 24mm thickness;Feature phone;5MB storage, no card slot;8;N/A;172,992 hits;;128x160 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2003, Q4;Discontinued;96 x 47 x 24 mm, 88 cc (3.78 x 1.85 x 0.94 in);102 g (3.60 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Second external STN display (62 x 80 pixels), 4096 colorsDownloadable logos;No;5MB;;VGA;;No;No;No;No;No;No;;;Predictive text inputVoice dial/memoOrganizerPhoto editor;Removable Li-Ion battery;Up to 250 h;Up to 5h;;;;
https://www.gsmarena.com/mitsubishi_m342i-685.php;https://fdn2.gsmarena.com/vv/bigpic/mim342i.gif;Mitsubishi M342i;Released 2004, Q1;99, 19mm thickness;Feature phone;5MB storage, no card slot;11;N/A;240,537 hits;;128x160 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004, Q1;Discontinued;107 x 47 x 19 mm, 85 cc (4.21 x 1.85 x 0.75 in);99 (3.49 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Downloadable logos;No;5MB;;VGA;;No;No;No;No;No;No;;;Predictive text inputVoice memoOrganizerPhoto editor;Removable Li-Ion battery;Up to 380 h;Up to 5 h;;Melody formats: SP midi, MFI (Music format for i-mode), Midi, i-melody, AMRPicture formats: .jpg, .gif, .png, .wbmp and animated gi;;
https://www.gsmarena.com/mitsubishi_m341i_m720-593.php;https://fdn2.gsmarena.com/vv/bigpic/mim341i.gif;Mitsubishi M341i/M720;Released 2003, Q4;102g, 24mm thickness;Feature phone;5MB storage, no card slot;8;N/A;276,399 hits;;128x160 pixels, 10 lines; ;;;GSM 900 / 1800;Class 8;No;2003, Q4;Discontinued;96 x 47 x 24 mm, 87 cc (3.78 x 1.85 x 0.94 in);102 g (3.60 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 10 lines;Second external display (62 x 80 pixels), 4096 colorsDownloadable logos;No;5MB;20 voice dial slots2 min voice memo100 organizer events;VGA;;No;No;No;No;No;No;;;Predictive text inputVoice memo/dialOrganizerPhoto editor;Removable Li-Po battery;Up to 400 h;Up to 4 h;;;;
https://www.gsmarena.com/mitsubishi_m330-491.php;https://fdn2.gsmarena.com/vv/bigpic/mim330.gif;Mitsubishi M330;Released 2003, Q3;95g, 20mm thickness;Feature phone;No card slot;8;N/A;153,156 hits;;128x141 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800;Yes;No;2003, Q3;Discontinued;116 x 47 x 20 mm (4.57 x 1.85 x 0.79 in);95 g (3.35 oz);Mini-SIM;CSTN, 4096 colors;;128 x 141 pixels;;No;;20 voice dial records2 min voice memo100 text messages;No;;;;No;No;No;No;;;Predictive text inputVoice dialVoice memoOrganizer;Removable Li-Ion battery;Up to 350h;Up to 4h;2 - Quartz Silver and Frost White.;;;
