Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;models;price;cam2features;memoryother;tbench;batlife;displayother;sar-us;optionalother;gprstext;edge;sar-eu;battalktime1;batstandby1;batmusicplayback1
https://www.gsmarena.com/motorola_defy_2-12141.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-defy-2.jpg;Motorola Defy 2;Exp. release 2023, Q2;268g, 11.9mm thickness;Android 12;128GB storage, microSDXC;9;6.9%;38,424 hits;"6.6""";1080x2408 pixels;6 GB RAM;Dimensity 930;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 30, 38, 40, 41, 46, 48, 66, 71;2, 5, 23, 25, 26, 28, 38, 41, 48, 66, 70, 71, 77, 78, 255, 256 SA/NSA/Sub6/mmWave;HSPA, LTE, 5G;2023, February 24;Coming soon. Exp. release 2023, Q2;171 x 80 x 11.9 mm (6.73 x 3.15 x 0.47 in);268 g (9.45 oz);Glass front (Gorilla Glass Victus), plastic back, aluminum frame;Single SIM (Nano-SIM) or Hybrid SIM (Nano-SIM, dual stand-by);IP68/IP69 dust/water resistant (up to 5m for 35 min)Drop-to-concrete resistance from up to 1.8mMIL-STD-810H compliant;IPS LCD, 120Hz;6.6 inches, 104.9 cm(~76.7% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~400 ppi density);Corning Gorilla Glass Victus;Android 12;Mediatek Dimensity 930 (6 nm);Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);IMG BXM-8-256;microSDXC (uses shared SIM slot);128GB 6GB RAM;50 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro);Dual-LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS (L1+L5), GLONASS, GALILEO, BDS;Yes;Unspecified;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Emergency SOS via satellite (Bullitt Satellite Connect service);Li-Po 5000 mAh, non-removable;Black;BM1S1B;About 570 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/motorola_moto_g73-12079.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g73.jpg;Motorola Moto G73;Released 2023, January 24;181g, 8.3mm thickness;Android 13;256GB storage, microSDXC;34;11%;207,316 hits;"6.5""";1080x2400 pixels;8 GB RAM;Dimensity 930;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;2023, January 24;Available. Released 2023, January 24;161.4 x 73.8 x 8.3 mm (6.35 x 2.91 x 0.33 in);181 g (6.38 oz);Glass front, plastic back, plastic frame;Single SIM (Nano-SIM) or Hybrid SIM (Nano-SIM, dual stand-by);Water-resistant design;IPS LCD, 120Hz;6.5 inches, 102.0 cm(~85.6% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~405 ppi density);;Android 13;Mediatek Dimensity 930 (6 nm);Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);IMG BXM-8-256;microSDXC (uses shared SIM slot);256GB 8GB RAM;50 MP, f/1.8, (wide), 1.0µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1.12µm, AF;LED flash, HDR, panorama;1080p@30/60fps;16 MP, f/2.4, (wide), 1.0µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.3, A2DP, LE;GPS, GLONASS, GALILEO;Yes;Unspecified;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity, compass;;Li-Po 5000 mAh, non-removable;Lucent White, Midnight Blue;;;;;;;;;;;;;;;
https://www.gsmarena.com/motorola_moto_g53-12028.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g53.jpg;Motorola Moto G53;Released 2022, December 15;183g, 8.2mm thickness;Android 13;64GB/128GB storage, microSDXC;14;5.2%;206,028 hits;"6.5""";720x1600 pixels;4-8 GB RAM;Snapdragon 480+ 5G;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100 - EMEA & AP, China;1, 2, 3, 5, 7, 8, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42 - EMEA & AP;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - EMEA & AP;HSPA, LTE-A, 5G;2022, December 15;Available. Released 2022, December 15;162.7 x 74.7 x 8.2 mm (6.41 x 2.94 x 0.32 in);183 g (6.46 oz);Glass front, plastic back, plastic frame;Single SIM (Nano-SIM) or Hybrid SIM (Nano-SIM, dual stand-by);Water-resistant design;IPS LCD, 120Hz;6.5 inches, 102.0 cm(~83.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);;Android 13;Qualcomm SM4350-AC Snapdragon 480+ 5G (8 nm);Octa-core (2x2.2 GHz Kryo 460 & 6x1.8 GHz Kryo 460);Adreno 619;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM;"50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)";LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.0, (wide), 1/4"", 1.12µmor16 MP, f/2.2, (wide), 1.0µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes (market/region dependent);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;;Li-Po 5000 mAh, non-removable;Ink Blue, Arctic Silver, Pale Pink;XT2335-2;About 250 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/motorola_moto_g23-12088.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g23-r.jpg;Motorola Moto G23;Released 2023, January 24;184.3g, 8.2mm thickness;Android 13;64GB/128GB storage, microSDXC;8;2.6%;65,755 hits;"6.5""";720x1600 pixels;4/8 GB RAM;Helio G85;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100 - Europe, AP/MEA;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Europe;;HSPA, LTE (CA);2023, January 24;Available. Released 2023, January 24;162.7 x 74.7 x 8.2 mm (6.41 x 2.94 x 0.32 in);184.3 g (6.49 oz);Glass front, plastic frame, plastic back;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);Water-resistant design;IPS LCD, 90Hz, 400 nits (peak);6.5 inches, 102.0 cm(~83.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Panda glass;Android 13;Mediatek MT6769Z Helio G85 (12nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 8GB RAM;50 MP, f/1.8, (wide), 0.64µm, PDAF5 MP, f/2.2, 118˚ (ultrawide)2 MP, f/2.4, (macro);LED flash, HDR, panorama;1080p@30fps;16 MP, f/2.5, (wide), 1.0µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, GALILEO;Yes (market/region dependent);FM radio;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, gyro, proximity;;Li-Po 5000 mAh, non-removable;Matte Charcoal, Pearl White, Steel Blue;;;HDR;;;;;;;;;;;;
https://www.gsmarena.com/motorola_moto_g13-12091.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g13.jpg;Motorola Moto G13;Released 2023, January 24;183.5g, 8.2mm thickness;Android 13;64GB/128GB storage, microSDXC;10;2.5%;62,801 hits;"6.5""";720x1600 pixels;4 GB RAM;Helio G85;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 38, 40, 41;;HSPA, LTE;2023, January 24;Available. Released 2023, January 24;162.7 x 74.7 x 8.2 mm (6.41 x 2.94 x 0.32 in);183.5 g (6.49 oz);Glass front, plastic frame, plastic back;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);Water-resistant design;IPS LCD, 90Hz, 400 nits (peak);6.5 inches, 102.0 cm(~83.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Panda glass;Android 13;Mediatek MT6769Z Helio G85 (12nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;50 MP, f/1.8, (wide), 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.0, (wide), 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, GALILEO;Yes (market/region dependent);Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, gyro, proximity;;Li-Po 5000 mAh, non-removable;Matte Charcoal, Blue Lavender, Rose Gold;;;;;;;;;;;;;;;
https://www.gsmarena.com/motorola_moto_e13-12090.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e13-new.jpg;Motorola Moto E13;Released 2023, February 13;179.5g, 8.5mm thickness;Android 13;64GB storage, microSDXC;7;2.5%;68,768 hits;"6.5""";720x1600 pixels;2/4 GB RAM;Unisoc T606;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 28, 38, 40, 41;;HSPA, LTE;2023, January 24;Available. Released 2023, February 13;164.2 x 75 x 8.5 mm (6.46 x 2.95 x 0.33 in);179.5 g (6.35 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);Water-resistant design;IPS LCD;6.5 inches, 102.0 cm(~82.8% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);;Android 13 (Go edition);Unisoc T606 (12 nm);Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Mali-G57 MP1;microSDXC (dedicated slot);64GB 2GB RAM, 64GB 4GB RAM;13 MP, f/2.2, (wide), 1.12µm, PDAF;LED flash, HDR, panorama;1080p@30fps;"5 MP, f/2.4, (wide), 1/5"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO;No;FM radio, recording;USB Type-C 2.0, OTG;Accelerometer, proximity;;Li-Po 5000 mAh, non-removable;Cosmic Black, Creamy White, Aurora Green;;;;eMMC 5.1;;;;;;;;;;;
https://www.gsmarena.com/motorola_thinkphone-12059.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-thinkphone.jpg;Motorola ThinkPhone;Released 2023, January 29;188.5g, 8.3mm thickness;Android 13;128GB/256GB/512GB storage, no card slot;102;4.8%;303,048 hits;"6.6""";1080x2400 pixels;8/12 GB RAM;Snapdragon 8+ Gen 1;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - ROW;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 38, 39, 40, 41, 42, 43, 48, 66 - ROW;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - ROW;HSPA, LTE-A (CA), 5G;2023, January 05;Available. Released 2023, January 29;158.8 x 74.4 x 8.3 mm (6.25 x 2.93 x 0.33 in);188.5 g (6.67 oz);Glass front (Gorilla Glass Victus), aramid fibre back, aluminum frame;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.3mMIL-STD-810H compliant;P-OLED, 1B colors, 144Hz, HDR10+;6.6 inches, 105.2 cm(~89.0% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~399 ppi density);Corning Gorilla Glass Victus;Android 13;Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Adreno 730;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;"50 MP, f/1.8, (wide), 1/1.5"", 1.0µm, multi-directional PDAF, OIS13 MP, f/2.2, 120˚ (ultrawide), 1.12µm, AF2 MP, f/2.4, (depth)";LED flash, panorama, HDR;8K@30fps, 4K@30/60fps, 4K@30fps HDR10, 1080p@30/60/120/240/960fps, gyro-EIS;32 MP, f/2.5, (wide), 0.7µm - ROW model16 MP, f/2.0, (wide), 1.0µm - PRC model;4K@30fps, 1080p@30/60fps;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct;5.2, A2DP, LE;GPS, GLONASS, GALILEO;Yes;No;USB Type-C 3.1, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer (North America only);;Li-Po 5000 mAh, non-removable;Carbon Black;;;HDR;UFS 3.1;AnTuTu: 1081805 (v9)GeekBench: 4207 (v5.1)GFXBench: 90fps (ES 3.1 onscreen);;;;;;;;;;
https://www.gsmarena.com/motorola_moto_x40-11961.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-x40.jpg;Motorola Moto X40;Released 2022, December 22;199g, 8.6mm thickness;Android 13, MYUI 5.0;128GB/256GB/512GB storage, no card slot;141;4.6%;411,573 hits;"6.7""";1080x2400 pixels;8/12 GB RAM;Snapdragon 8 Gen 2;4600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 48, 66;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6;HSPA, LTE-A (CA), 5G;2022, December 15;Available. Released 2022, December 22;161.2 x 74 x 8.6 mm (6.35 x 2.91 x 0.34 in);199 g (7.02 oz);Glass front, glass back (Gorilla Glass Victus), aluminum frame;Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min);OLED, 1B colors, 165Hz, HDR10+;6.7 inches, 108.4 cm(~90.9% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~393 ppi density);;Android 13, MYUI 5.0;Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm);Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510);Adreno 740;No;128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;"50 MP, f/1.9, (wide), 1/1.55"", 1.0µm, Dual Pixel PDAF, OIS50 MP, f/2.2, 117˚ (ultrawide), 1/2.76"", 0.64µm, AF12 MP, f/1.6, (telephoto), 1/2.93"", 1.22µm, PDAF, 2x optical zoom";Dual-LED flash, panorama, HDR;4K@30fps, 1080p@30/60/120/240fps, 720p@960fps, 10-bit HDR10+, gyro-EIS;"60 MP, f/2.2, (wide), 1/2.8"", 0.61µm";4K@30fps, 1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);Yes;No;USB Type-C, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Ready For 3.5 support;Li-Po 4600 mAh, non-removable;Black, Blue;XT2301-5;;HDR;UFS 3.1 - 128GBUFS 4.0 - 256GB/512GB;;;;;;;;;;;
https://www.gsmarena.com/motorola_moto_g_play_(2023)-11957.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-play-2023.jpg;Motorola Moto G Play (2023);Released 2022, December 12;203g, 9.4mm thickness;Android 12;32GB storage, microSDXC;12;1.7%;161,267 hits;"6.5""";720x1600 pixels;3 GB RAM;Helio G37;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 66, 71;;HSPA, LTE;2022, December 08;Available. Released 2022, December 12;167.2 x 76.5 x 9.4 mm (6.58 x 3.01 x 0.37 in);203 g (7.20 oz);Plastic frame, plastic back;Nano-SIM;Water-repellent coating;IPS LCD, 90Hz;6.5 inches, 102.0 cm(~79.7% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);;Android 12;Mediatek MT6765 Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;16 MP, f/2.2, (wide), 1.12µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30/60fps;5 MP, f/2.4, (wide), 1.12µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS;No;No;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity, barometer;;Li-Po 5000 mAh, non-removable;Deep Indigo;;;HDR;eMMC 5.1;;;;;;;;;;;
https://www.gsmarena.com/motorola_moto_e32_(india)-11920.php;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e32-india.jpg;Motorola Moto E32 (India);Released 2022, October 07;185g, 8.5mm thickness;Android 12;64GB storage, microSDXC;8;0.4%;72,092 hits;"6.5""";720x1600 pixels;4 GB RAM;MT6765V;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 38, 40, 41;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2022, October 05;Available. Released 2022, October 07;164 x 75 x 8.5 mm (6.46 x 2.95 x 0.33 in);185 g (6.53 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);Water-repellent coating;IPS LCD, 90Hz;6.5 inches, 102.0 cm(~82.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);;Android 12;Mediatek MT6765V/CB Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;50 MP, f/1.8, (wide), 0.64µm, PDAF2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide), 1/4.0, 1.12µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO;No;FM radio;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;;Li-Po 5000 mAh, non-removable;Iceberg Blue, Cosmic Black;;About 130 EUR;HDR;eMMC 5.1;;;;;;;;;;;
