Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;gprstext;edge;featuresother;bodyother;price
https://www.gsmarena.com/niu_andy_c5_5e2i-7917.php;https://fdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg;NIU Andy C5.5E2I;Released 2016, March;128g, 9.2mm thickness;Android 4.4;4GB 512MB RAM storage, microSDXC slot;1;N/A;89,886 hits;"5.5""";720x1280 pixels;512 MB RAM;MT6582M;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;UMTS 850 / 1900 - AC55E2I043;HSPA 21.1/5.76 Mbps;2015, December. Released 2016, March;Discontinued;154.5 x 79 x 9.2 mm (6.08 x 3.11 x 0.36 in);128 g (4.52 oz);Micro-SIM;IPS LCD;5.5 inches, 83.4 cm(~68.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 4.4 (KitKat);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC (dedicated slot);4GB 512MB RAM;8 MP, AF;LED flash, panorama, HDR;1080p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, LE;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 3000 mAh, removable;Up to 600 h (2G) / Up to 500 h (3G);Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G);Blue, Gun Metal;;;;;
https://www.gsmarena.com/niu_andy_3_5e2i-7346.php;https://fdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg;NIU Andy 3.5E2I;Released 2015, March;102g, 10.7mm thickness;Android 4.4;4GB 512MB RAM storage, microSDXC slot;2;N/A;67,032 hits;"3.5""";320x480 pixels;512 MB RAM;MT6572M;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;UMTS 850 / 1900 - AM35E2I043;HSPA 21.1/5.76 Mbps;2015, February. Released 2015, March;Discontinued;115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in);102 g (3.60 oz);Dual SIM (Mini-SIM/ Micro-SIM);LCD, 256K colors;3.5 inches, 36.5 cm(~50.3% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.4 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDXC;4GB 512MB RAM;5 MP;LED flash, panorama;480p@30fps;1.3 MP;;Wi-Fi 802.11 a/b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer;Li-Ion 1300 mAh, removable;Up to 260 h (2G) / Up to 217 h (3G);Up to 18 h (2G) / Up to 8 h (3G);Black, White, Blue, Green, Orange;;;;;
https://www.gsmarena.com/niu_andy_4e2i-7347.php;https://fdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg;NIU Andy 4E2I;Released 2015, March;110g, 10.7mm thickness;Android 4.4;4GB 512MB RAM storage, microSDXC slot;0;N/A;61,829 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572M;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100 - AM4E2I047;HSPA 21.1/5.76 Mbps;2015, January. Released 2015, March;Discontinued;121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in);110 g (3.88 oz);Dual SIM (Mini-SIM/ Micro-SIM);TFT, 256K colors;4.0 inches, 45.5 cm(~58.3% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDXC;4GB 512MB RAM;5 MP;LED flash, panorama;480p@30fps;1.3 MP;;Wi-Fi 802.11 a/b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh, removable;Up to 280 h (2G) / Up to 232 h (3G);Up to 18 h (2G) / Up to 9 h (3G);Black, White, Red, Blue, Yellow;;;;;
https://www.gsmarena.com/niu_andy_5ei-7348.php;https://fdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg;NIU Andy 5EI;Released 2014, July;160g, 9.5mm thickness;Android 4.2;4GB 512MB RAM storage, microSDXC slot;0;N/A;63,386 hits;"5.0""";480x854 pixels;512 MB RAM;MT6572M;1550 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100 - SIM 1 or SIM 2;HSPA 21.1/5.76 Mbps;2014, May. Released 2014, July;Discontinued;142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in);160 g (5.64 oz);Dual SIM (Mini-SIM/ Micro-SIM);TFT, 256K colors;5.0 inches, 68.9 cm(~65.7% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDXC;4GB 512MB RAM;5 MP;LED flash;480p@30fps;1.3 MP;;Wi-Fi 802.11 a/b/g/n, hotspot;3.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1550 mAh, removable;Up to 480 h (2G) / Up to 350 h (3G);Up to 16 h (2G) / Up to 7 h 30 min (3G);Black, White, Red, Blue, Green;;;;;
https://www.gsmarena.com/niu_andy_5t-7349.php;https://fdn2.gsmarena.com/vv/bigpic/niu-5t.jpg;NIU Andy 5T;Released 2014, August;123g, 6.9mm thickness;Android 4.4.2;4GB 1GB RAM storage, microSDXC slot;0;N/A;65,831 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6582;1800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 - SIM 1 or SIM 2;HSPA 21.1/5.76 Mbps;2014, July. Released 2014, August;Discontinued;144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in);123 g (4.34 oz);Dual SIM (Mini-SIM/ Micro-SIM);IPS LCD;5.0 inches, 68.9 cm(~68.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;4GB 1GB RAM;13 MP, AF;LED flash, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 a/b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 1800 mAh, non-removable;Up to 480 h (2G) / Up to 360 h (3G);Up to 16 h (2G) / Up to 8 h 30 min (3G);White, Black, Blue, Red;;;;;
https://www.gsmarena.com/niu_c21a-7350.php;https://fdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg;NIU C21A;Released 2013, April;73g without battery, 14.5mm thickness;Feature phone;32Mb 32Mb RAM storage, microSDHC slot;0;N/A;57,762 hits;"1.8""";128x160 pixels; ;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003;;;2013, March. Released 2013, April;Discontinued;106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in);73 g without battery (2.57 oz);Dual SIM (Mini-SIM);TFT, 256K colors;1.8 inches, 10.2 cm(~21.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;microSDHC;32Mb 32Mb RAM;VGA;;No;No;;No;2.0;No;No;Stereo FM radio;microUSB;;Li-Ion 600 mAh, removable;Up to 200 h;Up to 4 h;Black, White, Blue, Green, Purple, Red, Fuchsia;Up to 48 kbps;No;Video PlayerMusic PlayerOrganizerWhatsapp;;
https://www.gsmarena.com/niu_f10-7351.php;https://fdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg;NIU F10;Released 2013, April;72g without battery, 13.7mm thickness;Feature phone;64Mb 32Mb RAM storage, microSDHC slot;1;N/A;60,518 hits;"2.2""";220x176 pixels; ;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3;;;2012, November. Released 2013, April;Discontinued;102 x 59 x 13.7 mm (4.02 x 2.32 x 0.54 in);72 g without battery (2.54 oz);Triple SIM (Mini-SIM);TFT, 65K colors;2.2 inches, 15.2 cm(~25.3% screen-to-body ratio);220 x 176 pixels (~128 ppi density);;;;;microSDHC (dedicated slot);64Mb 32Mb RAM;1.3 MP;;Yes;No;;No;2.1, A2DP;No;No;Stereo FM radio;microUSB;;Li-Ion 600 mAh, removable;Up to 400 h;Up to 5 h 30 min;Black, Blue, Red, White;Up to 48 kbps;No;Analog TVVideo PlayerMusic PlayerOrganizer;Flashlight;
https://www.gsmarena.com/niu_z10-7352.php;https://fdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg;NIU Z10;Released 2014, January;90g without battery, 14.5mm thickness;Feature phone;32Mb 32Mb RAM storage, microSDHC slot;0;N/A;56,396 hits;"2.0""";144x176 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;2013, November. Released 2014, January;Discontinued;113.2 x 55.5 x 14.5 mm (4.46 x 2.19 x 0.57 in);90 g without battery (3.17 oz);Dual SIM (Mini-SIM);TFT, 65K colors;2.0 inches, 12.6 cm(~20.1% screen-to-body ratio);144 x 176 pixels (~114 ppi density);;;;;microSDHC;32Mb 32Mb RAM;VGA;;Yes;No;;No;2.1;No;No;"Stereo FM radio; buit-in antenna";microUSB;;Li-Ion 1000 mAh, removable;Up to 290 h;Up to 7 h;Black, White, Blue;Up to 48 kbps;No;Music/Video playerOrganizerCalendarCalculatorVoice memo;FlashlightSOS button;
https://www.gsmarena.com/niu_tek_5d-7118.php;https://fdn2.gsmarena.com/vv/bigpic/niu-5d.jpg;NIU Tek 5D;Released 2015, February;150g, 9.3mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDXC slot;1;N/A;89,710 hits;"5.0""";480x854 pixels;512 MB RAM;MT6572M;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM5DI043;HSPA 21.1/5.76 Mbps;2015, January. Released 2015, February;Discontinued;156.3 x 74.2 x 9.3 mm (6.15 x 2.92 x 0.37 in);150 g (5.29 oz);Dual SIM (Mini-SIM/ Micro-SIM);TFT, 256K colors;5.0 inches, 44.1 cm(~38.0% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~245 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDXC;4GB 512MB RAM;5 MP;LED flash;480p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 400 h (2G) / Up to 332 h (3G);Up to 15 h (2G) / Up to 12 h (3G);Black;;;;;
https://www.gsmarena.com/niu_tek_4d2-6827.php;https://fdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg;NIU Tek 4D2;Released 2014, November;152g, 10.3mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDXC slot;1;N/A;75,984 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572M;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM4D2I043;HSPA 21.1/5.76 Mbps;2014, August. Released 2014, November;Discontinued;123 x 63 x 10.3 mm (4.84 x 2.48 x 0.41 in);152 g (5.36 oz);Dual SIM (Mini-SIM/ Micro-SIM);TFT;4.0 inches, 45.5 cm(~58.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDXC;4GB 512MB RAM;3.15 MP;LED flash, panorama;480p@30fps;1.3 MP;;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer;Li-Ion 1200 mAh, removable;Up to 400 h (2G) / Up to 320 h (3G);Up to 8 h (2G) / Up to 6 h (3G);Black, Gray, White, Blue, Orange;;;;;
