Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;displayother;net5g;models;sar-eu;tbench;batlife;sar-us;gprstext;edge;featuresother;cam2features;batstandby1;battalktime1;optionalother;batmusicplayback1
https://www.gsmarena.com/nokia_c32-12139.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-c32-2023.jpg;Nokia C32;Released 2023, February 25;199.4g, 8.6mm thickness;Android 13;64GB/128GB storage, microSDXC;8;12%;41,344 hits;"6.5""";720x1600 pixels;3/4 GB RAM;Unisoc SC9863A;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 2100;LTE;HSPA, LTE;2023, February 25;Available. Released 2023, February 25;164.6 x 75.9 x 8.6 mm (6.48 x 2.99 x 0.34 in);199.4 g (7.02 oz);Glass front, glass back, plastic frame;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);Splash and dust resistant;IPS LCD;6.5 inches, 102.0 cm(~81.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Scratch-resistant glass;Android 13 (Go edition);Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC (dedicated slot);64GB 3GB RAM, 128GB 4GB RAM;eMMC 5.1;50 MP, (wide), AF2 MP, (macro);LED flash, HDR;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 b/g/n;5.2, A2DP;GPS;No;Wireless FM radio;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Charcoal, Autumn Green, Beach Pink;About 130 EUR;;;;;;;;;;;;;;;
https://www.gsmarena.com/nokia_c22-12138.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-c22-2023.jpg;Nokia C22;Released 2023, February 25;190g, 8.6mm thickness;Android 13;64GB storage, microSDXC;5;6.4%;22,430 hits;"6.5""";720x1600 pixels;2/3 GB RAM;Unisoc SC9863A;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 2100;LTE;HSPA, LTE;2023, February 25;Available. Released 2023, February 25;164.6 x 75.9 x 8.6 mm (6.48 x 2.99 x 0.34 in);190 g (6.70 oz);Glass front, plastic back, plastic frame;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);Splash and dust resistant;IPS LCD;6.5 inches, 102.0 cm(~81.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Scratch-resistant glass;Android 13 (Go edition);Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC (dedicated slot);64GB 2GB RAM, 64GB 3GB RAM;eMMC 5.1;13 MP, (wide), AF2 MP, (macro);LED flash, HDR;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 b/g/n;5.2, A2DP;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Sand, Midnight Black;About 110 EUR;;;;;;;;;;;;;;;
https://www.gsmarena.com/nokia_g22-12137.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-g22-2023.jpg;Nokia G22;Released 2023, February 25;196.2g, 8.5mm thickness;Android 12;64GB/128GB storage, microSDXC;14;20%;67,142 hits;"6.5""";720x1600 pixels;4 GB RAM;Unisoc T606;5050 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41;HSPA, LTE;2023, February 25;Available. Released 2023, February 25;165 x 76.2 x 8.5 mm (6.50 x 3.00 x 0.33 in);196.2 g (6.91 oz);Glass front (Gorilla Glass 3), plastic frame, plastic back;Single SIM (Nano-SIM) or Hybrid SIM (Nano-SIM, dual stand-by);Dust and splash resistantQuickFix user-reparable design;IPS LCD, 90Hz, 500 nits (typ);6.5 inches, 102.0 cm(~81.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Corning Gorilla Glass 3;Android 12;Unisoc T606 (12 nm);Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Mali-G57 MP1;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM;UFS 2.2;"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, (macro)2 MP, (depth)";LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO;Yes (market/region dependent);FM radio, RDS;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5050 mAh, non-removable;Lagoon Blue, Meteor Gray;About 180 EUR;;;;;;;;;;;;;;;
https://www.gsmarena.com/nokia_c02-12136.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-c02.jpg;Nokia C02;Exp. release 2023, March;191g, 10mm thickness;Android 12;32GB storage, microSDXC;8;3.5%;27,740 hits;"5.45""";720x1440 pixels;2 GB RAM;;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE;HSPA, LTE;2023, February 23;Coming soon. Exp. release 2023, March;148.7 x 71.2 x 10 mm (5.85 x 2.80 x 0.39 in);191 g (6.74 oz);Plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);Splash and dust resistant;IPS LCD;5.45 inches, 76.7 cm(~72.4% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);;Android 12 (Go edition);;Quad-core 1.4 GHz;;microSDXC;32GB 2GB RAM;eMMC 5.1;5 MP;LED flash, HDR;720p@30fps;2 MP;720p@30fps;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;Unspecified;microUSB 2.0;Accelerometer;Li-Ion 3000 mAh, removable;Dark Cyan, Charcoal;;;;;;;;;;;;;;;;
https://www.gsmarena.com/nokia_c12-12085.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg;Nokia C12;Released 2023, February 02;177.4g, 8.8mm thickness;Android 12;64GB storage, Unspecified;10;2.0%;108,212 hits;"6.3""";720x1600 pixels;2/3 GB RAM;Unisoc SC9863A1;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE;HSPA, LTE;2023, January 18;Available. Released 2023, February 02;160.6 x 74.3 x 8.8 mm (6.32 x 2.93 x 0.35 in);177.4 g (6.24 oz);Glass front, plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);Splash resistant;IPS LCD;6.3 inches, 95.8 cm(~80.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~278 ppi density);Scratch-resistant glass;Android 12 (Go edition);Unisoc SC9863A1 (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;Unspecified;64GB 2GB RAM, 64GB 3GB RAM;eMMC 5.1;8 MP, AF;LED flash, HDR;Yes;5 MP;720p;Wi-Fi 802.11 b/g/n;5.2, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3000 mAh, removable;Dark Cyan, Charcoal, Light Mint;About 90 EUR;;;;;;;;;;;;;;;
https://www.gsmarena.com/nokia_2780_flip-11973.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-2780-flip.jpg;Nokia 2780 Flip;Released 2022, November 15;131.2g, 11.5mm thickness;KaiOS 3.1;4GB 512MB RAM storage, microSDHC slot;41;2.4%;195,799 hits;"2.7""";240x320 pixels;512 MB RAM;Snapdragon 215;1450 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;2, 4, 5, 7, 12, 13, 17, 25, 26, 41, 66, 71;HSPA, LTE Cat4 150/50 Mbps;2022, November 03;Available. Released 2022, November 15;202.1 x 58 x 11.5 mm (7.96 x 2.28 x 0.45 in);131.2 g (4.62 oz);;Single SIM (Nano-SIM);;TFT LCD;2.7 inches, 22.6 cm(~19.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);;KaiOS 3.1;Qualcomm QM215 Snapdragon 215 (28 nm);Quad-core 1.3 GHz Cortex-A53;Adreno 308;microSDHC (dedicated slot);4GB 512MB RAM;;5 MP;LED flash;Unspecified;No;;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS;No;FM radio;USB Type-C 2.0;;Li-Ion 1450 mAh, removable;Red, Blue;;"Secondary external 1.77"" display";;;;;;;;;;;;;;
https://www.gsmarena.com/nokia_x30-11831.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-x30-5g.jpg;Nokia X30;Released 2022, September 21;185g, 8mm thickness;Android 12;128GB/256GB storage, no card slot;116;9.1%;890,283 hits;"6.43""";1080x2400 pixels;6/8 GB RAM;Snapdragon 695 5G;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 38, 39, 40, 41;HSPA, LTE-A (CA), 5G;2022, September 01;Available. Released 2022, September 21;158.9 x 73.9 x 8 mm (6.26 x 2.91 x 0.31 in);185 g (6.53 oz);Glass front (Gorilla Glass Victus), aluminum frame, plastic back;Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by);IP67 dust/water resistant (up to 1m for 30 min);AMOLED, 90Hz, 450 nits (typ), 700 nits (peak);6.43 inches, 99.8 cm(~85.0% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~409 ppi density);Corning Gorilla Glass Victus;Android 12;Qualcomm SM6375 Snapdragon 695 5G (6 nm);Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Adreno 619;No;128GB 6GB RAM, 256GB 8GB RAM;UFS 2.2 - 128GBUFS 3.0 - 256GB;"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS13 MP, f/2.4, 123˚ (ultrawide), 1/3.06""";LED flash, HDR, panorama;1080p@30/60fps;"16 MP, f/2.4, (wide), 1/3.06"", 1.0µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE, aptX HD;GPS, GLONASS, GALILEO, BDS;Yes;FM radio, RDS;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4200 mAh, non-removable;Cloudy Blue, Ice White;;;1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6;TA-1450, TA-1443;0.79 W/kg (head)     1.37 W/kg (body);AnTuTu: 403732 (v9)GeekBench: 1920 (v5.1)GFXBench: 17fps (ES 3.1 onscreen);;;;;;;;;;
https://www.gsmarena.com/nokia_g60-11826.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-g60-5g.jpg;Nokia G60;Released 2022, September 01;190g, 8.6mm thickness;Android 12;64GB/128GB storage, microSDXC;36;4.6%;428,995 hits;"6.58""";1080x2408 pixels;4/6 GB RAM;Snapdragon 695 5G;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100 - International;1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41 - International;HSPA, LTE, 5G;2022, September 01;Available. Released 2022, September 01;166 x 75.9 x 8.6 mm (6.54 x 2.99 x 0.34 in);190 g (6.70 oz);Glass front (Gorilla Glass 5), plastic frame, plastic back;Nano-SIM and eSIM or Hybrid Dual SIM (Nano-SIM, dual stand-by);Splash resistant;IPS LCD, 120Hz, 400 nits (typ);6.58 inches, 104.3 cm(~82.8% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Corning Gorilla Glass 5;Android 12;Qualcomm SM6375 Snapdragon 695 5G (6 nm);Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Adreno 619;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;;"50 MP, f/1.8, (wide), 1/2.5"", 0.7µm, PDAF5 MP, f/2.2, (ultrawide), 1/5""2 MP, f/2.4, (depth)";LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.1, A2DP, LE, aptX HD, aptX Adaptive;GPS, GALILEO, BDS;Yes (market/region dependent);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 4500 mAh, non-removable;Pure Black, Ice Gray;;;1, 3, 5, 7, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - International;TA-1490, TA-1481, TA-1479, TA-1475;1.10 W/kg (head)     1.27 W/kg (body);;;1.30 W/kg (head)     0.83 W/kg (body);;;;;;;;
https://www.gsmarena.com/nokia_c31-11825.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-c31.jpg;Nokia C31;Released 2022, September 01;200g, 8.6mm thickness;Android 12;64GB/128GB storage, microSDXC;15;2.5%;194,097 hits;"6.75""";720x1600 pixels;3/4 GB RAM;Unisoc SC9863A;5050 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2022, September 01;Available. Released 2022, September 01;169.2 x 78 x 8.6 mm (6.66 x 3.07 x 0.34 in);200 g (7.05 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);Splash resistant;IPS LCD;6.75 inches, 110.0 cm(~83.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~260 ppi density);;Android 12;Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM;eMMC 5.1;13 MP, (wide), AF2 MP, (macro)2 MP, (depth);LED flash, HDR;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS;No;Wireless FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5050 mAh, non-removable;Charcoal, Mint, Cyan;;;;TA-1499, TA-1497, TA-1493;0.35 W/kg (head)     1.39 W/kg (body);;;;;;;;;;;
https://www.gsmarena.com/nokia_t21-11823.php;https://fdn2.gsmarena.com/vv/bigpic/nokia-t21.jpg;Nokia T21;Released 2022, September 01;466g, 7.5mm thickness;Android 12;64GB/128GB storage, microSDXC;26;1.4%;130,125 hits;"10.4""";1200x2000 pixels;4 GB RAM;Unisoc Tiger T612;8200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - US, LATAM;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 40, 66 - US, LATAM;HSPA 42.2/5.76 Mbps, LTE Cat7 300/150 Mbps;2022, September 01;Available. Released 2022, September 01;247.5 x 157.3 x 7.5 mm (9.74 x 6.19 x 0.30 in);466 g (1.03 lb);Glass front, aluminum back;Nano-SIM;Splash resistantStylus support;IPS LCD, 360 nits (typ);10.4 inches, 307.9 cm(~79.1% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~224 ppi density);Scratch-resistant glass;Android 12;Unisoc Tiger T612 (12 nm);Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G57;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;eMMC 5.1;8 MP, AF;LED flash;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS;Yes;Unspecified;USB Type-C 2.0, OTG;Accelerometer, proximity;Li-Po 8200 mAh, non-removable;Charcoal Grey;About 240 EUR;;;TA-1495, TA-1521, TA-1505, TA-1487;1.56 W/kg (body);;;1.19 W/kg (body);;;;;;;;
