Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;sar-eu;gprstext;edge;price;optionalother;memoryother
https://www.gsmarena.com/o2_xda_serra-2780.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda_serra.jpg;O2 XDA Serra;Released 2008, September;165g, 18.1mm thickness;Microsoft Windows Mobile 6.1 Professional;288MB RAM storage, microSD slot;12;0.1%;737,381 hits;"2.8""";480x640 pixels;288 MB RAM;MSM7201A;1340 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;HSPA 7.2/0.384 Mbps;2008, July. Released 2008, September;Discontinued;102 x 51 x 18.1 mm (4.02 x 2.01 x 0.71 in);165 g (5.82 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~46.7% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.1 Professional;Qualcomm MSM7201A;528 MHz ARM 11;Adreno 130;microSD (dedicated slot);288MB RAM, 512MB ROM;3.15 MP, AF;LED flash;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;Stereo FM radio, RDS;miniUSB;Accelerometer;MP3/WAV/WMA playerMP4/WMV/3gp playerPocket OfficeVoice memoPredictive text input;Removable Li-Ion 1340 mAh battery;Up to 406 h;Up to 8 h;Black;;;;;;
https://www.gsmarena.com/o2_xda_guide-2617.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-guide.jpg;O2 XDA Guide;Released 2009, February;102g, 14.5mm thickness;Microsoft Windows Mobile 6.1 Professional;256MB RAM storage, microSD slot;9;N/A;313,182 hits;"2.8""";240x320 pixels;256 MB RAM;Snapdragon S1;1110 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;HSPA;2008, December. Released 2009, February;Discontinued;102 x 53.5 x 14.5 mm (4.02 x 2.11 x 0.57 in);102 g (3.60 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~44.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);TouchFLO finger swipe navigationHandwriting recognition5-way navigation;Microsoft Windows Mobile 6.1 Professional;Qualcomm MSM7225 Snapdragon S1;528 MHz ARM 11;No;microSD (dedicated slot), 1 GB included;256MB RAM, 512MB ROM;3.15 MP;;CIF;No;;Wi-Fi 802.11 b/g;2.0, A2DP;"GPS, A-GPS; TomTom NAVIGATOR 7";No;miniUSB;;HTC FootprintsPocket OfficeVoice memoMP3/AAC player3GP/MP4/WMV/AVI playerPredictive text input;Removable Li-Ion 1110 mAh battery;Up to 400 h;Up to 6 h 30 min;Grey;;;;;;
https://www.gsmarena.com/o2_xda_zest-2594.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zest.jpg;O2 XDA Zest;Released 2008, November;102.5g, 16.5mm thickness;Microsoft Windows Mobile 6.1 Professional;128MB RAM storage, microSDHC slot;9;N/A;274,660 hits;"2.8""";480x640 pixels;128 MB RAM;;1300 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;HSPA 3.6/0.384 Mbps;2008, October. Released 2008, November;Discontinued;102 x 60.5 x 16.5 mm (4.02 x 2.38 x 0.65 in);102.5 g (3.60 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~39.3% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.1 Professional;;624MHz Marvell TavorP;;microSDHC (dedicated slot);128MB RAM, 256MB ROM;3.15 MP, AF;;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS, SiRF Star III chipset;No;miniUSB 1.1;;SiRF star III chipsetPocket OfficeVoice memoMP3 playerPredictive text input;Removable Li-Ion 1300 mAh battery;Up to 260 h;Up to 5 h;Black;;;;;;
https://www.gsmarena.com/o2_xda_ignito-2491.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-ignito.jpg;O2 XDA Ignito;Released 2008, August;110g, 11.5mm thickness;Microsoft Windows Mobile 6.1 Professional;4GB 192MB RAM storage, no card slot;8;N/A;425,929 hits;"2.8""";480x640 pixels;192 MB RAM;MSM7201A;900 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;HSPA 7.2/0.384 Mbps;2008, August. Released 2008, August;Discontinued;102 x 51 x 11.5 mm (4.02 x 2.01 x 0.45 in);110 g (3.88 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~46.7% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);TouchFLO 3D finger swipe navigationHandwriting recognition;Microsoft Windows Mobile 6.1 Professional;Qualcomm MSM7201A;528 MHz ARM 11;Adreno 130;No;4GB 192MB RAM;3.15 MP, AF;;CIF@30fps;VGA videocall camera;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;Stereo FM radio, RDS;miniUSB;Accelerometer;Pocket OfficeVoice memoMP3 player;Removable Li-Ion 900 mAh battery;Up to 285 h;Up to 5 h 30 min;Black;;;;;;
https://www.gsmarena.com/o2_xda_stellar-2179.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stellar.jpg;O2 XDA Stellar;Cancelled;190g, 18.6mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;10;N/A;420,244 hits;"2.8""";240x320 pixels;128 MB RAM;MSM7200;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA 3.6/0.384 Mbps;2007, November;Cancelled;112 x 59 x 18.6 mm (4.41 x 2.32 x 0.73 in);190 g (6.70 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~36.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;Qualcomm MSM7200;400 MHz ARM 11;Adreno 130;microSD;128MB RAM, 256MB ROM;3.15 MP, AF;;Yes;VGA videocall camera;;Wi-Fi 802.11b/g;2.0;GPS, A-GPS;No;2.0;;Pocket OfficeBusiness card readerVoice memoMedia Player 10;Removable Li-Ion 1350 mAh battery;Up to 365 h;Up to 5 h;Silver;;;;;;
https://www.gsmarena.com/o2_xda_orbit_ii-2180.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit2-ofic.jpg;O2 XDA Orbit II;Released 2008, February;130g, 15.5mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;12;N/A;470,064 hits;"2.8""";240x320 pixels;128 MB RAM;MSM7200;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;HSPA 3.6/0.384 Mbps;2007, November. Released 2008, February;Discontinued;110 x 58 x 15.5 mm (4.33 x 2.28 x 0.61 in);130 g (4.59 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~38.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);TouchFLO finger swipe navigationHandwriting recognition4-way navigation wheel;Microsoft Windows Mobile 6.0 Professional;Qualcomm MSM7200;400 MHz ARM 11;Adreno 130;microSD (dedicated slot), SD 2.0 compatible;128MB RAM, 256MB ROM;3.15 MP, AF;;Yes;VGA;;Wi-Fi 802.11b/g;2.0, A2DP;GPS, CoPilot Live Navigator;FM radio;miniUSB;;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/WAV/AMR-NBplayerPredictive text input;Removable Li-Ion 1350 mAh battery;Up to 400 h (2G) / Up to 450 h (3G);Up to 7 h (2G) / Up to 4 h (3G);Black;1.72 W/kg (head);;;;;
https://www.gsmarena.com/o2_xda_comet-2181.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-comet.jpg;O2 XDA Comet;Released 2007, September;145g, 19mm thickness;Microsoft Windows Mobile 6.0 Professional;64MB RAM storage, miniSD slot;9;N/A;220,235 hits;"2.7""";240x320 pixels;64 MB RAM;;1350 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 1900 / 2100;HSPA;2007, September;Discontinued;106 x 58 x 19 mm (4.17 x 2.28 x 0.75 in);145 g (5.11 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.7 inches, 22.6 cm(~36.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);Handwriting recognition;Microsoft Windows Mobile 6.0 Professional;;Intel XScale PXA 270 620 MHz;;miniSD;64MB RAM, 1GB ROM;2 MP;LED flash;Yes;VGA videocall camera;;Wi-Fi 802.11b/g;1.2;No;Stereo FM radio, RDS;miniUSB;;Pocket OfficeVoice memoMP3/AAC player;Removable Li-Ion battery;Up to 200 h;Up to 6 h;Silver;;;;;;
https://www.gsmarena.com/o2_xda_nova-2183.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-nova.jpg;O2 XDA Nova;Released 2007, June;120g, 14mm thickness;Microsoft Windows Mobile 6.0 Professional;128MB RAM storage, microSD slot;10;N/A;249,781 hits;"2.8""";240x320 pixels;128 MB RAM;TI OMAP 850;1350 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, June;Discontinued;100 x 58 x 14 mm (3.94 x 2.28 x 0.55 in);120 g (4.23 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~41.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);TouchFLO finger swipe navigationHandwriting recognition5-way navigation;Microsoft Windows Mobile 6.0 Professional;TI OMAP 850;200 MHz ARM926EJ-S;;microSD (dedicated slot), 1 GB included;128MB RAM, 256MB ROM;2 MP;;Yes;No;;Wi-Fi 802.11b/g;2.0;No;No;miniUSB;;Pocket OfficeVoice memoMP3/AAC player;Removable Li-Ion battery;Up to 200 h;Up to 3 h 30 min;Soft Black, Wasabi Green;;Class 10;Yes;About 520 EUR;;
https://www.gsmarena.com/o2_xda_terra-2182.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-terra.jpg;O2 XDA Terra;Released 2007, March;168g, 17mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, microSD slot;10;N/A;165,975 hits;"2.7""";240x320 pixels;64 MB RAM;TI OMAP 850;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2007, March;Discontinued;109 x 59 x 17 mm (4.29 x 2.32 x 0.67 in);168 g (5.93 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.7 inches, 42 x 57 mm, 22.6 cm(~35.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);Handwriting recognition;Microsoft Windows Mobile 5.0 PocketPC;TI OMAP 850;200 MHz ARM926EJ-S;;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP;;QCIF;No;;Wi-Fi 802.11b/g;2.0, A2DP;No;No;1.1;;Pocket OfficeVoice memoMP3/AAC player;Removable Li-Ion battery;Up to 200 h;Up to 5 h;Black;;Class 10;Class 10;;;
https://www.gsmarena.com/o2_xda_argon-2178.php;https://fdn2.gsmarena.com/vv/bigpic/o2-xda-argon.jpg;O2 XDA Argon;Released 2007, May;200g, 18.8mm thickness;Microsoft Windows Mobile 5.0 PocketPC;128MB RAM storage, SD slot;8;N/A;200,789 hits;"3.5""";240x320 pixels;128 MB RAM;;1300 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, May;Discontinued;130 x 70 x 18.8 mm (5.12 x 2.76 x 0.74 in);200 g (7.05 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;3.5 inches, 37.9 cm(~41.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);Handwriting recognition5-way navigation;Microsoft Windows Mobile 5.0 PocketPC;;32-bit Samsung SC3 2442 400 MHz;;SD;128MB RAM, 256MB ROM;2 MP;;Yes;No;;Wi-Fi 802.11b/g;2.0;No;No;miniUSB;;Pocket OfficeVoice memoMP3/AAC player;Removable Li-Ion 1300 mAh battery;Up to 200 h;Up to 4 h;Silver;;Class 10;No;;;
