Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;sar-eu;price;batstandby1;battalktime1;featuresother;sar-us;displayother;gprstext;edge;optionalother
https://www.gsmarena.com/palm_palm-9290.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg;Palm Palm;Released 2018, November;62.5g, 7.4mm thickness;Android 8.1;32GB storage, no card slot;90;0.8%;514,318 hits;"3.3""";720x1280 pixels;3 GB RAM;Snapdragon 435;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 13, 17, 66;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, October;Available. Released 2018, November;96.6 x 50.6 x 7.4 mm (3.80 x 1.99 x 0.29 in);62.5 g (2.22 oz);Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame;Nano-SIM;IP68 dust/water resistant (up to 1m for 30 min);IPS LCD;3.3 inches, 30.0 cm(~61.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~445 ppi density);Corning Gorilla Glass 3;Android 8.1 (Oreo);Qualcomm MSM8940 Snapdragon 435 (28 nm);Octa-core (4x1.4 GHz & 4x1.1 GHz);Adreno 505;No;32GB 3GB RAM;eMMC 5.1;12 MP, AF;LED flash, HDR;720p@30fps;8 MP;720p@30fps;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;No;USB Type-C 2.0;Infrared Face ID, accelerometer, proximity, gyro, compass;Li-Ion 800 mAh, non-removable;Gold, Titanium;PVG100;0.98 W/kg (head);About 400 EUR;;;;;;;;
https://www.gsmarena.com/palm_pre_2-3559.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg;Palm Pre 2;Released 2010, November;145g, 16.9mm thickness;HP webOS 2.0;16GB storage, no card slot;25;0.1%;527,124 hits;"3.1""";320x480 pixels;512 MB RAM;;;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;;HSPA 7.2/2 Mbps;2010, October. Released 2010, November;Discontinued;100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in);145 g (5.11 oz);;Mini-SIM;;TFT;3.1 inches, 28.6 cm(~47.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~186 ppi density);Corning Gorilla Glass;HP webOS 2.0;;1.0 GHz;;No;16GB 512MB RAM;;5 MP;LED flash;Yes;No;;Wi-Fi 802.11 b/g;2.1, A2DP, EDR;GPS, A-GPS;;;microUSB 2.0;Accelerometer, proximity;Removable Li-Ion battery;Black;;;About 260 EUR;Up to 350 h;Up to 5 h 30 min;;;;;;
https://www.gsmarena.com/palm_pre_2_cdma-3589.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg;Palm Pre 2 CDMA;Released 2010, October;145g, 16.9mm thickness;HP webOS 2.0;16GB storage, no card slot;9;N/A;136,731 hits;"3.1""";320x480 pixels;512 MB RAM;;;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;2010, October. Released 2010, October;Discontinued;100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in);145 g (5.11 oz);;Mini-SIM;;TFT;3.1 inches, 28.6 cm(~47.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~186 ppi density);Corning Gorilla Glass;HP webOS 2.0;;1.0 GHz;;No;16GB 512MB RAM;;5 MP;LED flash;Yes;No;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;;microUSB 2.0;Accelerometer, proximity;Removable Li-Ion battery;Black;;;About 210 EUR;Up to 350 h;Up to 5 h;MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input;;;;;
https://www.gsmarena.com/palm_pixi_plus-3250.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg;Palm Pixi Plus;Released 2010, June;92.5g, 10.9mm thickness;Palm webOS;8GB storage, no card slot;14;N/A;537,657 hits;"2.63""";320x400 pixels; ;MSM7627;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;;HSPA 7.2/5.76 Mbps;2010, March. Released 2010, June;Discontinued;111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in);92.5 g (3.25 oz);;Mini-SIM;;TFT, 256K colors;2.63 inches, 21.8 cm(~35.7% screen-to-body ratio);320 x 400 pixels (~195 ppi density);;Palm webOS;Qualcomm MSM7627;600 MHz ARM 11;Adreno 200;No;8GB;;2 MP;LED flash;Yes;No;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity;Removable Li-Ion 1150 mAh battery;Black;;;About 210 EUR;Up to 350 h;Up to 5 h 30 min (2G) / Up to 4 h (3G);MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dial;;;;;
https://www.gsmarena.com/palm_pre_plus-3249.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg;Palm Pre Plus;Released 2010, May;138g, 16.9mm thickness;Palm webOS 1.3.5;16GB storage, no card slot;21;N/A;419,055 hits;"3.1""";320x480 pixels;512 MB RAM;;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;;HSPA 3.6/0.384 Mbps;2010, March. Released 2010, May;Discontinued;100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in);138 g (4.87 oz);;Mini-SIM;;TFT;3.1 inches, 28.6 cm(~47.9% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~186 ppi density);;Palm webOS 1.3.5;;600 MHz Cortex-A8;PowerVR SGX;No;16GB 512MB RAM;;3.15 MP;LED flash;Yes;No;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer;Removable Li-Ion 1150 mAh battery;Black;;;About 170 EUR;Up to 350 h (2G) / - (3G);Up to 4 h (2G) / Up to 4 h (3G);;;;;;
https://www.gsmarena.com/palm_pixi-2937.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg;Palm Pixi;Released 2009, Q4;99.5g, 10.9mm thickness;Palm webOS;8GB storage, no card slot;13;N/A;396,485 hits;"2.63""";320x400 pixels; ;MSM7627;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;;HSPA 7.2/5.76 Mbps;2009, September. Released 2009, Q4;Discontinued;111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in);99.5 g (3.53 oz);;Mini-SIM;;TFT, 256K colors;2.63 inches, 21.8 cm(~35.7% screen-to-body ratio);320 x 400 pixels (~195 ppi density);;Palm webOS;Qualcomm MSM7627;600 MHz ARM 11;Adreno 200;No;8GB;;2 MP;LED flash;No;No;;No;2.1, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity;Removable Li-Ion 1150 mAh battery;Black;;;About 120 EUR;Up to 350 h;Up to 5 h;MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dial;1.56 W/kg (head)     0.63 W/kg (body);;;;
https://www.gsmarena.com/palm_pre-2726.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre.jpg;Palm Pre;Released 2009, October;133g, 16.9mm thickness;Palm webOS;8GB storage, no card slot;37;0.1%;1,014,904 hits;"3.1""";320x480 pixels;256 MB RAM;;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;;HSPA 3.6/0.384 Mbps;2009, Februray. Released 2009, October;Discontinued;100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in);133 g (4.69 oz);;Mini-SIM;;TFT;3.1 inches, 28.6 cm(~47.9% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~186 ppi density);;Palm webOS;;600 MHz Cortex-A8;PowerVR SGX;No;8GB 256MB RAM;;3.15 MP;LED flash;No;No;;Wi-Fi 802.11 b/g;2.1, A2DP (headset support only);GPS;;No;microUSB;Accelerometer;Removable Li-Ion 1150 mAh battery;Black;;;About 180 EUR;Up to 300 h;Up to 5 h;;0.92 W/kg (head)     0.94 W/kg (body);;;;
https://www.gsmarena.com/palm_treo_pro-2494.php;https://fdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg;Palm Treo Pro;Released 2008, October;133g, 13.4mm thickness;Microsoft Windows Mobile 6.1 Professional;100MB 128MB RAM storage, microSDHC slot;20;N/A;666,537 hits;"2.5""";320x320 pixels;128 MB RAM;MSM7201;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;;HSPA;2008, August. Released 2008, October;Discontinued;114 x 60 x 13.4 mm (4.49 x 2.36 x 0.53 in);133 g (4.69 oz);;Mini-SIM;;TFT resistive touchscreen, 65K colors;2.5 inches, 20.2 cm(~29.5% screen-to-body ratio);320 x 320 pixels, 1:1 ratio (~181 ppi density);;Microsoft Windows Mobile 6.1 Professional;Qualcomm MSM7201;528 MHz ARM 11;Adreno 130;microSDHC (dedicated slot);100MB 128MB RAM;;2 MP;;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS;;No;microUSB;;Removable Li-Ion 1500 mAh battery;Obsidian;;0.75 W/kg (head)     0.53 W/kg (body);About 70 EUR;Up to 250 h;Up to 5  h;OrganizerPocket OfficeVoice memo;0.60 W/kg (head)     0.87 W/kg (body);5-way navigation button;;;
https://www.gsmarena.com/palm_centro-2241.php;https://fdn2.gsmarena.com/vv/bigpic/palm-centro.jpg;Palm Centro;Released 2008, March;124g, 18.6mm thickness;Palm OS 5.4.9;64MB storage, microSDHC slot;26;N/A;577,307 hits;"2.25""";320x320 pixels; ;;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2008, February. Released 2008, March;Discontinued;107.2 x 53.5 x 18.6 mm (4.22 x 2.11 x 0.73 in);124 g (4.37 oz);;Mini-SIM;;TFT resistive touchscreen, 65K colors;2.25 inches, 16.3 cm(~28.5% screen-to-body ratio);320 x 320 pixels, 1:1 ratio (~201 ppi density);;Palm OS 5.4.9;;32-bit Intel XScale PXA270 312 MHz;;microSDHC (dedicated slot);64MB;;1.3 MP;;Yes;No;;No;1.2, A2DP;No;;No;Proprietary;;Removable Li-Ion 1150 mAh battery;Obsidian, Glacier, Midnight, Cobalt, Onyx, Electric Blue, Rose, Olive;;;About 70 EUR;Up to 300 h;Up to 4 h;Document editor (Word, Excel, Powerpoint, PDF)MP3 playerOrganizerVoice memo;0.27 W/kg (head)     0.22 W/kg (body);5-way navigation button;Class 10;Class 10;
https://www.gsmarena.com/palm_treo_500v-2100.php;https://fdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif;Palm Treo 500v;Released 2008, February;120g, 16.5mm thickness;Microsoft Windows Mobile 6.0 Standard Edition;150MB storage, microSD slot;11;N/A;458,030 hits;"2.4""";320x240 pixels; ;;1200 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2007, September. Released 2008, February;Discontinued;110 x 61.5 x 16.5 mm (4.33 x 2.42 x 0.65 in);120 g (4.23 oz);;Mini-SIM;;TFT, 65K colors;2.4 inches, 17.8 cm(~26.4% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;Microsoft Windows Mobile 6.0 Standard Edition;;32-bit Intel XScale PXA270 312 MHz;;microSD (dedicated slot);150MB;;2 MP;;Yes;No;;No;2.0, A2DP;No;;No;miniUSB;;Removable Li-Ion 1200 mAh battery;Black, White;;0.89 W/kg (head);About 90 EUR;Up to 240 h;Up to 4 h 30 min;MP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerPocket OfficeVoice memo;;5-way navigation button;;;
