Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;displayprotection;chipset;gpu;memoryother;build;models;batstandby1;battalktime1;optionalother;gprstext;edge;sar-eu;bodyother;featuresother;displayother
https://www.gsmarena.com/panasonic_eluga_i7_(2019)-9756.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i7-2019-enterprise-edition.jpg;Panasonic Eluga I7 (2019);Released 2019, July;168g, 9.3mm thickness;Android 9.0;16GB storage, microSDXC;11;0.4%;364,569 hits;"5.45""";720x1440 pixels;2 GB RAM;;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2019, June;Available. Released 2019, July;148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in);168 g (5.93 oz);Dual SIM (Nano-SIM/Micro-SIM, dual stand-by);IPS LCD;5.45 inches, 76.7 cm(~72.7% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);Android 9.0 (Pie);Quad-core 1.5 GHz;microSDXC (dedicated slot);16GB 2GB RAM;8 MP, f/2.0, 1.12 µm, AF;LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio with RDS;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 4000 mAh, non-removable;Black, Gold, Blue;About 9990 INR;;;;;;;;;;;;;;;
https://www.gsmarena.com/panasonic_eluga_ray_800-9618.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-ray-800.jpg;Panasonic Eluga Ray 800;Released 2019, March;162g, 8.6mm thickness;Android 7.0;64GB storage, microSDXC;8;0.1%;143,023 hits;"5.5""";1080x1920 pixels;4 GB RAM;;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 7, 8, 20, 38, 40, 41;HSPA, LTE;2019, March;Available. Released 2019, March;152.8 x 75.3 x 8.6 mm (6.02 x 2.96 x 0.34 in);162 g (5.71 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~72.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Android 7.0 (Nougat);Octa-core 1.8 GHz;microSDXC (dedicated slot);64GB 4GB RAM;13 MP, f/2.0, PDAF;Dual-LED flash, HDR, panorama;1080p@30fps;8 MP;LED flash;1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 4000 mAh, non-removable;Gold;About 10000 INR;Corning Gorilla Glass 3;;;;;;;;;;;;;;
https://www.gsmarena.com/panasonic_p85_nxt-9389.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85-.jpg;Panasonic P85 Nxt;Released 2018, November;173.8g, 9.3mm thickness;Android 7.1.2;16GB storage, microSDXC;1;0.1%;104,732 hits;"5.0""";720x1280 pixels;2 GB RAM;Snapdragon 210;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 40, 41;HSPA, LTE;2018, October;Available. Released 2018, November;141.7 x 70.8 x 9.3 mm (5.58 x 2.79 x 0.37 in);173.8 g (6.14 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~68.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 7.1.2 (Nougat);Quad-core 1.3 GHz Cortex-A7;microSDXC;16GB 2GB RAM;8 MP, AF;LED flash;720p@30fps;5 MP, AF;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;"FM radio with RDS; recording";microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 4000 mAh, non-removable;Blue, Gold, Black;About 7000 INR;Corning Gorilla Glass;Qualcomm MSM8909 Snapdragon 210 (28 nm);Adreno 304;eMMC 4.5;;;;;;;;;;;
https://www.gsmarena.com/panasonic_eluga_z1_pro-9383.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z1-pro.jpg;Panasonic Eluga Z1 Pro;Released 2018, October;169g, 8.1mm thickness;Android 8.1;32GB/64GB storage, microSDXC;16;0.1%;207,098 hits;"6.19""";720x1500 pixels;3/4 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41;HSPA, LTE;2018, October;Available. Released 2018, October;157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in);169 g (5.96 oz);Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by);IPS LCD;6.19 inches, 96.4 cm(~80.4% screen-to-body ratio);720 x 1500 pixels (~269 ppi density);Android 8.1 (Oreo);Octa-core 2.0 GHz Cortex-A53;microSDXC (uses shared SIM slot);32GB 3GB RAM, 64GB 4GB RAM;"13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm, PDAF2 MP, f/2.8, (depth)";LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.2;LED flash;1080p@30fps;Wi-Fi 802.11 а/b/g/n/ac, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS;No;FM radio, RDS, recording;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Black, Gold, Blue;About 200 EUR;Asahi Dragontrail Pro Glass;Mediatek MT6762 Helio P22 (12 nm);PowerVR GE8320;eMMC 5.1;;;;;;;;;;;
https://www.gsmarena.com/panasonic_eluga_ray_530-9376.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-530.jpg;Panasonic Eluga Ray 530;Released 2018, October;141g, 8.3mm thickness;Android 8.0;32GB storage, microSDXC;3;0.1%;96,435 hits;"5.7""";720x1440 pixels;3 GB RAM;;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 40, 41;HSPA, LTE;2018, October;Available. Released 2018, October;152.4 x 72.2 x 8.3 mm (6.00 x 2.84 x 0.33 in);141 g (4.97 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.7 inches, 83.8 cm(~76.2% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Android 8.0 (Oreo);Quad-core 1.3 GHz;microSDXC (dedicated slot);32GB 3GB RAM;13 MP, AF;LED flash, HDR, panorama;1080p@30fps;5 MP;LED flash;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3000 mAh, non-removable;Black, Blue;About 9000 INR;;;;;;;;;;;;;;;
https://www.gsmarena.com/panasonic_eluga_ray_600-9362.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-600.jpg;Panasonic Eluga Ray 600;Released 2018, October;158g, 7.9mm thickness;Android 8.1;32GB storage, microSDXC;3;0.1%;88,113 hits;"5.99""";720x1440 pixels;3 GB RAM;MT6737H;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 40, 41;HSPA, LTE;2018, October;Available. Released 2018, October;158.5 x 75.5 x 7.9 mm (6.24 x 2.97 x 0.31 in);158 g (5.57 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.99 inches, 92.6 cm(~77.4% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~269 ppi density);Android 8.1 (Oreo);Quad-core 1.3 GHz Cortex-A53;microSDXC (dedicated slot);32GB 3GB RAM;13 MP, AF;LED flash, HDR, panorama;1080p@30fps;8 MP;LED flash;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 4000 mAh, non-removable;Black, Blue, Gold;About 8000 INR;;Mediatek MT6737H;Mali-T720MP2;eMMC 5.0;;;;;;;;;;;
https://www.gsmarena.com/panasonic_eluga_x1_pro-9356.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-x1-pro.jpg;Panasonic Eluga X1 Pro;Released 2018, October;195g, 7.9mm thickness;Android 8.1;64GB/128GB storage, microSDXC;22;0.1%;259,482 hits;"6.18""";1080x2246 pixels;4/6 GB RAM;Helio P60;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps;2018, October;Available. Released 2018, October;155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in);195 g (6.88 oz);Hybrid Dual SIM (Nano-SIM/Micro-SIM, dual stand-by);IPS LCD;6.18 inches, 96.2 cm(~82.2% screen-to-body ratio);1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density);Android 8.1 (Oreo);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 6GB RAM;16 MP, PDAF5 MP, f/2.4, (depth);LED flash, panorama;1080p@30fps;"16 MP, f/2.2, 1/3.06"", 1.0µm";1080p@30fps;;Wi-Fi 802.11 а/b/g/n, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Infrared Face ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3000 mAh, non-removable;Dark Grey, Silver;About 350 EUR;Corning Gorilla Glass 3;Mediatek MT6771 Helio P60 (12 nm);Mali-G72 MP3;eMMC 5.1;Glass front (Gorilla Glass 3), glass back, stainless steel frame;;;;;;;;;;
https://www.gsmarena.com/panasonic_p90-9245.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-p90-.jpg;Panasonic P90;Released 2018, June;151.7g, 9.3mm thickness;Android 7.0;16GB storage, microSDXC;3;0.1%;122,138 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6737;2400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, June;Available. Released 2018, June;143 x 71.8 x 9.3 mm (5.63 x 2.83 x 0.37 in);151.7 g (5.36 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~67.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 7.0 (Nougat);Quad-core 1.3 GHz Cortex-A53;microSDXC;16GB 1GB RAM;5 MP, AF;LED flash, panorama;720p@30fps;5 MP;LED flash;;Wi-Fi 802.11 b/g/n;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Ion 2400 mAh battery;Blue, Gold, Black;About 6000 INR;Corning Gorilla Glass (unspecified version);Mediatek MT6737 (28 nm);Mali-T720;eMMC 5.0;;;;;;;;;;;
https://www.gsmarena.com/panasonic_p95-9192.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-p95-.jpg;Panasonic P95;Released 2018, May;164g, 8mm thickness;Android 7.1.2;16GB storage, microSDXC;3;N/A;127,133 hits;"5.0""";720x1280 pixels;1 GB RAM;Snapdragon 210;2300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, May;Available. Released 2018, May;141 x 70.5 x 8 mm (5.55 x 2.78 x 0.31 in);164 g (5.78 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~69.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 7.1.2 (Nougat);Quad-core 1.3 GHz Cortex-A7;microSDXC (dedicated slot);16GB 1GB RAM;8 MP, AF;LED flash, HDR, panorama;720p@30fps;5 MP;;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Ion 2300 mAh battery;Blue, Gold, Dark Grey;About 5000 INR;;Qualcomm MSM8909 Snapdragon 210 (28 nm);Adreno 304;eMMC 4.5;;;;;;;;;;;
https://www.gsmarena.com/panasonic_eluga_i7-9176.php;https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l7-.jpg;Panasonic Eluga I7;Released 2018, April;168g, 9.3mm thickness;Android 7.0;16GB storage, microSDXC;3;0.1%;131,339 hits;"5.45""";720x1440 pixels;2 GB RAM;MT6737H;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2018, April;Available. Released 2018, April;148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in);168 g (5.93 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.45 inches, 76.7 cm(~72.7% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);Android 7.0 (Nougat);Quad-core 1.25 GHz Cortex-A53;microSDXC (dedicated slot);16GB 2GB RAM;8 MP, f/2.0, 1.12 µm, AF;LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash;480p;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.1, A2DP, LE;GPS;No;FM radio with RDS;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 4000 mAh, non-removable;Black, Gold, Blue;About 6500 INR;;Mediatek MT6737H;Mali-T720MP2;eMMC 5.0;Glass front, plastic back, plastic frame;ELUGA I7;;;;;;;;;
