Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;chipset;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;price;net4g;os;cpu;gpu;cam2video;sar-eu;batlife;batmusicplayback1;sar-us;bodyother;optionalother;gprstext;edge
https://www.gsmarena.com/pantech_breeze_iv-6504.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-4.jpg;Pantech Breeze IV;Released 2013, November;102g, 17.5mm thickness;Feature phone;256MB 128MB RAM storage, microSDHC slot;8;N/A;152,516 hits;"3.0""";240x400 pixels;128 MB RAM;QSC6270;1030 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA;2013, November. Released 2013, November;Discontinued;106.4 x 53.1 x 17.5 mm (4.19 x 2.09 x 0.69 in);102 g (3.60 oz);Yes;TFT, 256K colors;3.0 inches, 25.6 cm(~45.3% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);Secondary external display;Qualcomm QSC6270;microSDHC (dedicated slot);256MB 128MB RAM;3.15 MP, AF;LED flash;Yes;No;No;2.1, A2DP, EDR;No;No;No;microUSB;;MP3/eAAC+/WMA/WAV playerMP4/WMV/H.263 playerOrganizerDocument viewerVoice memo/dialPredictive text input;Li-Ion 1030 mAh, removable;Up to 240 h;Up to 3 h;Black;About 160 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_vega_no_6-5268.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-no-6.jpg;Pantech Vega No 6;Released 2013, February;210.5g, 9.9mm thickness;Android 4.1.2, Flux UX UI;32GB storage, microSDXC;65;0.1%;1,348,298 hits;"5.9""";1080x1920 pixels;2 GB RAM;Snapdragon S4 Pro;3140 mAh Li-Ion;CDMA 800 / 1900;HSDPA 2100;HSPA, LTE, EV-DO Rev. A;2013, January. Released 2013, February;Discontinued;158.6 x 83.2 x 9.9 mm (6.24 x 3.28 x 0.39 in);210.5 g (7.41 oz);Micro-SIM;Natural IPS Pro LCD;5.9 inches, 96.0 cm(~72.7% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~373 ppi density);;Qualcomm APQ8064 Snapdragon S4 Pro;microSDXC (dedicated slot);32GB 2GB RAM;13 MP, AF;LED flash, HDR;1080p@30fps;2 MP;Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR, LE;GPS;Yes;No;microUSB 2.0, OTG;Accelerometer, proximity, compass;T-DMB TV tuner;Li-Ion 3140 mAh, removable;Up to 450 h;Up to 16 h 40 min;Black, White;;LTE 800;Android 4.1.2 (Jelly Bean), Flux UX UI;Quad-core 1.5 GHz Krait;Adreno 320;1080p@30fps;0.72 W/kg (head);;;;;;;
https://www.gsmarena.com/pantech_discover-5238.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-discover.jpg;Pantech Discover;Released 2013, January;135g, 9.1mm thickness;Android 4.0.4;16GB storage, microSDHC;23;N/A;455,124 hits;"4.8""";720x1280 pixels;1 GB RAM;Snapdragon S4 Plus;2100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA, LTE;2013, January. Released 2013, January;Discontinued;134.2 x 68.6 x 9.1 mm (5.28 x 2.70 x 0.36 in);135 g (4.76 oz);Micro-SIM;TFT;4.8 inches, 63.5 cm(~69.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~306 ppi density);;Qualcomm MSM8960 Snapdragon S4 Plus;microSDHC (dedicated slot);16GB (13GB user available), 1GB RAM;12.6 MP, AF;LED flash, HDR;1080p@30fps;2 MP;Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot;4.0, A2DP;GPS;Yes;No;microUSB 2.0;Accelerometer, proximity, compass;;Li-Ion 2100 mAh, removable;Up to 430 h;Up to 10 h;Gray;About 370 EUR;2, 4, 5, 17;Android 4.0.4 (Ice Cream Sandwich);Dual-core 1.5 GHz Krait;Adreno 225;;;;;;;;;
https://www.gsmarena.com/pantech_vega_r3_im_a850l-5021.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-r3.jpg;Pantech Vega R3 IM-A850L;Released 2012, October;168.5g, 10mm thickness;Android 4.0.4, up to 4.1;16GB storage, microSDHC;49;N/A;1,161,648 hits;"5.3""";720x1280 pixels;2 GB RAM;Snapdragon S4 Pro;2600 mAh Li-Ion;CDMA 800 / 1900;HSDPA 2100;HSPA, LTE, EV-DO Rev. A;2012, October. Released 2012, October;Discontinued;144.7 x 74.3 x 10 mm (5.70 x 2.93 x 0.39 in);168.5 g (5.93 oz);Micro-SIM;Natural IPS Pro LCD;5.3 inches, 77.4 cm(~72.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~277 ppi density);;Qualcomm APQ8064 Snapdragon S4 Pro;microSDHC (dedicated slot);16GB 2GB RAM;13 MP, AF;LED flash;1080p@30fps;2 MP;Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot;4.0, A2DP;GPS;Yes;No;microUSB 2.0, OTG;Accelerometer, gyro, proximity, compass;T-DMB TV tunerMP4/H.264/WMV/DviX/XviD playerMP3/WMA/WAV/eAAC+ playerDocument viewer/editor;Li-Ion 2600 mAh, removable;;Up to 14 h 30 min;Black, White;About 550 EUR;LTE 800;Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean);Quad-core 1.5 GHz Krait;Adreno 320;;;;;;;;;
https://www.gsmarena.com/pantech_flex__p8010-5008.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-flex.jpg;Pantech Flex  P8010;Released 2012, September;132g, 7.9mm thickness;Android 4.0.4, up to 4.1.2;8GB storage, microSDHC;20;N/A;392,709 hits;"4.3""";540x960 pixels;1 GB RAM;Snapdragon S4 Plus;1830 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA, LTE;2012, September. Released 2012, September;Discontinued;129.8 x 67.1 x 7.9 mm (5.11 x 2.64 x 0.31 in);132 g (4.66 oz);Micro-SIM;Super AMOLED Advanced;4.3 inches, 51.0 cm(~58.5% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~256 ppi density);;Qualcomm MSM8960 Snapdragon S4 Plus;microSDHC (dedicated slot), 8 GB included;8GB 1GB RAM;8 MP, AF;LED flash, HDR, panorama;1080p@30fps;2 MP;Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerPhoto/video editorDocument viewer;Li-Ion 1830 mAh, removable;Up to 430 h;Up to 10 h;Gray;About 230 EUR;4, 17;Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.2 (Jelly Bean);Dual-core 1.5 GHz Krait;Adreno 225;;;;Up to 21 h;0.66 W/kg (head)     1.02 W/kg (body);;;;
https://www.gsmarena.com/pantech_renue-4896.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-renue.jpg;Pantech Renue;Released 2012, July;128g, 12mm thickness;Feature phone;185MB 256MB RAM storage, microSDHC slot;8;N/A;158,969 hits;"3.2""";240x320 pixels;256 MB RAM;QSC 6270;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA;2012, July. Released 2012, July;Discontinued;99 x 63 x 12 mm (3.90 x 2.48 x 0.47 in);128 g (4.52 oz);Mini-SIM;TFT, 256K colors;3.2 inches, 31.7 cm(~50.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~125 ppi density);;Qualcomm QSC 6270;microSDHC (dedicated slot);185MB 256MB RAM;3.15 MP;;320p;No;No;2.1, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity;SNS applicationsMP4/H.264/WMV playerMP3/WMA/WAV/eAAC+ playerDocument viewerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 250 h;Up to 3 h;Black;;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_marauder-4895.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-marauder.jpg;Pantech Marauder;Released 2012, August;173g, 12mm thickness;Android 4.0;4GB 1GB RAM storage, microSDHC slot;10;N/A;184,186 hits;"3.8""";480x800 pixels;1 GB RAM;;1680 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;EV-DO Rev.A 3.1 Mbps, LTE;2012, July. Released 2012, August;Discontinued;129 x 65 x 12 mm (5.08 x 2.56 x 0.47 in);173 g (6.10 oz);Mini-SIM;TFT, 256K colors;3.8 inches, 41.1 cm(~49.0% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~246 ppi density);;;microSDHC (dedicated slot);4GB 1GB RAM;5 MP, AF;;720p;Yes;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;MP4/H.264/WMV playerMP3/WMA/WAV/eAAC+ playerDocument viewerOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion 1680 mAh battery;Up to 533 h;Up to 8 h 10 min;Black;;13;Android 4.0 (Ice Cream Sandwich);Dual-core 1.2 GHz;;;;;;0.63 W/kg (head)     0.89 W/kg (body);;;;
https://www.gsmarena.com/pantech_vega_racer_2_im_a830l-4738.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-racer-2.jpg;Pantech Vega Racer 2 IM-A830L;Released 2012, May;134.1g, 9.4mm thickness;Android 4.0;16GB storage, microSDHC;23;N/A;677,420 hits;"4.8""";720x1280 pixels;1 GB RAM;Snapdragon S4 Plus;2020 mAh Li-Ion;CDMA 800 / 1900;HSDPA 2100;HSPA, LTE;2012, May. Released 2012, May;Discontinued;132.4 x 68.9 x 9.4 mm (5.21 x 2.71 x 0.37 in);134.1 g (4.73 oz);Mini-SIM;Super IPS LCD;4.8 inches, 63.5 cm(~69.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~306 ppi density);Touchless UX UI;Qualcomm MSM8960 Snapdragon S4 Plus;microSDHC (dedicated slot);16GB 1GB RAM;8 MP, AF;LED flash;1080p@30fps;2 MP;Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot;4.0, A2DP;GPS, A-GPS;;No;microUSB 2.0 (MHL TV-out);Accelerometer, gyro, proximity, compass;T-DMB TV tunerMP4/H.264/WMV/DviX/XviD playerMP3/WMA/WAV/eAAC+ playerDocument viewer/editorOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion 2020 mAh battery;;;Black, White;About 340 EUR;LTE 800;Android 4.0 (Ice Cream Sandwich);Dual-core 1.5 GHz Krait;Adreno 225;;;;;;;;;
https://www.gsmarena.com/pantech_vega_lte_ex_im_a820l-4428.php;https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-LTE-EX.jpg;Pantech Vega LTE EX IM-A820L;Released 2012, January;136.2g, 9.7mm thickness;Android 2.3;16GB storage, microSDHC;28;N/A;834,990 hits;"4.5""";800x1280 pixels;1 GB RAM;;1830 mAh Li-Ion;CDMA 800 / 1900;HSDPA 2100;HSPA, LTE;2012, January. Released 2012, January;Discontinued;134.5 x 69.8 x 9.7 mm (5.30 x 2.75 x 0.38 in);136.2 g (4.80 oz);Mini-SIM;Super IPS LCD;4.5 inches, 58.7 cm(~62.5% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~335 ppi density);Touchless UX UI;;microSDHC (dedicated slot);16GB 1GB RAM;8 MP, AF;LED flash;1080p@30fps;Yes;Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot;3.0, A2DP;GPS, A-GPS;Yes;No;microUSB 2.0 (MHL TV-out);Accelerometer, gyro, proximity, compass;T-DMB TV tunerMP4/H.264/WMV/DviX/XviD playerMP3/WMA/WAV/eAAC+ playerDocument viewer/editorOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion 1830 mAh battery;Up to 174 h;Up to 6 h 25 min;Black, White;About 230 EUR;LTE 800;Android 2.3 (Gingerbread);Dual-core 1.5 GHz;;;0.64 W/kg (head);;;;;;;
https://www.gsmarena.com/pantech_burst-4429.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-burst.jpg;Pantech Burst;Released 2012, January;122.5g, 11.4mm thickness;Android 2.3.5, up to 4.0;16GB storage, microSDHC;38;N/A;703,771 hits;"4.0""";480x800 pixels;1 GB RAM;Snapdragon S3;1650 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA, LTE;2012, January. Released 2012, January;Discontinued;126.5 x 62.5 x 11.4 mm (4.98 x 2.46 x 0.45 in);122.5 g (4.30 oz);Micro-SIM;Super AMOLED, 256K colors;4.0 inches, 45.5 cm(~57.6% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;Qualcomm MSM8660 Snapdragon S3;microSDHC (dedicated slot);16GB 1GB RAM;5 MP, AF;LED flash;720p@30fps;VGA;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input;Removable Li-Ion 1650 mAh battery;Up to 240 h;Up to 4 h 30 min;Titanium, Ruby Red;About 270 EUR;4, 17;Android 2.3.5 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich);Dual-core 1.5 GHz Scorpion;Adreno 220;;;;;;;;;
