Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;batstandby1;battalktime1;displayother;featuresother;batmusicplayback1;bodyother;displayprotection;gprstext;edge;sar-eu;sar-us;optionalother
https://www.gsmarena.com/philips_ph2-11281.php;https://fdn2.gsmarena.com/vv/bigpic/philips-ph2.jpg;Philips PH2;Released 2021, December 13;170g, 9mm thickness;Android OS, HMS;128GB storage, microSDXC;14;0.3%;67,096 hits;"6.21""";720x1520 pixels;4 GB RAM;Unisoc Tiger T310;3900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);HSPA, LTE;2021, December 08;Available. Released 2021, December 13;156.2 x 75.3 x 9 mm (6.15 x 2.96 x 0.35 in);170 g (6.00 oz);Glass front, glass back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.21 inches, 96.3 cm(~81.8% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~271 ppi density);Android OS, HMS (Huawei Mobile Services);Unisoc Tiger T310 (12nm);Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55);PowerVR GE8300;microSDXC;128GB 4GB RAM;eMMC 5.1;13 MP, (wide), AF2 MP;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.2, A2DP;GPS, BDS;No;Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Ion 3900 mAh, non-removable;Black, Blue, Gold;S702;About 110 EUR;;;;;;;;;;;;
https://www.gsmarena.com/philips_ph1-11277.php;https://fdn2.gsmarena.com/vv/bigpic/philips-ph1.jpg;Philips PH1;Released 2021, December 20;194g, 9.5mm thickness;Android OS;32GB/64GB/128GB storage, microSDXC;22;0.1%;46,663 hits;"6.51""";720x1440 pixels;4 GB RAM;Unisoc Tiger T310;4700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 34, 38, 39, 40, 41;HSPA, LTE;2021, December 20;Available. Released 2021, December 20;165.5 x 76.5 x 9.5 mm (6.52 x 3.01 x 0.37 in);194 g (6.84 oz);Glass front, plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.51 inches, 109.4 cm(~86.4% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~247 ppi density);Android OS;Unisoc Tiger T310 (12nm);Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55);PowerVR GE8300;microSDXC;32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM;eMMC 5.1;13 MP, (wide), AF3 MP;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.2, A2DP;GPS, BDS;No;Unspecified;USB Type-C 2.0;Accelerometer, proximity;Li-Ion 4700 mAh, non-removable;Gray, Blue, Red;S701, Xenium S701;About 70 EUR;;;;;;;;;;;;
https://www.gsmarena.com/philips_s337-8008.php;https://fdn2.gsmarena.com/vv/bigpic/philips-s337.jpg;Philips S337;Released 2015, November;152g, 10.4mm thickness;Android 5.1;8GB storage, microSDHC;7;N/A;229,619 hits;"5.0""";480x854 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2015, October. Released 2015, November;Discontinued;144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in);152 g (5.36 oz);;Dual SIM (Mini-SIM, dual stand-by);TFT, 256K colors;5.0 inches, 68.9 cm(~65.6% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 5.1 (Lollipop);;Quad-core 1.3 GHz;;microSDHC (dedicated slot);8GB 1GB RAM;;5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Black;;;Up to 480 h (3G);Up to 6 h 40 min (3G);;;;;;;;;;
https://www.gsmarena.com/philips_s309-8009.php;https://fdn2.gsmarena.com/vv/bigpic/philips-s309.jpg;Philips S309;Released 2015, July;127g, 10.8mm thickness;Android 5.1;8GB storage, microSDHC;4;N/A;113,658 hits;"4.0""";480x800 pixels;1 GB RAM;;1600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, July;Discontinued;127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in);127 g (4.48 oz);;Dual SIM (Mini-SIM, dual stand-by);TFT, 256K colors;4.0 inches, 45.5 cm(~55.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 5.1 (Lollipop);;Dual-core 1.0 GHz;;microSDHC (dedicated slot);8GB 1GB RAM;;5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1600 mAh, removable;Black, Red;;;Up to 500 h (3G);Up to 9 h 30 min (3G);;;;;;;;;;
https://www.gsmarena.com/philips_v787-8011.php;https://fdn2.gsmarena.com/vv/bigpic/philips-v787.jpg;Philips V787;Released 2015, December;164g, 9.8mm thickness;Android 5.1;16GB storage, microSDHC;8;N/A;135,496 hits;"5.0""";1080x1920 pixels;2 GB RAM;;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2015, December. Released 2015, December;Discontinued;143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in);164 g (5.78 oz);;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~67.3% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 5.1 (Lollipop);;Octa-core 1.3 GHz;;microSDHC (dedicated slot);16GB 2GB RAM;;13 MP, AF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 5000 mAh, non-removable;Black;;;;;;;;;;;;;;
https://www.gsmarena.com/philips_v377-8010.php;https://fdn2.gsmarena.com/vv/bigpic/philips-v377.jpg;Philips V377;Released 2015, December;190g, 10.9mm thickness;Android 5.1;8GB storage, microSDHC;5;N/A;88,382 hits;"5.0""";720x1280 pixels;1 GB RAM;;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 42.2/11.5 Mbps;2015, December. Released 2015, December;Discontinued;145 x 74 x 10.9 mm (5.71 x 2.91 x 0.43 in);190 g (6.70 oz);;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~64.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);;Quad-core 1.3 GHz;;microSDHC (dedicated slot);8GB 1GB RAM;;5 MP, AF;LED flash;Yes;Yes;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 5000 mAh, non-removable;Black;;;Up to 1100 h;Up to 29 h;;;;;;;;;;
https://www.gsmarena.com/philips_s616-8012.php;https://fdn2.gsmarena.com/vv/bigpic/philips-s616.jpg;Philips S616;Released 2015, November;164g, 9.8mm thickness;Android 5.1;16GB storage, microSDXC;7;N/A;106,558 hits;"5.5""";1080x1920 pixels;2 GB RAM;;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;1, 3, 7, 8, 20, 38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2015, November. Released 2015, November;Discontinued;143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in);164 g (5.78 oz);;Dual SIM;IPS LCD;5.5 inches, 83.4 cm(~81.4% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Android 5.1 (Lollipop);;Octa-core 1.3 GHz;;microSDXC (dedicated slot);16GB 2GB RAM;;13 MP, AF;LED flash;1080p@30fps;Yes;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 3000 mAh battery;Black;;;;;;;;;;;;;;
https://www.gsmarena.com/philips_i928-8015.php;https://fdn2.gsmarena.com/vv/bigpic/philips-i928.jpg;Philips I928;Released 2015, September;168g, 8.2mm thickness;Android 4.4;16GB storage, microSDHC;6;N/A;94,588 hits;"6.0""";1080x1920 pixels;2 GB RAM;;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/11.5 Mbps;2015, September. Released 2015, September;Discontinued;160.1 x 81.8 x 8.2 mm (6.30 x 3.22 x 0.32 in);168 g (5.93 oz);;Dual SIM;IPS LCD;6.0 inches, 99.2 cm(~75.8% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~367 ppi density);Android 4.4 (KitKat);;Octa-core 1.7 GHz;;microSDHC (dedicated slot);16GB 2GB RAM;;13 MP, f/2.0, AF;LED flash;1080p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 3000 mAh battery;Black, White;;;;;;;;;;;;;;
https://www.gsmarena.com/philips_v526-8016.php;https://fdn2.gsmarena.com/vv/bigpic/philips-v526-.jpg;Philips V526;Released 2015, August;189g, 10mm thickness;Android 5.1;8GB storage, microSDXC;3;N/A;73,614 hits;"5.0""";720x1280 pixels;1 GB RAM;;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38, 39, 40, 41;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2015, August. Released 2015, August;Discontinued;145 x 73.4 x 10 mm (5.71 x 2.89 x 0.39 in);189 g (6.67 oz);;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~64.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);;Quad-core 1.3 GHz;;microSDXC (dedicated slot);8GB 1GB RAM;;13 MP, AF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 5000 mAh battery;Black;;;Up to 1130 h;Up to 28 h;;;;;;;;;;
https://www.gsmarena.com/philips_i908-8017.php;https://fdn2.gsmarena.com/vv/bigpic/philips-i908.jpg;Philips I908;Released 2015, August;156g, 8.8mm thickness;Android 4.4.2;16GB storage, microSDHC;4;N/A;70,976 hits;"5.0""";1080x1920 pixels;2 GB RAM;;3000 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/11.5 Mbps;2015, August. Released 2015, August;Discontinued;143 x 70 x 8.8 mm (5.63 x 2.76 x 0.35 in);156 g (5.50 oz);;Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~68.9% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 4.4.2 (KitKat);;Octa-core 1.7 GHz;;microSDHC (dedicated slot);16GB 2GB RAM;;13 MP, f/2.2, AF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.1, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 3000 mAh battery;Black, White;;;;;;;;;;;;;;
