Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;memoryother;cam2features;gprstext;edge;featuresother
https://www.gsmarena.com/posh_memo_pro_lte_l600-8537.php;https://fdn2.gsmarena.com/vv/bigpic/posh-l600.jpg;Posh Memo Pro LTE L600;Released 2016, December;187.6g, 7.9mm thickness;Android 5.1;16GB storage, microSDXC;3;N/A;85,819 hits;"6.0""";720x1280 pixels;1 GB RAM;MT6735;2700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700 / 2100 - L600A;2, 4, 5, 7, 17 - L600A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2016, August. Released 2016, December;Discontinued;161.5 x 85.6 x 7.9 mm (6.36 x 3.37 x 0.31 in);187.6 g (6.63 oz);Dual SIM;IPS LCD;6.0 inches, 99.2 cm(~71.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~245 ppi density);Android 5.1 (Lollipop);Mediatek MT6735 (28 nm);Quad-core 1.0 GHz Cortex-A53;Mali-T720;microSDXC;16GB 1GB RAM;8 MP, AF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 2700 mAh battery;Up to 180 h (3G);Up to 5 h 30 min (3G);Black, White;;;;;
https://www.gsmarena.com/posh_equal_plus_x700-8536.php;https://fdn2.gsmarena.com/vv/bigpic/posh-x700.jpg;Posh Equal Plus X700;Released 2017, January;275g, 9.9mm thickness;Android 6.0;16GB storage, microSDXC;4;N/A;54,523 hits;"7.0""";600x1024 pixels;1 GB RAM;MT8321;2650 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA;2016, September. Released 2017, January;Discontinued;192.1 x 107.9 x 9.9 mm (7.56 x 4.25 x 0.39 in);275 g (9.70 oz);Dual SIM;IPS LCD;7.0 inches, 137.9 cm(~66.5% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 6.0 (Marshmallow);Mediatek MT8321 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC;16GB 1GB RAM;5 MP;LED flash;Yes;2 MP;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 2650 mAh battery;Up to 176 h (3G);Up to 5 h (3G);Black, Silver, Rose Gold;;;;;
https://www.gsmarena.com/posh_ultra_max_lte_l550-8535.php;https://fdn2.gsmarena.com/vv/bigpic/posh-um-l550.jpg;Posh Ultra Max LTE L550;Released 2016, December;177g, 7.3mm thickness;Android 6.0;16GB storage, microSDXC;2;N/A;54,906 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6737;2700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 3, 4, 7, 17, 12, 20;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2016, August. Released 2016, December;Discontinued;152.1 x 76.8 x 7.3 mm (5.99 x 3.02 x 0.29 in);177 g (6.24 oz);Dual SIM;IPS LCD;5.5 inches, 83.4 cm(~71.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 6.0 (Marshmallow);Mediatek MT6737 (28 nm);Quad-core 1.25 GHz Cortex-A53;Mali-T720;microSDXC;16GB 1GB RAM;8 MP, AF;LED flash;1080p@30fps;2 MP;;Wi-Fi 802.11 b/g/n;4.1, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 2700 mAh battery;Up to 180 h (3G);Up to 5 h 30 min (3G);Black, Gold, White;eMMC 5.0;;;;
https://www.gsmarena.com/posh_kick_pro_lte_l520-8179.php;https://fdn2.gsmarena.com/vv/bigpic/posh-Kick_Pro_LTE_L520.jpg;Posh Kick Pro LTE L520;Released 2016, April;130g, 8.6mm thickness;Android 6.0;8GB storage, microSDHC;0;N/A;51,467 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6735P;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 2100;2, 4, 7, 17;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2015, November. Released 2016, April;Discontinued;142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in);130 g (4.59 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~67.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 6.0 (Marshmallow);Mediatek MT6735P (28 nm);Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash, HDR, panorama;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, EDR;GPS;No;No;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;;;White, Gold, Gray;;;;;
https://www.gsmarena.com/posh_optima_lte_l530-8178.php;https://fdn2.gsmarena.com/vv/bigpic/posh-Optima_LTE_L530.jpg;Posh Optima LTE L530;Released 2016, April;133g, 8mm thickness;Android 5.1;16GB storage, microSDHC;2;N/A;63,788 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6753;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 4, 7, 17;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2016, February. Released 2016, April;Discontinued;143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in);133 g (4.69 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~69.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Mediatek MT6753 (28 nm);Octa-core 1.3 GHz Cortex-A53;Mali-400;microSDHC;16GB 2GB RAM;"13 MP, f/2.2, 1/3.1"", 1.12µm, AF";Dual-LED flash, panorama, HDR;1080p@30fps;"13 MP, f/2.2, 1/3"", AF";;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, EDR;GPS;No;No;microUSB 2.0, OTG;Accelerometer, proximity, compass;Li-Po 3000 mAh, non-removable;Up to 400 h (2G) / Up to 300 h (3G);Up to 10 h (2G) / Up to 8 h (3G);Black, Gold;;;;;
https://www.gsmarena.com/posh_icon_hd_x551-8177.php;https://fdn2.gsmarena.com/vv/bigpic/posh-Icon_HD_X551.jpg;Posh Icon HD X551;Released 2016, January;115g, 8.2mm thickness;Android 5.1;16GB storage, microSDHC;0;N/A;58,830 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6580A;2100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2015, November. Released 2016, January;Discontinued;153.2 x 79 x 8.2 mm (6.03 x 3.11 x 0.32 in);115 g (4.06 oz);Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~68.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 5.1 (Lollipop);Mediatek MT6580A (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;16GB 1GB RAM;8 MP, AF;LED flash, HDR, panorama;1080p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 2100 mAh, removable;Up to 700 h (2G) / Up to 250 h (3G);Up to 22 h (2G) / Up to 12 h (3G);Dark Grey, White, Gold, Rose Gold, Silver;;;;;
https://www.gsmarena.com/posh_volt_lte_l540-8176.php;https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg;Posh Volt LTE L540;Released 2016, May;167.5g, 10mm thickness;Android 5.1;16GB storage, microSDXC;2;N/A;83,772 hits;"5.0""";720x1280 pixels;3 GB RAM;MT6735P;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 3, 4, 7, 17;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2016, March. Released 2016, May;Discontinued;143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in);167.5 g (5.93 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Mediatek MT6735P (28 nm);Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;microSDXC;16GB 3GB RAM;"8 MP, f/2.4, 1/4.0"", 1.12µm, AF";LED flash, panorama, HDR;1080p@30fps;"5 MP, f/2.2, 1/5"", 1.12µm";;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 4000 mAh, non-removable;Up to 600 h (2G) / Up to 300 h (3G);Up to 16 h (2G) / Up to 12 h (3G);Grey, Gold, Rose Gold;;;;;
https://www.gsmarena.com/posh_volt_max_lte_l640-8175.php;https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_Max_LTE_L640.jpg;Posh Volt Max LTE L640;Released 2016, June;230g, 8.1mm thickness;Android 5.1;32GB/64GB storage, no card slot;5;N/A;75,905 hits;"6.44""";1280x1920 pixels;3 GB RAM;MT6753;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 3, 4, 7, 17;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2016, March. Released 2016, June;Discontinued;176 x 89.3 x 8.1 mm (6.93 x 3.52 x 0.32 in);230 g (8.11 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;6.44 inches, 123.5 cm(~78.6% screen-to-body ratio);1280 x 1920 pixels, 3:2 ratio (~358 ppi density);Android 5.1 (Lollipop);Mediatek MT6753 (28 nm);Octa-core 1.3 GHz Cortex-A53;Mali-T760MP2;No;32GB 3GB RAM, 64GB 3GB RAM;"13 MP, f/2.4, 1/3.1"", 1.12µm, AF";LED flash, panorama, HDR;1080p@30fps;"8 MP, f/2.2, 1/4"", 1.12µm";;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;GPS;No;No;microUSB 2.0, OTG;Accelerometer, proximity, compass;Li-Po 6000 mAh, non-removable;Up to 600 h (2G) / Up to 400 h (3G);Up to 16 h (2G) / Up to 8 h (3G);Grey, Gold, Rose Gold;;;;;
https://www.gsmarena.com/posh_equal_pro_lte_l700-8174.php;https://fdn2.gsmarena.com/vv/bigpic/posh-Equal_Pro_LTE_L700.jpg;Posh Equal Pro LTE L700;Released 2016, March;248g, 8.4mm thickness;Android 5.1;16GB storage, microSDHC;5;N/A;65,029 hits;"6.95""";720x1280 pixels;1 GB RAM;MT8735P;2800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 4, 7, 17;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2016, February. Released 2016, March;Discontinued;192 x 101.6 x 8.4 mm (7.56 x 4.0 x 0.33 in);248 g (5.22 oz);Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by);IPS LCD;6.95 inches, 133.2 cm(~68.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~211 ppi density);Android 5.1 (Lollipop);Mediatek MT8735P;Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;microSDHC;16GB 1GB RAM;5 MP, AF;LED flash, HDR, panorama;1080p@30fps;2 MP;;Wi-Fi 802.11 a/b/g/n, hotspot;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, compass;Li-Po 2800 mAh, non-removable;Up to 900 h (2G) / Up to 800 h (3G);Up to 24 h (2G) / Up to 15 h (3G);Black, White, Blue;;;;;
https://www.gsmarena.com/posh_primo_plus_c353-7622.php;https://fdn2.gsmarena.com/vv/bigpic/posh-plus-c353.jpg;Posh Primo Plus C353;Released 2015, August;96.1g, 10.4mm thickness;Android 4.4.2;512MB 256MB RAM storage, microSDHC slot;0;N/A;56,807 hits;"3.5""";320x480 pixels;256 MB RAM;Spreadtrum SC7715;1300 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 - C353A;;HSPA 21.1/5.76 Mbps;2015, May. Released 2015, August;Discontinued;116 x 63 x 10.4 mm (4.57 x 2.48 x 0.41 in);96.1 g (3.39 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;3.5 inches, 36.5 cm(~49.9% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.4.2 (KitKat);Spreadtrum SC7715;1.0 GHz;;microSDHC;512MB 256MB RAM;VGA;;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.1, EDR;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 1300 mAh battery;Up to 260 h (2G) / Up to 220 h (3G);Up to 5 h 30 min (2G) / Up to 5 h (3G);Black, White, Blue, Pink, Yellow;;;;;
