Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;cam2features;batstandby1;battalktime1;gprstext;edge;optionalother;featuresother
https://www.gsmarena.com/qmobile_noir_a1-8757.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg;QMobile Noir A1;Released 2017, July;182g, 8.3mm thickness;Android 7, Amigo OS 4;64GB storage, microSDXC;6;0.1%;127,245 hits;"5.5""";1080x1920 pixels;4 GB RAM;Helio P10;4010 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, June. Released 2017, July;Discontinued;154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in);182 g (6.42 oz);Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~70.6% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Corning Gorilla Glass (unspecified version);Android 7 (Nougat), Amigo OS 4;Mediatek MT6755 Helio P10 (28 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF";LED flash, panorama, HDR;1080p@30fps;"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm";;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;Li-Ion 4010 mAh, non-removable;Black, Gray, Gold;Noir A1;About 27500 INR;;;;;;;
https://www.gsmarena.com/qmobile_noir_e2-8758.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg;QMobile Noir E2;Released 2017, June;9.1mm thickness;Android 7.0;16GB storage, microSDXC;3;N/A;133,201 hits;"5.2""";720x1280 pixels;3 GB RAM;Helio P10;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;3, 5;HSPA, LTE;2017, June. Released 2017, June;Discontinued;148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in);-;Hybrid Dual SIM;IPS LCD;5.2 inches, 74.5 cm(~69.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~282 ppi density);;Android 7.0 (Nougat);Mediatek MT6755 Helio P10 (28 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);16GB 3GB RAM;eMMC 5.1;13 MP, f/2.2, AF;LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.2;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Fingerprint (front-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, removable;Gold;E2 Noir;About 15500 INR;;;;;;;
https://www.gsmarena.com/qmobile_j7_pro-8759.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg;QMobile J7 Pro;Released 2017, May;175g, 9.2mm thickness;Android 6.0;32GB storage, microSDXC;1;N/A;79,101 hits;"5.5""";720x1280 pixels;3 GB RAM;MT6737T;3150 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 2100;3, 5, 40, 41;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2017, May. Released 2017, May;Discontinued;154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in);175 g (6.17 oz);Hybrid Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~70.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Corning Gorilla Glass 3;Android 6.0 (Marshmallow);Mediatek MT6737T (28 nm);Quad-core 1.4 GHz Cortex-A53;Mali-T720;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.0;13 MP, PDAF;LED flash, HDR, panorama;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity, compass;Li-Po 3150 mAh, non-removable;Gold, Blue;;About 18000 INR;;;;;;;
https://www.gsmarena.com/qmobile_m6-8760.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg;QMobile M6;Released 2017, March;180g, 8.2mm thickness;Android 6.0, Amigo 3.5;64GB storage, microSDXC;6;N/A;87,053 hits;"5.5""";1080x1920 pixels;4 GB RAM;Helio P10;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 1900 / 2100;3, 5, 40;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, March. Released 2017, March;Discontinued;152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in);180 g (6.35 oz);Dual SIM (Micro-SIM, dual stand-by);AMOLED;5.5 inches, 83.4 cm(~72.7% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);;Android 6.0 (Marshmallow), Amigo 3.5;Mediatek MT6755 Helio P10 (28 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (dedicated slot);64GB 4GB RAM;eMMC 5.1;"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF";LED flash, panorama, HDR;1080p@30fps;"8 MP, f/2.2, 1/4"", 1.12µm";;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio, recording;microUSB 2.0, OTG;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Gold, Coffee;;About 29500 INR;;;;;;;
https://www.gsmarena.com/qmobile_m6_lite-8761.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg;QMobile M6 Lite;Released 2017, March;184g, 10mm thickness;Android 6.0;16GB storage, microSDXC;0;N/A;58,862 hits;"5.0""";720x1280 pixels;3 GB RAM;MT6737;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;3, 5, 40;HSPA, LTE;2017, March. Released 2017, March;Discontinued;144 x 71 x 10 mm (5.67 x 2.80 x 0.39 in);184 g (6.49 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~67.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 6.0 (Marshmallow);Mediatek MT6737 (28 nm);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSDXC (dedicated slot);16GB 3GB RAM;eMMC 5.0;13 MP, f/2.2, AF;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 4000 mAh, removable;Gold;M6 Lite;About 16500 INR;;;;;;;
https://www.gsmarena.com/qmobile_king_kong_max-8762.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg;QMobile King Kong Max;Released 2017, January;162g, 8.2mm thickness;Android 6.0;32GB storage, microSDXC;0;N/A;62,046 hits;"5.3""";720x1280 pixels;3 GB RAM;MT6750;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 7, 20, 38, 39, 40, 41;HSPA, LTE;2017, January. Released 2017, January;Discontinued;149 x 73.2 x 8.2 mm (5.87 x 2.88 x 0.32 in);162 g (5.71 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.3 inches, 77.4 cm(~71.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~277 ppi density);;Android 6.0 (Marshmallow);Mediatek MT6750 (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC;32GB 3GB RAM;eMMC 5.1;13 MP, AF;LED flash, HDR, panorama;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Gold;;About 18500 INR;;;;;;;
https://www.gsmarena.com/qmobile_m350_pro-8764.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_M350_Pro.jpg;QMobile M350 Pro;Released 2017, February;179g, 9.4mm thickness;Android 6, Amigo 3;16GB storage, microSDXC;0;N/A;61,105 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6580M;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA 21.1/5.76 Mbps;2017, February. Released 2017, February;Discontinued;145.5 x 71 x 9.4 mm (5.73 x 2.80 x 0.37 in);179 g (6.31 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 6 (Marshmallow), Amigo 3;Mediatek MT6580M (28 nm);Quad-core 1.3 GHz Cortex-7;Mali-400MP2;microSDXC (dedicated slot);16GB 2GB RAM;;"8 MP, f/2.2, 1/4.0"", AF";LED flash, panorama, HDR;1080p@30fps;5 MP, f/2.4;;Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity;Li-Ion 5000 mAh, non-removable;Black, Gold, White;M350, M350 Pro;;;;;;;;
https://www.gsmarena.com/qmobile_energy_x2-8763.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_Energy_X2.jpg;QMobile Energy X2;Released 2017, February;184g, 9.9mm thickness;Android 6.0;16GB storage, microSDXC;0;N/A;64,447 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6580M;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA;2017, February. Released 2017, February;Discontinued;143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in);184 g (6.49 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 6.0 (Marshmallow);Mediatek MT6580M (28 nm);Quad-core 1.3 GHz Cortex-7;Mali-400MP2;microSDXC (dedicated slot);16GB 2GB RAM;;8 MP, f/2.0, AF;LED flash, HDR, panorama;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Ion 5000 mAh, non-removable;Gold, Silver, Gray;ENERGY X2;;;;;;;;
https://www.gsmarena.com/qmobile_e1-8765.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_E1.jpg;QMobile E1;Released 2017, January;8.9mm thickness;Android 6.0;16GB storage, microSDXC;0;N/A;70,701 hits;"5.0""";720x1280 pixels;3 GB RAM;MT6735P;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;3, 5;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2017, January. Released 2017, January;Discontinued;143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in);-;Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 6.0 (Marshmallow);Mediatek MT6735P (28 nm);Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;microSDXC;16GB 3GB RAM;;8 MP, f/2.2, AF;LED flash;1080p@30fps;5 MP, f/2.4;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 4000 mAh, removable;Black, Gold;E1;;;;;;;;
https://www.gsmarena.com/qmobile_noir_s6_plus-8766.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_S6_Plus.jpg;QMobile Noir S6 Plus;Released 2016, June;150g, 8.7mm thickness;Android 6.0;16GB storage, microSDXC;0;N/A;59,220 hits;"5.5""";720x1280 pixels;2 GB RAM;MT6580;2500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2016, June. Released 2016, June;Discontinued;144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in);150 g (5.29 oz);Dual SIM;IPS LCD;5.5 inches, 83.4 cm(~79.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);;Android 6.0 (Marshmallow);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;16GB 2GB RAM;;"8 MP, f/2.0, 1/4.0"", AF";LED flash, panorama, HDR;1080p@30fps;5 MP, f/2.0;;Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 2500 mAh, removable;Gold;S6, S6S, S6 PLUS;;;;;;;;
