Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;gprstext;edge;chipset;price;optionalother
https://www.gsmarena.com/qtek_9600-1588.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-9600.gif;Qtek 9600;Released 2006, June;176g, 22mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, microSD slot;16;N/A;738,198 hits;"2.8""";240x320 pixels;64 MB RAM;;1350 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;UMTS 850 / 1900 / 2100;Yes, 384 kbps;2006, June;Discontinued;113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in);176 g (6.21 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 42 x 57 mm, 24.3 cm(~37.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 5.0 PocketPC;400 MHz Samsung;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP;LED flash;Yes;QCIF videocall camera;;Wi-Fi 802.11b/g;2.0;No;No;1.1;;Pocket OfficeVoice memoMP3/AAC player;Removable Li-Po 1350 mAh battery;Up to 300 h;Up to 5 h;Silver;;;;;
https://www.gsmarena.com/qtek_8600-1585.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8600.gif;Qtek 8600;Released 2006, June;120g, 14.8mm thickness;Microsoft Windows Mobile 5.0 Smartphone;64MB RAM storage, microSD slot;8;N/A;197,399 hits;"2.2""";240x320 pixels;64 MB RAM;;1190 mAh Li-Po;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, June;Discontinued;112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in);120 g (4.23 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 34 x 45 mm, 15.0 cm(~29.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);5-way navigation button;Microsoft Windows Mobile 5.0 Smartphone;Samsung 2442 300 MHz;microSD (dedicated slot);64MB RAM, 128MB ROM;1.3 MP;;Yes;Yes;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Po 1190 mAh battery;;;;;;;;
https://www.gsmarena.com/qtek_a9100-2523.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-a9100.jpg;Qtek A9100;Released 2006, March;168g, 23.7mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, miniSD slot;10;N/A;134,037 hits;"2.8""";240x320 pixels;64 MB RAM;TI OMAP 850;1250 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2006, March;Discontinued;108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in);168 g (5.93 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~38.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);5-way navigation button;Microsoft Windows Mobile 5.0 PocketPC;200 MHz ARM926EJ-S;miniSD;64MB RAM, 128MB ROM;1.3 MP;LED flash;No;No;;Wi-Fi 802.11 b/i;1.2;No;No;miniUSB;;MP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Po 1250 mAh battery;;;Gray;Class 10;Class 10;TI OMAP 850;;
https://www.gsmarena.com/qtek_8500-1483.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8500.gif;Qtek 8500;Released 2006, February;99g, 15.8mm thickness;Microsoft Windows Mobile 5.0 Smartphone;64MB RAM storage, microSD slot;10;N/A;301,359 hits;"2.2""";240x320 pixels;64 MB RAM;TI OMAP 850;750 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2006, February;Discontinued;98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in);99 g (3.49 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 34 x 45 mm, 15.0 cm(~29.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels);Microsoft Windows Mobile 5.0 Smartphone;200 MHz ARM926EJ-S;microSD (dedicated slot);64MB RAM, 64MB ROM;1.3 MP;;Yes;No;;No;1.2;No;No;1.1;;Pocket OfficeVoice memoMP3/AAC playerPredictive text input;Removable Li-Ion 750 mAh battery;;;Stylish black;Class 10;Class 10;TI OMAP 850;About 190 EUR;
https://www.gsmarena.com/qtek_s200-1417.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-s200.gif;Qtek S200;Released 2005, Q4;150g, 18.4mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, SD/MMC slot;14;N/A;663,623 hits;"2.8""";240x320 pixels;64 MB RAM;TI OMAP 850;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2005, Q4;Discontinued;108.8 x 59.3 x 18.4 mm (4.28 x 2.33 x 0.72 in);150 g (5.29 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 42 x 57 mm, 24.3 cm(~37.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 5.0 PocketPC;200 MHz ARM926EJ-S;SD/MMC;64MB RAM, 128MB ROM;2 MP;;CIF;No;;Wi-Fi 802.11b;2.0;No;No;miniUSB;;Pocket OfficeVoice memoMP3/AAC player;Removable Li-Ion 1200 mAh battery;Up to 200 h;Up to 5 h;Stylish black;Class 10;Class 10;TI OMAP 850;About 250 EUR;2.5 mm audio jack
https://www.gsmarena.com/qtek_9000-1264.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-9000.gif;Qtek 9000;Released 2005, August;285g, 21mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, SDIO/MMC slot;15;N/A;736,042 hits;"3.6""";640x480 pixels;64 MB RAM;;1620 mAh Li-Po;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2005, August;Discontinued;131 x 79 x 21 mm (5.16 x 3.11 x 0.83 in);285 g (10.05 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;3.6 inches, 73 x 55 mm, 40.1 cm(~38.8% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~222 ppi density);Handwriting recognition;Microsoft Windows Mobile 5.0 PocketPC;Intel XScale 520 MHz;SDIO/MMC;64MB RAM;1.3 MP;;Yes;VGA videocall camera;;Wi-Fi 802.11b;Yes;No;No;Proprietary;;Pocket OfficeVoice memoMP3/AAC playerPredictive text input;Removable Li-Po 1620 mAh battery;Up to 260 h;Up to 8 h;Stylish black;;;;About 560 EUR;Dual speakers
https://www.gsmarena.com/qtek_8310-1253.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8310.gif;Qtek 8310;Released 2005, August;106g, 17.5mm thickness;Microsoft Windows Mobile 5.0 Smartphone;64MB RAM storage, MiniSD slot;11;N/A;401,897 hits;"2.2""";240x320 pixels;64 MB RAM;TI OMAP 850;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2005, August;Discontinued;107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in);106 g (3.74 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 34 x 45 mm, 15.0 cm(~30.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);5-way navigation button;Microsoft Windows Mobile 5.0 Smartphone;200 MHz ARM926EJ-S;MiniSD;64MB RAM, 64/128MB ROM;1.3 MP;;Yes;No;;Wi-Fi 802.11b;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion 1150 mAh battery;Up to 250 h;Up to 5 h;;Class 10;Class 10;TI OMAP 850;;2.5 mm audio jack
https://www.gsmarena.com/qtek_8300-1252.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8300.gif;Qtek 8300;Released 2005, August;106g, 17.5mm thickness;Microsoft Windows Mobile 5.0 Smartphone;32MB RAM storage, MiniSD slot;10;N/A;198,299 hits;"2.2""";240x320 pixels;32 MB RAM;TI OMAP 850;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2005, August;Discontinued;107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in);106 g (3.74 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 34 x 45 mm, 15.0 cm(~30.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);5-way navigation button;Microsoft Windows Mobile 5.0 Smartphone;200 MHz ARM926EJ-S;MiniSD;32MB RAM, 64MB ROM;1.3 MP;;QCIF;No;;Wi-Fi 802.11b;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion 1150 mAh battery;Up to 250 h;Up to 5 h;;Class 10;Class 10;TI OMAP 850;;
https://www.gsmarena.com/qtek_9100-1257.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-9100.gif;Qtek 9100;Released 2005, Q3;160g, 23mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, miniSD slot;17;N/A;862,069 hits;"2.8""";240x320 pixels;64 MB RAM;TI OMAP 850;1250 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2005, Q3;Discontinued;109 x 58 x 23 mm (4.29 x 2.28 x 0.91 in);160 g (5.64 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 42 x 57 mm, 24.3 cm(~38.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;Microsoft Windows Mobile 5.0 PocketPC;200 MHz ARM926EJ-S;miniSD;64MB RAM, 128MB ROM;1.3 MP;LED flash;Yes;No;;Wi-Fi 802.11b/g;2.0;No;No;Proprietary;;Microsoft ActiveSyncPocket OfficeMP3/AAC playerPredictive text input;Removable Li-Po 1250 mAh battery;Up to 200 h;Up to 4 h;Stylish black;Class 10;Class 10;TI OMAP 850;;
https://www.gsmarena.com/qtek_8100-1173.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8100.gif;Qtek 8100;Released 2005, Q1;106g, 19mm thickness;Microsoft Smartphone 2003 SE;32MB RAM storage, MiniSD slot;8;N/A;227,491 hits;"2.2""";176x220 pixels;32 MB RAM;TI OMAP 730;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2005, Q1;Discontinued;107 x 47 x 19 mm (4.21 x 1.85 x 0.75 in);106 g (3.74 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~30.3% screen-to-body ratio);176 x 220 pixels (~128 ppi density);5-way navigation button3-color LED indicatorDownloadable logos;Microsoft Smartphone 2003 SE;200 MHz ARM926EJ-S;MiniSD;32MB RAM;VGA;;Yes;No;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion 1050 mAh battery;Up to 140 h;Up to 4 h 30 min;Stylish black and silver;Class 10;No;TI OMAP 730;;
