Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;displayother;batstandby1;battalktime1;memoryother;cam1features
https://www.gsmarena.com/sendo_x2-1065.php;https://fdn2.gsmarena.com/vv/bigpic/sex2.gif;Sendo X2;Cancelled;95 g;Symbian, Series 60 UI;32MB storage, miniSD slot;11;N/A;255,294 hits;"2.2""";176x220 pixels; ;TI OMAP 5910;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2005, Q1;Cancelled;85 cc;95 g (3.35 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm;176 x 220 pixels (~128 ppi density);Symbian, Series 60 UI;TI OMAP 5910;120 MHz ARM925T;miniSD;32MB;1.3 MP;Yes;No;No;Yes;No;No;Proprietary;;Photo editorAAC/MP3 playerSyncML;Removable Li-Ion battery;;;;;;
https://www.gsmarena.com/sendo_s1-1066.php;https://fdn2.gsmarena.com/vv/bigpic/ses1.gif;Sendo S1;Cancelled;83 g;Feature phone;No card slot;9;N/A;87,603 hits;;96x64 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Yes;No;2005, Q1;Cancelled;;83 g (2.93 oz);Mini-SIM;;;96 x 64 pixels, 3:2 ratio;;;;No;;No;;;No;No;No;No;;;Predictive text inputExchangeable covers;Removable Li-Ion battery;;Downloadable wallpapers and animated screensavers;Up to 425 h;Up to 7 h;;
https://www.gsmarena.com/sendo_k1-1067.php;https://fdn2.gsmarena.com/vv/bigpic/sek1.gif;Sendo K1;Cancelled;;Feature phone;No card slot;8;N/A;92,534 hits;;; ;;720 mAh Li-Ion;GSM 900 / 1800;Yes;No;2005, Q1;Cancelled;;;Mini-SIM;65K colors;;;;;;No;;No;;;No;1.2;No;No;;;Predictive text input;Removable Li-Ion battery;;5-way navigation keyDownloadable wallpapers and animated screensavers;Up to 400 h;Up to 7 h;;
https://www.gsmarena.com/sendo_p600-875.php;https://fdn2.gsmarena.com/vv/bigpic/sep600.gif;Sendo P600;Released 2004, Q3;85g, 20mm thickness;Feature phone;3.7MB storage, no card slot;8;N/A;127,806 hits;;128x128 pixels; ;;570 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004, Q3;Discontinued;108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in);85 g (3.00 oz);Mini-SIM;TFT, 65K colors;;128 x 128 pixels, 1:1 ratio;;;;No;3.7MB;VGA;No;No;No;No;No;No;;;Photo editorPredictive text input;Removable Li-Ion battery;;Downloadable wallpapers;Up to 380 h;Up to 6 h;;
https://www.gsmarena.com/sendo_sv663-943.php;https://fdn2.gsmarena.com/vv/bigpic/sesv663.gif;Sendo SV663;Released 2004, Q3;86g, 19.5mm thickness;Feature phone;3.3MB storage, no card slot;9;N/A;142,246 hits;;128x160 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2004, Q3;Discontinued;108 x 45 x 19.5 mm, 76 cc (4.25 x 1.77 x 0.77 in);86 g (3.03 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels;;;;No;3.3MB;VGA;No;No;No;No;No;No;;;Photo editorPredictive text inputExchangeable covers;Removable Li-Ion 800 mAh battery;;Downloadable wallpapers, screensavers5-way navigation key;Up to 400 h;Up to 7 h;;
https://www.gsmarena.com/sendo_m570-680.php;https://fdn2.gsmarena.com/vv/bigpic/sem570.gif;Sendo M570;Released 2004, Q1;77g, 20mm thickness;Feature phone;3.7MB storage, no card slot;7;N/A;196,136 hits;;128x128 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004, Q1;Discontinued;82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in);77 g (2.72 oz);Mini-SIM;UFB, 65K colors;;128 x 128 pixels, 1:1 ratio;;;;No;3.7MB;No;;;No;No;No;No;;;Predictive text inputOnline currency converter with live ratesCalculator;Removable Li-Ion 600 mAh battery;;Second display, inverse, 96 x 64 pixelsDownloadable wallpapers;Up to 400 h;Up to 5 h;50 preloaded images for MMS;
https://www.gsmarena.com/sendo_s600-679.php;https://fdn2.gsmarena.com/vv/bigpic/ses600.gif;Sendo S600;Released 2004, Q1;83g, 20mm thickness;Feature phone;3.7MB storage, no card slot;7;N/A;117,562 hits;;128x128 pixels; ;;1300 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004, Q1;Discontinued;108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in);83 g (2.93 oz);Mini-SIM;TFT, 65K colors;;128 x 128 pixels, 1:1 ratio;;;;No;3.7MB;VGA;No;No;No;No;No;No;;;Photo editorPredictive text input;Removable Li-Ion battery;;Downloadable wallpapers, screensavers;Up to 450 h;Up to 7 h;;
https://www.gsmarena.com/sendo_x-560.php;https://fdn2.gsmarena.com/vv/bigpic/sex.gif;Sendo X;Released 2003, Q4;120g, 23mm thickness;Symbian 6.1, Series 60 v1.0 UI;32MB storage, MMC/SD slot;12;N/A;326,437 hits;"2.2""";176x220 pixels; ;TI OMAP 5910;1050 mAh Li-Po;GSM 900 / 1800 / 1900;Class 8;No;2003, Q4;Discontinued;110 x 49 x 23 mm, 108 cc (4.33 x 1.93 x 0.91 in);120 g (4.23 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~28.3% screen-to-body ratio);176 x 220 pixels (~128 ppi density);Symbian 6.1, Series 60 v1.0 UI;TI OMAP 5910;120 MHz ARM925T;MMC/SD;32MB;VGA;Yes;No;No;1.1;No;No;Proprietary;;MP4/MP3 playerSync ML;Removable Li-Po 1050 mAh battery;;;Up to 170 h;Up to 7 h;;LED flash
https://www.gsmarena.com/sendo_s360-913.php;https://fdn2.gsmarena.com/vv/bigpic/ses360.gif;Sendo S360;Released 2004, Q4;83g, 19mm thickness;Feature phone;2MB storage, no card slot;11;N/A;138,801 hits;;128x128 pixels,; ;;730 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2004, Q4;Discontinued;108 x 45 x 19 mm, 77 cc (4.25 x 1.77 x 0.75 in);83 g (2.93 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels,, 1:1 ratio;;;;No;2MB;No;;;No;No;No;No;;;Predictive text inputExchangeable covers;Removable Li-Ion battery;Black, Blue;Downloadable wallpapers and animated screensavers;Up to 400 h;Up to 7 h;;
https://www.gsmarena.com/sendo_s330-572.php;https://fdn2.gsmarena.com/vv/bigpic/ses330.gif;Sendo S330;Released 2003, Q4;81g, 21mm thickness;Feature phone;No card slot;11;N/A;154,858 hits;;98x67 pixels, 5 lines; ;;760 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2003, Q4;Discontinued;108 x 47 x 21 mm, 79 cc (4.25 x 1.85 x 0.83 in);81 g (2.86 oz);Mini-SIM;CSTN, 4096 colors;;98 x 67 pixels, 5 lines, 3:2 ratio;;;;No;;No;;;No;No;No;No;;;Predictive text input;Removable Li-Ion battery;;Soft keysDownloadable icons;Up to 480 h;Up to 7 h;20 short messages;
