Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;batstandby1;battalktime1;optionalother
https://www.gsmarena.com/sewon_srs_3300-1004.php;https://fdn2.gsmarena.com/vv/bigpic/swsrs3300.gif;Sewon SRS-3300;Released 2005, Q1;90g, 26.5mm thickness;Feature phone;No card slot;6;N/A;105,432 hits;;128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Yes;No;2005, Q1;Discontinued;72 x 39 x 26.5 mm (2.83 x 1.54 x 1.04 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Downloadable logos, wallpapers;No;VGA;Yes;No;No;No;No;No;;;Predictive text inputOrganizerWorld timeMemo;Removable Li-Ion 720 mAh battery;;;;
https://www.gsmarena.com/sewon_srd_3000-798.php;https://fdn2.gsmarena.com/vv/bigpic/swsrd3000.gif;Sewon SRD-3000;Released 2004, Q2;90g, 18mm thickness;Feature phone;No card slot;5;N/A;75,934 hits;;176x220 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800;Yes;No;2004, Q2;Discontinued;91 x 48 x 18 mm (3.58 x 1.89 x 0.71 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;Downloadable logos, wallpapers;No;VGA;No;No;No;No;No;No;;;Predictive text inputOrganizerWorld timeMemo;Removable Li-Ion 1050 mAh battery;;;;
https://www.gsmarena.com/sewon_srd_200-797.php;https://fdn2.gsmarena.com/vv/bigpic/swsrd200.gif;Sewon SRD-200;Released 2004, Q2;95g, 21.7mm thickness;Feature phone;No card slot;6;N/A;75,125 hits;;128x128 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;Yes;No;2004, Q2;Discontinued;87.5 x 47.5 x 21.7 mm (3.44 x 1.87 x 0.85 in);95 g (3.35 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external displayDownloadable logos, wallpapers;No;VGA;No;No;No;No;No;No;;;Predictive text inputOrganizerWorld timeMemo;Removable Li-Ion 900 mAh battery;;;;
https://www.gsmarena.com/sewon_sgd_1050-796.php;https://fdn2.gsmarena.com/vv/bigpic/swsgd1050.gif;Sewon SGD-1050;Released 2004, Q2;90g, 21mm thickness;Feature phone;No card slot;6;N/A;71,675 hits;;128x128 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q2;Discontinued;82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in);90 g (3.17 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external displayDownloadable logos;No;VGA;No;No;No;No;No;No;;;Predictive text inputStopwatchCalculatorWorld timeMemo;Removable Li-Ion 900 mAh battery;;;;
https://www.gsmarena.com/sewon_sgd_1030-795.php;https://fdn2.gsmarena.com/vv/bigpic/swsgd1030.gif;Sewon SGD-1030;Released 2004, Q2;90g, 22mm thickness;Feature phone;No card slot;6;N/A;68,128 hits;;128x128 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q2;Discontinued;82 x 44 x 22 mm (3.23 x 1.73 x 0.87 in);90 g (3.17 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external display7 colors LED indicatorDownloadable logos;No;VGA;No;No;No;No;No;No;;;Predictive text inputStopwatchCalculatorWorld timeMemo;Removable Li-Ion 900 mAh battery;;;;
https://www.gsmarena.com/sewon_sgd_1020-794.php;https://fdn2.gsmarena.com/vv/bigpic/swsgd1020.gif;Sewon SGD-1020;Released 2004, Q2;90g, 21mm thickness;Feature phone;No card slot;5;N/A;65,865 hits;;128x128 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q2;Discontinued;82 x 42.4 x 21 mm (3.23 x 1.67 x 0.83 in);90 g (3.17 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external display7 colors LED indicatorDownloadable logos;No;VGA;No;No;No;No;No;No;;;Predictive text inputStopwatchCalculatorMemo;Removable Li-Ion 900 mAh battery;;;;
https://www.gsmarena.com/sewon_sgd_1010-781.php;https://fdn2.gsmarena.com/vv/bigpic/swsgd1010.gif;Sewon SGD-1010;Released 2004, Q1;90g, 21mm thickness;Feature phone;No card slot;5;N/A;66,016 hits;;128x128 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q1;Discontinued;82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in);90 g (3.17 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external display4-way navi key;No;VGA;No;No;No;No;No;No;;;Predictive text inputStopwatchCalculatorMemo;Removable Li-Ion 600 mAh battery;;;;
https://www.gsmarena.com/sewon_sgd_1000-780.php;https://fdn2.gsmarena.com/vv/bigpic/swsgd1000.gif;Sewon SGD-1000;Released 2004, Q1;90g, 21mm thickness;Feature phone;No card slot;6;N/A;68,184 hits;;128x128 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q1;Discontinued;82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in);90 g (3.17 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external display4-way navi key;No;VGA;No;No;No;No;No;No;;;Predictive text inputCalculatorMemo;Removable Li-Ion 900 mAh battery;;;;
https://www.gsmarena.com/sewon_sgd_106-763.php;https://fdn2.gsmarena.com/vv/bigpic/swsgd106.gif;Sewon SGD-106;Released 2004, Q1;80g, 23mm thickness;Feature phone;No card slot;3;N/A;67,526 hits;;128x128 pixels; ;;550 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q1;Discontinued;72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in);80 g (2.82 oz);Mini-SIM;CSTN, 256 colors;;128 x 128 pixels, 1:1 ratio;Second external mono LCD display4-way navi key;No;No;;;No;No;No;No;;;Predictive text inputCalculatorMemo;Removable Li-Ion 550 mAh battery;;Up to 110 h;Up to 3 h;
https://www.gsmarena.com/sewon_sgd_105-762.php;https://fdn2.gsmarena.com/vv/bigpic/swsgd105.gif;Sewon SGD-105;Released 2004, Q1;80g, 23mm thickness;Feature phone;No card slot;4;N/A;63,408 hits;;128x128 pixels; ;;550 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q1;Discontinued;72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in);80 g (2.82 oz);Mini-SIM;CSTN, 256 colors;;128 x 128 pixels, 1:1 ratio;Second external mono LCD display4-way navi key;No;No;;;No;No;No;No;;;Predictive text inputCalculatorMemo;Removable Li-Ion 550 mAh battery;;Up to 110 h;Up to 3 h;
