Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;net5g;bodyother;displayprotection;memoryother;cam2features;optionalother;sar-eu;tbench;batstandby1;battalktime1;featuresother;gprstext;edge;displayother
https://www.gsmarena.com/sharp_aquos_v6_plus-11868.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6plus.jpg;Sharp Aquos V6 Plus;Released 2022, February 16;190g, 8.9mm thickness;Android 12;64GB storage, microSDXC;2;1.0%;68,277 hits;"6.52""";720x1600 pixels;4 GB RAM;Helio G25;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;LTE;HSPA, LTE;2022, February 16;Available. Released 2022, February 16;165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in);190 g (6.70 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM;50 MP, (wide)2 MP, (macro)2 MP, (depth);LED flash;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE, aptX HD, aptX Adaptive;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;Yes;No;USB Type-C 3.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 5000 mAh, non-removable;Grey Sand, Deep Blue Sea;SH-C04;About 150 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/sharp_aquos_v6-11867.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6.jpg;Sharp Aquos V6;Released 2022, February 16;190g, 8.9mm thickness;Android 12;32GB storage, microSDXC;1;0.4%;28,124 hits;"6.52""";720x1600 pixels;3 GB RAM;Helio G25;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;LTE;HSPA, LTE;2022, February 16;Available. Released 2022, February 16;165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in);190 g (6.70 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;32GB 3GB RAM;13 MP, (wide)2 MP, (macro)2 MP, (depth);LED flash;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE, aptX HD, aptX Adaptive;GPS;Yes;No;USB Type-C 3.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 5000 mAh, non-removable;Grey Sand, Deep Blue Sea;;About 130 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/sharp_aquos_wish-11847.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish.jpg;Sharp Aquos wish;Released 2022, January 21;162g, 8.9mm thickness;Android 11;64GB storage, microSDXC;3;0.4%;32,276 hits;"5.7""";720x1520 pixels;4 GB RAM;Snapdragon 480 5G;3730 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 28, 38, 41;HSPA, LTE, 5G;2022, January 19;Available. Released 2022, January 21;147 x 71 x 8.9 mm (5.79 x 2.80 x 0.35 in);162 g (5.71 oz);Plastic body, plastic frame;Dual SIM (Nano-SIM and eSIM, dual stand-by);IPS LCD;5.7 inches, 81.1 cm(~77.7% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~295 ppi density);Android 11;Qualcomm SM4350 Snapdragon 480 5G (8 nm);Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460);Adreno 619;microSDXC;64GB 4GB RAM;13 MP, (wide), AF;LED flash;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS;Yes;No;USB Type-C;Fingerprint (side-mounted), accelerometer;Li-Ion 3730 mAh, non-removable;Spring Bud Green, Foggy Black;;About 230 EUR;1, 3, 7, 28, 38, 41, 78 SA/NSA;IPX5/IP6X/IPX7 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810G compliant;;;;;;;;;;;;
https://www.gsmarena.com/sharp_aquos_zero6-11846.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero6.jpg;Sharp Aquos zero6;Released 2021, October 14;146g, 7.9mm thickness;Android 11;128GB storage, microSDXC;10;0.5%;36,831 hits;"6.4""";1080x2340 pixels;8 GB RAM;Snapdragon 750G 5G;4010 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 28, 38, 41;HSPA, LTE-A, 5G;2021, October 14;Available. Released 2021, October 14;158 x 73 x 7.9 mm (6.22 x 2.87 x 0.31 in);146 g (5.15 oz);;Dual SIM (Nano-SIM and eSIM, dual stand-by);OLED, 1B colors, 240Hz;6.4 inches, 100.5 cm(~87.2% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density);Android 11;Qualcomm SM7225 Snapdragon 750G 5G (8 nm);Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570);Adreno 619;microSDXC;128GB 8GB RAM;48 MP, f/1.8, (wide), AF8 MP, f/2.4, (telephoto), AF, 2x optical zoom8 MP, f/2.4, 120˚ (ultrawide)TOF 3D (depth);LED flash, HDR, panorama;1080p@30fps;12.6 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, BDS, GALILEO, QZSS;Yes;No;USB Type-C;Fingerprint (under display, optical), accelerometer;Li-Ion 4010 mAh, non-removable;Swan Black;;About 400 EUR;1, 3, 28, 78, 257 SA/NSA/mmWave;IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min);Corning Gorilla Glass Victus;;;;;;;;;;;
https://www.gsmarena.com/sharp_aquos_sense5g-11845.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense5g.jpg;Sharp Aquos sense5G;Released 2021, June 10;178g, 8.9mm thickness;Android 11;128GB storage, microSDXC;5;0.6%;41,460 hits;"5.8""";1080x2280 pixels;8 GB RAM;Snapdragon 690 5G;4570 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20, 28, 38, 41;HSPA, LTE-A, 5G;2020, September 25;Available. Released 2021, June 10;148 x 71 x 8.9 mm (5.83 x 2.80 x 0.35 in);178 g (6.28 oz);Glass front, aluminum frame, aluminum back;Dual SIM (Nano-SIM, dual stand-by);IGZO IPS LCD, HDR10;5.8 inches, 84.0 cm(~79.9% screen-to-body ratio);1080 x 2280 pixels, 19:9 ratio (~435 ppi density);Android 11;Qualcomm SM6350 Snapdragon 690 5G (8 nm);Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver);Adreno 619L;microSDXC;128GB 8GB RAM;12 MP, f/2.0, (wide), AF8 MP, f/2.4, (telephoto), AF12 MP, f/2.4, 121˚ (ultrawide);LED flash, HDR, panorama;4K@30fps, 1080p@60fps, 1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;Yes;No;USB Type-C 3.1;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;Li-Ion 4570 mAh, non-removable;Satin Gold, Titanium Black;SHG03;About 250 EUR;1, 3, 28, 78 SA/NSA;IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810H compliant;;UFS;;;;;;;;;;
https://www.gsmarena.com/sharp_aquos_sense4_plus-11844.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense4plus.jpg;Sharp Aquos sense4 plus;Released 2020, September 11;198g, 8.8mm thickness;Android 10;128GB storage, microSDXC;3;0.3%;26,552 hits;"6.7""";1080x2400 pixels;8 GB RAM;Snapdragon 720G;4120 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 11, 12, 17, 18, 19, 20, 26, 28, 38, 40, 41;HSPA, LTE-A;2020, September 11;Available. Released 2020, September 11;166 x 78 x 8.8 mm (6.54 x 3.07 x 0.35 in);198 g (6.98 oz);;Nano-SIM;IPS LCD, 90Hz;6.7 inches, 108.4 cm(~83.7% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~393 ppi density);Android 10;Qualcomm SM7125 Snapdragon 720G (8 nm);Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver);Adreno 618;microSDXC;128GB 8GB RAM;48 MP, f/1.8, (wide), AF5 MP, f/2.2, 115˚ (ultrawide)2 MP, f/2.4, 40mm (telephoto macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, BDS, GALILEO, QZSS;No;No;USB Type-C;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 4120 mAh, non-removable;Deep Fog Black, Cloud White;;About 600 EUR;;IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min);;;;;;;;;;;;
https://www.gsmarena.com/sharp_aquos_zero_2-10259.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero2.jpg;Sharp Aquos Zero 2;Released 2020, May 22;141g, 8.8mm thickness;Android 10;256GB storage, no card slot;89;0.9%;728,828 hits;"6.4""";1080x2340 pixels;8 GB RAM;Snapdragon 855;3130 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 28, 38, 39, 41 - Taiwan;HSPA, LTE-A;2020, May 22;Available. Released 2020, May 22;158 x 74 x 8.8 mm (6.22 x 2.91 x 0.35 in);141 g (4.97 oz);;Nano-SIM;OLED, 1B colors, 240Hz, HDR10, Dolby Vision;6.4 inches, 100.5 cm(~86.0% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density);Android 10;Qualcomm SM8150 Snapdragon 855 (7 nm);Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Adreno 640;No;256GB 8GB RAM;"12.2 MP, f/1.7, (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS20 MP, f/2.4, 125˚ (ultrawide), AF";LED flash, HDR, panorama;4K@30fps, 1080p@30fps, gyro-EIS;8 MP, f/2.2, 23mm (wide);1080p@30fps, gyro-EIS;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE, aptX HD, aptX Adaptive;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;Yes;No;USB Type-C 2.0;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Ion 3130 mAh, non-removable;Blue;SH-Z20, SHV47, 906SH;About 670 EUR;;IP68 dust/water resistant (up to 1.5m for 30 min);Corning Gorilla Glass 6;UFS 3.0;HDR;24-bit/192kHz audio;;;;;;;;
https://www.gsmarena.com/sharp_aquos_r5g-11843.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosr5g.jpg;Sharp Aquos R5G;Released 2020, February;189g, 8.9mm thickness;Android 10;256GB storage, no card slot;15;1.2%;79,347 hits;"6.4""";1440x3168 pixels;12 GB RAM;Snapdragon 865 5G;3730 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20, 28, 38, 41;HSPA, LTE-A, 5G;2020, February;Available. Released 2020, February;162 x 75 x 8.9 mm (6.38 x 2.95 x 0.35 in);189 g (6.67 oz);;Nano-SIM;IGZO IPS LCD, 1B colors, 120Hz, Dolby Vision;6.4 inches, 99.5 cm(~81.9% screen-to-body ratio);1440 x 3168 pixels (~544 ppi density);Android 10;Qualcomm SM8250 Snapdragon 865 5G (7 nm+);Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55);Adreno 650;No;256GB 12GB RAM;12 MP, f/1.7, 26mm (wide), 1.4µm, Dual Pixel PDAF, OIS12 MP, f/2.7, 52mm (telephoto), 1.0µm, PDAF, 2x optical zoom, OIS48 MP, f/2.9, 19mm (ultrawide), 0.8µmTOF 3D (depth);LED flash, panorama;8K@30fps, 1080p@30fps;16 MP, f/2.0, 26mm (wide), 0.7µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/ax/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE, aptX HD, aptX Adaptive;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;Yes;No;USB Type-C 3.1;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3730 mAh, non-removable;Glare Black, Aurora White;SH-51A, SHG01, SH-R50;About 700 EUR;1, 3, 28, 78 SA/NSA;IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min);;UFS 3.0;;24-bit/192kHz audio;;;;;;;;
https://www.gsmarena.com/sharp_aquos_v-9962.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v.jpg;Sharp Aquos V;Released 2019, November;173g, 9mm thickness;Android 9.0;64GB storage, microSDXC;24;0.2%;397,566 hits;"5.9""";1080x2160 pixels;4 GB RAM;Snapdragon 835;3090 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 13, 20, 38, 40;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat9 450/50 Mbps;2019, November;Available. Released 2019, November;157 x 76 x 9 mm (6.18 x 2.99 x 0.35 in);173 g (6.10 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.9 inches, 89.8 cm(~75.3% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~409 ppi density);Android 9.0 (Pie);Qualcomm MSM8998 Snapdragon 835 (10 nm);Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo);Adreno 540;microSDXC (uses shared SIM slot);64GB 4GB RAM;13 MP, f/2.0, PDAF, OIS13 MP B/W;LED flash, HDR, panorama;4K@30fps, 1080p@30fps (gyro-EIS);8 MP, f/2.0;1080p@30fps (gyro-EIS);Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, QZSS;No;No;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 3090 mAh, non-removable;Black;SH-C02;About 210 EUR;;;Corning Gorilla Glass 5;;HDR;;;;;;;;;
https://www.gsmarena.com/sharp_aquos_r3-11839.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosa3.jpg;Sharp Aquos R3;Released 2019, August;185g, 8.9mm thickness;Android 9.0, up to Android 10;128GB storage, microSDXC;9;0.8%;56,974 hits;"6.2""";1440x3120 pixels;6 GB RAM;Snapdragon 855;3200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 28, 38;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat15 1024/50 Mbps;2019, August;Available. Released 2019, August;156 x 74 x 8.9 mm (6.14 x 2.91 x 0.35 in);185 g (6.53 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IGZO IPS LCD, 1B colors, 120Hz, HDR10, Dolby Vision;6.2 inches, 94.4 cm(~81.7% screen-to-body ratio);1440 x 3120 pixels, 19.5:9 ratio (~554 ppi density);Android 9.0 (Pie), upgradable to Android 10;Qualcomm SM8150 Snapdragon 855 (7 nm);Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Adreno 640;microSDXC (uses shared SIM slot);128GB 6GB RAM;"12.2 MP, f/1.7, (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS20 MP, f/2.4, 125˚ (ultrawide), AF, OIS";Dual-LED flash, HDR, panorama;1080p@30fps;16 MP, f/2.0;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS;Yes;No;USB Type-C 3.0;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;Li-Po 3200 mAh, non-removable;Classic Black;;About 750 EUR;;IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min);Corning Gorilla Glass 5;UFS;;24-bit/192kHz audio;;;;;;;;
