Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;memoryslot;internalmemory;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;displayother;bodyother;cam1video;cam2modules;memoryother;net3g;speed;cam1features;os;cpu;optionalother;cam2video;chipset
https://www.gsmarena.com/siemens_al21-1379.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-al21.gif;Siemens AL21;Released 2005, November;78g, 19.2mm thickness;Feature phone;1.5MB storage, no card slot;11;0.1%;547,925 hits;;130x130 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2005, November;Discontinued;86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in);78 g (2.75 oz);Mini-SIM;TFT, 65K colors;;130 x 130 pixels, 1:1 ratio;No;1.5MB;No;No;No;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion 600 mAh battery;Up to 220 h;Up to 5 h;Red Temptation, Black Magic;;;;;;;;;;;;;
https://www.gsmarena.com/siemens_a31-1378.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-a31.gif;Siemens A31;Released 2005, November;85g, 17.6mm thickness;Feature phone;1.5MB storage, no card slot;12;N/A;307,842 hits;;128x128 pixels; ;;820 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2005, November;Discontinued;102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in);85 g (3.00 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;No;1.5MB;No;No;No;No;No;No;;Predictive text inputOrganizer;Removable Li-Ion 820 mAh battery;Up to 270 h;Up to 5 h;Anthracite, Ruby Red;;;;;;;;;;;;;
https://www.gsmarena.com/siemens_af51-1377.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-af51.gif;Siemens AF51;Released 2005, November;80g, 19.6mm thickness;Feature phone;No card slot;9;N/A;335,387 hits;;130x130 pixels; ;;620 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2005, November;Discontinued;79 x 41 x 19.6 mm (3.11 x 1.61 x 0.77 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;130 x 130 pixels, 1:1 ratio;No;;No;No;No;No;No;;;Predictive text inputOrganizerVoice dial;Removable Li-Ion 620 mAh battery;Up to 220 h;Up to 5 h;Panther Black, Dolphin Grey;Second external 65K colors display, CSTN (96 x 64 pixels);;;;;;;;;;;;
https://www.gsmarena.com/siemens_me75-1324.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-me75.gif;Siemens ME75;Released 2005, October;95g, 18mm thickness;Feature phone;10MB storage, no card slot;15;N/A;420,844 hits;;132x176 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, October;Discontinued;105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in);95 g (3.35 oz);Mini-SIM;TFT, 65K colors;;132 x 176 pixels, 4:3 ratio;No;10MB;VGA;No;No;No;No;Proprietary;;OrganizerSyncMLVoice memoPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 450 h;Up to 8 h;Amazon Green, Atlas Grey;;Dust, shock and splash resistant;Yes;No;;;;;;;;;
https://www.gsmarena.com/siemens_ap75-1326.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif;Siemens AP75;Released 2005, October;86g, 18mm thickness;Feature phone;No card slot;8;N/A;227,950 hits;;128x128 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, October;Discontinued;102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in);86 g (3.03 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;No;;CIF;No;Yes;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion 860 mAh battery;Up to 161 h;Up to 5 h 40 min;Cosmic Grey;5-way navigation key;;No;No;500 KB free memory;;;;;;;;
https://www.gsmarena.com/siemens_ax72-1327.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif;Siemens AX72;Released 2005, October;79g, 17.5mm thickness;Feature phone;No card slot;14;N/A;302,508 hits;;128x128 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2005, October;Discontinued;105.6 x 46.8 x 17.5 mm (4.16 x 1.84 x 0.69 in);79 g (2.79 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;No;;No;No;No;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion 600 mAh battery;Up to 220 h;Up to 5 h;Basalt Black;5-way navigation key;;;;1.5 MB free memory;;;;;;;;
https://www.gsmarena.com/siemens_sg75-1288.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif;Siemens SG75;Cancelled;123g, 23mm thickness;Feature phone;70MB storage, RS-MMC slot;8;N/A;314,663 hits;"2.0""";176x220 pixels; ;;920 mAh Li-Po;GSM 900 / 1800 / 1900;;;2005, Sep;Cancelled;98 x 49.5 x 23 mm, 104 cc (3.86 x 1.95 x 0.91 in);123 g (4.34 oz);Mini-SIM;TFD, 256K colors;2.0 inches, 30 x 40 mm, 12.6 cm(~26.0% screen-to-body ratio);176 x 220 pixels (~141 ppi density);RS-MMC;70MB;1.3 MP;No;Yes;No;No;Proprietary;;Video telephonyMP3 playerPredictive text inputOrganizer;Removable Li-Po 920 mAh battery;Up to 325 h;Up to 3 h 20 min;Metallic White;;;Yes;CIF videocall camera;;UMTS 2100;Yes, 384 kbps;;;;;;
https://www.gsmarena.com/siemens_sfg75-1289.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif;Siemens SFG75;Released 2005, Sep;110g, 24mm thickness;Feature phone;32MB storage, miniSD slot;8;N/A;183,413 hits;"2.0""";176x220 pixels; ;;840 mAh Li-Ion;GSM 900 / 1800;;;2005, Sep;Discontinued;90 x 45 x 24 mm, 97 cc (3.54 x 1.77 x 0.94 in);110 g (3.88 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 30 x 40 mm, 12.6 cm(~31.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);miniSD;32MB;1.3 MP;No;Yes;No;No;Proprietary;;Video telephonyMP3/MP4 playerPredictive text inputOrganizer;Removable Li-Ion 840 mAh battery;Up to 250 h;Up to 3 h;Silver Black;Second CSTN display (96 x 96 pixels), 65K colorsWallpapersDownloadable pictures;;Yes;CIF videocall camera;;UMTS 2100;Yes, 384 kbps;LED flash;;;;;
https://www.gsmarena.com/siemens_cc75-1247.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif;Siemens CC75;Cancelled;80g, 12.6mm thickness;Feature phone;3MB storage, no card slot;8;N/A;193,867 hits;;128x160 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, August;Cancelled;111 x 44 x 12.6 mm, 65 cc (4.37 x 1.73 x 0.50 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;No;3MB;No;No;No;No;No;Proprietary;;Predictive text inputOrganizerBirthday reminderVoice memo;Removable Li-Ion 800 mAh battery (EBA-720);Up to 270 h;Up to 3 h 30 min;Aluminium Silver;5-way navigation key;;;;;;;;;;;;
https://www.gsmarena.com/siemens_cf110-1248.php;https://fdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif;Siemens CF110;Released 2005, August;76.5g, 18mm thickness;Feature phone;1.5MB storage, no card slot;9;N/A;342,908 hits;;130x130 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2005, August;Discontinued;83 x 45 x 18 mm, 68 cc (3.27 x 1.77 x 0.71 in);76.5 g (2.68 oz);Mini-SIM;TFT, 65K colors;;130 x 130 pixels, 1:1 ratio;No;1.5MB;No;No;No;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion 600 mAh battery (EBA-160);Up to 220 h;Up to 5 h;Moonlight Silver, Midnight Blue;;;;;;;;;;;;;
