Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;price;displayother;models;cam2video;batstandby1;battalktime1;batmusicplayback1;memoryother;gprstext;edge;optionalother
https://www.gsmarena.com/sonim_xp5plus-11710.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5plus.jpg;Sonim XP5plus;Released 2022, July 15;275g, 21mm thickness;Sonim OS;16GB storage, microSDXC;1;0.2%;17,369 hits;"2.8""";240x320 pixels;2 GB RAM;Snapdragon 662;3500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 25, 26, 29, 30, 39, 40, 41, 66, 71;HSPA, LTE;2022, July 15;Available. Released 2022, July 15;148.7 x 65.9 x 21 mm (5.85 x 2.59 x 0.83 in);275 g (9.70 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)IPX9K water ingress protectionMIL-STD-810H;TFT LCD;2.8 inches, 24.3 cm(~24.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Corning Gorilla Glass 3;Sonim OS (based on AOSP Android 11);Qualcomm SM6115 Snapdragon 662 (11 nm);Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Adreno 610;microSDXC;16GB 2GB RAM;8 MP;LED flash;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C;Accelerometer, barometer;Top-mount PTT control knobs (optional);Li-Ion 3500 mAh, removable;Black;About 300 EUR;;;;;;;;;;
https://www.gsmarena.com/sonim_xp3plus-11707.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3plus.jpg;Sonim XP3plus;Released 2021, September;220g, 28mm thickness;Sonim OS;16GB storage, microSDXC;3;0.2%;15,046 hits;"2.8""";240x320 pixels;2 GB RAM;Snapdragon 662;2300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 13, 14, 25, 26, 30, 39, 40, 41, 66, 71;HSPA, LTE;2021, September;Available. Released 2021, September;116 x 60 x 28 mm (4.57 x 2.36 x 1.10 in);220 g (7.76 oz);Nano-SIM;IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H;TFT LCD;2.8 inches, 24.3 cm(~34.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;Sonim OS (based on AOSP Android 11);Qualcomm SM6115 Snapdragon 662 (11 nm);Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Adreno 610;microSDXC (dedicated slot);16GB 2GB RAM;8 MP;LED flash;;;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO;No;FM Radio;USB Type-C;Accelerometer, barometer;;Li-Ion 2300 mAh, removable;Black;About 240 EUR;Cover display:IPS LCD, 1.3 inches, 240 x 240 pixels;;;;;;;;;
https://www.gsmarena.com/sonim_xp3-11708.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-2019-th.jpg;Sonim XP3;Released 2019, March;195g, 27mm thickness;Sonim OS;8GB storage, microSDXC;3;0.1%;8,766 hits;"2.6""";240x320 pixels;1 GB RAM;Snapdragon 210;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 2, 3, 4, 5, 8, 12, 13, 14, 25, 26, 38, 41, 66;HSPA, LTE;2019, March;Available. Released 2019, March;112 x 58 x 27 mm (4.41 x 2.28 x 1.06 in);195 g (6.88 oz);Nano-SIM;IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G;TFT LCD;2.6 inches, 20.9 cm(~32.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~154 ppi density);;Sonim OS (based on AOSP Android 8.1);Qualcomm MSM8909 Snapdragon 210 (28 nm);Quad-core 1.1 GHz Cortex-A7;Adreno 304;microSDXC (dedicated slot);8GB 1GB RAM;5 MP;LED flash;;;Wi-Fi 802.11 a/b/g/n/r, dual-band;4.2, A2DP, LE;GPS, GLONASS, GALILEO;No;FM Radio;USB Type-C;Barometer;;Li-Ion 1500 mAh, removable;Black;About 190 EUR;Cover display:TN LCD, 1.08 inches, 96 x 96 pixels;;;;;;;;;
https://www.gsmarena.com/sonim_xp5s-11709.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5s.jpg;Sonim XP5s;Released 2018, December 21;260g, 23mm thickness;Sonim OS;16GB storage, microSDXC;1;0.1%;10,310 hits;"2.64""";320x432 pixels;2 GB RAM;Snapdragon 427;3180 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 25, 26, 28, 30, 38, 41, 66;HSPA, LTE;2018, December 21;Available. Released 2018, December 21;141 x 64 x 23 mm (5.55 x 2.52 x 0.91 in);260 g (9.17 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G;TFT LCD;2.64 inches, 21.5 cm(~23.8% screen-to-body ratio);320 x 432 pixels, 4:3 ratio (~204 ppi density);Corning Gorilla Glass 1;Sonim OS (based on AOSP Android 8.1);Qualcomm MSM8920 Snapdragon 427 (28 nm);Quad-core 1.4 GHz Cortex-A53;Adreno 308;microSDXC;16GB 2GB RAM;5 MP;LED flash;720p@30fps;;Wi-Fi 802.11 a/b/g/n/ac/e/k/r/h, dual-band;4.2, A2DP, EDR, LE;GPS, GLONASS;No;FM radio;USB Type-C;Accelerometer, barometer;;Li-Ion 3180 mAh, removable;Black;About 340 EUR;;XP5800;;;;;;;;
https://www.gsmarena.com/sonim_xp8-9147.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp8.jpg;Sonim XP8;Released 2018, May;335g, 18mm thickness;Android 7.0;64GB storage, microSDXC;25;0.3%;337,132 hits;"5.0""";1080x1920 pixels;4 GB RAM;Snapdragon 630;4900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps;2018, April;Available. Released 2018, May;152 x 79.5 x 18 mm (5.98 x 3.13 x 0.71 in);335 g (11.82 oz);Dual SIM (Nano-SIM, dual stand-by);IP69 dust proof and water resistant over 1 meter and 30 minutesMIL-STD-810G;IPS LCD;5.0 inches, 68.9 cm(~57.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Corning Gorilla Glass 3;Android 7.0 (Nougat);Qualcomm SDM630 Snapdragon 630 (14 nm);Octa-core 2.2 GHz Cortex-A53;Adreno 508;microSDXC;64GB 4GB RAM;12 MP, PDAF;LED flash, HDR, panorama;1080p@30fps;8 MP;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, EDR, LE;GPS, GLONASS;Yes;FM radio;USB Type-C 2.0, magnetic connector;Accelerometer, gyro, proximity, compass, barometer;;Li-Ion 4900 mAh, removable;Black;About 700 EUR;;XP8800;1080p@30fps;Up to 720 h;Up to 30 h;Up to 70 h;;;;
https://www.gsmarena.com/sonim_xp7-6828.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp7.jpg;Sonim XP7;Released 2015, April;290g, 20.8mm thickness;Android 4.4.2;16GB storage, no card slot;19;0.1%;465,751 hits;"4.0""";480x800 pixels;1 GB RAM;Snapdragon 400;4800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 4, 5, 7, 8, 12, 17;HSPA, LTE;2014, November. Released 2015, April;Discontinued;137 x 72.1 x 20.8 mm (5.39 x 2.84 x 0.82 in);290 g (10.23 oz);Micro-SIM;IP69 dust proof and water resistant over 1 meter and 30 minutes;IPS LCD;4.0 inches, 45.5 cm(~46.1% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Corning Gorilla Glass 2;Android 4.4.2 (KitKat);Qualcomm MSM8926 Snapdragon 400 (28 nm);Quad-core 1.2 GHz Cortex-A7;Adreno 305;No;16GB 1GB RAM;8 MP, AF;LED flash;1080p@30fps;1 MP;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;4.0, A2DP, LE;GPS, GLONASS;Yes;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 4800 mAh, non-removable;Black, Yellow;About 700 EUR;;XP7700;;Up to 1000 h;Up to 40 h;;eMMC 4.5;;;
https://www.gsmarena.com/sonim_xp6-7224.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp6.jpg;Sonim XP6;Released 2014, December;270g, 20.5mm thickness;Android 4.4.2;16GB storage, no card slot;7;N/A;197,761 hits;"2.63""";320x432 pixels;1 GB RAM;Snapdragon 400;4800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 4, 5, 7, 8, 12, 17;HSPA, LTE;2014, November. Released 2014, December;Discontinued;137 x 64.5 x 20.5 mm (5.39 x 2.54 x 0.81 in);270 g (9.52 oz);Micro-SIM;MIL-STD-810G compliantIP68/IP69 dust/water resistant (up to 1.8m for 30 min)Drop-to-concrete resistance from up to 2mOperational range -20°C to +55°CFlashlight;IPS LCD;2.63 inches, 21.3 cm(~24.2% screen-to-body ratio);320 x 432 pixels, 4:3 ratio (~204 ppi density);Yes;Android 4.4.2 (KitKat);Qualcomm MSM8926 Snapdragon 400 (28 nm);Quad-core 1.2 GHz Cortex-A7;Adreno 305;No;8GB 1GB RAM;5 MP;;720p@30fps;No;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;4.0, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 4800 mAh, non-removable;Black;About 490 EUR;;;;Up to 1080 h;Up to 40 h;;eMMC 4.5;;;
https://www.gsmarena.com/sonim_xp3400_armor-4256.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3400-armor.jpg;Sonim XP3400 Armor;Released 2012, Q1;185g, 25mm thickness;Feature phone;microSDHC slot;8;N/A;250,810 hits;"2.0""";240x320 pixels; ;QSC6085;1750 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;2011, Q3. Released 2012, Q1;Discontinued;126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in);185 g (6.53 oz);Mini-SIM;MIL-STD-810G compliantIP68 dust/water resistant (up to 2m for 60 min)Drop-to-concrete resistance from up to 2mOperational range -20°C to +55°CFlashlight;TFT, 65K colors;2.0 inches, 12.4 cm(~16.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Corning Gorilla Glass;;Qualcomm QSC6085;;;microSDHC (dedicated slot);;2 MP;LED flash;Yes;No;No;2.1, A2DP, EDR;GPS, A-GPS;;FM radio;2.0;;OrganizerMP3/WAV/AAC playerMP4/H.263 playerVoice memoStopwatchCount-down timerFile manager;Removable Li-Ion 1750 mAh battery;Black, Black/Yellow;;;;;Up to 850 h;Up to 9 h 30 min;;;;;
https://www.gsmarena.com/sonim_xp5300_force_3g-4255.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5300-force-3g.jpg;Sonim XP5300 Force 3G;Released 2011, August;185g, 25mm thickness;Feature phone;microSDHC slot;9;N/A;191,159 hits;"2.0""";240x320 pixels; ;;1950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 1700 / 2100;;Yes, 384 kbps;2011, August;Discontinued;126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in);185 g (6.53 oz);Mini-SIM;MIL-STD-810G compliantIP68 dust/water resistant (up to 2m for 60 min)Drop-to-concrete resistance from up to 2mOperational range -20°C to +55°CFlashlight;TFT, 65K colors;2.0 inches, 12.4 cm(~16.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Corning Gorilla Glass;;;;;microSDHC (dedicated slot);;2 MP;LED flash;Yes;No;No;2.1, A2DP, EDR;GPS, A-GPS;;FM radio;2.0;Accelerometer;OrganizerMP3/WAV/AAC playerMP4/H.263 playerVoice memoStopwatchCount-down timerFile manager;Removable Li-Ion 1950 mAh battery;Black, Black/Yellow;;;;;Up to 1500 h;Up to 22 h (2G) / Up to 12 h (3G);;;;;
https://www.gsmarena.com/sonim_xp3340_sentinel-4254.php;https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3340-sentinel.jpg;Sonim XP3340 Sentinel;Released 2011, August;185g, 25mm thickness;MediaTek MT6235 platform;microSDHC slot;9;N/A;104,534 hits;"2.0""";240x320 pixels; ;;1750 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2011, August;Discontinued;126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in);185 g (6.53 oz);Mini-SIM;MIL-STD-810G compliantIP68 dust/water resistant (up to 2m for 60 min)Drop-to-concrete resistance from up to 2mOperational range -20°C to +55°CFlashlight;TFT, 65K colors;2.0 inches, 12.4 cm(~16.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Corning Gorilla Glass;MediaTek MT6235 platform;;;;microSDHC (dedicated slot);;2 MP;LED flash;Yes;No;No;2.1, A2DP;GPS, A-GPS;;FM radio;2.0;Accelerometer;OrganizerMP3/WAV/AAC playerMP4/H.263 playerVoice memoStopwatchCount-down timerFile manager;Removable Li-Ion 1750 mAh battery;Black, Black/Yellow;;;;;Up to 800 h;Up to 24 h;;;Class 12;Class 12;
