Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;batmusicplayback1;colors;sar-eu;price;cam2video;batlife;displayother;bodyother;sar-us;gprstext;edge;models;optionalother;memoryother
https://www.gsmarena.com/sony_ericsson_xperia_arc_s-4134.php;https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-xperia-arc-s.jpg;Sony Ericsson Xperia Arc S;Released 2011, September;117g, 8.7mm thickness;Android 2.3.4, 4.0.4, not up to 4.1;1GB storage, microSDHC slot;381;0.7%;17,008,514 hits;"4.2""";480x854 pixels;512 MB RAM;Snapdragon S2;1500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100  - LT18i;HSPA 14.4/5.76 Mbps;2011, August. Released 2011, September;Discontinued;125 x 63 x 8.7 mm (4.92 x 2.48 x 0.34 in);117 g (4.13 oz);Mini-SIM;LED-backlit LCD,;4.2 inches, 48.6 cm(~61.7% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~233 ppi density);Scratch-resistant glass;Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean);Qualcomm MSM8255T Snapdragon S2;1.4 GHz Scorpion;Adreno 205;microSDHC (dedicated slot), 8 GB included;1GB (320MB user available), 512MB RAM;8 MP, AF;LED flash, panorama;720p@30fps;No;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP, EDR;"GPS, A-GPS; GLONASS";Stereo FM radio, RDS;microUSB 2.0, OTG;Accelerometer, proximity, compass;ANT+HDMI portMP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionNeoReader barcode scannerDocument viewerVoice memo/dial/commandsPredictive text input;Removable Li-Po 1500 mAh battery;Up to 460 h (2G) / Up to 460 h (3G);Up to 7 h 25 min (2G) / Up to 7 h 35 min (3G);Up to 37 h;Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink;0.66 W/kg (head);About 210 EUR;;;;;;;;;;
https://www.gsmarena.com/sony_ericsson_xperia_neo_v-4122.php;https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-xperia-neo-v.jpg;Sony Ericsson Xperia neo V;Released 2011, October;126g, 13mm thickness;Android 2.3.4, up to 4.0;1GB storage, microSDHC slot;165;0.2%;9,019,324 hits;"3.7""";480x854 pixels;512 MB RAM;Snapdragon S2;1500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100 - MT11i;HSPA 7.2/5.76 Mbps;2011, August. Released 2011, October;Discontinued;116 x 57 x 13 mm (4.57 x 2.24 x 0.51 in);126 g (4.44 oz);Mini-SIM;LED-backlit LCD,;3.7 inches, 37.7 cm(~57.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~265 ppi density);Scratch-resistant glass;Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich);Qualcomm MSM8255 Snapdragon S2;1.0 GHz Scorpion;Adreno 205;microSDHC (dedicated slot), 2 GB included;1GB (320MB user available), 512MB RAM;5 MP, AF;LED flash, panorama;720p@30fps;VGA;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP, EDR;GPS, A-GPS;Stereo FM radio, RDS;microUSB 2.0, OTG;Accelerometer, proximity, compass;ANT+HDMI portMP4/H.264/WMV playerMP3/WMA/WAV/eAAC+ playerTrackID music recognitionOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (T9 Trace);Removable Li-Po 1500 mAh battery;Up to 430 h (2G) / Up to 400 h (3G);Up to 6 h 55 min (2G) / Up to 7 h (3G);Up to 31 h;White, Blue Gradient, Silver;1.10 W/kg (head);About 150 EUR;;;;;;;;;;
https://www.gsmarena.com/sony_ericsson_live_with_walkman-4111.php;https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-live-with-walkman.jpg;Sony Ericsson Live with Walkman;Released 2011, October;115g, 14.2mm thickness;Android 2.3, up to 4.0;320MB 512MB RAM storage, microSDHC slot;210;0.3%;7,704,485 hits;"3.2""";320x480 pixels;512 MB RAM;Snapdragon S2;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100 - WT19i;HSPA 7.2/5.76 Mbps;2011, August. Released 2011, October;Discontinued;106 x 56.5 x 14.2 mm (4.17 x 2.22 x 0.56 in);115 g (4.06 oz);Mini-SIM;TFT;3.2 inches, 30.5 cm(~50.9% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Scratch-resistant glass;Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich);Qualcomm MSM8255 Snapdragon S2;1.0 GHz Scorpion;Adreno 205;microSDHC (dedicated slot), 2 GB included;320MB 512MB RAM;5 MP, AF;LED flash;720p;VGA;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP, EDR;GPS, A-GPS;Stereo FM radio, RDS;microUSB 2.0, OTG;Accelerometer, proximity, compass;ANT+MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionDocument editorVoice memoPredictive text input;Removable Li-Ion 1200 mAh battery;Up to 350 h (2G) / Up to 400 h (3G);Up to 14 h 15 min (2G) / Up to 6 h 42 min (3G);Up to 17 h 30 min;Black, White;1.00 W/kg (head);About 120 EUR;;;;;;;;;;
https://www.gsmarena.com/sony_ericsson_xperia_ray-3972.php;https://fdn2.gsmarena.com/vv/bigpic/se-xperia-ray-ofic.jpg;Sony Ericsson Xperia ray;Released 2011, August;100g, 9.4mm thickness;Android 2.3, up to 4.0.4;1GB storage, microSDHC slot;244;0.3%;11,052,824 hits;"3.3""";480x854 pixels;512 MB RAM;Snapdragon S2;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100 - ST18i;HSPA 7.2/5.76 Mbps;2011, June. Released 2011, August;Discontinued;111 x 53 x 9.4 mm (4.37 x 2.09 x 0.37 in);100 g (3.53 oz);Mini-SIM;LED-backlit LCD,;3.3 inches, 30.0 cm(~51.0% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~297 ppi density);Scratch-resistant glass;Android 2.3 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich);Qualcomm MSM8255 Snapdragon S2;1.0 GHz Scorpion;Adreno 205;microSDHC (dedicated slot), 4 GB included;1GB (300MB user available), 512MB RAM;8 MP, AF;LED flash;720p;VGA;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP, EDR;GPS, A-GPS;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;ANT+MP4/H.264 playerMP3/WAV playerTrackID music recognitionSensMeDocument viewerVoice memoPredictive text input;Removable Li-Ion 1500 mAh battery;Up to 430 h (2G) / Up to 440 h (3G);Up to 6 h 50 min (2G) / Up to 7 h (3G);Up to 36 h;Black, Gold, White, Pink;0.96 W/kg (head);About 170 EUR;;;Touch sensitive controls;;;;;;;
https://www.gsmarena.com/sony_ericsson_xperia_active-3998.php;https://fdn2.gsmarena.com/vv/bigpic/Sony-Ericsson-Xperia-active1.jpg;Sony Ericsson Xperia active;Released 2011, October;110.8g, 16.5mm thickness;Android 2.3, up to 4.0;1GB storage, microSDHC slot;90;0.1%;3,584,899 hits;"3.0""";320x480 pixels;512 MB RAM;Snapdragon S2;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;HSPA 7.2/5.76 Mbps;2011, June. Released 2011, October;Discontinued;92 x 55 x 16.5 mm (3.62 x 2.17 x 0.65 in);110.8 g (3.88 oz);Mini-SIM;LED-backlit LCD,;3.0 inches, 26.8 cm(~53.0% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~192 ppi density);Scratch-resistant glass;Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich);Qualcomm MSM8255 Snapdragon S2;1.0 GHz Scorpion;Adreno 205;microSDHC (dedicated slot), 2 GB included;1GB (320MB user available), 512MB RAM;5 MP, AF;LED flash;720p;No;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP, EDR;GPS, A-GPS;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;ANT+MP4/H.264 playerMP3/eAAC+/WAV playerTrackID music recognitionDocument viewerVoice memoPredictive text input;Removable Li-Ion 1200 mAh battery;Up to 351 h (2G) / Up to 335 h (3G);Up to 4 h 53 min (2G) / Up to 5 h 31 min (3G);Up to 25 h;Orange/Black, White/Black;;About 170 EUR;;;Touch sensitive controls;IP67 dust/water resistant (up to 1m for 30 min)Flashlight;1.12 W/kg (head)     1.07 W/kg (body);;;;;
https://www.gsmarena.com/sony_ericsson_txt-3999.php;https://fdn2.gsmarena.com/vv/bigpic/se-txt-ofic.jpg;Sony Ericsson txt;Released 2011, October;95g, 14.5mm thickness;Feature phone;120MB storage, microSDHC slot;50;0.1%;1,507,761 hits;"2.55""";320x240 pixels;64 MB RAM;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2011, June. Released 2011, October;Discontinued;106 x 60 x 14.5 mm (4.17 x 2.36 x 0.57 in);95 g (3.35 oz);Mini-SIM;TFT,  256K colors;2.55 inches, 20.1 cm(~31.7% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~157 ppi density);Scratch-resistant glass;;;;;microSDHC (dedicated slot);120MB (100MB user available), 64MB RAM;3.15 MP;fixed-focus;Yes;No;Wi-Fi 802.11 b/g;2.1, A2DP, EDR;No;Stereo FM radio, RDS;microUSB 2.0;;SNS integration with native Facebook and Twitter clientsMP4/H.264 playerMP3/eAAC+/WAV playerTrackID music recognitionVoice memoPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 416 h;Up to 3 h 12 min;Up to 23 h;Black, Blue, White, Pink;0.92 W/kg (head);About 60 EUR;;;;;;Up to 60 kbps;Up to 177 kbps;;;
https://www.gsmarena.com/sony_ericsson_mix_walkman-3984.php;https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-mix-walkman.jpg;Sony Ericsson Mix Walkman;Released 2011, August;88g, 14.3mm thickness;Feature phone;256MB storage, microSDHC slot;57;0.1%;3,431,423 hits;"3.0""";240x400 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - WT13i;;;2011, June. Released 2011, August;Discontinued;95.8 x 52.8 x 14.3 mm (3.77 x 2.08 x 0.56 in);88 g (3.10 oz);Mini-SIM;TFT, 256K colors;3.0 inches, 25.6 cm(~50.6% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);Scratch-resistant glass;;;;;microSDHC (dedicated slot);256MB (100MB user available);3.15 MP;;320p;No;Wi-Fi 802.11 b/g;2.1, A2DP;No;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity;SNS integrationWalkman player (MP3/eAAC+/WMA/MP4/H.263)SensMeTrackID music recognitionDocument viewerVoice memoPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 465 h;Up to 9 h 40 min;Up to 13 h;Black with pink cloud band, Black with pink band, Black with green bird band, Black with green band;0.91 W/kg (head);About 70 EUR;;;;;;Up to 115 kbps;Up to 200 kbps;;;
https://www.gsmarena.com/sony_ericsson_txt_pro-3983.php;https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-txt-pro.jpg;Sony Ericsson txt pro;Released 2011, July;100g, 18mm thickness;Feature phone;100MB 64MB RAM storage, microSDHC slot;50;0.1%;2,677,004 hits;"3.0""";240x400 pixels;64 MB RAM;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2011, June. Released 2011, July;Discontinued;93 x 52 x 18 mm (3.66 x 2.05 x 0.71 in);100 g (3.53 oz);Mini-SIM;TFT, 256K colors;3.0 inches, 25.6 cm(~53.0% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);Scratch-resistant glass;;;PNX-4910;;microSDHC (dedicated slot);100MB 64MB RAM;3.15 MP;;320p;No;Wi-Fi 802.11 b/g;2.1, A2DP;No;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity;SNS integrationMP4/H.263 playerMP3/eAAC+/WAV/WMA playerTrackID music recognitionDocument viewerVoice memoPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 400 h;Up to 5 h 10 min;;Black, White, Pink;0.80 W/kg (head);About 80 EUR;;;;;;Up to 85.6 kbps;Up to 236.8 kbps;;;
https://www.gsmarena.com/sony_ericsson_xperia_mini-3947.php;https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-ofic.jpg;Sony Ericsson Xperia mini;Released 2011, August;99g, 16mm thickness;Android 2.3, up to 4.0;512MB RAM storage, microSDHC slot;141;0.2%;7,627,166 hits;"3.0""";320x480 pixels;512 MB RAM;Snapdragon S2;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;HSPA 7.2/5.76 Mbps;2011, May. Released 2011, August;Discontinued;88 x 52 x 16 mm (3.46 x 2.05 x 0.63 in);99 g (3.49 oz);Mini-SIM;LED-backlit LCD,;3.0 inches, 26.8 cm(~58.6% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~192 ppi density);Scratch-resistant glass;Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich);Qualcomm MSM8255 Snapdragon S2;1.0 GHz Scorpion;Adreno 205;microSDHC (dedicated slot), 2 GB included;512MB RAM, 320MB;5 MP, AF;LED flash;720p;No;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP;GPS, A-GPS;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;ANT+MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionDocument viewerVoice memoPredictive text input;Removable Li-Ion 1200 mAh battery;Up to 340 h (2G) / Up to 320 h (3G);Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G);Up to 25 h;Black, White, Blue, Dark pink;0.78 W/kg (head);About 120 EUR;;;;;;;;ST15i;;
https://www.gsmarena.com/sony_ericsson_xperia_mini_pro-3713.php;https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-pro-ofic.jpg;Sony Ericsson Xperia mini pro;Released 2011, August;136g, 18mm thickness;Android 2.3, 4.0, not up to 4.1;512MB RAM storage, microSDHC slot;152;0.2%;6,231,513 hits;"3.0""";320x480 pixels;512 MB RAM;Snapdragon S2;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;HSPA 7.2/5.76 Mbps;2011, May. Released 2011, August;Discontinued;92 x 53 x 18 mm (3.62 x 2.09 x 0.71 in);136 g (4.80 oz);Mini-SIM;LED-backlit LCD,;3.0 inches, 26.8 cm(~55.0% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~192 ppi density);Scratch-resistant glass;Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean);Qualcomm MSM8255 Snapdragon S2;1.0 GHz Scorpion;Adreno 205;microSDHC (dedicated slot), 2 GB included;512MB RAM, 400MB;5 MP, AF;LED flash;720p;VGA;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP;GPS, A-GPS;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;ANT+MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerTrackID music recognitionDocument viewerVoice memoPredictive text input;Removable Li-Ion 1200 mAh battery;Up to 331 h (2G) / Up to 340 h (3G);Up to 5 h 40 min (2G) / Up to 5 h 25 min (3G);Up to 29 h;Black, White, Pink, Turquoise;0.46 W/kg (head);About 140 EUR;;;;;;;;;;
