Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;memoryother;cam2features;batstandby1;battalktime1;featuresother;sar-eu;gprstext;edge;sar-us;displayprotection;optionalother;displayother
https://www.gsmarena.com/t_mobile_revvl_6_pro-11938.php;https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl6-pro.jpg;T-Mobile REVVL 6 Pro;Released 2022, July 28;214g, 9mm thickness;Android 12;128GB storage, microSDXC;9;0.6%;35,160 hits;"6.82""";720x1640 pixels;6 GB RAM;Dimensity 700;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 71;25, 41, 66, 71, 77 SA/NSA;HSPA, LTE, 5G;2022, July 28;Available. Released 2022, July 28;173.9 x 77.8 x 9 mm (6.85 x 3.06 x 0.35 in);214 g (7.55 oz);Nano-SIM;Splash resistant;IPS LCD;6.82 inches, 110.5 cm(~81.6% screen-to-body ratio);720 x 1640 pixels (~263 ppi density);Android 12;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC;128GB 6GB RAM;50 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (depth)2 MP, (macro);LED flash, HDR, panorama;1080p@30fps;16 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS;Yes;No;USB Type-C 2.0;Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer;Li-Ion 5000 mAh, non-removable;Dark Shadow;TMAF035G;About 220 EUR;;;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvl_6-11937.php;https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl6.jpg;T-Mobile REVVL 6;Released 2022, July 28;194g, 8.8mm thickness;Android 12;64GB storage, microSDXC;2;0.3%;18,361 hits;"6.52""";720x1600 pixels;4 GB RAM;Dimensity 700;4500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 71;25, 41, 66, 71, 77 SA/NSA;HSPA, LTE, 5G;2022, July 28;Available. Released 2022, July 28;166.6 x 76.4 x 8.8 mm (6.56 x 3.01 x 0.35 in);194 g (6.84 oz);Nano-SIM;Splash resistant;IPS LCD;6.52 inches, 102.6 cm(~80.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC;64GB 4GB RAM;13 MP, (wide), AF2 MP, (depth)2 MP, (macro);LED flash, HDR, panorama;1080p@30fps;5 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS;No;No;USB Type-C 2.0;Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer;Li-Ion 4500 mAh, non-removable;Blue;TMAF025G;About 170 EUR;;;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvl_v+_5g-10997.php;https://fdn2.gsmarena.com/vv/bigpic/t‑mobile-revvl-v-plus-5g.jpg;T-Mobile REVVL V+ 5G;Released 2021, July 12;7.1mm thickness;Android 11;64GB storage, Unspecified;32;0.5%;192,893 hits;"6.82""";720x1640 pixels;4 GB RAM;Dimensity 700;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 25, 26, 41, 66, 71;25, 41, 66, 71 SA/NSA;HSPA, LTE, 5G;2021, July 01;Available. Released 2021, July 12;173.7 x 77.5 x 7.1 mm (6.84 x 3.05 x 0.28 in);-;Nano-SIM;;IPS LCD;6.82 inches, 112.3 cm(~83.4% screen-to-body ratio);720 x 1640 pixels, 20:9 ratio (~257 ppi density);Android 11;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;Unspecified;64GB 4GB RAM;16 MP, (wide), AF5 MP, (ultrawide)2 MP;LED flash, HDR, panorama;1080p@30fps;16 MP;1080p@30fps;Yes;Yes;GPS;Yes;No;Yes;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Nebula Black;;About 170 EUR;;;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvl_5g-10486.php;https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-5g.jpg;T-Mobile REVVL 5G;Released 2020, September 04;215g, 9.4mm thickness;Android 10;128GB storage, microSDXC;19;0.3%;162,305 hits;"6.53""";1080x2340 pixels;6 GB RAM;Snapdragon 765 5G;4500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71;2, 25, 41, 66, 71 SA/NSA;HSPA, LTE, 5G;2020, August 27;Available. Released 2020, September 04;165.4 x 76.2 x 9.4 mm (6.51 x 3.00 x 0.37 in);215 g (7.58 oz);Nano-SIM;;IPS LCD;6.53 inches, 104.7 cm(~83.1% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density);Android 10;Qualcomm SM7250 Snapdragon 765 5G (7 nm);Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver);Adreno 620;microSDXC;128GB 6GB RAM;"48 MP, (wide), 1/2.0"", 0.8µm, PDAF8 MP, (ultrawide)5 MP, (macro)";Dual-LED flash, HDR, panorama;4K@30fps, 1080p@30fps;16 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS;Yes;No;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 4500 mAh, non-removable;Nebula Black;T790W, T790Z;About 340 EUR;;;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvl_4+-10485.php;https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-plus.jpg;T-Mobile REVVL 4+;Released 2020, September 04;180g, 8.1mm thickness;Android 10;64GB storage, microSDXC;7;0.2%;91,811 hits;"6.52""";720x1440 pixels;4 GB RAM;Snapdragon 665;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71;;HSPA, LTE;2020, August 27;Available. Released 2020, September 04;165.4 x 75.2 x 8.1 mm (6.51 x 2.96 x 0.32 in);180 g (6.35 oz);Nano-SIM;;IPS LCD;6.52 inches, 109.7 cm(~88.2% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~247 ppi density);Android 10;Qualcomm SDM665 Snapdragon 665 (11 nm);Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Adreno 610;microSDXC;64GB 4GB RAM;16 MP, PDAF5 MP;Dual-LED dual-tone flash, HDR, panorama;1080p@30fps;16 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS;Yes;No;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 4000 mAh, non-removable;Steel Gray;5062W, 5062Z;About 160 EUR;eMMC 5.1;;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvl_4-10484.php;https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4.jpg;T-Mobile REVVL 4;Released 2020, September 04;158.5, 8.1mm thickness;Android 10;32GB storage, microSDXC;3;0.2%;90,256 hits;"6.22""";720x1520 pixels;2 GB RAM;Helio A22;3500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;2, 4, 5, 7, 12, 25, 26, 41, 66, 71;;HSPA, LTE;2020, August 27;Available. Released 2020, September 04;159 x 76 x 8.1 mm (6.26 x 2.99 x 0.32 in);158.5 (5.61 oz);Nano-SIM;;IPS LCD;6.22 inches, 96.6 cm(~79.9% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~270 ppi density);Android 10;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8300;microSDXC;32GB 2GB RAM;13 MP, PDAF;LED flash, HDR, panorama;1080p@30fps;5 MP;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;No;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3500 mAh, non-removable;Graphite;5007Z, 5007W, TMRVL4G;About 100 EUR;eMMC 5.1;;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvlry+-9764.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-plus-.jpg;T-Mobile Revvlry+;Released 2019, July;8.6mm thickness;Android 9.0;64GB storage, microSDXC;15;0.1%;129,618 hits;"6.24""";1080x2270 pixels;4 GB RAM;Snapdragon 636;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;1, 2, 3, 4, 5, 7, 12, 13, 20, 66, 71;;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps;2019, July;Available. Released 2019, July;158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in);-;Nano-SIM;IP54, dust and water resistant;IPS LCD;6.24 inches, 97.5 cm(~81.8% screen-to-body ratio);1080 x 2270 pixels, 19:9 ratio (~403 ppi density);Android 9.0 (Pie);Qualcomm SDM636 Snapdragon 636 (14 nm);Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver);Adreno 509;microSDXC (dedicated slot);64GB 4GB RAM;16 MP, f/1.7, 1.22µm, PDAF, OIS5 MP, f/2.4, (depth);Dual-LED dual-tone flash, panorama, HDR;4K@30fps, 1080p@30/60/120fps, gyro-EIS;"12 MP, (wide), 1/2.8"", 1.25µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3000 mAh, non-removable;Black;;About 310 EUR;eMMC 5.1;HDR;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvlry-9763.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-.jpg;T-Mobile Revvlry;Released 2019, July;8.1mm thickness;Android 9.0;32GB storage, microSDXC;6;0.1%;92,312 hits;"5.7""";720x1520 pixels;3 GB RAM;Snapdragon 632;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;2, 4, 5, 7, 12, 38, 66, 71;;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2019, July;Available. Released 2019, July;148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in);-;Nano-SIM;Splash resistant;IPS LCD;5.7 inches, 81.1 cm(~76.4% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~295 ppi density);Android 9.0 (Pie);Qualcomm SDM632 Snapdragon 632 (14 nm);Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver);Adreno 506;microSDXC (dedicated slot);32GB 3GB RAM;"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF";LED flash, panorama, HDR;1080p@30fps;"8 MP, f/2.2, 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Ion 3000 mAh, non-removable;Black;;About 180 EUR;eMMC 5.1;LED flash;;;;;;;;;;
https://www.gsmarena.com/t_mobile_revvl-8809.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl.jpg;T-Mobile Revvl;Released 2017, August;157.9g, 8.4mm thickness;Android 7.0;32GB storage, microSDXC;7;0.1%;195,784 hits;"5.5""";720x1280 pixels;2 GB RAM;MT6738;3000 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 1700 (AWS)/ 1900;2, 4, 5, 12, 66;;HSPA, LTE;2017, August. Released 2017, August;Discontinued;151.9 x 77 x 8.4 mm (5.98 x 3.03 x 0.33 in);157.9 g (5.64 oz);Nano-SIM;;IPS LCD;5.5 inches, 83.4 cm(~71.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 7.0 (Nougat);Mediatek MT6738;Quad-core 1.5 GHz Cortex-A53;Mali-T860MP2;microSDXC (dedicated slot);32GB 2GB RAM;13 MP, AF;LED flash, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3000 mAh, non-removable;Black;;About 110 EUR;;LED flash;Up to 288 h (3G);Up to 12 h (3G);;;;;;;;
https://www.gsmarena.com/t_mobile_prism_ii-5550.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism-ii.jpg;T-Mobile Prism II;Released 2013, June;100g, 12.4mm thickness;Android 4.1;4GB 512MB RAM storage, microSDHC slot;8;N/A;259,099 hits;"3.5""";320x480 pixels;512 MB RAM;;1750 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700 / 1900 / 2100;;;HSPA;2013, June. Released 2013, June;Discontinued;117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in);100 g (3.53 oz);Mini-SIM;;TFT;3.5 inches, 36.5 cm(~50.3% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.1 (Jelly Bean);;1.0 GHz Cortex-A5;;microSDHC (dedicated slot);4GB 512MB RAM;3.15 MP;;Yes;No;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1750 mAh, removable;Black;;About 90 EUR;;;Up to 260 h;Up to 8 h;;;;;;;;
