Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;net5g;models;memoryother;bodyother;featuresother;cam2features;optionalother;displayprotection;sar-us;gprstext;edge;displayother;batstandby1;battalktime1
https://www.gsmarena.com/tcl_40_xl-12142.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-40-xl-.jpg;TCL 40 XL;Exp. release 2023, May;;Android 13, TCL UI;128GB storage, microSDXC;5;2.9%;9,641 hits;"6.75""";720x1640 pixels;4 GB RAM;Helio G37;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual sim model only);HSDPA 850 / 1700(AWS) / 1900 - USA;2, 4, 5, 12, 13, 25, 26, 41, 66, 71 - USA;HSPA, LTE;2023, February 26;Coming soon. Exp. release 2023, May;-;-;Glass front, plastic frame, plastic back;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.75 inches, 108.2 cm;720 x 1640 pixels (~265 ppi density);Android 13, TCL UI;Mediatek MT6765 Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC;128GB 4GB RAM;50 MP, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP, (wide);1080p@30fps;Yes;Yes;GPS;Unspecified;Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Ion 5000 mAh, non-removable;Gray;About 140 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/tcl_40_x-12143.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-40-x-.jpg;TCL 40 X;Exp. release 2023, June;;Android 13, TCL UI;64GB storage, microSDXC;4;3.3%;10,354 hits;"6.56""";720x1612 pixels;4 GB RAM;Dimensity 700;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual sim model only);HSDPA 850 / 1700(AWS) / 1900 - USA;2, 4, 5, 12, 13, 25, 26, 41, 66, 71 - USA;HSPA, LTE, 5G;2023, February 26;Coming soon. Exp. release 2023, June;-;-;Glass front, plastic frame, plastic back;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.56 inches, 103.4 cm;720 x 1612 pixels, 20:9 ratio (~269 ppi density);Android 13, TCL UI;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC;64GB 4GB RAM;50 MP, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP, (wide);1080p@30fps;Yes;Yes;GPS;Unspecified;Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Ion 5000 mAh, non-removable;Black;About 190 EUR;SA/NSA;T609M;;;;;;;;;;;;
https://www.gsmarena.com/tcl_40_xe-12144.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-40-xe-.jpg;TCL 40 XE;Exp. release 2023, June;;Android 13, TCL UI;64GB storage, microSDXC;4;2.1%;7,052 hits;"6.56""";720x1612 pixels;4 GB RAM;Dimensity 700;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual sim model only);HSDPA 850 / 1700(AWS) / 1900 - USA;2, 4, 5, 12, 13, 25, 26, 41, 66, 71 - USA;HSPA, LTE, 5G;2023, February 26;Coming soon. Exp. release 2023, June;-;-;Glass front, plastic frame, plastic back;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.56 inches, 103.4 cm;720 x 1612 pixels, 20:9 ratio (~269 ppi density);Android 13, TCL UI;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC;64GB 4GB RAM;"13 MP, f/2.2, 27mm (wide) 1/3.0"", 1.12µm, PDAF2 MP, f/2.4, (depth)2 MP, f/2.4, (macro)";LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.0, 26mm (wide) 1/4.0"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Unspecified;Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer;Li-Ion 5000 mAh, non-removable;Black;About 160 EUR;SA/NSA;;eMMC 5.1;;;;;;;;;;;
https://www.gsmarena.com/tcl_tab_11-12146.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11.jpg;TCL Tab 11;Exp. release 2023, May;462g, 6.9mm thickness;Android 13;microSDXC slot;0;1.1%;3,733 hits;"10.95""";1200x2000 pixels; ;Helio P60T;8000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 17, 20, 28, 34, 38, 39, 40, 41, 66 - USA;HSPA, LTE;2023, February 26;Coming soon. Exp. release 2023, May;259 x 163.6 x 6.9 mm (10.20 x 6.44 x 0.27 in);462 g (1.02 lb);;Nano-SIM;IPS;10.95 inches, 341.3 cm(~80.5% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~213 ppi density);Android 13;Mediatek Helio P60T (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x Cortex-A53);PowerVR GE8320;microSDXC;;"8 MP, f/2.0, (wide), 1/4"", 1.12µm, AF";LED flash;1080p@30fps;"8 MP, 100˚, (ultrawide), 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;Unspecified;No;Unspecified;USB Type-C 2.0;Accelerometer, proximity (accessories only);Li-Po 8000 mAh, non-removable;Digital Lavender, Dark Gray;About 180 EUR;;9166G, 9466X;;Stylus support;;;;;;;;;;
https://www.gsmarena.com/tcl_nxtpaper_11-12145.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11.jpg;TCL NxtPaper 11;Exp. release 2023, May;462g, 6.9mm thickness;Android 13;microSDXC slot;0;1.0%;3,050 hits;"10.95""";1200x2000 pixels; ;Helio P60T;8000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;HSPA, LTE;2023, February 26;Coming soon. Exp. release 2023, May;259 x 163.6 x 6.9 mm (10.20 x 6.44 x 0.27 in);462 g (1.02 lb);;Nano-SIM;NCVM IPS;10.95 inches, 341.3 cm(~80.5% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~213 ppi density);Android 13;Mediatek Helio P60T (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x Cortex-A53);PowerVR GE8320;microSDXC;;"8 MP, f/2.0, (wide), 1/4"", 1.12µm, AF";LED flash;1080p@30fps;"8 MP, 100˚, (ultrawide), 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;Unspecified;No;Unspecified;USB Type-C 2.0;Accelerometer, proximity (accessories only);Li-Po 8000 mAh, non-removable;Digital Lavender, Dark Gray;About 240 EUR;;9466X;;Stylus support;;;;;;;;;;
https://www.gsmarena.com/tcl_406-12147.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-408.jpg;TCL 406;Released 2023, February 26;9mm thickness;Android 13;microSDXC slot;2;0.7%;2,153 hits;"6.6""";720x1612 pixels; ;;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;HSPA, LTE;2023, February 26;Available. Released 2023, February 26;-;-;;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.6 inches, 104.6 cm(~84.3% screen-to-body ratio);720 x 1612 pixels, 20:9 ratio (~267 ppi density);Android 13;;Octa-core;;microSDXC (dedicated slot);;13 MP, (wide), AF2 MP, f/2.4, (depth);LED flash;1080p@30fps;"8 MP, f/2.0, 27mm (wide), 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes (market/region dependent);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer;Li-Po 5000 mAh, non-removable;Gray;About 110 EUR;;;;;Virtual proximity sensing;;;;;;;;;
https://www.gsmarena.com/tcl_ion_x-12095.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-ion-x.jpg;TCL Ion X;Released 2023, January 26;177.4g, 8.9mm thickness;Android, TCL UI;32GB storage, microSDXC;11;0.4%;29,015 hits;"6.0""";720x1440 pixels;3 GB RAM;Helio G25;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;2, 4, 5, 12, 25, 26, 41, 66, 71;HSPA, LTE;2023, January 26;Available. Released 2023, January 26;156.5 x 75.2 x 8.9 mm (6.16 x 2.96 x 0.35 in);177.4 g (6.24 oz);;Nano-SIM;IPS LCD;6.0 inches, 92.9 cm(~78.9% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~268 ppi density);Android, TCL UI;Mediatek MT6762G Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;"13 MP, (wide) 1/3.06"", 1.12µm, PDAF";LED flash;1080p@30fps;"5 MP, (wide) 1/5.0"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.1, A2DP, LE;GPS;No;Unspecified;USB Type-C 2.0;Accelerometer;Li-Ion 3000 mAh, removable;Black;About 100 EUR;;;eMMC 5.1;;Virtual proximity sensing;;;;;;;;;
https://www.gsmarena.com/tcl_40_se-12058.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-40-se.jpg;TCL 40 SE;Exp. release 2023, Q1;190g, 8.5mm thickness;Android 13, TCL UI 5.0;128GB/256GB storage, microSDXC;8;0.8%;32,476 hits;"6.75""";720x1600 pixels;4/6 GB RAM;Helio G37;5010 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM);HSDPA 850 / 900 / 1900 / 2100 - T610K;1, 3, 5, 7, 8, 13, 20, 28, 38, 40, 41 - T610K;HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps;2023, January 05;Coming soon. Exp. release 2023, Q1;167.9 x 76.5 x 8.5 mm (6.61 x 3.01 x 0.33 in);190 g (6.70 oz);Glass front, plastic frame, plastic back;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz, 450 nits (typ);6.75 inches, 110.0 cm(~85.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~260 ppi density);Android 13, TCL UI 5.0;Mediatek MT6765 Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);128GB 4GB RAM, 256GB 6GB RAM;"50 MP, f/1.8, 26mm (wide), 1/2.55"", 0.7µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";LED flash, HDR, panorama;1080p@30fps;"8 MP, f/2.0, 26mm (wide), 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes (T610K, T610K2, T610P, T610P2);Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5010 mAh, non-removable;Dark grey, Twilight purple;About 160 EUR;;;eMMC 5.1;;;HDR;;;;;;;;
https://www.gsmarena.com/tcl_408-12060.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-408.jpg;TCL 408;Exp. release 2023, Q1;190g, 9mm thickness;Android 12;64GB/128GB storage, microSDXC;7;0.4%;14,908 hits;"6.6""";720x1612 pixels;4/6 GB RAM;Helio G25;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - T507A, T507U, T507U1, T507U2, T507J;1, 3, 5, 7, 8, 13, 20, 28, 38, 40, 41 - T507U, T507U1, T507U2;HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps;2023, January 05;Coming soon. Exp. release 2023, Q1;164.7 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in);190 g (6.70 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 400 nits (typ);6.6 inches, 104.6 cm(~84.3% screen-to-body ratio);720 x 1612 pixels, 20:9 ratio (~267 ppi density);Android 12;Mediatek MT6762G Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM;"50 MP, f/1.8, 26mm (wide), 1/2.55"", 0.7µm, PDAF2 MP, f/2.4, (depth)";LED flash;1080p@30fps;"8 MP, f/2.0, 27mm (wide), 1/4"", 1.12µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes (T507U only);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer;Li-Po 5000 mAh, non-removable;Gravity Grey, Midnight Blue;About 120 EUR;;T507D1, T507A, T507U, T507U1, T507U2, T507J;eMMC 5.1;;Virtual proximity sensing;;;;;;;;;
https://www.gsmarena.com/tcl_403-12061.php;https://fdn2.gsmarena.com/vv/bigpic/tcl-403.jpg;TCL 403;Exp. release 2023, Q1;182g, 9.6mm thickness;Android 12;32GB storage, microSDXC;1;0.3%;9,178 hits;"6.0""";480x960 pixels;1/2 GB RAM;Helio A22;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100 - T431D;1, 3, 7, 8, 20, 28 - T431D;HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps;2023, January 05;Coming soon. Exp. release 2023, Q1;159.2 x 78.2 x 9.6 mm (6.27 x 3.08 x 0.38 in);182 g (6.42 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);TFT LCD;6.0 inches, 92.9 cm(~74.6% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~179 ppi density);Android 12 (Go edition);Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 1GB RAM, 32GB 2GB RAM;"8 MP, f/2.0, 27mm (wide), 1/4"", 1.12µm, AFor5 MP, f/2.4, 27mm (wide), 1/5"", 1.12µm - T431Q only";LED flash, HDR, panorama;1080p@30fps or 720p@30fps (T431Q only);5 MP, f/2.8or2 MP, f/2.8  - T431Q only;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS, GALILEO, BDS;No;Unspecified;microUSB 2.0;Accelerometer;Li-Ion 3000 mAh;Prime Black, Mauve Mist;;;T431D, T431U, T431Q, T431P, T431A, T431E;;;;;;;;;;;;
