Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;build;models;displayprotection;cam2features;tbench;batlife;optionalother;bodyother;sar-us
https://www.gsmarena.com/tecno_phantom_v_fold-12150.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-v-fold-.jpg;Tecno Phantom V Fold;Exp. release 2023, Q2;299g, 6.9mm thickness;Android 13, HiOS 13 Fold;256GB/512GB storage, no card slot;35;24%;47,633 hits;"7.85""";2000x2296 pixels;12 GB RAM;Dimensity 9000+;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;HSPA, LTE, 5G;2023, February 28;Coming soon. Exp. release 2023, Q2;Unfolded: 159.4 x 140.4 x 6.9 mmFolded: 159.4 x 72 x 14.2-14.5 mm;299 g (10.55 oz);Dual SIM (Nano-SIM, dual stand-by);Foldable LTPO AMOLED, 1B colors, 120Hz, 1100 nits (peak);7.85 inches, 196.9 cm(~88.0% screen-to-body ratio);2000 x 2296 pixels (~388 ppi density);Cover display:LTPO AMOLED, 1B colors, 120Hz, 1100 nits (peak), Corning Gorilla Glass Victus6.42 inches, 1080 x 2550 pixels, 431 PPI;Android 13, HiOS 13 Fold;Mediatek Dimensity 9000+ (4 nm);Octa-core (1x3.20 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Mali-G710 MC10;No;256GB 12GB RAM, 512GB 12GB RAM;UFS 3.1;"50 MP, f/1.9, (wide), 1/1.3"", PDAF50 MP, (telephoto), PDAF, 2x optical zoom13 MP, 120˚ (ultrawide)";Dual-LED flash, HDR, panorama;4K@30fps, 1080p@30fps;16 MP, (wide)Cover camera:32 MP, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Black, White;About 1030 EUR;;;;;;;;;
https://www.gsmarena.com/tecno_pop_7_pro-12108.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-pop-7-pro--.jpg;Tecno Pop 7 Pro;Released 2023, January 28;8.9mm thickness;Android 12, HIOS 12;64GB storage, microSDXC;6;6.1%;107,512 hits;"6.56""";720x1612 pixels;3 GB RAM;Helio A22;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;LTE;;HSPA, LTE;2023, January 28;Available. Released 2023, January 28;163.9 x 75.5 x 8.9 mm (6.45 x 2.97 x 0.35 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.56 inches, 103.4 cm(~83.5% screen-to-body ratio);720 x 1612 pixels, 20:9 ratio (~269 ppi density);;Android 12, HIOS 12;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);64GB 3GB RAM;eMMC 5.1;13 MP, (wide), AFQVGA;Dual-LED flash, panorama, HDR;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Turquoise Cyan, Atlantic Blue;About 130 EUR;Glass front, plastic back, plastic frame;BF7;;;;;;;
https://www.gsmarena.com/tecno_spark_go_2023-12086.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-go-2023.jpg;Tecno Spark Go 2023;Released 2023, January 24;8.9mm thickness;Android 12, HIOS 12;32GB/64GB storage, microSDXC;7;6.6%;133,848 hits;"6.56""";720x1600 pixels;3/4 GB RAM;Helio A22;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;LTE;;HSPA, LTE;2023, January 19;Available. Released 2023, January 24;163.9 x 75.5 x 8.9 mm (6.45 x 2.97 x 0.35 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.56 inches, 103.9 cm(~84.0% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~267 ppi density);;Android 12, HIOS 12;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM;eMMC 5.1;13 MP, f/1.9, (wide), AFQVGA;Dual-LED flash, panorama, HDR;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS;Unspecified;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Endless Black, Nebula Purple, Uyuni Blue;About 80 EUR;;;;;;;;;
https://www.gsmarena.com/tecno_phantom_x2_pro-12010.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-x2-pro.jpg;Tecno Phantom X2 Pro;Released 2023, January 17;201g, 9mm thickness;Android 12, HIOS 12;256GB storage, no card slot;93;8.4%;431,431 hits;"6.8""";1080x2400 pixels;12 GB RAM;Dimensity 9000;5160 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66;1, 3, 8, 28, 38, 40, 41, 71, 77, 78, 79 SA/NSA/Sub6;HSPA, LTE, 5G;2022, December 07;Available. Released 2023, January 17;164.6 x 72.7 x 9 mm (6.48 x 2.86 x 0.35 in);201 g (7.09 oz);Dual SIM (Nano-SIM, dual stand-by);AMOLED, 120Hz, 500 nits;6.8 inches, 111.6 cm(~93.3% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~387 ppi density);;Android 12, HIOS 12;Mediatek Dimensity 9000 (4 nm);Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Mali-G710 MC10;No;256GB 12GB RAM;UFS 3.1;"50 MP, f/1.9, (wide), 1/1.3"", 1.2µm, PDAF50 MP, f/1.5, 65mm (telephoto), 1/2.7"", 0.64µm, PDAF, 2.5x optical zoom, retractable lens13 MP, f/2.2, (ultrawide), 1/1.3"", 1.12µm, AF";LED flash, panorama, HDR;4K@30/60fps, 1080p@30fps;"32 MP, f/2.5, (wide), 1/2.8"", 0.8µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.3, A2DP, LE;GPS;Yes;FM radio, recording;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 5160 mAh, non-removable;Stardust Gray, Mars Orange;;Glass front (Gorilla Glass Victus), aluminum frame, plastic back;AD9;Corning Gorilla Glass Victus;LED flash;AnTuTu: 961576 (v9)GeekBench: 3984 (v5.1)GFXBench: 71fps (ES 3.1 onscreen);;;;
https://www.gsmarena.com/tecno_phantom_x2-12009.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-x2.jpg;Tecno Phantom X2;Released 2023, January 09;203g, 8.9mm thickness;Android 12, HIOS 12;256GB storage, no card slot;29;3.3%;230,482 hits;"6.8""";1080x2400 pixels;8 GB RAM;Dimensity 9000;5160 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66;1, 3, 8, 28, 38, 40, 41, 71, 77, 78, 79 SA/NSA/Sub6;HSPA, LTE, 5G;2022, December 07;Available. Released 2023, January 09;164.6 x 72.7 x 8.9 mm (6.48 x 2.86 x 0.35 in);203 g (7.16 oz);Dual SIM (Nano-SIM, dual stand-by);AMOLED, 120Hz;6.8 inches, 111.6 cm(~93.3% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~387 ppi density);;Android 12, HIOS 12;Mediatek Dimensity 9000 (4 nm);Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510);Mali-G710 MC10;No;256GB 8GB RAM;UFS 3.1;"64 MP, f/1.7, (wide), PDAF, OIS13 MP, f/2.2, (ultrawide), 1/1.3"", 1.12µm, AF2 MP";LED flash, panorama, HDR;4K@30/60fps, 1080p@30fps;32 MP, f/2.5, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.3, A2DP, LE;GPS;Yes;FM radio, recording;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 5160 mAh, non-removable;Stardust Gray, Moonlight Silver;;Glass front (Gorilla Glass Victus), aluminum frame, plastic back;AD8;Corning Gorilla Glass Victus;LED flash;AnTuTu: 973623 (v9)GeekBench: 4027 (v5.1)GFXBench: 71fps (ES 3.1 onscreen);;;;
https://www.gsmarena.com/tecno_pova_4-11926.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-pova4.jpg;Tecno Pova 4;Released 2022, October 10;8.7mm thickness;Android 12, HIOS;128GB storage, Unspecified;27;5.4%;360,064 hits;"6.82""";720x1600 pixels;8 GB RAM;Helio G99;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE;;HSPA, LTE;2022, October 10;Available. Released 2022, October 10;170.6 x 77.5 x 8.7 mm (6.72 x 3.05 x 0.34 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.82 inches, 112.3 cm(~84.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~257 ppi density);;Android 12, HIOS;Mediatek MT8781 Helio G99 (6nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G52 MC2;Unspecified;128GB 8GB RAM;;50 MP, (wide), PDAFother unspecified camera;Dual LED flash;1440p@30fps, 1080p@30fps;8 MP;1080p@30fps;Yes;Yes;GPS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 6000 mAh, non-removable;Cryolite Blue, Uranolith Grey;;Glass front, plastic frame, plastic back;LG7n;;LED flash;;;;;
https://www.gsmarena.com/tecno_pova_4_pro-11925.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-pova4-pro.jpg;Tecno Pova 4 Pro;Released 2022, October 10;9.2mm thickness;Android 12, HIOS;256GB storage, no card slot;46;4.4%;414,613 hits;"6.66""";1080x2460 pixels;8 GB RAM;Helio G99;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE;;HSPA, LTE;2022, October 10;Available. Released 2022, October 10;164.8 x 77 x 9.2 mm (6.49 x 3.03 x 0.36 in);-;Dual SIM (Nano-SIM, dual stand-by);AMOLED, 90Hz;6.66 inches, 105.3 cm(~83.0% screen-to-body ratio);1080 x 2460 pixels (~403 ppi density);;Android 12, HIOS;Mediatek MT8781 Helio G99 (6nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G52 MC2;No;256GB 8GB RAM;;50 MP, (wide), PDAFother unspecified camera;Dual LED flash;1440p@30fps, 1080p@30fps;8 MP;1080p@30fps;Yes;Yes;GPS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 6000 mAh, non-removable;Fluorite Blue;;Glass front, plastic frame, plastic back;LG8n;;LED flash;;;24-bit/192kHz audio;;
https://www.gsmarena.com/tecno_pova_neo_2-11900.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-neo2.jpg;Tecno Pova Neo 2;Released 2022, October 03;9.6mm thickness;Android 12, HIOS 8.6;64GB/128GB storage, microSDXC;14;2.1%;156,285 hits;"6.82""";720x1640 pixels;4/6 GB RAM;Helio G85;7000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);;HSPA, LTE;2022, September 26;Available. Released 2022, October 03;170.9 x 77.8 x 9.6 mm (6.73 x 3.06 x 0.38 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.82 inches, 110.5 cm(~83.1% screen-to-body ratio);720 x 1640 pixels (~263 ppi density);;Android 12, HIOS 8.6;Mediatek MT6769Z Helio G85 (12nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MC2;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;;16 MP, (wide), AFSecondary unknown camera;Dual-LED flash, HDR, panorama;1080p@30fps;8 MP;Yes;Yes;Yes;GPS, GLONASS;Yes (LG6n only);FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 7000 mAh, non-removable;Uranolite Gray, Virtual Blue, Orange Magma;About 240 EUR;Glass front, plastic frame, plastic back;LG6n;;LED flash;;;;;
https://www.gsmarena.com/tecno_pova_neo_5g-11898.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-neo-5g.jpg;Tecno Pova Neo 5G;Released 2022, September 26;9.5mm thickness;Android 12, HIOS 8.6;128GB storage, microSDXC;18;0.8%;105,843 hits;"6.8""";1080x2460 pixels;4 GB RAM;Dimensity 810;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);SA/NSA;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, 5G;2022, September 23;Available. Released 2022, September 26;170.8 x 77.9 x 9.5 mm (6.72 x 3.07 x 0.37 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 120Hz, 500 nits;6.8 inches, 109.8 cm(~82.5% screen-to-body ratio);1080 x 2460 pixels (~395 ppi density);;Android 12, HIOS 8.6;Mediatek MT6833P Dimensity 810 (6 nm);Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (dedicated slot);128GB 4GB RAM;;50 MP, (wide), AFQVGA;Quad-LED flash, HDR, panorama;1440p@30fps;8 MP;1440p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 6000 mAh, non-removable;Sprint Blue, Sapphire Black;About 190 EUR;Glass front, plastic frame, plastic back;;;Dual-LED flash, HDR;;;;Splash resistant;
https://www.gsmarena.com/tecno_pop_6_pro-11886.php;https://fdn2.gsmarena.com/vv/bigpic/tecno-pop6-pro.jpg;Tecno Pop 6 Pro;Released 2022, September 28;195g, 8.8mm thickness;Android 12, HiOS 8.6;32GB storage, microSDXC;7;1.3%;111,054 hits;"6.56""";720x1612 pixels;2 GB RAM;Helio A22;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE;;HSPA, LTE;2022, September 17;Available. Released 2022, September 28;164.9 x 76.3 x 8.8 mm (6.49 x 3.00 x 0.35 in);195 g (6.88 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 480 nits (peak);6.56 inches, 103.4 cm(~82.2% screen-to-body ratio);720 x 1612 pixels, 20:9 ratio (~269 ppi density);;Android 12 (Go edition), HiOS 8.6;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC;32GB 2GB RAM;eMMC 5.1;8 MP, f/2.0QVGA;Dual-LED flash, HDR;1080p@30fps;5 MP;;Yes;Yes;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Peaceful Blue, Polar Black;About 80 EUR;Glass front, plastic frame, plastic back;BE8;;LED flash;;;;Splash resistant;
