Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;net3g;speed;cam2video;batstandby1;battalktime1;os;optionalother;cpu;memoryother;bodyother
https://www.gsmarena.com/telit_t800-1549.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t800.gif;Telit t800;Cancelled;91g, 16.7mm thickness;Feature phone;64MB storage, microSD slot;7;N/A;100,641 hits;;176x220 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q1;Cancelled;95 x 49 x 16.7 mm (3.74 x 1.93 x 0.66 in);91 g (3.21 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;Second CSTN display, 65K colors, 96 x 96 pixels;microSD;64MB;2 MP;LED flash;Yes;No;No;Yes;No;No;Proprietary;;MP3/AAC/3GP playereZi text inputOrganizer;Removable Li-Ion 860 mAh battery;Red;;;;;;;;;;
https://www.gsmarena.com/telit_t250-1548.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t250.gif;Telit t250;Cancelled;76g, 15.4mm thickness;Feature phone;7MB storage, no card slot;6;N/A;70,023 hits;;128x160 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q1;Cancelled;96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in);76 g (2.68 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Second CSTN display, 65K colors, 96 x 96 pixels;No;7MB;VGA;;No;No;No;No;No;No;Proprietary;;eZi text inputOrganizer;Removable Li-Ion 800 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/telit_t650-1547.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t650.gif;Telit t650;Cancelled;90g, 17mm thickness;Feature phone;64MB storage, microSD slot;6;N/A;73,122 hits;;128x160 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2006, Q1;Cancelled;90 x 44 x 17 mm (3.54 x 1.73 x 0.67 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Second CSTN display, 65K colors, 96 x 96 pixels;microSD;64MB;VGA, rotating lens;LED flash;No;No;No;No;No;No;Proprietary;;MP3 playerPredictive text inputOrganizer;Removable Li-Ion 800 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/telit_t200-1546.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t200.gif;Telit t200;Released 2006, Q1;76g, 15.4mm thickness;Feature phone;7MB storage, no card slot;7;N/A;87,900 hits;;128x160 pixels; ;;730 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q1;Discontinued;96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in);76 g (2.68 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;;No;7MB;VGA;;No;No;No;No;No;No;Proprietary;;eZi text inputOrganizerVoice memo;Removable Li-Ion 730 mAh battery;Red;;;;;;;;;;
https://www.gsmarena.com/telit_gu1100-1540.php;https://fdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif;Telit GU1100;Released 2005, Q3;103g, 19.5mm thickness;Feature phone;microSD slot;8;N/A;71,525 hits;;176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2005, Q3;Discontinued;112 x 46.5 x 19.5 mm (4.41 x 1.83 x 0.77 in);103 g (3.63 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;;microSD (dedicated slot);;VGA;;Yes;Yes;No;Yes;No;No;1.1;;MP3 playerPredictive text inputVoice memoOrganizer;Removable Li-Ion battery;Silver;UMTS 2100;Yes, 384 kbps;;Up to 280 h;Up to 4 h;;;;;
https://www.gsmarena.com/telit_sp600-1539.php;https://fdn2.gsmarena.com/vv/bigpic/telit-sp600.gif;Telit SP600;Released 2005, Q2;99g, 17.7mm thickness;Microsoft Windows Mobile 2003 SE Smartphone;32MB storage, miniSD slot;10;N/A;72,727 hits;;176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2005, Q2;Discontinued;109 x 47.7 x 17.7 mm (4.29 x 1.88 x 0.70 in);99 g (3.49 oz);Mini-SIM;TFT, 65K colors;;176 x 220 pixels;;miniSD;32MB;1.3 MP;;Yes;No;No;Yes;No;No;1.1;;MP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice memoOrganizer;Removable Li-Ion 1000 mAh battery;Silver;;;;Up to 130 h;Up to 5 h;Microsoft Windows Mobile 2003 SE Smartphone;;;;
https://www.gsmarena.com/telit_t550-1538.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t550.gif;Telit t550;Released 2005, Q1;98g, 15.8mm thickness;Feature phone;No card slot;6;N/A;65,476 hits;;128x160 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, Q1;Discontinued;105 x 49.6 x 15.8 mm (4.13 x 1.95 x 0.62 in);98 g (3.46 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Downloadable animation;No;;1.3 MP;LED flash;Yes;No;No;Yes;No;No;Proprietary;;MP3 playerVideo playerPhoto editorPredictive text inputOrganizer;Removable Li-Ion 860 mAh battery;Black;;;;Up to 168 h;Up to 9 h;;;;;
https://www.gsmarena.com/telit_t420-1537.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t420.gif;Telit t420;Released 2005, Q1;82g, 23mm thickness;Feature phone;No card slot;6;N/A;94,127 hits;;128x160 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2005, Q1;Discontinued;62 x 64 x 23 mm (2.44 x 2.52 x 0.91 in);82 g (2.89 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second OLED display, 256 colors, 96 x 64 pixelsDownloadable animation;No;;VGA;;Yes;No;No;No;No;No;No;;Video playerPhoto editorPredictive text inputOrganizer;Removable Li-Ion 650 mAh battery;Black;;;;Up to 100 h;Up to 2 h;;;;;
https://www.gsmarena.com/telit_t180-1661.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t180.gif;Telit t180;Released 2006, Q2;76g, 18mm thickness;Feature phone;2MB storage, no card slot;7;N/A;70,781 hits;;128x128 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2006, Q2;Discontinued;100 x 45 x 18 mm (3.94 x 1.77 x 0.71 in);76 g (2.68 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;;No;2MB;VGA;;No;No;No;No;No;No;No;;Voice memoeZi text inputUnit ConverterWorld Clock;Removable Li-Ion 650 mAh battery;Navy Blue, Lacquered White;;;;Up to 250 h;Up to 5 h;;;;;
https://www.gsmarena.com/telit_t410-1536.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t410.gif;Telit t410;Released 2005, Q1;76g, 23mm thickness;Feature phone;No card slot;11;N/A;88,758 hits;;128x160 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2005, Q1;Discontinued;52 x 57 x 23 mm (2.05 x 2.24 x 0.91 in);76 g (2.68 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second OLED display, 256 colors, 96 x 64 pixelsDownloadable animation;No;;VGA;;Yes;No;No;No;No;No;No;;Video playerPhoto editorPredictive text inputOrganizer;Removable Li-Ion 650 mAh battery;Black;;;;Up to 100 h;Up to 2 h;;;;;
https://www.gsmarena.com/telit_t130-1581.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t130.gif;Telit t130;Released 2006, Q2;75g, 16.5mm thickness;Feature phone;4MB storage, no card slot;13;N/A;65,508 hits;"1.37""";96x64 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800;No;No;2006, Q2;Discontinued;101 x 44 x 16.5 mm (3.98 x 1.73 x 0.65 in);75 g (2.65 oz);Mini-SIM;Monochrome graphics;1.37 inches, 5.6 cm(~12.6% screen-to-body ratio);96 x 64 pixels, 3:2 ratio (~84 ppi density);;No;4MB;No;;;;No;No;No;No;miniUSB;;eZi text inputCalculatorWatchSpeed dial;Removable Li-Ion 800 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/telit_t110-1535.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t110.gif;Telit t110;Released 2005, Q1;75g, 20mm thickness;Feature phone;2MB storage, no card slot;6;N/A;80,845 hits;"1.8""";128x160 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2005, Q1;Discontinued;90 x 41 x 20 mm (3.54 x 1.61 x 0.79 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 29 x 35 mm, 10.2 cm(~27.6% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Second CSTN display, 4096 colors, 96 x 64 pixelsDownloadable animation;No;2MB;VGA;;Yes;No;No;No;No;No;No;;Video playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;Black;;;;Up to 110 h;Up to 5 h;;;;;
https://www.gsmarena.com/telit_t210-1534.php;https://fdn2.gsmarena.com/vv/bigpic/telit-t210.gif;Telit t210;Released 2005, Q1;85g, 24mm thickness;Feature phone;4MB storage, no card slot;6;N/A;62,556 hits;"1.8""";128x160 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, Q1;Discontinued;93 x 45 x 24 mm (3.66 x 1.77 x 0.94 in);85 g (3.00 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 29 x 35 mm, 10.2 cm(~24.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Second CSTN display, 4096 colors, 96 x 64 pixelsDownloadable animation;No;4MB;1.3 MP;;Yes;No;No;No;No;No;Proprietary;;Predictive text inputOrganizerVoice memo;Removable Li-Ion battery;Black;;;;Up to 100 h;Up to 5 h;;;;;
