Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;sar-us;cam2features;gprstext;edge;featuresother;batmusicplayback1;bodyother
https://www.gsmarena.com/unnecto_bolt-8283.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-bolt.jpg;Unnecto Bolt;Released 2016, August;170g, 9.2mm thickness;Android 5.1;8GB storage, microSDHC;0;N/A;53,259 hits;"5.0""";720x1280 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;2, 3, 4, 12, 17;HSPA, LTE;2016, June. Released 2016, August;Discontinued;145.2 x 73.5 x 9.2 mm (5.72 x 2.89 x 0.36 in);170 g (6.00 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~64.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Quad-core 1.1 GHz;Adreno 304;microSDHC;8GB 1GB RAM;8 MP, PDAF;LED flash, HDR, panorama;1080p@30fps;2 MP, AF;;Wi-Fi 802.11 b/g/n;4.1, LE;GPS;No;No;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 200 h (2G) / Up to 175 h (3G);Up to 6 h (2G) / Up to 5 h (3G);Black, Silver;1.25 W/kg (head)     1.15 W/kg (body);;;;;;
https://www.gsmarena.com/unnecto_neo_v-8282.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-neo-v.jpg;Unnecto Neo V;Released 2016, July;177g, 9.2mm thickness;Android 5.1;8GB storage, microSDHC;1;N/A;44,528 hits;"5.0""";480x854 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 1900 / 2100;;HSPA 42.2/11.5 Mbps;2016, May. Released 2016, July;Discontinued;143.5 x 70.5 x 9.2 mm (5.65 x 2.78 x 0.36 in);177 g (6.24 oz);Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~68.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDHC;8GB 1GB RAM;8 MP, PDAF;Dual-LED flash, HDR, panorama;720p@30fps;1.3 MP, AF;;Wi-Fi 802.11 b/g/n;4.0, LE;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 200 h (2G) / Up to 175 h (3G);Up to 6 h (2G) / Up to 5 h (3G);Black, White, Blue;0.62 W/kg (head)     0.96 W/kg (body);LED flash;;;;;
https://www.gsmarena.com/unnecto_quattro_s-8281.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-s.jpg;Unnecto Quattro S;Released 2016, July;113g, 10.2mm thickness;Android 5.1;8GB storage, microSDHC;0;N/A;52,719 hits;"4.0""";480x800 pixels;1 GB RAM;;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 42.2/21 Mbps;2016, May. Released 2016, July;Discontinued;124.5 x 64.5 x 10.2 mm (4.90 x 2.54 x 0.40 in);113 g (3.99 oz);Dual SIM (Micro-SIM, dual stand-by);TFT, 256K colors;4.0 inches, 45.5 cm(~56.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 5.1 (Lollipop);Quad-core 1.2 GHz;Mali-400;microSDHC;8GB 1GB RAM;5 MP, PDAF;LED flash, HDR, panorama;720p@30fps;1.3 MP, AF;;Wi-Fi 802.11 a/b/g/n;2.1;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh, removable;Up to 100 h (2G) / Up to 72 h (3G);Up to 5 h (2G) / Up to 4 h (3G);Black, White, Navy;;;;;;;
https://www.gsmarena.com/unnecto_quattro_v-8280.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-v.jpg;Unnecto Quattro V;Released 2016, July;163g, 11.7mm thickness;Android 5.1;8GB storage, microSDHC;0;N/A;38,362 hits;"4.0""";480x800 pixels;1 GB RAM;;1600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 1900 / 2100;;HSPA 42.2/11.5 Mbps;2016, May. Released 2016, July;Discontinued;120.3 x 63.2 x 11.7 mm (4.74 x 2.49 x 0.46 in);163 g (5.75 oz);Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by);IPS LCD;4.0 inches, 45.5 cm(~59.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDHC;8GB 1GB RAM;5 MP, PDAF;LED flash, HDR, panorama;720p@30fps;1.3 MP, AF;;Wi-Fi 802.11 b/g/n, hotspot;4.0, LE;GPS;No;Stereo FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Ion 1600 mAh, removable;Up to 160 h (2G) / Up to 140 h (3G);Up to 5 h (2G) / Up to 4 h (3G);Black, White, Blue;0.87 W/kg (head)     1.02 W/kg (body);;;;;;
https://www.gsmarena.com/unnecto_drone_xs-8279.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xs.jpg;Unnecto Drone XS;Released 2016, June;113g, 10.5mm thickness;Android 4.4;4GB 512MB RAM storage, microSDHC slot;0;N/A;45,515 hits;"3.5""";320x480 pixels;512 MB RAM;;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2016, May. Released 2016, June;Discontinued;115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in);113 g (3.99 oz);Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by);IPS LCD;3.5 inches, 36.5 cm(~52.0% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.4 (KitKat);1.2 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;3 MP, PDAF;LED flash, HDR, panorama;720p@30fps;1.3 MP, AF;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, gyro, proximity;Li-Ion 1100 mAh, removable;Up to 160 h (2G) / Up to 140 h (3G);Up to 5 h (2G) / Up to 4 h (3G);Black, White, Blue;;;;;;;
https://www.gsmarena.com/unnecto_primo_2g-8278.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-2g.jpg;Unnecto Primo 2G;Released 2016, April;73g, 13.7mm thickness;Feature phone;32MB 32MB RAM storage, microSDHC slot;0;N/A;36,919 hits;"1.8""";128x160 pixels;32 MB RAM;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2016, March. Released 2016, April;Discontinued;110.5 x 43 x 13.7 mm (4.35 x 1.69 x 0.54 in);73 g (2.57 oz);Mini-SIM;TFT;1.8 inches, 10.2 cm(~21.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;microSDHC;32MB 32MB RAM;1 MP, AF;;720p@30fps;No;;No;2.0;No;No;Stereo FM radio;microUSB 2.0;;Li-Ion 800 mAh, removable;Up to 160 h;Up to 8 h;Black/Grey;;;Yes;Yes;Audio/video playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_omnia-7888.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-omnia.jpg;Unnecto Omnia;Released 2015, March;163g, 8.9mm thickness;Android 5.1;8GB storage, microSDHC;3;N/A;50,856 hits;"5.0""";720x1280 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 2100;2, 4, 12, 17;HSPA, LTE;2015, January. Released 2015, March;Discontinued;142.9 x 72.6 x 8.9 mm (5.63 x 2.86 x 0.35 in);163 g (5.75 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~66.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop);Quad-core 1.0 GHz;Mali-T720;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;1080p@30fps;3 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh, removable;Up to 188 h (3G);Up to 6 h 30 min (3G);Black, White, Gray;;;;;;Up to 24 h;
https://www.gsmarena.com/unnecto_swift-7887.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-swift.jpg;Unnecto Swift;Released 2015, March;120.5g, 10mm thickness;Android 5.1;8GB storage, microSDHC;2;N/A;53,642 hits;"4.0""";480x800 pixels;1 GB RAM;;1600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 3, 4, 12;HSPA, LTE;2015, January. Released 2015, March;Discontinued;119.3 x 63 x 10 mm (4.70 x 2.48 x 0.39 in);120.5 g (4.27 oz);Dual SIM;IPS LCD;4.0 inches, 45.5 cm(~60.6% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 5.1 (Lollipop);Quad-core 1.0 GHz;Mali-T720;microSDHC;8GB 1GB RAM;5 MP;LED flash;1080p@30fps;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1600 mAh, removable;Up to 188 h (3G);Up to 6 h 30 min (3G);Black, White, Blue;;;;;;Up to 24 h;
https://www.gsmarena.com/unnecto_quattro_x-7021.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-qx.jpg;Unnecto Quattro X;Released 2015, January;120g, 9.2mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;6;N/A;58,430 hits;"4.0""";480x800 pixels;512 MB RAM;;1600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2015, January. Released 2015, January;Discontinued;123 x 64 x 9.2 mm (4.84 x 2.52 x 0.36 in);120 g (4.23 oz);Dual SIM (dual stand-by);IPS LCD;4.0 inches, 45.5 cm(~57.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);Dual-core 1.3 GHz;Mali-400;microSDHC;4GB 512MB RAM;5 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1600 mAh battery;Up to 45 h (3G);Up to 6 h (3G);Black, White, Blue;;;;;;Up to 24 h;
https://www.gsmarena.com/unnecto_drone_xl-7020.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xl.jpg;Unnecto Drone XL;Released 2015, March;110g, 10.5mm thickness;Android 4.4.2;512MB 256MB RAM storage, microSDHC slot;4;N/A;51,671 hits;"3.5""";320x480 pixels;256 MB RAM;;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2015, January. Released 2015, March;Discontinued;115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in);110 g (3.88 oz);Dual SIM (dual stand-by);IPS LCD;3.5 inches, 36.5 cm(~52.0% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.4.2 (KitKat);1.2 GHz;Mali-400;microSDHC;512MB 256MB RAM;3.15 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1100 mAh battery;Up to 40 h (3G);Up to 5 h (3G);Black, White, Blue;;;;;;Up to 20 h;
