Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;batstandby1;battalktime1;optionalother;sar-us;sar-eu;batmusicplayback1;featuresother;displayother;gprstext;edge
https://www.gsmarena.com/vertu_signature_touch_(2015)-7586.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-2015.jpg;Vertu Signature Touch (2015);Released 2015, October;225-236g, 10.8mm thickness;Android 5.1;64GB storage, microSDXC;77;0.3%;847,024 hits;"5.2""";1080x1920 pixels;4 GB RAM;Snapdragon 810;3160 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 5, 7, 8, 13, 17, 20, 25, 28, 29, 38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2015, September. Released 2015, October;Discontinued;155 x 74 x 10.8 mm (6.10 x 2.91 x 0.43 in);225-236 g (8.32 oz);Micro-SIM;Titanium body (forged grade 5) and luxurious calf leather covered rear panel;Sapphire crystal glass;5.2 inches, 74.5 cm(~65.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~424 ppi density);Sapphire crystal glass;Android 5.1 (Lollipop);Qualcomm MSM8994 Snapdragon 810 (20 nm);Octa-core (4x1.56 GHz Cortex-A53 & 4x1.82 GHz Cortex-A57);Adreno 430;microSDXC (dedicated slot);64GB 4GB RAM;eMMC 5.0;21 MP, PDAF;Dual-LED dual-tone flash, panorama, HDR;Yes;2.1 MP;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP, LE, aptX;GPS, GLONASS;Yes;No;microUSB 2.0 (MHL), OTG;Accelerometer, gyro, proximity, compass;Li-Ion 3160 mAh, non-removable;Jet Calf, Garnet Calf, Grape Lizard, Pure Jet Lizard, Jet Alligator, Pure Navy Alligator, Clous de Paris Alligator, Pure Jet Red Gold;About 9000 EUR;;;;;;;;;;
https://www.gsmarena.com/vertu_aster-6726.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-aster1.jpg;Vertu Aster;Released 2014, December;193g, 11.2mm thickness;Android 4.4.2;64GB storage, No;38;0.1%;469,111 hits;"4.7""";1080x1920 pixels;2 GB RAM;Snapdragon 801;2275 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700 / 1900 / 2100;1, 5, 7, 8, 17, 20, 25;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2014, October. Released 2014, December;Discontinued;143.4 x 69 x 11.2 mm (5.65 x 2.72 x 0.44 in);193 g (6.81 oz);Nano-SIM;Titanium body (forged grade 5) and luxurious calf leather covered rear panel;Sapphire crystal glass;4.7 inches, 59.9 cm(~60.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~473 ppi density);Sapphire crystal glass, oleophobic coating;Android 4.4.2 (KitKat);Qualcomm Snapdragon 801 (28 nm);Quad-core 2.3 GHz Krait 400;Adreno 330;No;64GB 2GB RAM;eMMC 5.0;13 MP, Hasselblad certified, AF;Dual-LED flash;Yes;2.1 MP;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP, aptX, LE;GPS, GLONASS;Yes;No;microUSB 2.0, OTG;Accelerometer, gyro, proximity, compass;Li-Ion 2275 mAh, non-removable;Onyx Calf, Lagoon Calf, Blush Calf, Caviar Karung, Tangerine Karung, Raspberry Ostrich, Cognac Ostrich;About 5440 EUR;Up to 380 h (3G);Up to 15 h 30 min (3G);;;;;;;;
https://www.gsmarena.com/vertu_signature_touch-6374.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-clous-de-paris.jpg;Vertu Signature Touch;Released 2014, June;192g, 10.7mm thickness;Android 4.4.2;64GB storage, No;31;0.1%;663,253 hits;"4.7""";1080x1920 pixels;2 GB RAM;Snapdragon 801;2275 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700 / 1900 / 2100;1, 5, 7, 8, 17, 20, 25;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2014, June. Released 2014, June;Discontinued;145 x 69 x 10.7 mm (5.71 x 2.72 x 0.42 in);192 g (6.77 oz);Micro-SIM;Titanium body (forged grade 5) and luxurious calf leather covered rear panel;Sapphire crystal glass;4.7 inches, 60.9 cm(~60.9% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~469 ppi density);Scratch-proof glass;Android 4.4.2 (KitKat);Qualcomm Snapdragon 801 (28 nm);Quad-core 2.3 GHz Krait 400;Adreno 330;No;64GB 2GB RAM;eMMC 5.0;13 MP, Hasselblad certified, AF;Dual-LED flash;1080p@30fps;2.1 MP;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP, LE;GPS, GLONASS;Yes;No;microUSB 2.0, OTG;Accelerometer, gyro, proximity, compass;Li-Ion 2275 mAh, non-removable;Jet/ Claret leather, pure Jet leather, pure Jet red gold, Seaspray/ Damson/ Pure navy lizard, Jet alligator, Clous De Paris;About 8290 EUR;Up to 380 h;Up to 15 h 30 min;Tuned by Bang & Olufsen;0.69 W/kg (head)     1.29 W/kg (body);0.49 W/kg (head);;;;;
https://www.gsmarena.com/vertu_constellation_2013-5868.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-2013.jpg;Vertu Constellation 2013;Released 2013, October;179g, 11.2mm thickness;Android 4.2.2;32GB storage, no card slot;16;0.1%;336,526 hits;"4.3""";720x1280 pixels; ;;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700 / 1900 / 2100;;HSPA 42.2/5.76 Mbps;2013, October. Released 2013, October;Discontinued;142.2 x 70.4 x 11.2 mm (5.60 x 2.77 x 0.44 in);179 g (6.31 oz);Nano-SIM;Titanium body (forged grade 5) and luxurious calf leather covered rear panel;Sapphire crystal glass;4.3 inches, 51.0 cm(~50.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~342 ppi density);Scratch-proof glass;Android 4.2.2 (Jelly Bean);;Dual-core 1.7 GHz;;No;32GB;;13 MP, AF;Dual-LED flash;Yes;1.3 MP;;Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP, LE;GPS, GLONASS;Yes;No;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 1800 mAh, non-removable;Cappuccino, Black, Orange, Mocha, Raspberry, Pure Navy Alligator, Pure Plum Alligator;About 5000 EUR;Up to 405 h (3G);Up to 14 h 30 min (3G);;0.68 W/kg (head)     0.98 W/kg (body);0.49 W/kg (head);Up to 43 h;;;;
https://www.gsmarena.com/vertu_ti-5297.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-ti.jpg;Vertu Ti;Released 2013, February;;Android 4.0;64GB storage, microSDHC;50;0.1%;711,582 hits;"3.7""";480x800 pixels;1 GB RAM;;;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2013, February. Released 2013, February;Discontinued;-;-;Mini-SIM;Titanium body (grade 5);Sapphire crystal glass;3.7 inches, 39.0 cm;480 x 800 pixels, 5:3 ratio (~252 ppi density);Scratch-resistant glass;Android 4.0 (Ice Cream Sandwich);;Dual-core 1.7 GHz;;microSDHC (dedicated slot);64GB 1GB RAM;;8 MP, AF;LED flash;1080p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion, non-removable;Black/Gray;About 7900 EUR;;;;;;;;;;
https://www.gsmarena.com/vertu_constellation-4263.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-constelation.jpg;Vertu Constellation;Released 2011, October;164g - 199g, 12.2mm thickness;Symbian^3, up to Nokia Belle OS;microSDHC slot;34;0.1%;784,148 hits;"3.5""";360x640 pixels; ;;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;HSPA;2011, October. Released 2011, October;Discontinued;118.2 x 54.5 x 12.2 mm (4.65 x 2.15 x 0.48 in);164g - 199g (7.02 oz);Mini-SIM;;AMOLED;3.5 inches, 33.8 cm(~52.4% screen-to-body ratio);360 x 640 pixels, 16:9 ratio (~210 ppi density);Shatter proof sapphire crystal glass, oleophobic coating;Symbian^3, upgradable to Nokia Belle OS;;;;microSDHC (dedicated slot);;;8 MP;Dual-LED flash;720p@25fps, 720p@30fps (via SW update);No;;Wi-Fi 802.11 b/g/n;3.0, A2DP;GPS, A-GPS;;;microUSB 2.0;Accelerometer, proximity, compass;Non-removable Li-Ion 1200 mAh battery (BL-5K);Stain/Polished stainless steel, brown/black/pink leather or black alligator skin;About 2330 EUR;Up to 400 h (2G) / Up to 400 h (3G);Up to 7 h (2G) / Up to 4 h 30 min (3G);;;;;Vertu Concierge serviceSNS supportMP3/WMA/WAV/eAAC+ playerDivX/XviD/MP4/H.264/WMV playerQuickoffice document editor (Word, Excel, PowerPoint, PDF)Adobe ReaderVoice memo/dial/commandPredictive text input;;;
https://www.gsmarena.com/vertu_ascent_ferrari_gt-3721.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ferrari-gt.jpg;Vertu Ascent Ferrari GT;Released 2011, Q2;187g, 18mm thickness;Feature phone;32GB storage, no card slot;21;N/A;631,357 hits;"2.0""";240x320 pixels; ;;;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;HSPA;2011, January. Released 2011, Q2;Discontinued;118 x 45 x 18 mm (4.65 x 1.77 x 0.71 in);187 g (6.60 oz);Mini-SIM;Flashlight;TFT, 16M colors;2.0 inches, 12.4 cm(~23.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;;;No;32GB;;5 MP, AF;LED flash;Yes;No;;No;2.1, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer;Removable Li-Ion battery;Black;;Up to 300 h (2G) / Up to 300 h (3G);Up to 4 h 50 min (2G) / Up to 4 h (3G);;;;;MP4/H.263 playerMP3/WAV/AAC+ playersynchronization serviceVertu Concierge serviceVertu Fortress secure back up serviceOrganizerVoice memo/dialPredictive text input;Sapphire crystal stainless steel keysChronograph stopwatch;;
https://www.gsmarena.com/vertu_constellation_quest-3590.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-quest.jpg;Vertu Constellation Quest;Released 2010, December;165-185g, 12.7mm thickness;Symbian OS;8GB storage, microSDHC;26;N/A;652,223 hits;"2.46""";640x480 pixels; ;;1500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;HSPA 10.2/2 Mbps;2010, October. Released 2010, December;Discontinued;116.2 x 60.8 x 12.7 mm, 87 cc (4.57 x 2.39 x 0.5 in);165-185 g (6.53 oz);Mini-SIM;Optical trackpad;TFT, 16M colors;2.46 inches, 18.7 cm(~26.5% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~325 ppi density);;Symbian OS;;;;microSDHC (dedicated slot), 32 GB included;8GB;;5 MP, AF;Dual-LED flash;Yes;No;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, compass;Non-removable Li-Po 1500 mAh battery;Silver, Pink, Black, Brown, Yellow Gold, Carbon fibre with gold, Carbon fibre;About 6140 EUR;Up to 350 h (2G) / Up to 430 h (3G);Up to 7 h 30 min (2G) / Up to 5 h 40 min (3G);;;;;Facebook, Twitter appsMP4/H.263 playerMP3/WMA/WAV/eAAC+ playerQuickOffice editor (Word, Excel, PowerPoint)PDF viewerVoice memo/dial/commandsOrganizerVertu Concierge servicePredictive text input;;;
https://www.gsmarena.com/vertu_ascent_2010-3264.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-2010.jpg;Vertu Ascent 2010;Released 2010, April;170g, 19mm thickness;Feature phone;8GB/32GB storage, no card slot;12;N/A;373,358 hits;"2.0""";240x320 pixels; ;;;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;HSPA;2010, April. Released 2010, April;Discontinued;117 x 46 x 19 mm, 82 cc (4.61 x 1.81 x 0.75 in);170 g (6.00 oz);Mini-SIM;Flashlight;TFT, 16M colors;2.0 inches, 12.4 cm(~23.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;;;No;8GB (Aluminium), 32GB (Titanium);;5 MP, AF;LED flash;Yes;No;;No;2.0, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer;Non-removable Li-Ion battery;Aluminium and Titanium versions with various colors;;Up to 300 h (2G) / Up to 300 h (3G);Up to 5 h (2G) / Up to 4 h (3G);;;;;OrganizerMP4/H.263 playerMP3/WAV/AAC+ playersynchronization serviceVertu Concierge serviceVertu Fortress secure back up serviceVoice memo/dialPredictive text input;Sapphire crystal stainless steel keysChronograph stopwatch;;
https://www.gsmarena.com/vertu_constellation_ayxta-2990.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-ayxta.jpg;Vertu Constellation Ayxta;Released 2009, October;175g, 18mm thickness;Feature phone;100MB storage, microSDHC slot;12;N/A;402,773 hits;"2.4""";240x400 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2009, September. Released 2009, October;Discontinued;100 x 48 x 18 mm, 74 cc (3.94 x 1.89 x 0.71 in);175 g (6.17 oz);Mini-SIM;;TFT, 16M colors;2.4 inches, 16.4 cm(~34.2% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~194 ppi density);Scratch-resistant glass;;;;;microSDHC (dedicated slot);100MB;1500 calendar notes1000 SMS;3.15 MP, AF;LED flash;Yes;No;;No;2.0;"GPS, A-GPS; Google maps";;No;2.0;;Non-removable Li-Ion 1000 mAh battery (BL-4UV);Black, Dark Brown;About 5020 EUR;Up to 300 h;Up to 5 h 30 min;;;;;MP4/H.264/WMV playerMP3/eAAC+/WMA playerOrganizerVoice memoPredictive text input;External monochrome display, 128 x 160 pixels;Class 10;Class 10
https://www.gsmarena.com/vertu_ascent_ti_damascus_steel-2822.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ti-damascus-steel.jpg;Vertu Ascent Ti Damascus Steel;Released 2009, Q3;160g, 13.1mm thickness;Feature phone;4GB storage, no card slot;10;N/A;381,911 hits;"2.0""";240x320 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2009, June. Released 2009, Q3;Discontinued;115.5 x 49 x 13.1 mm, 74 cc (4.55 x 1.93 x 0.52 in);160 g (5.64 oz);Mini-SIM;;TFT, 16M colors;2.0 inches, 12.4 cm(~21.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Scratch-resistant glass;;;;;No;4GB;;3.15 MP, AF;LED flash;No;No;;No;Yes;No;;No;microUSB;;Non-removable Li-Ion 950 mAh battery;;;Up to 300 h;Up to 5 h (2G) / Up to 3 h (3G);;;;;OrganizerVertu Fortress Wireless synchronization serviceVertu Concierge serviceStainless steel keysCeramic ear pillowVoice dialPredictive text input;;;
https://www.gsmarena.com/vertu_signature_s-2753.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-s.jpg;Vertu Signature S;Released 2008, October;From 166g to 238g, 13mm thickness;Feature phone;4GB storage, no card slot;29;0.2%;697,736 hits;"2.0""";240x320 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;UMTS 850 / 2100;;Yes, 384 kbps;2007. Released 2008, October;Discontinued;130 x 42 x 13 mm, 65 cc (5.12 x 1.65 x 0.51 in);From 166 g to 238 g (5.86 oz);Mini-SIM;;TFT, 16M colors;2.0 inches, 12.4 cm(~22.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Scratch-resistant glass;;;;;No;4GB;;No;;;;;Wi-Fi 802.11 b/g;Yes;No;;No;microUSB;;Non-removable Li-Ion battery;White Gold, Yellow Gold, Stainless Steel;About 5160 EUR;Up to 300 h;Up to 5 h (2G) / Up to 3 h (3G);;;;;OrganizerVertu Fortress Wireless synchronization serviceVertu Concierge serviceFront made of sapphire4.75 carats ruby bearings for the keysVoice memoPredictive text input;;;
https://www.gsmarena.com/vertu_ascent_ti-2752.php;https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ti.jpg;Vertu Ascent Ti;Released 2008, April;160g, 13.1mm thickness;Feature phone;4GB storage, no card slot;14;N/A;374,740 hits;"2.0""";240x320 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2007, July. Released 2008, April;Discontinued;115.5 x 49 x 13.1 mm, 74 cc (4.55 x 1.93 x 0.52 in);160 g (5.64 oz);Mini-SIM;;TFT, 16M colors;2.0 inches, 12.4 cm(~21.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Scratch-resistant glass;;;;;No;4GB;;3.15 MP, AF;LED flash;No;No;;No;Yes;No;;No;microUSB;;Non-removable Li-Ion 950 mAh battery;Carbon Fibre, Black, Brown, Red, Knurled, Checked;About 5530 EUR;Up to 300 h;Up to 5 h (2G) / Up to 3 h (3G);;;;;OrganizerVertu Fortress Wireless synchronization serviceVertu Concierge serviceStainless steel keysCeramic ear pillowVoice dialPredictive text input;;;
