Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;sar-us;net4g;memoryother;price;sar-eu;bodyother;featuresother;gprstext;edge;displayother;models
https://www.gsmarena.com/verykool_s5702_royale_quattro-9101.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5702.jpg;verykool s5702 Royale Quattro;Released 2018, February;196g, 9.8mm thickness;Android 7.0;16GB storage, microSDXC;8;N/A;166,378 hits;"5.7""";720x1440 pixels;2 GB RAM;MT6580;3200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2018, February;Available. Released 2018, February;157 x 74.2 x 9.8 mm (6.18 x 2.92 x 0.39 in);196 g (6.91 oz);Dual SIM (Micro-SIM);IPS LCD;5.7 inches, 83.8 cm(~72.0% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;16GB 2GB RAM;13 MP, AF2 MP, (depth);Dual-LED flash, panorama;1080p@30fps;5 MP2 MP, depth sensor;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3200 mAh, non-removable;Up to 300 h (3G);Up to 8 h (3G);Black, Blue, Gold;0.22 W/kg (head)     0.41 W/kg (body);;;;;;;;;;
https://www.gsmarena.com/verykool_s5037_apollo_quattro-9100.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5037.jpg;verykool s5037 Apollo Quattro;Released 2018, February;163g, 10.4mm thickness;Android 7.0;8GB storage, microSDXC;1;N/A;59,658 hits;"5.0""";480x854 pixels;1 GB RAM;MT6580;2000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2018, February;Available. Released 2018, February;144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in);163 g (5.75 oz);Dual SIM (Nano-SIM/ Micro-SIM);IPS LCD;5.0 inches, 68.9 cm(~65.3% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;8GB 1GB RAM;13 MP, AF2 MP, (depth);Dual-LED flash, panorama;1080p@30fps;5 MP2 MP, depth sensor;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer;Li-Po 2000 mAh, non-removable;Up to 240 h (3G);Up to 5 h (3G);Black, Blue, Gold;0.25 W/kg (head)     0.56 W/kg (body);;;;;;;;;;
https://www.gsmarena.com/verykool_s5036_apollo-9099.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5036.jpg;verykool s5036 Apollo;Released 2018, February;163g, 10.4mm thickness;Android 7.0;8GB storage, microSDXC;0;N/A;51,379 hits;"5.0""";480x854 pixels;1 GB RAM;MT6580M;2000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2018, February;Available. Released 2018, February;144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in);163 g (5.75 oz);Dual SIM (Nano-SIM/ Micro-SIM);IPS LCD;5.0 inches, 68.9 cm(~65.3% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6580M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;8GB 1GB RAM;8 MP, AF2 MP, (depth);Dual-LED flash, panorama;1080p@30fps;5 MP;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer;Li-Po 2000 mAh, removable;Up to 240 h (3G);Up to 5 h (3G);Black, Blue, Gold;0.25 W/kg (head)     0.56 W/kg (body);;;;;;;;;;
https://www.gsmarena.com/verykool_s5200_orion-8988.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5204-.jpg;verykool s5200 Orion;Released 2017, December;164g, 9.6mm thickness;Android 7.0;16GB storage, microSDXC;0;N/A;48,259 hits;"5.2""";480x854 pixels;1 GB RAM;MT6580;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2017, December;Available. Released 2017, December;148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in);164 g (5.78 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~67.5% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~188 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;16GB 1GB RAM;8 MP, AF;LED flash, panorama;Yes;5 MP;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer;Li-Ion 2000 mAh, removable;Up to 216 h (3G);Up to 5 h (3G);Black, Gold, Blue;;;;;;;;;;;
https://www.gsmarena.com/verykool_s5031_bolt_turbo-8955.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5031.jpg;verykool s5031 Bolt Turbo;Released 2017, November;145g, 9.5mm thickness;Android 7.0;16GB storage, microSDHC;2;N/A;50,350 hits;"5.0""";480x854 pixels;2 GB RAM;MT6580;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2017, November. Released 2017, November;Discontinued;145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in);145 g (5.11 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;16GB 2GB RAM;8 MP, AF;LED flash, panorama;1080p@30fps;8 MP;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 2000 mAh battery;Up to 240 h (3G);Up to 5 h (3G);Gold, Blue;;;;;;;;;;;
https://www.gsmarena.com/verykool_sl5029_bolt_pro_lte-8940.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5029.jpg;verykool sl5029 Bolt Pro LTE;Released 2017, November;142g, 9.6mm thickness;Android 7.0;8GB storage, microSDXC;1;N/A;50,365 hits;"5.0""";480x854 pixels;1 GB RAM;MT6737;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2017, November. Released 2017, November;Discontinued;144.8 x 72 x 9.6 mm (5.70 x 2.83 x 0.38 in);142 g (5.01 oz);Dual SIM (Nano-SIM, dual stand-by);TFT;5.0 inches, 68.9 cm(~66.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6737 (28 nm);Quad-core 1.25 GHz Cortex-A53;Mali-T720;microSDXC;8GB 1GB RAM;8 MP, AF;LED flash, panorama;1080p@30fps;5 MP;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer;Li-Ion 2000 mAh battery;Up to 240 h (3G);Up to 5 h (3G);Black, Gold, Silver;;2, 4, 5, 7;eMMC 5.0;;;;;;;;
https://www.gsmarena.com/verykool_s5029_bolt_pro-8935.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5029.jpg;verykool s5029 Bolt Pro;Released 2017, November;145g, 9.5mm thickness;Android 7.0;8GB storage, microSDXC;0;N/A;43,780 hits;"5.0""";480x854 pixels;1 GB RAM;MT6580;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2017, November. Released 2017, November;Discontinued;145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in);145 g (5.11 oz);Dual SIM (Micro-SIM, dual stand-by);TFT;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;8GB 1GB RAM;8 MP;LED flash, panorama;1080p@30fps;5 MP;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 2000 mAh battery;Up to 240 h (3G);Up to 5 h (3G);Black, Gold, Blue;;;;;;;;;;;
https://www.gsmarena.com/verykool_s5205_orion_pro-8934.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5205.jpg;verykool s5205 Orion Pro;Released 2017, November;164g, 9.6mm thickness;Android 7.0;16GB storage, microSDXC;0;N/A;45,442 hits;"5.2""";480x854 pixels;1 GB RAM;MT6580;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2017, November. Released 2017, November;Discontinued;148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in);164 g (5.78 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.2 inches, 74.5 cm(~67.5% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~188 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;16GB 1GB RAM;8 MP, AF;LED flash, panorama;1080p@30fps;8 MP;LED flash;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer;Li-Ion 2000 mAh battery;Up to 216 h (3G);Up to 5 h (3G);Black, Gold, Blue;;;;;;;;;;;
https://www.gsmarena.com/verykool_s6005x_cyprus_pro-8933.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s6005x.jpg;verykool s6005X Cyprus Pro;Released 2017, November;165g, 9mm thickness;Android 7.0;16GB storage, microSDXC;0;N/A;49,609 hits;"6.0""";720x1280 pixels;1 GB RAM;MT6580;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900;HSPA 21.1/5.76 Mbps;2017, November. Released 2017, November;Discontinued;166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in);165 g (5.82 oz);Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;6.0 inches, 99.2 cm(~70.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~245 ppi density);Asahi Dragontrail Glass;Android 7.0 (Nougat);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;16GB 1GB RAM;13 MP, f/2.2, AF;LED flash, panorama;1080p@30fps;8 MP, f/2.8;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3000 mAh battery;Up to 264 h (3G);Up to 8 h (3G);Gray, Gold;;;;;;;;;;;
https://www.gsmarena.com/verykool_s5527_alpha_pro-8828.php;https://fdn2.gsmarena.com/vv/bigpic/verykool-s5527.jpg;verykool s5527 Alpha Pro;Released 2017, August;148g, 8.2mm thickness;Android 6.0;16GB storage, microSDXC;1;N/A;58,541 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6580;2800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 900;HSPA 21.1/5.76 Mbps;2017, August. Released 2017, August;Discontinued;152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in);148 g (5.22 oz);Dual SIM (Micro-SIM/Mini-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~71.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Scratch-resistant glass;Android 6.0 (Marshmallow);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;16GB 1GB RAM;13 MP, f/2.2, AF;LED flash, panorama;1080p@30fps;8 MP, f/2.8;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP, LE;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 2800 mAh, removable;Up to 288 h (3G);Up to 9 h (3G);Black;0.49 W/kg (head)     1.27 W/kg (body);;;;;;;;;;
